InertialMeasurementUnit LLA gyroX;InertialMeasurementUnit L-SHOE AngVelNavFrameX;InertialMeasurementUnit R-SHOE Nav_Ay;InertialMeasurementUnit L-SHOE AngVelNavFrameZ;InertialMeasurementUnit RLA gyroZ;InertialMeasurementUnit BACK gyroX;InertialMeasurementUnit LUA gyroX;InertialMeasurementUnit R-SHOE Body_Ax;InertialMeasurementUnit L-SHOE AngVelBodyFrameZ;InertialMeasurementUnit L-SHOE AngVelBodyFrameY;InertialMeasurementUnit RUA gyroX;InertialMeasurementUnit BACK gyroZ
-44.0;-16;-7;-25;10.0;-38.0;-42.0;261;-25;-16;-6.0;8.0
-321.0;64;-356;-1981;-388.0;-179.0;-164.0;1376;-1981;64;-105.0;298.0
-127.0;23;-3;-27;48.0;-51.0;-61.0;293;-27;23;-28.0;-35.0
-131.0;-8;3;-13;224.0;-146.0;-190.0;273;-13;-8;-18.0;38.0
-1418.0;92;-63;858;1261.0;-1375.0;-1544.0;240;858;92;-1585.0;314.0
-425.0;24;-26;1;235.0;-25.0;-508.0;330;1;24;-303.0;301.0
-1159.0;-279;322;-6;923.0;-356.0;-1045.0;785;-6;-279;-370.0;282.0
-60.0;5;-1;-4;38.0;-3.0;-59.0;292;-4;5;-17.0;-10.0
-227.0;-497;-110;2789;-237.0;146.0;-81.0;285;2789;-497;-33.0;93.0
-60.0;8;2;15;-85.0;-28.0;-11.0;308;15;8;-7.0;9.0
-59.0;-20;-1;13;48.0;-44.0;-35.0;289;13;-20;-19.0;1.0
-91.0;5;-1;5;9.0;10.0;-55.0;295;5;5;9.0;-15.0
149.0;-27;6;-29;87.0;159.0;192.0;281;-29;-27;-122.0;-46.0
-123.0;21;1;15;-24.0;-34.0;-52.0;316;15;21;113.0;-7.0
-272.0;-5;2;-15;852.0;-220.0;-329.0;259;-15;-5;120.0;54.0
-28.0;8;2;-13;3.0;-31.0;-30.0;294;-13;8;1.0;-25.0
-72.0;-12;2;-5;33.0;-37.0;-42.0;289;-5;-12;16.0;-10.0
-135.0;0;5;0;-6.0;-162.0;-94.0;306;0;0;-49.0;-45.0
-98.0;-8;4;3;52.0;-34.0;-45.0;277;3;-8;59.0;-3.0
-56.0;7;-2;21;44.0;-42.0;-61.0;285;21;7;21.0;-21.0
-70.0;-15;4;-1;38.0;-51.0;-68.0;286;-1;-15;-11.0;-35.0
-165.0;-17;3;26;36.0;-60.0;-125.0;309;26;-17;-4.0;-1.0
-305.0;182;467;-197;-247.0;-580.0;-372.0;-137;-197;182;-43.0;-29.0
-122.0;-1258;-37;-912;-293.0;71.0;-126.0;211;-912;-1258;-5.0;-54.0
-138.0;-10;0;12;12.0;-11.0;-62.0;222;12;-10;-6.0;-9.0
-70.0;-1;-1;25;15.0;-19.0;-77.0;223;25;-1;-12.0;13.0
51.0;2;9;-11;1219.0;-706.0;-143.0;370;-11;2;-1535.0;203.0
