Accelerometer LUA^ accY;InertialMeasurementUnit BACK magneticY;InertialMeasurementUnit LUA magneticZ;InertialMeasurementUnit RUA magneticZ;InertialMeasurementUnit LLA magneticZ;InertialMeasurementUnit LUA accX
930.0;225.0;-126.0;-51.0;-97.0;-916.0
956.0;123.0;-56.0;-184.0;-34.0;-964.0
944.0;130.0;-60.0;-178.0;-46.0;-976.0
788.0;16.0;-37.0;-227.0;100.0;-779.0
799.0;27.0;-40.0;-218.0;117.0;-819.0
752.0;39.0;-41.0;-214.0;131.0;-833.0
889.0;49.0;-43.0;-209.0;135.0;-836.0
937.0;134.0;-66.0;-175.0;-50.0;-986.0
786.0;100.0;-25.0;-229.0;128.0;-821.0
945.0;140.0;-67.0;-169.0;-49.0;-985.0
779.0;93.0;-23.0;-233.0;127.0;-834.0
947.0;145.0;-68.0;-159.0;-52.0;-978.0
808.0;41.0;-89.0;-257.0;48.0;-774.0
960.0;146.0;-71.0;-152.0;-49.0;-960.0
788.0;83.0;-16.0;-229.0;128.0;-838.0
759.0;48.0;-69.0;-235.0;50.0;-750.0
834.0;125.0;-93.0;-159.0;109.0;-738.0
794.0;100.0;-35.0;-170.0;32.0;-866.0
964.0;147.0;-70.0;-146.0;-48.0;-964.0
910.0;79.0;-270.0;-209.0;31.0;-1176.0
854.0;110.0;-170.0;-197.0;36.0;-924.0
758.0;99.0;-186.0;-210.0;35.0;-827.0
925.0;153.0;-66.0;-138.0;-35.0;-965.0
949.0;157.0;-69.0;-132.0;-30.0;-969.0
963.0;73.0;42.0;-155.0;47.0;-886.0
789.0;67.0;52.0;-158.0;65.0;-835.0
948.0;156.0;-68.0;-134.0;-28.0;-970.0
769.0;55.0;64.0;-175.0;79.0;-774.0
950.0;156.0;-68.0;-132.0;-32.0;-980.0
943.0;159.0;-68.0;-129.0;-33.0;-975.0
949.0;159.0;-65.0;-126.0;-33.0;-966.0
959.0;160.0;-65.0;-129.0;-29.0;-965.0
859.0;77.0;-17.0;-232.0;129.0;-868.0
821.0;-9.0;27.0;-193.0;62.0;-915.0
945.0;11.0;22.0;-187.0;68.0;-957.0
899.0;-1.0;-17.0;-263.0;29.0;-797.0
963.0;160.0;-65.0;-129.0;-32.0;-955.0
902.0;-21.0;-38.0;-326.0;21.0;-951.0
942.0;162.0;-66.0;-132.0;-35.0;-963.0
947.0;162.0;-66.0;-133.0;-43.0;-980.0
961.0;167.0;-65.0;-134.0;-46.0;-977.0
989.0;162.0;-66.0;-134.0;-53.0;-982.0
990.0;162.0;-70.0;-133.0;-53.0;-952.0
951.0;-9.0;-8.0;-260.0;110.0;-864.0
978.0;159.0;-71.0;-145.0;-54.0;-965.0
967.0;154.0;-68.0;-154.0;-49.0;-956.0
946.0;141.0;-126.0;-189.0;29.0;-1081.0
965.0;153.0;-75.0;-175.0;-44.0;-958.0
881.0;1.0;-28.0;-295.0;-7.0;-908.0
845.0;22.0;3.0;-268.0;-28.0;-909.0
805.0;48.0;-11.0;-241.0;122.0;-997.0
913.0;34.0;12.0;-254.0;-12.0;-942.0
907.0;41.0;26.0;-232.0;9.0;-961.0
949.0;28.0;102.0;-62.0;-31.0;-908.0
763.0;65.0;44.0;-197.0;47.0;-814.0
880.0;73.0;56.0;-171.0;58.0;-921.0
819.0;-188.0;111.0;-170.0;-289.0;-880.0
958.0;120.0;-49.0;-187.0;-25.0;-958.0
828.0;139.0;37.0;-125.0;32.0;-754.0
918.0;139.0;15.0;-137.0;25.0;-790.0
864.0;130.0;-8.0;-158.0;10.0;-928.0
784.0;121.0;-15.0;-181.0;10.0;-849.0
751.0;105.0;-8.0;-205.0;29.0;-779.0
803.0;57.0;-15.0;-231.0;101.0;-838.0
769.0;88.0;-7.0;-225.0;58.0;-771.0
776.0;74.0;5.0;-235.0;88.0;-797.0
825.0;60.0;2.0;-257.0;110.0;-830.0
915.0;115.0;78.0;-3.0;-19.0;-842.0
835.0;145.0;56.0;21.0;-88.0;-1020.0
804.0;34.0;100.0;-111.0;0.0;-972.0
1002.0;-64.0;155.0;-251.0;92.0;-1111.0
916.0;14.0;76.0;-153.0;68.0;-897.0
826.0;18.0;68.0;-144.0;69.0;-886.0
867.0;25.0;73.0;-146.0;102.0;-831.0
871.0;22.0;76.0;-153.0;118.0;-850.0
891.0;23.0;83.0;-159.0;122.0;-893.0
872.0;20.0;88.0;-161.0;125.0;-924.0
798.0;24.0;93.0;-149.0;129.0;-959.0
778.0;24.0;93.0;-137.0;126.0;-897.0
805.0;21.0;90.0;-120.0;77.0;-972.0
761.0;86.0;-115.0;-36.0;77.0;-842.0
794.0;74.0;-102.0;-66.0;81.0;-871.0
769.0;62.0;-85.0;-93.0;92.0;-885.0
757.0;117.0;-29.0;-230.0;41.0;-854.0
790.0;127.0;-22.0;-218.0;40.0;-926.0
859.0;134.0;-15.0;-204.0;58.0;-1003.0
721.0;48.0;-66.0;-136.0;98.0;-924.0
972.0;113.0;-41.0;-201.0;-20.0;-970.0
