InertialMeasurementUnit LUA gyroY;Accelerometer LUA_ accX;InertialMeasurementUnit BACK accY;InertialMeasurementUnit RLA magneticY;InertialMeasurementUnit RUA magneticX;InertialMeasurementUnit LLA accZ;Accelerometer LUA^ accX;InertialMeasurementUnit L-SHOE Compass;InertialMeasurementUnit LUA accZ;InertialMeasurementUnit R-SHOE EuX;InertialMeasurementUnit R-SHOE Compass;Accelerometer RKN^ accZ;Accelerometer BACK accX
-2.0;-59.0;-26.0;-400.0;953.0;-28.0;258.0;173;115.0;98;-63;280.0;225.0
-409.0;-72.0;-91.0;-32.0;537.0;23.0;257.0;139;264.0;64;-85;122.0;129.0
714.0;-497.0;-199.0;471.0;3.0;-466.0;196.0;11;160.0;160;-7;102.0;-28.0
665.0;-274.0;-260.0;-192.0;156.0;-286.0;419.0;-5;288.0;154;-11;42.0;275.0
78.0;-98.0;-199.0;-154.0;205.0;-110.0;428.0;141;298.0;88;-6;30.0;207.0
84.0;-81.0;-200.0;-164.0;208.0;-94.0;425.0;141;285.0;88;-6;58.0;213.0
63.0;-50.0;-204.0;-177.0;211.0;-66.0;440.0;140;318.0;88;-6;39.0;210.0
22.0;33.0;-33.0;-565.0;509.0;-84.0;622.0;-20;118.0;120;8;60.0;283.0
304.0;-169.0;-288.0;-281.0;98.0;-158.0;400.0;-5;391.0;156;-12;38.0;202.0
51.0;-13.0;-216.0;-194.0;214.0;-104.0;467.0;140;301.0;88;-6;39.0;252.0
-14.0;-21.0;-213.0;-199.0;216.0;-93.0;448.0;140;301.0;88;-6;40.0;217.0
12.0;-14.0;-213.0;-200.0;217.0;-92.0;442.0;140;306.0;88;-6;47.0;239.0
-31.0;138.0;-52.0;-177.0;571.0;-193.0;543.0;131;269.0;-16;7;311.0;270.0
15.0;-6.0;-209.0;-203.0;216.0;-88.0;438.0;140;306.0;88;-6;43.0;238.0
-24.0;-28.0;-211.0;-204.0;217.0;-83.0;457.0;141;300.0;88;-6;30.0;245.0
64.0;73.0;-45.0;2.0;82.0;137.0;448.0;128;311.0;62;28;238.0;220.0
-16.0;-12.0;-210.0;-207.0;218.0;-84.0;474.0;141;311.0;88;-6;40.0;252.0
-16.0;0.0;-203.0;-209.0;221.0;-80.0;450.0;140;304.0;88;-6;58.0;250.0
59.0;42.0;-38.0;78.0;718.0;-54.0;315.0;21;191.0;-84;-79;334.0;271.0
-26.0;-11.0;-205.0;-209.0;219.0;-85.0;449.0;140;316.0;88;-6;48.0;269.0
64.0;7.0;-129.0;172.0;79.0;-1.0;473.0;91;309.0;15;-4;37.0;214.0
26.0;72.0;-56.0;-8.0;728.0;-10.0;378.0;25;164.0;-83;-80;172.0;297.0
1.0;-16.0;-204.0;-212.0;221.0;-74.0;459.0;140;299.0;88;-6;49.0;260.0
-3.0;-9.0;-203.0;-214.0;220.0;-81.0;454.0;141;309.0;88;-6;46.0;259.0
-1.0;0.0;-200.0;-213.0;222.0;-80.0;449.0;141;306.0;88;-6;21.0;250.0
-330.0;163.0;-144.0;-230.0;627.0;-27.0;417.0;164;267.0;-64;-136;109.0;347.0
-14.0;-14.0;-207.0;-215.0;221.0;-87.0;428.0;140;309.0;88;-6;33.0;241.0
158.0;-169.0;-164.0;-178.0;526.0;4.0;367.0;106;416.0;27;-14;96.0;105.0
118.0;-193.0;-69.0;-368.0;666.0;-11.0;238.0;165;154.0;-52;-180;-8.0;313.0
62.0;78.0;-28.0;-222.0;851.0;-31.0;271.0;121;138.0;-143;-7;141.0;296.0
114.0;-104.0;-286.0;-243.0;395.0;109.0;442.0;152;208.0;27;-16;240.0;184.0
142.0;29.0;-335.0;-260.0;383.0;67.0;389.0;151;239.0;28;-15;329.0;342.0
637.0;-135.0;-102.0;151.0;667.0;-40.0;219.0;-46;238.0;4;-18;730.0;-67.0
-9.0;-12.0;-204.0;-212.0;222.0;-69.0;452.0;140;312.0;88;-6;58.0;247.0
25.0;-11.0;-206.0;-215.0;221.0;-68.0;450.0;141;310.0;88;-6;43.0;250.0
215.0;38.0;-251.0;-82.0;538.0;31.0;295.0;-174;210.0;117;-95;102.0;6.0
-1007.0;-480.0;86.0;-18.0;662.0;-319.0;830.0;-160;174.0;-17;-112;274.0;350.0
20.0;-9.0;-205.0;-215.0;223.0;-74.0;474.0;141;319.0;88;-6;39.0;250.0
53.0;-10.0;-203.0;-221.0;224.0;-75.0;470.0;141;314.0;88;-6;40.0;245.0
-54.0;-313.0;-23.0;313.0;550.0;-300.0;375.0;9;173.0;35;-18;40.0;80.0
-159.0;-134.0;-72.0;25.0;387.0;-249.0;487.0;106;166.0;93;0;187.0;170.0
-261.0;-418.0;17.0;250.0;543.0;-210.0;321.0;15;222.0;35;-18;43.0;-39.0
19.0;-198.0;-37.0;27.0;386.0;-67.0;405.0;106;271.0;116;1;180.0;125.0
226.0;-246.0;-32.0;28.0;385.0;-146.0;354.0;106;141.0;114;1;147.0;106.0
55.0;-10.0;-202.0;-221.0;224.0;-78.0;460.0;140;302.0;88;-6;42.0;236.0
35.0;1.0;-202.0;-219.0;224.0;-82.0;458.0;141;303.0;88;-6;59.0;256.0
22.0;6.0;-200.0;-220.0;224.0;-83.0;477.0;140;302.0;88;-6;44.0;252.0
-22.0;-19.0;-200.0;-215.0;226.0;-84.0;447.0;141;312.0;88;-6;66.0;242.0
-44.0;-37.0;-200.0;-217.0;228.0;-84.0;459.0;141;307.0;88;-6;60.0;261.0
-12.0;5.0;-194.0;-215.0;229.0;-69.0;442.0;141;307.0;88;-6;45.0;223.0
278.0;-50.0;15.0;-103.0;260.0;-40.0;305.0;18;179.0;73;-8;474.0;88.0
-17.0;-2.0;-194.0;-216.0;229.0;-77.0;462.0;140;317.0;88;-6;50.0;241.0
51.0;67.0;-79.0;-63.0;264.0;-29.0;306.0;17;190.0;73;-8;53.0;11.0
-40.0;58.0;-92.0;-52.0;269.0;-19.0;313.0;17;191.0;73;-8;-32.0;55.0
-73.0;70.0;0.0;-30.0;275.0;16.0;333.0;17;162.0;73;-8;3.0;63.0
-220.0;22.0;-58.0;-20.0;288.0;6.0;340.0;17;226.0;74;-8;217.0;44.0
-283.0;5.0;-50.0;-19.0;291.0;16.0;329.0;17;230.0;74;-8;312.0;42.0
-19.0;-9.0;-195.0;-218.0;228.0;-78.0;434.0;141;318.0;88;-6;59.0;234.0
-287.0;14.0;-27.0;-22.0;297.0;-21.0;345.0;15;168.0;74;-7;374.0;69.0
-213.0;64.0;-31.0;-26.0;299.0;-29.0;381.0;15;170.0;74;-7;232.0;89.0
-54.0;94.0;-72.0;-4.0;292.0;-80.0;333.0;15;186.0;74;-7;278.0;56.0
-7.0;-10.0;-188.0;-218.0;229.0;-87.0;456.0;141;315.0;88;-6;50.0;235.0
204.0;104.0;-96.0;268.0;239.0;-12.0;386.0;-174;132.0;108;-52;240.0;355.0
6.0;-30.0;-183.0;-232.0;236.0;-95.0;457.0;141;309.0;88;-6;55.0;222.0
-161.0;-321.0;-83.0;-379.0;247.0;-141.0;397.0;49;503.0;171;5;22.0;253.0
9.0;-15.0;-171.0;-253.0;238.0;-79.0;449.0;141;294.0;88;-6;72.0;211.0
-30.0;-9.0;-160.0;-247.0;237.0;-99.0;463.0;141;313.0;88;-6;-6.0;221.0
86.0;7.0;-142.0;-229.0;231.0;-79.0;449.0;141;335.0;88;-6;9.0;216.0
-25.0;-200.0;-96.0;428.0;-26.0;68.0;337.0;135;-14.0;78;19;878.0;125.0
-108.0;-58.0;-83.0;17.0;248.0;29.0;267.0;15;137.0;75;-7;179.0;86.0
-214.0;-39.0;-95.0;13.0;256.0;-7.0;284.0;15;138.0;75;-7;349.0;104.0
146.0;-19.0;-127.0;-193.0;227.0;-112.0;451.0;141;339.0;88;-5;-39.0;191.0
83.0;28.0;-195.0;-225.0;182.0;-58.0;420.0;142;465.0;79;0;147.0;49.0
42.0;-3.0;-143.0;-128.0;158.0;-102.0;447.0;142;397.0;79;-1;73.0;155.0
-364.0;-27.0;-100.0;-7.0;275.0;-36.0;304.0;15;109.0;74;-8;0.0;86.0
