InertialMeasurementUnit BACK Quaternion1;InertialMeasurementUnit R-SHOE AngVelBodyFrameZ;InertialMeasurementUnit RUA gyroZ;Accelerometer HIP accY;InertialMeasurementUnit BACK Quaternion3;InertialMeasurementUnit RUA gyroY;InertialMeasurementUnit RLA gyroX;InertialMeasurementUnit R-SHOE AngVelNavFrameZ
-683.0;-9;-1554.0;989.0;-558.0;-1854.0;-431.0;-9
-672.0;-20;-1267.0;?;-562.0;-1179.0;-235.0;-20
-675.0;-22;-634.0;960.0;-561.0;-598.0;-361.0;-22
-672.0;-25;-228.0;1017.0;-563.0;-208.0;-238.0;-25
-670.0;2;?;?;-565.0;242.0;330.0;2
-668.0;4;263.0;969.0;-566.0;583.0;456.0;4
-665.0;-16;432.0;971.0;-569.0;751.0;726.0;-16
?;-9;545.0;1002.0;-570.0;941.0;832.0;-9
-668.0;-11;764.0;1005.0;-570.0;?;951.0;-11
-658.0;11;35.0;932.0;-594.0;-130.0;-49.0;11
-657.0;-1;13.0;931.0;-594.0;-89.0;-53.0;-1
-657.0;6;85.0;961.0;-593.0;-198.0;-252.0;6
-657.0;5;202.0;958.0;-592.0;-685.0;-780.0;5
-657.0;-14;218.0;957.0;?;-1218.0;-1234.0;-14
-656.0;1;82.0;941.0;-591.0;-1598.0;-1419.0;1
-656.0;29;-87.0;937.0;?;-2127.0;-1847.0;29
-657.0;?;-128.0;?;-593.0;-2695.0;-2518.0;?
-657.0;-5;-367.0;?;-593.0;-3156.0;-2854.0;-5
-656.0;20;-648.0;965.0;-591.0;-3397.0;-3182.0;20
-657.0;-1;-725.0;976.0;-588.0;?;-3443.0;-1
?;-21;-773.0;955.0;-586.0;-3867.0;-3445.0;-21
-656.0;16;-857.0;972.0;?;-3776.0;-3451.0;16
-656.0;11;?;974.0;-581.0;-3775.0;-3601.0;11
-657.0;27;?;922.0;-575.0;-3649.0;-3656.0;27
-658.0;32;-815.0;963.0;-571.0;-3477.0;-3709.0;32
-661.0;-19;-827.0;972.0;-567.0;-3170.0;-3560.0;-19
-662.0;-32;-991.0;964.0;-565.0;-2896.0;-3295.0;-32
-664.0;-33;-1172.0;968.0;?;-2643.0;-2649.0;-33
-666.0;-10;-1378.0;995.0;-563.0;-2430.0;-1536.0;-10
-672.0;-11;?;1019.0;-562.0;-2064.0;-936.0;-11
-674.0;-52;-1174.0;958.0;-568.0;-1677.0;-1008.0;-52
-675.0;-10;-1059.0;964.0;-572.0;-1277.0;-981.0;-10
-674.0;20;-675.0;987.0;-572.0;-607.0;-606.0;20
-672.0;-12;-248.0;983.0;-572.0;11.0;118.0;-12
-671.0;16;92.0;1004.0;-572.0;586.0;?;16
-670.0;-4;?;976.0;-573.0;869.0;666.0;-4
-669.0;-31;374.0;945.0;-573.0;799.0;919.0;-31
-671.0;-24;340.0;916.0;-573.0;743.0;747.0;-24
?;-33;277.0;936.0;-571.0;562.0;339.0;-33
-679.0;33;212.0;996.0;-571.0;462.0;463.0;33
-682.0;3;250.0;994.0;-570.0;623.0;774.0;3
-665.0;-1;-114.0;922.0;-601.0;18.0;32.0;?
-664.0;-5;-19.0;928.0;-601.0;-7.0;-8.0;-5
-664.0;22;-16.0;926.0;-600.0;-2.0;29.0;22
-664.0;?;42.0;946.0;-599.0;-110.0;-206.0;-1
-664.0;-21;112.0;956.0;-599.0;-347.0;-581.0;-21
-664.0;-26;173.0;?;-599.0;-734.0;-1032.0;-26
-663.0;-34;28.0;934.0;-600.0;-1144.0;-1111.0;-34
-661.0;-8;-99.0;928.0;-602.0;-1592.0;-1445.0;-8
-659.0;8;-188.0;937.0;-605.0;?;-2011.0;8
-658.0;-21;-272.0;936.0;-607.0;-2723.0;-2514.0;-21
-658.0;-27;-416.0;936.0;-609.0;-3095.0;-2872.0;-27
-658.0;-2;-564.0;939.0;-609.0;-3300.0;-3138.0;-2
-660.0;-9;-669.0;953.0;-606.0;-3473.0;-3297.0;-9
-662.0;-7;-777.0;947.0;-602.0;-3681.0;-3494.0;-7
-663.0;-17;-951.0;925.0;-595.0;-3824.0;-3543.0;-17
-664.0;-51;-1121.0;940.0;-588.0;-3766.0;-3691.0;-51
-667.0;-15;-1143.0;960.0;-581.0;-3661.0;-3602.0;-15
-671.0;18;-1242.0;969.0;-573.0;-3467.0;?;18
-676.0;-10;-1329.0;938.0;-567.0;-3175.0;-2889.0;-10
-680.0;-36;-1506.0;990.0;-563.0;-2853.0;-2560.0;-36
-684.0;-16;-1618.0;1014.0;-562.0;-2407.0;-2046.0;-16
-686.0;9;-1633.0;955.0;-565.0;-1713.0;-1266.0;9
-686.0;-15;-1417.0;970.0;-569.0;-1171.0;-884.0;-15
-686.0;-18;-1044.0;980.0;-569.0;-717.0;-751.0;-18
-683.0;-10;-519.0;950.0;-569.0;-254.0;-325.0;-10
-682.0;-8;-67.0;948.0;-569.0;190.0;165.0;-8
-680.0;10;153.0;958.0;-569.0;?;346.0;10
-679.0;1;?;947.0;-570.0;537.0;575.0;1
-677.0;15;375.0;939.0;-570.0;552.0;469.0;15
-678.0;56;440.0;975.0;-570.0;584.0;540.0;56
-679.0;33;562.0;?;-570.0;823.0;750.0;33
?;-4;-125.0;937.0;-577.0;-299.0;-230.0;-4
-671.0;11;-240.0;928.0;-579.0;-471.0;-535.0;11
-670.0;-3;-606.0;959.0;-581.0;-670.0;-648.0;?
-667.0;-20;-1081.0;965.0;-585.0;?;-564.0;-20
?;-41;-1448.0;962.0;-588.0;-1174.0;?;-41
-664.0;-24;-1725.0;923.0;-589.0;-1439.0;-237.0;-24
-666.0;?;-1953.0;927.0;-586.0;-1564.0;44.0;2
-667.0;32;-2209.0;931.0;-584.0;-1519.0;407.0;32
-668.0;37;-2437.0;935.0;-582.0;-1301.0;560.0;37
-668.0;19;-2185.0;952.0;-579.0;-1219.0;?;19
-670.0;79;-2014.0;959.0;-578.0;-1058.0;276.0;79
-671.0;81;-2246.0;944.0;?;-516.0;?;81
-672.0;28;-2260.0;977.0;-573.0;-124.0;-787.0;28
-674.0;40;?;964.0;-569.0;-129.0;-152.0;40
-677.0;49;-1969.0;961.0;-564.0;31.0;295.0;49
-680.0;23;-1951.0;994.0;-560.0;235.0;326.0;23
-683.0;35;-1871.0;966.0;-555.0;92.0;706.0;35
-686.0;?;-1608.0;967.0;-550.0;-55.0;705.0;66
-689.0;-27;-1404.0;960.0;-545.0;-39.0;344.0;-27
-691.0;-26;-1106.0;913.0;-539.0;-176.0;192.0;-26
-693.0;73;-736.0;893.0;-534.0;-199.0;-79.0;73
-695.0;19;-431.0;917.0;-530.0;-101.0;-511.0;19
-697.0;-11;-102.0;990.0;-530.0;-31.0;-652.0;-11
-698.0;-24;129.0;952.0;-531.0;66.0;-585.0;-24
-699.0;-21;289.0;?;-533.0;37.0;-403.0;-21
-699.0;-20;315.0;882.0;-536.0;-6.0;-147.0;-20
-700.0;-49;320.0;858.0;-539.0;-78.0;20.0;-49
-700.0;37;321.0;893.0;-543.0;-138.0;147.0;37
-701.0;79;336.0;928.0;-547.0;-166.0;209.0;79
-701.0;65;322.0;888.0;-551.0;-94.0;?;65
-701.0;81;288.0;861.0;-555.0;-41.0;60.0;?
-701.0;113;?;858.0;-557.0;11.0;-173.0;113
-700.0;?;199.0;917.0;-560.0;31.0;-347.0;133
-699.0;67;157.0;918.0;-560.0;42.0;-500.0;67
-699.0;-13;68.0;962.0;-560.0;51.0;-547.0;-13
-699.0;-47;-19.0;992.0;-559.0;24.0;-482.0;-47
-699.0;-25;-91.0;942.0;-557.0;28.0;-395.0;-25
-701.0;13;-119.0;920.0;-554.0;59.0;-396.0;13
-703.0;-21;-142.0;944.0;-551.0;68.0;-399.0;-21
-706.0;-45;-185.0;976.0;-548.0;17.0;-365.0;-45
