InertialMeasurementUnit LLA gyroX;InertialMeasurementUnit L-SHOE AngVelNavFrameX;InertialMeasurementUnit R-SHOE Nav_Ay;InertialMeasurementUnit L-SHOE AngVelNavFrameZ;InertialMeasurementUnit RLA gyroZ;InertialMeasurementUnit BACK gyroX;InertialMeasurementUnit LUA gyroX;InertialMeasurementUnit R-SHOE Body_Ax;InertialMeasurementUnit L-SHOE AngVelBodyFrameZ;InertialMeasurementUnit L-SHOE AngVelBodyFrameY;InertialMeasurementUnit RUA gyroX;InertialMeasurementUnit BACK gyroZ
-44.0;-16;-7;-25;10.0;-38.0;-42.0;261;-25;-16;-6.0;8.0
-56.0;-3;0;-44;20.0;-39.0;-61.0;296;-44;-3;-25.0;-16.0
-142.0;-1;-3;-23;65.0;-36.0;-61.0;297;-23;-1;-23.0;-8.0
-86.0;-4;-2;31;36.0;-53.0;-111.0;294;31;-4;-32.0;2.0
-1668.0;-340;-192;2377;666.0;-1582.0;-1531.0;211;2377;-340;-1466.0;437.0
-171.0;-8;0;32;129.0;-82.0;-127.0;283;32;-8;-43.0;13.0
-151.0;12;1;-16;175.0;-139.0;-230.0;267;-16;12;-17.0;69.0
-60.0;5;-1;-4;38.0;-3.0;-59.0;292;-4;5;-17.0;-10.0
56.0;-811;-297;3252;-351.0;179.0;-134.0;293;3252;-811;316.0;-110.0
-59.0;-9;5;9;-144.0;-62.0;14.0;307;9;-9;11.0;31.0
-59.0;-20;-1;13;48.0;-44.0;-35.0;289;13;-20;-19.0;1.0
-91.0;5;-1;5;9.0;10.0;-55.0;295;5;5;9.0;-15.0
-105.0;-51;17;61;17.0;166.0;-8.0;435;61;-51;-47.0;83.0
-100.0;-16;-3;7;-11.0;17.0;-43.0;309;7;-16;72.0;-11.0
-97.0;-2;-8;-11;279.0;-31.0;-35.0;307;-11;-2;-40.0;-14.0
-28.0;8;2;-13;3.0;-31.0;-30.0;294;-13;8;1.0;-25.0
-72.0;-12;2;-5;33.0;-37.0;-42.0;289;-5;-12;16.0;-10.0
-94.0;-36;2;-15;30.0;-55.0;-67.0;283;-15;-36;5.0;-47.0
-93.0;10;6;0;45.0;-40.0;-36.0;291;0;10;47.0;-10.0
-56.0;7;-2;21;44.0;-42.0;-61.0;285;21;7;21.0;-21.0
-70.0;-15;4;-1;38.0;-51.0;-68.0;286;-1;-15;-11.0;-35.0
-98.0;-24;-2;9;36.0;-32.0;-65.0;289;9;-24;-6.0;5.0
-102.0;-15;3;-26;-5.0;-46.0;-72.0;222;-26;-15;13.0;11.0
210.0;-1059;-219;-247;-979.0;-520.0;390.0;200;-247;-1059;-1324.0;307.0
-109.0;-10;2;3;17.0;-14.0;-39.0;224;3;-10;-11.0;-9.0
-70.0;-1;-1;25;15.0;-19.0;-77.0;223;25;-1;-12.0;13.0
-69.0;-26;184;-138;298.0;-575.0;-308.0;297;-138;-26;-289.0;-210.0
-78.0;9;2;-23;33.0;-22.0;-30.0;273;-23;9;-5.0;2.0
-60.0;-21;-1;-23;33.0;-23.0;-26.0;286;-23;-21;43.0;8.0
-126.0;-34;6;-12;0.0;-21.0;-59.0;264;-12;-34;-41.0;-3.0
-42.0;-17;5;3;38.0;-33.0;-41.0;281;3;-17;36.0;-1.0
-57.0;-30;-5;10;34.0;4.0;-20.0;220;10;-30;0.0;-24.0
-148.0;-15;10;0;-92.0;-73.0;-70.0;276;0;-15;-2.0;23.0
-25.0;5;1;15;-33.0;22.0;5.0;295;15;5;12.0;-30.0
-55.0;-1;1;17;42.0;-16.0;-32.0;219;17;-1;44.0;-7.0
-32.0;4;4;1;-1.0;-4.0;-15.0;223;1;4;-8.0;26.0
-70.0;10;-3;-11;16.0;11.0;-23.0;224;-11;10;31.0;-23.0
-58.0;-8;-2;10;24.0;-15.0;-37.0;228;10;-8;30.0;-15.0
-30.0;0;0;0;-8.0;-21.0;-43.0;216;0;0;4.0;6.0
-48.0;10;4;11;-3.0;-38.0;-34.0;223;11;10;-5.0;13.0
-73.0;1;1;-9;36.0;-11.0;-18.0;219;-9;1;46.0;-19.0
-16.0;-10;3;-11;81.0;23.0;27.0;304;-11;-10;-27.0;13.0
-49.0;7;-3;-21;16.0;-40.0;-20.0;221;-21;7;13.0;21.0
-65.0;-18;2;-3;-4.0;-23.0;-24.0;218;-3;-18;4.0;23.0
-25.0;19;0;-14;-10.0;-15.0;-31.0;310;-14;19;32.0;8.0
-82.0;8;6;-9;9.0;-40.0;-45.0;279;-9;8;-23.0;18.0
-132.0;-17;4;-6;1.0;-69.0;-81.0;281;-6;-17;-40.0;25.0
-84.0;-10;-1;12;-8.0;-14.0;-26.0;279;12;-10;13.0;-23.0
-96.0;24;2;1;16.0;-15.0;-26.0;217;1;24;-16.0;-16.0
-92.0;-12;-2;0;38.0;-33.0;-60.0;216;0;-12;11.0;0.0
-58.0;17;-1;-5;29.0;-36.0;-75.0;212;-5;17;20.0;-4.0
-102.0;-22;-2;-7;35.0;4.0;-42.0;278;-7;-22;6.0;12.0
-32.0;8;-2;15;12.0;-22.0;-30.0;222;15;8;4.0;-11.0
-54.0;1;6;-24;18.0;-11.0;-35.0;223;-24;1;-13.0;-7.0
-61.0;-4;8;-22;17.0;-28.0;-47.0;216;-22;-4;4.0;13.0
-57.0;1;5;-23;-7.0;-34.0;8.0;279;-23;1;-28.0;-11.0
-69.0;-5;-3;6;6.0;-10.0;-47.0;216;6;-5;44.0;-28.0
-45.0;-12;0;-8;23.0;-5.0;-38.0;219;-8;-12;7.0;-45.0
-71.0;2;1;-10;19.0;-3.0;-25.0;220;-10;2;25.0;-7.0
-34.0;-23;-3;-16;-51.0;-27.0;-91.0;283;-16;-23;-90.0;3.0
-67.0;-17;0;-29;1.0;-36.0;-111.0;220;-29;-17;-18.0;-26.0
-101.0;-4;1;-24;12.0;14.0;-41.0;221;-24;-4;-8.0;-7.0
-75.0;-14;-3;-10;75.0;-3.0;-39.0;222;-10;-14;14.0;-9.0
-41.0;-3;-2;-11;35.0;-23.0;-51.0;222;-11;-3;-10.0;-13.0
-67.0;-32;2;5;20.0;-15.0;-2.0;223;5;-32;20.0;-2.0
-107.0;-5;-1;0;34.0;65.0;-10.0;218;0;-5;27.0;-1.0
-38.0;-9;-4;-13;46.0;-59.0;-41.0;262;-13;-9;-36.0;-12.0
105.0;471;-484;-437;97.0;-718.0;-372.0;-69;-437;471;-574.0;0.0
-75.0;-11;5;7;-6.0;20.0;-24.0;216;7;-11;-25.0;-9.0
-58.0;-2;2;-12;60.0;-1.0;-47.0;217;-12;-2;48.0;11.0
