InertialMeasurementUnit RUA accZ;Accelerometer RUA^ accZ;InertialMeasurementUnit RUA accX;Accelerometer RUA^ accY;Accelerometer RUA_ accY;InertialMeasurementUnit RLA accX;Accelerometer RWR accY;InertialMeasurementUnit RLA accZ;Accelerometer RUA_ accZ;InertialMeasurementUnit RUA accY
290.0;441.0;-969.0;991.0;693.0;-587.0;369.0;334.0;-15.0;123.0
229.0;176.0;-891.0;1094.0;1202.0;-736.0;781.0;634.0;120.0;358.0
80.0;281.0;-809.0;919.0;1009.0;-996.0;653.0;399.0;185.0;309.0
222.0;109.0;-826.0;1078.0;1310.0;-684.0;831.0;421.0;72.0;244.0
118.0;-11.0;-918.0;1114.0;942.0;-818.0;875.0;371.0;50.0;120.0
98.0;286.0;-1006.0;1101.0;855.0;-662.0;550.0;400.0;45.0;244.0
205.0;346.0;-879.0;985.0;877.0;-759.0;651.0;404.0;150.0;265.0
2.0;97.0;-1043.0;1164.0;854.0;-683.0;806.0;193.0;-92.0;222.0
60.0;55.0;-970.0;1086.0;988.0;-650.0;775.0;457.0;-20.0;228.0
285.0;256.0;-872.0;1126.0;929.0;-427.0;603.0;660.0;116.0;392.0
82.0;148.0;-1019.0;1102.0;919.0;-627.0;764.0;479.0;39.0;183.0
157.0;226.0;-990.0;1059.0;549.0;-364.0;316.0;244.0;-272.0;76.0
122.0;376.0;-963.0;1037.0;792.0;-585.0;499.0;340.0;-27.0;250.0
92.0;332.0;-934.0;1070.0;927.0;-760.0;713.0;356.0;82.0;195.0
62.0;499.0;-1016.0;1004.0;1067.0;-946.0;444.0;338.0;132.0;27.0
94.0;373.0;-968.0;957.0;1020.0;-617.0;272.0;128.0;34.0;39.0
211.0;247.0;-972.0;964.0;856.0;-948.0;607.0;446.0;126.0;-124.0
227.0;314.0;-1033.0;819.0;805.0;-966.0;514.0;488.0;166.0;-24.0
193.0;402.0;-964.0;883.0;899.0;-874.0;390.0;483.0;82.0;85.0
233.0;610.0;-912.0;836.0;675.0;-677.0;88.0;635.0;171.0;234.0
268.0;731.0;-751.0;781.0;-119.0;509.0;-567.0;564.0;350.0;599.0
126.0;280.0;-847.0;834.0;1024.0;-679.0;463.0;346.0;193.0;129.0
237.0;120.0;-888.0;1087.0;1008.0;-654.0;745.0;532.0;162.0;147.0
306.0;72.0;-961.0;1101.0;999.0;-882.0;734.0;497.0;83.0;-24.0
5.0;173.0;-872.0;1230.0;958.0;-744.0;1048.0;265.0;-69.0;214.0
193.0;258.0;-888.0;1037.0;877.0;-746.0;723.0;526.0;139.0;126.0
110.0;103.0;-852.0;1197.0;994.0;-263.0;567.0;149.0;-46.0;343.0
437.0;775.0;-708.0;764.0;292.0;117.0;-252.0;961.0;368.0;536.0
165.0;288.0;-702.0;942.0;748.0;-578.0;692.0;462.0;67.0;208.0
163.0;309.0;-760.0;878.0;773.0;-644.0;602.0;401.0;79.0;209.0
289.0;1021.0;-203.0;214.0;-433.0;710.0;-773.0;659.0;674.0;919.0
194.0;237.0;-940.0;1052.0;939.0;-806.0;658.0;496.0;80.0;181.0
230.0;274.0;-857.0;990.0;756.0;-521.0;395.0;182.0;-97.0;20.0
122.0;339.0;-907.0;1041.0;896.0;-728.0;600.0;303.0;14.0;271.0
303.0;236.0;-985.0;991.0;896.0;-876.0;633.0;597.0;101.0;106.0
170.0;291.0;-972.0;1071.0;993.0;-821.0;714.0;515.0;69.0;274.0
69.0;207.0;-868.0;937.0;883.0;-824.0;672.0;381.0;9.0;69.0
257.0;179.0;-1035.0;1089.0;1099.0;-932.0;708.0;522.0;114.0;121.0
26.0;204.0;-999.0;1091.0;931.0;-707.0;643.0;338.0;-92.0;103.0
413.0;111.0;-839.0;1001.0;943.0;-797.0;714.0;550.0;282.0;-12.0
432.0;186.0;-826.0;994.0;926.0;-748.0;688.0;533.0;272.0;70.0
342.0;234.0;-851.0;1061.0;943.0;-725.0;635.0;365.0;193.0;217.0
268.0;306.0;-921.0;1010.0;883.0;-722.0;656.0;455.0;97.0;247.0
241.0;195.0;-968.0;1108.0;866.0;-650.0;625.0;540.0;-96.0;116.0
32.0;351.0;-955.0;1052.0;934.0;-683.0;617.0;279.0;-23.0;374.0
172.0;300.0;-1017.0;1057.0;883.0;-707.0;579.0;372.0;52.0;247.0
173.0;256.0;-980.0;1071.0;664.0;-351.0;236.0;600.0;-151.0;102.0
271.0;254.0;-939.0;871.0;1134.0;-901.0;501.0;472.0;209.0;-46.0
201.0;220.0;-980.0;1096.0;870.0;-683.0;487.0;508.0;-133.0;59.0
185.0;318.0;-787.0;1293.0;932.0;-662.0;982.0;424.0;153.0;297.0
115.0;354.0;-944.0;1028.0;854.0;-707.0;678.0;413.0;75.0;292.0
89.0;263.0;-1063.0;1086.0;810.0;-815.0;641.0;473.0;-131.0;207.0
-1.0;261.0;-984.0;1098.0;773.0;-585.0;577.0;140.0;-161.0;213.0
261.0;328.0;-862.0;1009.0;894.0;-706.0;688.0;535.0;221.0;284.0
161.0;388.0;-932.0;1056.0;943.0;-755.0;669.0;431.0;134.0;256.0
