NVL_Recv_Ind.GL_NonMetall;NVL_Recv_Ind.GL_Metall;PLC_PRG.MaterialIsMetal;MotorData.Motor_Pos4reached;MotorData.ActPosition;MotorData.Motor_Pos1reached;MotorData.ActSpeed;MotorData.IsForce;MotorData.ActCurrent
1;0;0;0;260014;0;0;5;26
1;0;0;0;260014;0;0;5;26
1;0;0;0;260014;0;0;5;26
1;0;0;0;260014;0;0;6;26
1;0;0;0;260014;0;0;7;28
1;0;0;0;260014;0;0;6;27
1;0;0;0;260014;0;0;5;26
1;0;0;0;260014;0;0;5;26
1;0;0;0;260014;0;0;5;26
1;0;0;0;260014;0;0;5;26
1;0;0;0;260014;0;0;5;26
1;0;0;0;260014;0;0;6;27
1;0;0;0;260014;0;0;5;26
1;0;0;0;260014;0;0;6;26
1;0;0;0;260014;0;0;6;26
1;0;0;0;260014;0;0;6;26
1;0;0;0;260014;0;0;5;26
1;0;0;0;260014;0;0;6;26
1;0;0;0;260014;0;0;6;26
1;0;0;0;260014;0;0;3;13
1;0;0;0;260014;0;0;6;26
1;0;0;0;260014;0;0;4;21
1;0;0;0;260014;0;0;5;24
1;0;0;0;260014;0;0;6;26
1;0;0;0;260014;0;0;5;26
1;0;0;0;260014;0;0;5;25
1;0;0;0;260014;0;0;5;25
1;0;0;0;260014;0;0;5;25
1;0;0;0;260014;0;0;5;25
1;0;0;0;260014;0;0;5;25
1;0;0;0;260014;0;0;5;25
1;0;0;0;260014;0;0;6;26
1;0;0;0;260014;0;0;6;26
1;0;0;0;260014;0;0;6;26
1;0;0;0;260014;0;0;6;26
1;0;0;0;260014;0;0;6;26
1;0;0;0;260014;0;0;6;27
1;0;0;0;260014;0;0;5;24
1;0;0;0;260014;0;0;6;27
1;0;0;0;260014;0;0;5;25
1;0;0;0;260014;0;0;5;27
1;0;0;0;260014;0;0;5;26
1;0;0;0;260014;0;0;5;25
1;0;0;0;260014;0;0;6;27
1;0;0;0;260014;0;0;5;26
1;0;0;0;260014;0;0;8;23
1;0;0;0;260014;0;0;1;6
1;0;0;0;260014;0;0;3;30
1;0;0;0;260014;0;0;5;24
1;0;0;0;260014;0;0;6;26
1;0;0;0;260014;0;0;6;26
1;0;0;0;260014;0;0;5;24
1;0;0;0;260014;0;0;3;18
1;0;0;0;260014;0;0;5;27
1;0;0;0;260014;0;0;5;27
1;0;0;0;260014;0;0;5;27
1;0;0;0;260014;0;0;3;26
1;0;0;0;260014;0;0;5;25
1;0;0;0;260014;0;0;5;27
1;0;0;0;260014;0;0;5;26
1;0;0;0;260014;0;0;6;26
1;0;0;0;260014;0;0;4;25
1;0;0;0;260014;0;0;4;26
1;0;0;1;389992;0;0;79;360
1;0;0;0;260014;0;0;6;35
1;0;0;0;260014;0;0;5;28
1;0;0;0;118900;0;78793;165;1030
1;0;0;0;260014;0;0;9;26
1;0;0;0;140012;0;0;-33;-154
1;0;1;0;260014;0;0;6;25
1;0;0;0;260014;0;0;5;28
1;0;0;0;260014;0;0;7;26
1;0;0;0;260014;0;0;7;26
1;0;0;0;260014;0;0;7;26
1;0;0;0;260014;0;0;5;28
1;0;0;0;260014;0;0;7;26
1;0;1;0;273267;0;-80272;-105;-657
1;0;0;0;260014;0;0;-1;-13
1;0;0;0;260014;0;0;7;26
1;0;0;0;260014;0;0;6;17
1;0;0;0;52954;0;-54839;-46;-870
1;0;0;0;260014;0;0;7;26
1;0;0;0;260014;0;0;6;21
1;0;0;0;260014;0;0;7;26
1;0;0;0;260014;0;0;6;24
1;0;0;0;260014;0;0;6;24
1;0;0;0;260014;0;0;6;24
1;0;0;0;260014;0;0;5;28
1;0;0;0;260014;0;0;4;26
1;0;0;0;260014;0;0;7;26
1;0;0;0;260014;0;0;7;26
1;0;0;0;260014;0;0;7;26
1;0;0;0;260014;0;0;7;26
1;0;0;0;260014;0;0;5;28
1;0;0;0;260014;0;0;5;28
1;0;0;0;260014;0;0;5;28
1;0;0;0;300353;0;81606;99;-275
1;0;0;0;260014;0;0;6;44
1;0;0;0;260014;0;0;7;31
1;0;0;0;260014;0;0;5;31
