NVL_Recv_Ind.GL_NonMetall;NVL_Recv_Ind.GL_Metall;PLC_PRG.MaterialIsMetal;MotorData.Motor_Pos4reached;MotorData.ActPosition;MotorData.Motor_Pos1reached;MotorData.ActSpeed;MotorData.IsForce;MotorData.ActCurrent
1;0;0;0;260014;0;0;4;23
1;0;0;0;260014;0;0;6;27
1;0;0;0;260014;0;0;5;28
1;0;0;0;260014;0;0;6;26
1;0;0;0;260014;0;0;6;27
1;0;0;0;260014;0;0;6;27
1;0;0;0;260014;0;0;5;26
1;0;0;0;260014;0;0;5;26
1;0;0;0;260014;0;0;5;29
1;0;0;0;260014;0;0;7;26
1;0;0;0;260014;0;0;6;29
1;0;0;0;260014;0;0;7;25
1;0;0;0;260014;0;0;5;22
1;0;0;0;260014;0;0;6;26
1;0;0;0;260014;0;0;3;24
1;0;0;0;260014;0;0;6;26
1;0;0;0;260014;0;0;7;27
1;0;0;0;260014;0;0;6;26
1;0;0;0;260014;0;0;5;28
1;0;0;0;260014;0;0;5;28
1;0;0;0;260014;0;0;6;26
1;0;0;0;260014;0;0;6;28
1;0;0;0;260014;0;0;5;24
1;0;0;0;260014;0;0;6;29
1;0;0;0;260014;0;0;4;28
1;0;0;0;260014;0;0;5;25
1;0;0;0;260014;0;0;5;25
1;0;0;0;260014;0;0;5;25
1;0;0;0;260014;0;0;5;25
1;0;0;0;260014;0;0;5;25
1;0;0;0;260014;0;0;5;25
1;0;0;0;260014;0;0;6;28
1;0;0;0;260014;0;0;6;26
1;0;0;0;260014;0;0;6;26
1;0;0;0;260014;0;0;6;26
1;0;0;0;260014;0;0;6;26
1;0;0;0;260014;0;0;7;26
1;0;0;0;260014;0;0;7;26
1;0;0;0;260014;0;0;5;28
1;0;0;0;260014;0;0;6;24
1;0;0;0;260014;0;0;5;27
1;0;0;0;260014;0;0;6;29
1;0;0;0;260014;0;0;5;23
1;0;0;0;260014;0;0;3;25
1;0;0;0;260014;0;0;5;26
1;0;0;0;260014;0;0;6;25
1;0;0;0;260014;0;0;4;25
1;0;0;0;260014;0;0;5;22
1;0;0;0;260014;0;0;5;22
1;0;0;0;260014;0;0;5;23
1;0;0;0;260014;0;0;7;26
1;0;0;0;260014;0;0;3;24
1;0;0;0;260014;0;0;4;25
1;0;0;0;260014;0;0;5;27
1;0;0;0;260014;0;0;5;22
1;0;0;0;260014;0;0;4;23
1;0;0;0;260014;0;0;4;23
1;0;0;0;260014;0;0;7;28
1;0;0;0;260014;0;0;5;28
1;0;0;0;260014;0;0;5;26
1;0;0;0;260014;0;0;6;26
1;0;0;0;260014;0;0;4;26
1;0;1;0;260014;0;0;7;26
1;0;0;0;260014;0;0;5;26
1;0;0;0;260014;0;0;4;25
1;0;0;0;260014;0;0;3;26
1;0;0;0;260014;0;0;6;28
1;0;0;0;260014;0;0;5;29
1;0;0;0;260014;0;0;5;23
1;0;0;0;260014;0;0;5;25
1;0;0;0;260014;0;0;4;26
1;0;0;0;260014;0;0;3;26
1;0;0;0;260014;0;0;7;28
1;0;0;0;260014;0;0;5;24
1;0;0;0;260014;0;0;3;26
1;0;0;0;260014;0;0;7;28
