MotorData.ActPosition;NVL_Recv_Storage.GL_I_Slider_OUT;MotorData.Motor_Pos2reached;MotorData.ActSpeed;MotorData.IsAcceleration;NVL_Recv_Storage.GL_I_Slider_IN;MotorData.IsForce;NVL_Recv_Ind.GL_NonMetall;NVL_Recv_Storage.GL_LightBarrier;MotorData.ActCurrent;NVL_Recv_Ind.GL_Metall;PLC_PRG.MaterialIsMetal;MotorData.Motor_Pos4reached;NVL_Recv_Storage.GL_I_ProcessStarted;MotorData.Motor_Pos1reached;NVL_Send_Storage.ActivateStorage;PLC_PRG.Gripper;MotorData.Motor_Pos3reached
268975;0;0;0;0;1;-1;1;1;-5;0;0;0;0;0;0;0;0
268975;0;0;0;0;1;-1;1;1;0;0;0;0;0;0;0;0;0
268975;0;0;0;0;1;-3;1;1;-5;0;0;0;0;0;0;0;0
268975;0;0;0;0;1;4;1;1;0;0;0;0;0;0;0;0;0
268975;0;0;0;0;1;4;1;1;0;0;0;0;0;0;0;0;0
268975;0;0;0;0;1;0;1;1;0;0;0;0;0;0;0;0;0
268975;0;0;0;0;1;1;1;1;-9;0;0;0;0;0;0;0;0
268975;0;0;0;0;1;0;1;1;0;0;0;0;0;0;0;0;0
268975;0;0;0;0;1;3;1;1;-5;0;0;0;0;0;0;0;0
268975;0;0;0;0;1;-1;1;1;0;0;0;0;0;0;0;0;0
268975;0;0;0;0;1;-1;1;1;0;0;0;0;0;0;0;0;0
268975;0;0;0;0;1;-1;1;1;0;0;0;0;0;0;0;0;0
268975;0;0;0;0;1;2;1;1;0;0;0;0;0;0;0;0;0
268975;0;0;0;0;1;0;1;1;-5;0;0;0;0;0;0;0;0
268975;0;0;0;0;1;0;1;1;12;0;0;0;0;0;0;0;0
268975;0;0;0;0;1;-1;1;1;-9;0;0;0;0;0;0;0;0
268975;0;0;0;0;1;-1;1;1;-9;0;0;0;0;0;0;0;0
268975;0;0;0;0;1;-1;1;1;3;0;0;0;0;0;0;0;0
268975;0;0;0;0;1;-1;1;1;-18;0;0;0;0;0;0;0;0
268975;0;0;0;0;1;-3;1;1;7;0;0;0;0;0;0;0;0
268975;0;0;0;0;1;0;1;1;0;0;0;0;0;0;0;0;0
268975;0;0;0;0;1;0;1;1;0;0;0;0;0;0;0;0;0
268975;0;0;0;0;1;-1;1;1;-5;0;0;0;0;0;0;0;0
268975;0;0;0;0;1;0;1;1;0;0;0;0;0;0;0;0;0
268975;0;0;0;0;1;0;1;1;0;0;0;0;0;0;0;0;0
268975;0;0;0;0;1;0;1;1;-5;0;0;0;0;0;0;0;0
268975;0;0;0;0;1;0;1;1;-5;0;0;0;0;0;0;0;0
268975;0;0;0;0;1;0;1;1;20;0;0;0;0;0;0;0;0
268975;0;0;0;0;1;2;1;1;7;0;0;0;0;0;0;0;0
268975;0;0;0;0;1;0;1;1;-9;0;0;0;0;0;0;0;0
268975;0;0;0;0;1;0;1;1;-5;0;0;0;0;0;0;0;0
268975;0;0;0;0;1;0;1;1;-5;0;0;0;0;0;0;0;0
268975;0;0;0;0;1;-1;1;1;3;0;0;0;0;0;0;0;0
268975;0;0;0;0;1;-1;1;1;0;0;0;0;0;0;0;0;0
268975;0;0;0;0;1;2;1;1;0;0;0;0;0;0;0;0;0
268975;0;0;0;0;1;0;1;1;12;0;0;0;0;0;0;0;0
268975;0;0;0;0;1;0;1;1;12;0;0;0;0;0;0;0;0
268975;0;0;0;0;1;0;1;1;12;0;0;0;0;0;0;0;0
268975;0;0;0;0;1;-1;1;1;3;0;0;0;0;0;0;0;0
268975;0;0;0;0;1;5;1;1;-9;0;0;0;0;0;0;0;0
268975;0;0;0;0;1;5;1;1;-9;0;0;0;0;0;0;0;0
268975;0;0;0;0;1;5;1;1;-9;0;0;0;0;0;0;0;0
268975;0;0;0;0;1;0;1;1;7;0;0;0;0;0;0;0;0
268975;0;0;0;0;1;-1;1;1;0;0;0;0;0;0;0;0;0
268975;0;0;0;0;1;-1;1;1;0;0;0;0;0;0;0;0;0
268975;0;0;0;0;1;0;1;1;0;0;0;0;0;0;0;0;0
268975;0;0;0;0;1;0;1;1;0;0;0;0;0;0;0;0;0
268975;0;0;0;0;1;-3;1;1;-9;0;0;0;0;0;0;0;0
268975;0;0;0;0;1;0;1;1;7;0;0;0;0;0;0;0;0
268975;0;0;0;0;1;4;1;1;7;0;0;0;0;0;0;0;0
268975;0;0;0;0;1;-1;1;1;20;0;0;0;0;0;0;0;0
268975;0;0;0;0;1;-1;1;1;20;0;0;0;0;0;0;0;0
268975;0;0;0;0;1;0;1;1;0;0;0;0;0;0;0;0;0
268975;0;0;0;0;1;0;1;1;0;0;0;0;0;0;0;0;0
268975;0;0;0;0;1;2;1;1;7;0;0;0;0;0;0;0;0
268975;0;0;0;0;1;0;1;1;20;0;0;0;0;0;0;0;0
268975;0;0;0;0;1;2;1;1;-9;0;0;0;0;0;0;0;0
268975;0;0;0;0;1;2;1;1;-9;0;0;0;0;0;0;0;0
268975;0;0;0;0;1;0;1;1;12;0;0;0;0;0;0;0;0
268975;0;0;0;0;1;-1;1;1;12;0;0;0;0;0;0;0;0
268975;0;0;0;0;1;0;1;1;0;0;0;0;0;0;0;0;0
268975;0;0;0;0;1;0;1;1;0;0;0;0;0;0;0;0;0
268975;0;0;0;0;1;-1;1;1;-9;0;0;0;0;0;0;0;0
268975;0;0;0;0;1;0;1;1;0;0;0;0;0;0;0;0;0
268975;0;0;0;0;1;-1;1;1;0;0;0;0;0;0;0;0;0
268975;0;0;0;0;1;-3;1;1;7;0;0;0;0;0;0;0;0
268975;0;0;0;0;1;-3;1;1;7;0;0;0;0;0;0;0;0
268975;0;0;0;0;1;-3;1;1;7;0;0;0;0;0;0;0;0
268975;0;0;0;0;1;1;1;1;0;0;0;0;0;0;0;0;0
268975;0;0;0;0;1;0;1;1;7;0;0;0;0;0;0;0;0
268975;0;0;0;0;1;0;1;1;0;0;0;0;0;0;0;0;0
268975;0;0;0;0;1;0;1;1;0;0;0;0;0;0;0;0;0
268975;0;0;0;0;1;0;1;1;0;0;0;0;0;0;0;0;0
268975;0;0;0;0;1;3;1;1;-14;0;0;0;0;0;0;0;0
268975;0;0;0;0;1;0;1;1;7;0;0;0;0;0;0;0;0
268975;0;0;0;0;1;0;1;1;7;0;0;0;0;0;0;0;0
268975;0;0;0;0;1;0;1;1;7;0;0;0;0;0;0;0;0
268975;0;0;0;0;1;3;1;1;7;0;0;0;0;0;0;0;0
268975;0;0;0;0;1;-1;1;1;0;0;0;0;0;0;0;0;0
268975;0;0;0;0;1;0;1;1;-9;0;0;0;0;0;0;0;0
268975;0;0;0;0;1;-1;1;1;7;0;0;0;0;0;0;0;0
268975;0;0;0;0;1;-1;1;1;7;0;0;0;0;0;0;0;0
268975;0;0;0;0;1;-1;1;1;7;0;0;0;0;0;0;0;0
268975;0;0;0;0;1;-1;1;1;3;0;0;0;0;0;0;0;0
268975;0;0;0;0;1;-3;1;1;0;0;0;0;0;0;0;0;0
268975;0;0;0;0;1;0;1;1;16;0;0;0;0;0;0;0;0
268975;0;0;0;0;1;-1;1;1;12;0;0;0;0;0;0;0;0
