InertialMeasurementUnit LUA magneticZ;InertialMeasurementUnit BACK magneticX;InertialMeasurementUnit BACK magneticY;InertialMeasurementUnit L-SHOE Compass;InertialMeasurementUnit LLA magneticY;InertialMeasurementUnit R-SHOE Compass;InertialMeasurementUnit RLA Quaternion1;InertialMeasurementUnit LUA Quaternion2;InertialMeasurementUnit RLA Quaternion3;InertialMeasurementUnit LLA Quaternion2;InertialMeasurementUnit RUA Quaternion1
-26.0;1031.0;-98.0;129;205.0;-1;145.0;118.0;-32.0;-106.0;-220.0
75.0;1001.0;-101.0;8;477.0;-25;59.0;63.0;-81.0;-103.0;-268.0
388.0;457.0;-193.0;115;515.0;-6;292.0;-67.0;-139.0;165.0;-364.0
443.0;453.0;-274.0;116;447.0;-8;395.0;-18.0;-166.0;79.0;-379.0
434.0;475.0;-311.0;114;387.0;-8;350.0;27.0;-274.0;39.0;-170.0
424.0;487.0;-317.0;113;381.0;-8;309.0;37.0;-293.0;30.0;-165.0
436.0;476.0;-327.0;113;380.0;-7;270.0;23.0;-405.0;35.0;-291.0
417.0;491.0;-319.0;113;375.0;-8;325.0;44.0;-272.0;25.0;-165.0
355.0;538.0;-94.0;98;658.0;-24;-39.0;105.0;146.0;-227.0;324.0
534.0;584.0;-421.0;17;636.0;11;280.0;132.0;37.0;-94.0;-130.0
416.0;488.0;-329.0;113;352.0;-8;369.0;45.0;-242.0;25.0;-180.0
379.0;522.0;-323.0;38;242.0;-3;576.0;170.0;-250.0;-155.0;102.0
426.0;484.0;-334.0;113;348.0;-8;401.0;41.0;-253.0;22.0;-218.0
404.0;626.0;-343.0;41;536.0;0;298.0;72.0;87.0;58.0;-116.0
474.0;535.0;-452.0;18;459.0;-5;287.0;106.0;86.0;-6.0;-122.0
361.0;570.0;-279.0;82;229.0;0;-51.0;4.0;394.0;50.0;159.0
464.0;532.0;-484.0;34;449.0;-15;329.0;201.0;19.0;-180.0;-78.0
445.0;482.0;-269.0;109;519.0;-3;125.0;-78.0;-383.0;158.0;-232.0
403.0;489.0;-243.0;115;497.0;-6;101.0;-51.0;-388.0;156.0;-338.0
414.0;512.0;-271.0;71;479.0;-5;217.0;1.0;-353.0;119.0;-335.0
