InertialMeasurementUnit RUA Quaternion2;InertialMeasurementUnit LUA Quaternion3;InertialMeasurementUnit BACK Quaternion1;InertialMeasurementUnit BACK Quaternion2;InertialMeasurementUnit LLA Quaternion3;InertialMeasurementUnit BACK Quaternion3;InertialMeasurementUnit RLA Quaternion4
393.0;-42.0;204.0;567.0;215.0;228.0;-53.0
-2.0;-780.0;-708.0;-54.0;875.0;-694.0;-996.0
258.0;-392.0;-72.0;19.0;432.0;-209.0;-172.0
346.0;-394.0;-45.0;20.0;442.0;-217.0;-298.0
330.0;-416.0;-14.0;8.0;440.0;-169.0;-308.0
355.0;79.0;233.0;544.0;-22.0;274.0;94.0
365.0;11.0;251.0;505.0;108.0;298.0;51.0
351.0;9.0;264.0;502.0;140.0;307.0;71.0
340.0;23.0;277.0;499.0;150.0;316.0;92.0
336.0;37.0;287.0;499.0;146.0;324.0;111.0
352.0;94.0;290.0;511.0;80.0;327.0;216.0
-292.0;-132.0;323.0;542.0;-30.0;382.0;-124.0
-220.0;-119.0;378.0;462.0;2.0;437.0;-268.0
-202.0;-138.0;391.0;452.0;24.0;449.0;-299.0
-189.0;-162.0;406.0;441.0;54.0;461.0;-324.0
-181.0;-181.0;420.0;430.0;80.0;471.0;-349.0
-162.0;-201.0;445.0;410.0;106.0;487.0;-406.0
-151.0;-210.0;456.0;403.0;114.0;492.0;-438.0
-142.0;-217.0;466.0;397.0;121.0;498.0;-468.0
-103.0;-247.0;492.0;398.0;149.0;512.0;-569.0
358.0;67.0;257.0;538.0;-4.0;289.0;133.0
344.0;42.0;263.0;497.0;52.0;308.0;92.0
289.0;106.0;300.0;516.0;-4.0;321.0;204.0
366.0;-389.0;-14.0;-6.0;374.0;-160.0;-353.0
360.0;-282.0;-113.0;-212.0;278.0;-165.0;-234.0
566.0;-636.0;-686.0;342.0;688.0;-572.0;-848.0
625.0;-471.0;417.0;-589.0;600.0;266.0;-610.0
-274.0;-151.0;241.0;550.0;-43.0;215.0;-21.0
-43.0;-243.0;527.0;396.0;132.0;524.0;-533.0
-45.0;-309.0;554.0;362.0;243.0;544.0;-472.0
-6.0;-353.0;598.0;297.0;320.0;583.0;-525.0
