InertialMeasurementUnit BACK accZ;InertialMeasurementUnit LUA accZ;Accelerometer BACK accX;Accelerometer LUA^ accZ;Accelerometer LUA^ accX;Accelerometer HIP accZ
219.0;151.0;311.0;232.0;310.0;204.0
404.0;204.0;240.0;92.0;348.0;274.0
297.0;307.0;223.0;255.0;442.0;393.0
462.0;365.0;17.0;152.0;434.0;369.0
287.0;301.0;186.0;155.0;394.0;354.0
294.0;260.0;183.0;130.0;396.0;355.0
198.0;342.0;314.0;124.0;536.0;362.0
118.0;261.0;274.0;306.0;372.0;342.0
186.0;267.0;212.0;181.0;482.0;371.0
182.0;266.0;253.0;230.0;276.0;356.0
272.0;167.0;265.0;314.0;380.0;362.0
185.0;290.0;211.0;282.0;429.0;334.0
399.0;213.0;4.0;172.0;234.0;303.0
301.0;191.0;163.0;188.0;319.0;317.0
308.0;105.0;190.0;322.0;192.0;337.0
152.0;71.0;265.0;356.0;225.0;313.0
174.0;-6.0;-12.0;271.0;153.0;451.0
102.0;275.0;73.0;250.0;411.0;359.0
-5.0;230.0;166.0;248.0;365.0;464.0
93.0;157.0;176.0;303.0;334.0;434.0
277.0;222.0;256.0;119.0;300.0;336.0
210.0;237.0;134.0;245.0;404.0;137.0
164.0;246.0;10.0;50.0;321.0;386.0
134.0;316.0;261.0;319.0;497.0;437.0
419.0;387.0;416.0;273.0;497.0;72.0
183.0;84.0;275.0;290.0;350.0;348.0
222.0;279.0;288.0;198.0;419.0;375.0
122.0;187.0;349.0;294.0;377.0;404.0
104.0;250.0;363.0;327.0;407.0;406.0
126.0;51.0;249.0;185.0;160.0;393.0
185.0;220.0;211.0;205.0;350.0;362.0
193.0;224.0;201.0;206.0;324.0;416.0
129.0;26.0;279.0;213.0;212.0;615.0
197.0;319.0;216.0;153.0;438.0;291.0
201.0;357.0;217.0;156.0;519.0;144.0
208.0;290.0;225.0;212.0;424.0;301.0
586.0;607.0;430.0;-187.0;611.0;64.0
260.0;305.0;312.0;232.0;259.0;375.0
84.0;275.0;164.0;188.0;337.0;343.0
63.0;224.0;221.0;275.0;390.0;445.0
126.0;270.0;242.0;185.0;324.0;402.0
153.0;188.0;241.0;204.0;361.0;392.0
161.0;257.0;215.0;199.0;382.0;372.0
71.0;262.0;180.0;202.0;378.0;479.0
187.0;249.0;211.0;183.0;373.0;387.0
194.0;276.0;204.0;211.0;396.0;414.0
187.0;276.0;152.0;79.0;372.0;340.0
184.0;222.0;181.0;188.0;343.0;412.0
189.0;250.0;186.0;201.0;407.0;384.0
204.0;212.0;239.0;187.0;355.0;278.0
103.0;61.0;303.0;-102.0;505.0;122.0
120.0;37.0;152.0;184.0;376.0;386.0
214.0;196.0;-25.0;157.0;433.0;278.0
228.0;253.0;166.0;212.0;374.0;350.0
263.0;277.0;113.0;222.0;381.0;334.0
187.0;399.0;220.0;238.0;542.0;294.0
847.0;345.0;143.0;0.0;407.0;9.0
208.0;107.0;124.0;652.0;391.0;463.0
360.0;320.0;147.0;306.0;341.0;342.0
80.0;154.0;287.0;239.0;540.0;333.0
270.0;393.0;279.0;153.0;485.0;351.0
254.0;266.0;250.0;255.0;480.0;310.0
259.0;420.0;303.0;291.0;363.0;291.0
181.0;281.0;278.0;-1.0;589.0;342.0
220.0;331.0;227.0;252.0;365.0;229.0
206.0;230.0;212.0;250.0;336.0;279.0
298.0;292.0;132.0;98.0;349.0;404.0
226.0;271.0;281.0;105.0;534.0;352.0
419.0;262.0;48.0;52.0;388.0;262.0
155.0;324.0;168.0;191.0;392.0;498.0
115.0;173.0;121.0;269.0;317.0;463.0
258.0;417.0;390.0;133.0;512.0;348.0
282.0;445.0;179.0;115.0;409.0;385.0
154.0;223.0;171.0;367.0;373.0;198.0
241.0;234.0;227.0;227.0;412.0;534.0
76.0;184.0;174.0;270.0;322.0;415.0
248.0;288.0;507.0;27.0;519.0;161.0
117.0;177.0;248.0;155.0;392.0;517.0
76.0;91.0;441.0;350.0;257.0;635.0
207.0;208.0;256.0;131.0;308.0;515.0
358.0;408.0;270.0;281.0;441.0;265.0
147.0;141.0;249.0;346.0;359.0;261.0
91.0;229.0;171.0;353.0;389.0;445.0
136.0;59.0;81.0;179.0;237.0;532.0
127.0;216.0;169.0;291.0;209.0;475.0
874.0;596.0;458.0;-560.0;493.0;-377.0
222.0;381.0;-5.0;43.0;512.0;293.0
189.0;266.0;324.0;204.0;408.0;415.0
84.0;194.0;-14.0;252.0;318.0;364.0
246.0;313.0;91.0;129.0;343.0;528.0
213.0;176.0;109.0;204.0;295.0;405.0
114.0;267.0;428.0;289.0;395.0;253.0
204.0;300.0;375.0;165.0;437.0;215.0
148.0;210.0;199.0;134.0;344.0;481.0
240.0;205.0;22.0;193.0;241.0;441.0
403.0;309.0;54.0;403.0;516.0;365.0
36.0;479.0;174.0;162.0;561.0;448.0
227.0;357.0;279.0;630.0;639.0;379.0
109.0;221.0;210.0;353.0;397.0;433.0
357.0;434.0;393.0;41.0;523.0;233.0
