InertialMeasurementUnit BACK accZ;InertialMeasurementUnit LUA accZ;Accelerometer BACK accX;Accelerometer LUA^ accZ;Accelerometer LUA^ accX;Accelerometer HIP accZ
204.0;212.0;239.0;187.0;355.0;278.0
264.0;243.0;184.0;163.0;392.0;311.0
263.0;284.0;214.0;188.0;410.0;366.0
277.0;274.0;162.0;186.0;416.0;339.0
268.0;267.0;183.0;161.0;387.0;337.0
276.0;226.0;161.0;111.0;373.0;370.0
195.0;286.0;260.0;188.0;431.0;337.0
182.0;209.0;269.0;366.0;397.0;341.0
210.0;244.0;221.0;193.0;436.0;383.0
182.0;273.0;221.0;205.0;331.0;363.0
258.0;240.0;220.0;251.0;380.0;372.0
151.0;274.0;201.0;275.0;416.0;325.0
242.0;241.0;189.0;181.0;335.0;311.0
242.0;230.0;196.0;181.0;338.0;317.0
234.0;218.0;207.0;219.0;339.0;350.0
224.0;215.0;222.0;229.0;345.0;337.0
210.0;175.0;127.0;214.0;295.0;410.0
178.0;278.0;170.0;229.0;380.0;366.0
146.0;265.0;157.0;231.0;472.0;380.0
132.0;158.0;191.0;299.0;375.0;387.0
238.0;232.0;212.0;156.0;357.0;342.0
195.0;218.0;44.0;210.0;375.0;205.0
197.0;214.0;131.0;193.0;361.0;375.0
117.0;287.0;213.0;282.0;436.0;466.0
238.0;294.0;231.0;218.0;407.0;303.0
253.0;151.0;279.0;270.0;382.0;325.0
220.0;277.0;274.0;207.0;415.0;358.0
187.0;255.0;272.0;226.0;401.0;365.0
188.0;267.0;258.0;244.0;416.0;372.0
186.0;207.0;277.0;166.0;340.0;336.0
185.0;220.0;211.0;205.0;350.0;362.0
196.0;221.0;203.0;195.0;361.0;387.0
208.0;231.0;211.0;207.0;334.0;392.0
210.0;291.0;206.0;184.0;417.0;319.0
174.0;330.0;171.0;186.0;488.0;278.0
208.0;290.0;225.0;212.0;424.0;301.0
264.0;297.0;208.0;111.0;426.0;273.0
243.0;263.0;245.0;221.0;359.0;330.0
88.0;246.0;206.0;205.0;352.0;354.0
161.0;257.0;215.0;199.0;382.0;372.0
164.0;246.0;240.0;212.0;371.0;387.0
177.0;232.0;230.0;214.0;371.0;373.0
179.0;254.0;212.0;206.0;382.0;382.0
179.0;256.0;211.0;199.0;376.0;404.0
187.0;249.0;211.0;183.0;373.0;387.0
183.0;262.0;201.0;197.0;398.0;386.0
198.0;245.0;189.0;169.0;374.0;365.0
202.0;232.0;190.0;189.0;371.0;401.0
189.0;250.0;186.0;201.0;407.0;384.0
212.0;263.0;217.0;191.0;398.0;296.0
194.0;236.0;200.0;170.0;420.0;284.0
198.0;200.0;172.0;207.0;389.0;392.0
155.0;198.0;94.0;185.0;439.0;347.0
228.0;253.0;166.0;212.0;374.0;350.0
259.0;290.0;139.0;257.0;396.0;379.0
199.0;308.0;219.0;237.0;432.0;305.0
