InertialMeasurementUnit LUA magneticZ;InertialMeasurementUnit BACK magneticX;InertialMeasurementUnit BACK magneticY;InertialMeasurementUnit L-SHOE Compass;InertialMeasurementUnit LLA magneticY;InertialMeasurementUnit R-SHOE Compass;InertialMeasurementUnit RLA Quaternion1;InertialMeasurementUnit LUA Quaternion2;InertialMeasurementUnit RLA Quaternion3;InertialMeasurementUnit LLA Quaternion2;InertialMeasurementUnit RUA Quaternion1
386.0;456.0;-188.0;115;520.0;-5;287.0;-74.0;-139.0;175.0;-374.0
442.0;485.0;-348.0;103;425.0;-3;274.0;3.0;-297.0;78.0;-127.0
228.0;501.0;-383.0;-27;2.0;-10;416.0;251.0;175.0;-158.0;31.0
187.0;591.0;-105.0;135;-138.0;19;497.0;-155.0;46.0;225.0;-242.0
150.0;579.0;-52.0;135;-120.0;19;475.0;-165.0;-45.0;240.0;-284.0
149.0;570.0;-28.0;135;-122.0;19;448.0;-167.0;-153.0;242.0;-335.0
515.0;1103.0;-250.0;-128;933.0;3;180.0;2.0;18.0;119.0;-196.0
513.0;1024.0;-366.0;-121;571.0;-18;326.0;105.0;14.0;22.0;-50.0
410.0;622.0;-350.0;41;601.0;-1;291.0;87.0;89.0;25.0;-116.0
372.0;618.0;-348.0;42;448.0;-4;326.0;37.0;93.0;134.0;-98.0
-122.0;1122.0;143.0;92;491.0;-1;-87.0;-30.0;539.0;-66.0;295.0
-4.0;1097.0;-121.0;87;331.0;-6;-72.0;-223.0;347.0;123.0;323.0
38.0;966.0;-81.0;67;260.0;-9;-62.0;90.0;104.0;-223.0;378.0
353.0;613.0;-354.0;42;415.0;-7;338.0;37.0;92.0;149.0;-94.0
335.0;607.0;-367.0;42;373.0;-9;346.0;44.0;85.0;138.0;-88.0
314.0;603.0;-377.0;42;315.0;-9;354.0;57.0;76.0;111.0;-79.0
296.0;597.0;-386.0;44;262.0;-9;366.0;78.0;72.0;80.0;-67.0
-318.0;1029.0;245.0;109;391.0;3;-116.0;113.0;72.0;-153.0;393.0
-84.0;967.0;30.0;88;352.0;-15;-155.0;82.0;64.0;-191.0;295.0
-165.0;908.0;164.0;-163;353.0;-92;-656.0;143.0;353.0;-296.0;206.0
25.0;967.0;18.0;140;419.0;-75;-624.0;30.0;143.0;-155.0;154.0
-151.0;1072.0;97.0;130;165.0;23;-387.0;-33.0;329.0;-82.0;-40.0
-81.0;966.0;-50.0;67;205.0;-16;-183.0;-4.0;58.0;-95.0;243.0
-80.0;1083.0;-143.0;86;444.0;-10;-113.0;-216.0;233.0;283.0;229.0
-264.0;919.0;-16.0;59;27.0;-5;-694.0;-526.0;-256.0;560.0;-360.0
-117.0;1075.0;-143.0;89;219.0;-5;-6.0;-237.0;210.0;269.0;287.0
-110.0;1046.0;-177.0;87;-65.0;-6;22.0;-224.0;222.0;117.0;336.0
-289.0;1014.0;60.0;-15;122.0;-33;-95.0;-25.0;48.0;-26.0;305.0
-30.0;788.0;30.0;-98;175.0;-151;-196.0;130.0;121.0;-350.0;304.0
282.0;595.0;-396.0;43;207.0;-9;381.0;105.0;75.0;50.0;-54.0
266.0;593.0;-406.0;43;168.0;-8;393.0;129.0;82.0;23.0;-40.0
256.0;589.0;-412.0;45;146.0;-7;400.0;144.0;91.0;-1.0;-28.0
261.0;585.0;-424.0;41;125.0;-6;398.0;164.0;95.0;-18.0;-24.0
6.0;1042.0;97.0;159;739.0;23;-85.0;225.0;-125.0;-80.0;-304.0
-35.0;1013.0;100.0;162;463.0;-10;50.0;157.0;-34.0;-1.0;-239.0
-52.0;1015.0;68.0;166;386.0;-33;125.0;173.0;-46.0;-13.0;-207.0
23.0;1118.0;-29.0;120;463.0;-6;126.0;356.0;-59.0;-207.0;-92.0
-102.0;1006.0;31.0;170;267.0;-25;198.0;233.0;-82.0;-82.0;-152.0
-84.0;1155.0;38.0;117;428.0;-11;252.0;408.0;-39.0;-258.0;34.0
-141.0;1002.0;11.0;216;195.0;-28;210.0;251.0;-86.0;-103.0;-120.0
271.0;580.0;-434.0;48;106.0;-5;391.0;174.0;94.0;-32.0;-28.0
334.0;560.0;-457.0;10;129.0;-5;346.0;179.0;81.0;-53.0;-64.0
-163.0;996.0;-21.0;-157;99.0;-25;187.0;271.0;-79.0;-122.0;-120.0
-142.0;992.0;-43.0;-104;72.0;-25;163.0;271.0;-78.0;-136.0;-150.0
423.0;539.0;-461.0;21;289.0;-5;302.0;151.0;87.0;-49.0;-102.0
472.0;505.0;-457.0;27;347.0;-8;149.0;132.0;-204.0;49.0;-247.0
418.0;511.0;-464.0;27;124.0;-8;29.0;132.0;-157.0;35.0;-316.0
402.0;511.0;-465.0;27;103.0;-8;10.0;134.0;-146.0;28.0;-330.0
451.0;536.0;-643.0;24;-43.0;-15;-622.0;-255.0;-115.0;163.0;-327.0
390.0;517.0;-470.0;26;85.0;-8;0.0;139.0;-123.0;4.0;-338.0
398.0;517.0;-471.0;24;83.0;-8;8.0;140.0;-112.0;-8.0;-335.0
412.0;516.0;-472.0;23;102.0;-8;19.0;137.0;-106.0;-13.0;-329.0
428.0;515.0;-473.0;23;135.0;-8;33.0;131.0;-105.0;-15.0;-322.0
444.0;513.0;-471.0;22;176.0;-8;47.0;122.0;-111.0;-15.0;-316.0
486.0;525.0;-359.0;78;226.0;-1;-36.0;55.0;-339.0;-95.0;-465.0
487.0;507.0;-466.0;21;323.0;-8;91.0;105.0;-147.0;-36.0;-306.0
573.0;495.0;-505.0;92;529.0;-11;331.0;121.0;17.0;-45.0;-105.0
450.0;484.0;-349.0;35;199.0;-5;798.0;184.0;-201.0;-187.0;148.0
257.0;518.0;-371.0;17;91.0;-14;468.0;171.0;117.0;-78.0;-24.0
-128.0;997.0;-43.0;-44;71.0;-25;153.0;263.0;-74.0;-143.0;-167.0
-99.0;999.0;-42.0;-11;106.0;-25;131.0;225.0;-79.0;-138.0;-196.0
-66.0;1003.0;-23.0;44;192.0;-24;82.0;162.0;-104.0;-108.0;-241.0
-43.0;1006.0;-4.0;119;333.0;-23;26.0;126.0;-141.0;-86.0;-287.0
-41.0;1009.0;39.0;173;610.0;-19;-20.0;104.0;-136.0;-103.0;-284.0
487.0;544.0;-359.0;1;575.0;-8;264.0;-4.0;44.0;141.0;-144.0
478.0;537.0;-370.0;1;564.0;-8;281.0;0.0;46.0;148.0;-128.0
476.0;531.0;-388.0;2;530.0;-8;294.0;16.0;43.0;133.0;-117.0
473.0;527.0;-405.0;4;483.0;-8;306.0;39.0;37.0;103.0;-103.0
461.0;522.0;-433.0;7;377.0;-8;335.0;93.0;37.0;41.0;-73.0
514.0;519.0;-455.0;16;321.0;-7;89.0;71.0;-60.0;23.0;-290.0
487.0;517.0;-456.0;15;285.0;-7;103.0;98.0;-71.0;-11.0;-283.0
489.0;512.0;-473.0;15;331.0;-7;155.0;120.0;-58.0;-33.0;-244.0
504.0;510.0;-483.0;15;357.0;-7;176.0;131.0;-64.0;-43.0;-230.0
569.0;497.0;-488.0;15;356.0;-7;187.0;122.0;-64.0;-42.0;-216.0
458.0;521.0;-442.0;8;332.0;-8;348.0;113.0;41.0;18.0;-61.0
-186.0;1049.0;99.0;172;165.0;-38;131.0;-9.0;-26.0;113.0;-225.0
-206.0;1054.0;88.0;158;112.0;-43;166.0;16.0;-19.0;87.0;-203.0
-241.0;1067.0;66.0;155;37.0;-48;222.0;74.0;-11.0;28.0;-164.0
521.0;491.0;-517.0;27;303.0;-12;305.0;141.0;26.0;-21.0;-94.0
271.0;539.0;-347.0;39;166.0;-14;394.0;114.0;30.0;-19.0;-120.0
270.0;544.0;-342.0;39;187.0;-14;358.0;100.0;4.0;-6.0;-137.0
-193.0;1291.0;-70.0;-26;61.0;-29;354.0;145.0;26.0;-104.0;-4.0
270.0;549.0;-334.0;39;209.0;-14;320.0;86.0;-22.0;8.0;-157.0
272.0;555.0;-326.0;39;225.0;-14;283.0;73.0;-47.0;21.0;-174.0
532.0;521.0;-449.0;14;380.0;-7;105.0;88.0;-80.0;25.0;-271.0
529.0;524.0;-450.0;14;374.0;-7;104.0;83.0;-81.0;27.0;-273.0
521.0;531.0;-441.0;14;383.0;-7;105.0;70.0;-82.0;33.0;-278.0
520.0;535.0;-442.0;13;400.0;-7;109.0;62.0;-74.0;33.0;-277.0
521.0;531.0;-448.0;13;418.0;-7;123.0;58.0;-61.0;30.0;-274.0
271.0;559.0;-315.0;39;242.0;-15;245.0;62.0;-74.0;32.0;-186.0
268.0;565.0;-305.0;39;256.0;-15;206.0;54.0;-104.0;41.0;-197.0
264.0;571.0;-292.0;39;265.0;-14;170.0;48.0;-137.0;48.0;-207.0
260.0;579.0;-284.0;39;274.0;-12;147.0;42.0;-166.0;56.0;-213.0
430.0;505.0;-475.0;3;231.0;-2;359.0;151.0;51.0;-29.0;-37.0
255.0;581.0;-276.0;39;282.0;-10;137.0;35.0;-189.0;66.0;-216.0
253.0;584.0;-266.0;39;283.0;-8;138.0;27.0;-205.0;76.0;-217.0
242.0;590.0;-249.0;39;291.0;-7;154.0;15.0;-230.0;93.0;-218.0
233.0;595.0;-241.0;39;291.0;-6;172.0;9.0;-244.0;100.0;-221.0
216.0;598.0;-228.0;39;282.0;-4;175.0;3.0;-268.0;111.0;-240.0
215.0;599.0;-227.0;39;284.0;-4;174.0;2.0;-267.0;114.0;-241.0
216.0;600.0;-230.0;39;282.0;-4;181.0;0.0;-282.0;121.0;-239.0
219.0;597.0;-228.0;39;288.0;-4;192.0;0.0;-300.0;121.0;-248.0
231.0;599.0;-234.0;39;306.0;-3;201.0;-1.0;-300.0;120.0;-252.0
240.0;596.0;-240.0;39;323.0;-3;200.0;-1.0;-305.0;120.0;-253.0
253.0;598.0;-243.0;39;333.0;-3;202.0;-3.0;-304.0;124.0;-254.0
9.0;1217.0;-98.0;21;189.0;-17;245.0;92.0;-3.0;-68.0;-142.0
19.0;1223.0;-62.0;17;401.0;-16;163.0;84.0;-27.0;-94.0;-205.0
261.0;596.0;-248.0;39;337.0;-3;207.0;-3.0;-299.0;126.0;-254.0
-77.0;1326.0;-4.0;-22;699.0;-24;165.0;56.0;-13.0;-75.0;-192.0
-176.0;1254.0;37.0;-5;294.0;-26;385.0;10.0;93.0;58.0;-13.0
269.0;596.0;-252.0;39;342.0;-3;212.0;-1.0;-295.0;126.0;-256.0
273.0;594.0;-255.0;39;342.0;-3;215.0;2.0;-289.0;125.0;-258.0
279.0;591.0;-261.0;39;344.0;-3;221.0;6.0;-280.0;124.0;-262.0
504.0;527.0;-488.0;14;352.0;-8;156.0;110.0;-32.0;9.0;-254.0
500.0;526.0;-486.0;14;351.0;-8;152.0;104.0;-31.0;14.0;-256.0
500.0;527.0;-486.0;15;351.0;-8;149.0;96.0;-31.0;19.0;-260.0
501.0;525.0;-483.0;15;356.0;-8;145.0;88.0;-31.0;24.0;-262.0
508.0;525.0;-485.0;15;369.0;-8;141.0;76.0;-33.0;30.0;-267.0
511.0;524.0;-482.0;15;374.0;-8;140.0;71.0;-34.0;31.0;-270.0
304.0;576.0;-288.0;39;346.0;-4;253.0;30.0;-270.0;109.0;-286.0
319.0;565.0;-302.0;39;341.0;-5;319.0;41.0;-259.0;106.0;-280.0
331.0;557.0;-313.0;39;341.0;-5;373.0;47.0;-261.0;109.0;-275.0
250.0;561.0;-54.0;109;562.0;7;10.0;-161.0;-490.0;243.0;-476.0
249.0;621.0;-35.0;109;514.0;9;110.0;-140.0;-444.0;185.0;-317.0
228.0;629.0;-34.0;108;516.0;9;117.0;-159.0;-424.0;183.0;-315.0
215.0;634.0;-40.0;109;520.0;9;122.0;-173.0;-419.0;183.0;-324.0
226.0;635.0;-40.0;110;541.0;10;158.0;-200.0;-377.0;207.0;-386.0
507.0;549.0;-448.0;12;457.0;-7;124.0;61.0;-53.0;31.0;-292.0
507.0;549.0;-455.0;12;451.0;-7;133.0;72.0;-50.0;19.0;-288.0
508.0;547.0;-457.0;12;443.0;-7;137.0;84.0;-44.0;14.0;-273.0
511.0;545.0;-457.0;12;434.0;-7;142.0;87.0;-36.0;11.0;-263.0
529.0;556.0;-437.0;14;458.0;-7;146.0;71.0;-72.0;26.0;-264.0
225.0;633.0;-39.0;110;552.0;11;156.0;-206.0;-371.0;222.0;-407.0
340.0;552.0;-317.0;39;351.0;-5;433.0;45.0;-267.0;116.0;-262.0
362.0;543.0;-325.0;39;371.0;-5;528.0;46.0;-286.0;116.0;-227.0
386.0;522.0;-380.0;29;465.0;-14;534.0;91.0;-255.0;12.0;-165.0
397.0;520.0;-340.0;39;407.0;-5;726.0;63.0;-358.0;93.0;-117.0
365.0;545.0;-263.0;80;456.0;-4;702.0;12.0;-452.0;140.0;-101.0
509.0;548.0;-449.0;15;435.0;-7;121.0;65.0;-43.0;46.0;-277.0
499.0;548.0;-447.0;14;400.0;-7;122.0;61.0;-40.0;53.0;-279.0
497.0;547.0;-448.0;14;393.0;-7;123.0;57.0;-42.0;56.0;-281.0
494.0;548.0;-447.0;15;384.0;-7;123.0;53.0;-44.0;60.0;-282.0
493.0;547.0;-442.0;15;383.0;-7;124.0;50.0;-45.0;63.0;-282.0
493.0;548.0;-446.0;15;383.0;-7;125.0;46.0;-46.0;65.0;-283.0
492.0;550.0;-439.0;16;383.0;-7;125.0;41.0;-48.0;67.0;-285.0
496.0;547.0;-442.0;16;390.0;-7;125.0;37.0;-50.0;68.0;-287.0
500.0;548.0;-438.0;16;410.0;-7;124.0;29.0;-48.0;69.0;-289.0
502.0;551.0;-437.0;16;421.0;-7;124.0;23.0;-46.0;70.0;-289.0
506.0;551.0;-430.0;15;495.0;-7;113.0;3.0;-49.0;78.0;-301.0
266.0;601.0;-200.0;80;410.0;-4;512.0;-18.0;-417.0;166.0;-230.0
234.0;616.0;-177.0;80;388.0;-4;447.0;-26.0;-406.0;174.0;-255.0
215.0;620.0;-171.0;80;378.0;-4;412.0;-29.0;-400.0;177.0;-265.0
201.0;624.0;-156.0;80;371.0;-4;379.0;-33.0;-394.0;180.0;-272.0
150.0;638.0;-104.0;81;352.0;-2;243.0;-53.0;-376.0;196.0;-264.0
132.0;641.0;-88.0;80;349.0;1;216.0;-64.0;-379.0;209.0;-250.0
502.0;557.0;-419.0;14;516.0;-7;119.0;17.0;-40.0;69.0;-290.0
499.0;559.0;-412.0;16;485.0;-7;129.0;35.0;-58.0;64.0;-283.0
493.0;561.0;-411.0;16;469.0;-7;143.0;52.0;-67.0;52.0;-278.0
493.0;562.0;-413.0;16;466.0;-7;146.0;61.0;-67.0;53.0;-265.0
509.0;559.0;-399.0;16;468.0;-7;144.0;52.0;-70.0;59.0;-267.0
511.0;558.0;-392.0;16;485.0;-7;139.0;44.0;-76.0;62.0;-271.0
516.0;558.0;-384.0;16;532.0;-7;120.0;38.0;-84.0;65.0;-272.0
518.0;556.0;-378.0;16;548.0;-7;109.0;31.0;-87.0;63.0;-276.0
130.0;642.0;-82.0;80;347.0;1;217.0;-64.0;-380.0;210.0;-248.0
128.0;643.0;-82.0;80;343.0;1;218.0;-63.0;-380.0;209.0;-248.0
-144.0;1384.0;18.0;1;394.0;-11;378.0;50.0;0.0;-14.0;-28.0
-159.0;1128.0;56.0;80;408.0;3;167.0;21.0;-49.0;68.0;-213.0
126.0;644.0;-81.0;79;341.0;1;220.0;-61.0;-377.0;208.0;-248.0
125.0;644.0;-76.0;79;339.0;1;216.0;-58.0;-379.0;206.0;-248.0
518.0;538.0;-403.0;17;495.0;-8;103.0;23.0;-78.0;107.0;-285.0
510.0;539.0;-402.0;17;482.0;-8;103.0;26.0;-75.0;104.0;-287.0
504.0;540.0;-404.0;18;472.0;-8;104.0;29.0;-70.0;100.0;-288.0
485.0;552.0;-404.0;18;472.0;-7;108.0;17.0;-48.0;100.0;-294.0
483.0;556.0;-400.0;18;485.0;-7;108.0;6.0;-48.0;101.0;-298.0
482.0;560.0;-399.0;18;495.0;-7;109.0;1.0;-48.0;103.0;-300.0
482.0;564.0;-397.0;18;511.0;-7;111.0;-9.0;-44.0;105.0;-301.0
484.0;567.0;-396.0;18;522.0;-7;110.0;-15.0;-42.0;108.0;-302.0
482.0;569.0;-394.0;18;533.0;-7;110.0;-22.0;-40.0;112.0;-302.0
486.0;574.0;-394.0;18;556.0;-7;104.0;-36.0;-28.0;118.0;-305.0
485.0;576.0;-389.0;17;552.0;-7;101.0;-33.0;-36.0;120.0;-310.0
481.0;578.0;-388.0;17;548.0;-7;104.0;-29.0;-39.0;122.0;-308.0
481.0;577.0;-384.0;16;542.0;-7;107.0;-27.0;-40.0;123.0;-306.0
476.0;579.0;-383.0;15;530.0;-7;113.0;-20.0;-43.0;119.0;-305.0
