InertialMeasurementUnit RLA accZ;Accelerometer RUA^ accY;InertialMeasurementUnit RLA accX;Accelerometer RUA_ accX;Accelerometer RUA^ accZ;Accelerometer RWR accZ;InertialMeasurementUnit RUA accX;Accelerometer RUA_ accY;InertialMeasurementUnit RUA accY
598.0;1099.0;-1113.0;177.0;25.0;539.0;-1267.0;1187.0;186.0
285.0;1017.0;-982.0;353.0;212.0;659.0;-1115.0;856.0;22.0
376.0;1069.0;-796.0;388.0;297.0;691.0;-982.0;983.0;188.0
321.0;1058.0;-778.0;386.0;317.0;732.0;-969.0;970.0;219.0
555.0;1038.0;-180.0;833.0;299.0;965.0;-975.0;551.0;179.0
438.0;861.0;-574.0;252.0;305.0;539.0;-694.0;709.0;204.0
1012.0;585.0;153.0;690.0;836.0;608.0;-534.0;305.0;681.0
289.0;1096.0;-744.0;396.0;261.0;753.0;-916.0;895.0;218.0
317.0;1064.0;-764.0;377.0;364.0;714.0;-947.0;934.0;211.0
383.0;1078.0;-767.0;388.0;313.0;703.0;-966.0;933.0;215.0
343.0;1141.0;-670.0;537.0;273.0;961.0;-1041.0;990.0;245.0
215.0;1021.0;-783.0;402.0;342.0;805.0;-968.0;931.0;278.0
551.0;988.0;-947.0;226.0;324.0;631.0;-1054.0;849.0;56.0
304.0;1024.0;-713.0;388.0;341.0;652.0;-927.0;887.0;224.0
450.0;1216.0;-629.0;232.0;-32.0;602.0;-738.0;1235.0;247.0
396.0;1062.0;-752.0;407.0;287.0;688.0;-992.0;895.0;304.0
470.0;1020.0;-810.0;358.0;294.0;679.0;-982.0;976.0;195.0
502.0;1152.0;-386.0;620.0;229.0;889.0;-843.0;900.0;346.0
535.0;1112.0;-761.0;212.0;442.0;738.0;-918.0;1043.0;236.0
366.0;1006.0;-729.0;299.0;344.0;624.0;-807.0;1184.0;323.0
404.0;1049.0;-770.0;334.0;357.0;683.0;-927.0;933.0;324.0
336.0;1071.0;-778.0;367.0;284.0;661.0;-975.0;954.0;202.0
430.0;1110.0;-789.0;309.0;215.0;679.0;-962.0;961.0;154.0
242.0;1087.0;-784.0;359.0;232.0;713.0;-993.0;943.0;64.0
694.0;927.0;-1049.0;657.0;478.0;961.0;-1115.0;797.0;134.0
478.0;1050.0;-771.0;367.0;360.0;702.0;-937.0;960.0;224.0
448.0;1187.0;-861.0;285.0;89.0;684.0;-974.0;962.0;33.0
438.0;1247.0;-764.0;240.0;58.0;713.0;-870.0;1215.0;136.0
450.0;1102.0;-765.0;409.0;344.0;834.0;-926.0;1044.0;329.0
477.0;1051.0;-771.0;349.0;356.0;672.0;-954.0;961.0;261.0
491.0;1040.0;-769.0;337.0;347.0;673.0;-946.0;959.0;284.0
460.0;1044.0;-777.0;344.0;384.0;625.0;-944.0;956.0;256.0
381.0;1136.0;-1009.0;222.0;70.0;787.0;-1169.0;1074.0;-99.0
513.0;1413.0;-768.0;304.0;335.0;802.0;-894.0;1165.0;276.0
361.0;993.0;-735.0;466.0;346.0;700.0;-942.0;906.0;294.0
291.0;937.0;-717.0;232.0;76.0;512.0;-851.0;1387.0;231.0
484.0;1079.0;-779.0;344.0;299.0;622.0;-919.0;987.0;166.0
366.0;1034.0;-1074.0;211.0;380.0;576.0;-842.0;871.0;344.0
540.0;1030.0;-794.0;377.0;286.0;695.0;-958.0;1002.0;191.0
437.0;1083.0;-791.0;308.0;230.0;667.0;-966.0;963.0;156.0
463.0;1062.0;-781.0;302.0;324.0;665.0;-875.0;977.0;236.0
440.0;1072.0;-793.0;313.0;218.0;650.0;-967.0;970.0;160.0
369.0;1208.0;-416.0;497.0;227.0;609.0;-789.0;1023.0;491.0
460.0;1191.0;-673.0;280.0;419.0;597.0;-838.0;1128.0;459.0
762.0;946.0;-371.0;718.0;475.0;845.0;-924.0;701.0;403.0
476.0;989.0;-726.0;350.0;182.0;599.0;-908.0;892.0;244.0
368.0;895.0;-748.0;224.0;192.0;439.0;-793.0;792.0;125.0
449.0;1078.0;-813.0;290.0;239.0;676.0;-993.0;1013.0;147.0
600.0;1034.0;-874.0;244.0;252.0;542.0;-931.0;847.0;18.0
387.0;1074.0;-908.0;397.0;216.0;755.0;-1003.0;971.0;62.0
428.0;1090.0;-783.0;322.0;237.0;702.0;-954.0;970.0;168.0
414.0;1167.0;-753.0;372.0;-9.0;703.0;-1059.0;942.0;-31.0
470.0;1083.0;-752.0;290.0;223.0;653.0;-895.0;896.0;117.0
465.0;1054.0;-787.0;282.0;278.0;738.0;-866.0;875.0;15.0
454.0;1061.0;-389.0;669.0;-82.0;915.0;-944.0;669.0;-311.0
423.0;1091.0;-753.0;308.0;205.0;641.0;-902.0;918.0;149.0
450.0;1089.0;-789.0;316.0;224.0;678.0;-970.0;950.0;175.0
439.0;1073.0;-789.0;328.0;213.0;675.0;-961.0;968.0;178.0
520.0;967.0;-817.0;278.0;351.0;793.0;-910.0;977.0;61.0
499.0;1095.0;-801.0;313.0;306.0;612.0;-975.0;993.0;243.0
453.0;1096.0;-774.0;339.0;252.0;678.0;-958.0;962.0;181.0
461.0;1079.0;-774.0;337.0;253.0;680.0;-957.0;969.0;177.0
460.0;1114.0;-682.0;337.0;119.0;729.0;-1024.0;950.0;167.0
676.0;943.0;-665.0;502.0;489.0;868.0;-854.0;863.0;321.0
521.0;1057.0;-739.0;281.0;370.0;723.0;-897.0;906.0;292.0
224.0;1232.0;-727.0;165.0;143.0;569.0;-816.0;894.0;180.0
431.0;1071.0;-782.0;339.0;252.0;681.0;-961.0;961.0;189.0
449.0;1079.0;-781.0;327.0;257.0;692.0;-948.0;971.0;181.0
455.0;1141.0;-815.0;306.0;297.0;663.0;-971.0;950.0;165.0
449.0;1087.0;-789.0;342.0;262.0;705.0;-949.0;977.0;173.0
