Accelerometer LH accX;Accelerometer LUA_ accZ;Accelerometer LWR accY;InertialMeasurementUnit LLA accY;Accelerometer LH accZ;InertialMeasurementUnit LLA accZ;Accelerometer LUA_ accX;Accelerometer LUA_ accY
316.0;358.0;899.0;-347.0;51.0;6.0;68.0;958.0
383.0;386.0;864.0;-339.0;70.0;0.0;8.0;967.0
362.0;402.0;886.0;-300.0;23.0;-22.0;-10.0;955.0
333.0;426.0;852.0;-393.0;105.0;97.0;39.0;960.0
279.0;289.0;911.0;-317.0;66.0;7.0;2.0;939.0
400.0;347.0;912.0;-267.0;83.0;71.0;50.0;971.0
386.0;394.0;867.0;-314.0;63.0;89.0;64.0;941.0
276.0;324.0;889.0;-244.0;58.0;112.0;92.0;947.0
219.0;331.0;889.0;-294.0;52.0;112.0;102.0;924.0
202.0;14.0;883.0;21.0;357.0;-407.0;-319.0;935.0
296.0;335.0;933.0;-287.0;3.0;130.0;79.0;914.0
180.0;379.0;877.0;-357.0;-38.0;146.0;128.0;935.0
342.0;418.0;828.0;-365.0;80.0;69.0;38.0;946.0
345.0;379.0;859.0;-312.0;35.0;-14.0;-31.0;959.0
332.0;425.0;832.0;-371.0;74.0;51.0;48.0;925.0
512.0;396.0;761.0;-301.0;86.0;96.0;67.0;871.0
224.0;292.0;876.0;-283.0;31.0;-46.0;8.0;963.0
291.0;299.0;881.0;-255.0;40.0;-22.0;-12.0;977.0
394.0;384.0;791.0;-366.0;70.0;48.0;62.0;938.0
387.0;319.0;913.0;-248.0;73.0;-7.0;-22.0;946.0
422.0;376.0;848.0;-319.0;55.0;53.0;97.0;995.0
510.0;295.0;952.0;-207.0;135.0;-90.0;-53.0;1042.0
451.0;407.0;747.0;-255.0;149.0;337.0;-5.0;826.0
359.0;410.0;864.0;-318.0;13.0;-7.0;-13.0;948.0
352.0;389.0;844.0;-282.0;62.0;52.0;24.0;918.0
384.0;310.0;882.0;-305.0;57.0;-10.0;2.0;934.0
376.0;388.0;858.0;-358.0;59.0;12.0;-10.0;950.0
398.0;324.0;895.0;-402.0;119.0;-13.0;20.0;995.0
