InertialMeasurementUnit RLA accZ;Accelerometer RUA^ accY;InertialMeasurementUnit RLA accX;Accelerometer RUA_ accX;Accelerometer RUA^ accZ;Accelerometer RWR accZ;InertialMeasurementUnit RUA accX;Accelerometer RUA_ accY;InertialMeasurementUnit RUA accY
462.0;1079.0;-857.0;291.0;210.0;593.0;-990.0;982.0;183.0
361.0;1055.0;-795.0;386.0;283.0;656.0;-998.0;959.0;185.0
376.0;1069.0;-796.0;388.0;297.0;691.0;-982.0;983.0;188.0
348.0;1080.0;-778.0;383.0;306.0;697.0;-975.0;949.0;205.0
383.0;985.0;-711.0;405.0;305.0;634.0;-969.0;798.0;191.0
391.0;936.0;-654.0;354.0;288.0;592.0;-938.0;818.0;181.0
501.0;948.0;-673.0;321.0;335.0;611.0;-959.0;838.0;263.0
360.0;1090.0;-778.0;364.0;285.0;712.0;-979.0;945.0;220.0
372.0;1073.0;-773.0;379.0;354.0;703.0;-971.0;934.0;240.0
383.0;1078.0;-767.0;388.0;313.0;703.0;-966.0;933.0;215.0
386.0;1063.0;-783.0;367.0;326.0;729.0;-965.0;961.0;209.0
376.0;1058.0;-775.0;382.0;316.0;716.0;-966.0;959.0;242.0
589.0;949.0;-922.0;327.0;387.0;651.0;-1030.0;830.0;74.0
348.0;1057.0;-771.0;394.0;323.0;642.0;-966.0;925.0;237.0
476.0;1096.0;-604.0;327.0;96.0;633.0;-886.0;934.0;178.0
425.0;1023.0;-781.0;409.0;286.0;684.0;-993.0;934.0;294.0
470.0;1020.0;-810.0;358.0;294.0;679.0;-982.0;976.0;195.0
614.0;955.0;-591.0;507.0;627.0;892.0;-761.0;777.0;327.0
440.0;1040.0;-750.0;301.0;368.0;709.0;-936.0;941.0;212.0
437.0;1019.0;-720.0;345.0;349.0;692.0;-921.0;991.0;243.0
408.0;1037.0;-755.0;347.0;330.0;692.0;-949.0;939.0;281.0
336.0;1071.0;-778.0;367.0;284.0;661.0;-975.0;954.0;202.0
431.0;1092.0;-794.0;311.0;221.0;669.0;-969.0;960.0;157.0
330.0;1086.0;-789.0;354.0;256.0;684.0;-972.0;949.0;189.0
482.0;1032.0;-795.0;363.0;360.0;705.0;-966.0;946.0;248.0
478.0;1050.0;-771.0;367.0;360.0;702.0;-937.0;960.0;224.0
387.0;1144.0;-819.0;347.0;216.0;644.0;-937.0;991.0;95.0
431.0;1106.0;-799.0;307.0;244.0;669.0;-984.0;1020.0;158.0
469.0;1059.0;-768.0;380.0;342.0;705.0;-951.0;970.0;262.0
477.0;1051.0;-771.0;349.0;356.0;672.0;-954.0;961.0;261.0
491.0;1040.0;-769.0;337.0;347.0;673.0;-946.0;959.0;284.0
460.0;1044.0;-777.0;344.0;384.0;625.0;-944.0;956.0;256.0
449.0;1078.0;-813.0;290.0;239.0;676.0;-993.0;1013.0;147.0
455.0;1141.0;-815.0;306.0;297.0;663.0;-971.0;950.0;165.0
375.0;993.0;-732.0;387.0;313.0;692.0;-922.0;924.0;297.0
291.0;937.0;-717.0;232.0;76.0;512.0;-851.0;1387.0;231.0
484.0;1079.0;-779.0;344.0;299.0;622.0;-919.0;987.0;166.0
486.0;1040.0;-799.0;293.0;316.0;561.0;-906.0;856.0;271.0
585.0;1064.0;-890.0;344.0;237.0;760.0;-995.0;969.0;210.0
437.0;1083.0;-791.0;308.0;230.0;667.0;-966.0;963.0;156.0
463.0;1062.0;-781.0;302.0;324.0;665.0;-875.0;977.0;236.0
440.0;1072.0;-793.0;313.0;218.0;650.0;-967.0;970.0;160.0
425.0;1051.0;-687.0;360.0;333.0;599.0;-910.0;888.0;344.0
471.0;1098.0;-714.0;316.0;350.0;615.0;-914.0;913.0;288.0
481.0;1009.0;-695.0;388.0;353.0;693.0;-889.0;889.0;330.0
476.0;989.0;-726.0;350.0;182.0;599.0;-908.0;892.0;244.0
436.0;942.0;-701.0;324.0;207.0;563.0;-904.0;920.0;218.0
439.0;1066.0;-791.0;319.0;218.0;679.0;-969.0;973.0;160.0
555.0;1028.0;-796.0;286.0;215.0;646.0;-931.0;862.0;116.0
437.0;1080.0;-791.0;317.0;226.0;693.0;-963.0;971.0;161.0
428.0;1090.0;-783.0;322.0;237.0;702.0;-954.0;970.0;168.0
436.0;1090.0;-777.0;313.0;207.0;687.0;-947.0;966.0;156.0
470.0;1083.0;-752.0;290.0;223.0;653.0;-895.0;896.0;117.0
465.0;1054.0;-787.0;282.0;278.0;738.0;-866.0;875.0;15.0
450.0;1065.0;-657.0;401.0;256.0;714.0;-880.0;913.0;81.0
423.0;1091.0;-753.0;308.0;205.0;641.0;-902.0;918.0;149.0
450.0;1089.0;-789.0;316.0;224.0;678.0;-970.0;950.0;175.0
439.0;1073.0;-789.0;328.0;213.0;675.0;-961.0;968.0;178.0
520.0;967.0;-817.0;278.0;351.0;793.0;-910.0;977.0;61.0
499.0;1095.0;-801.0;313.0;306.0;612.0;-975.0;993.0;243.0
453.0;1096.0;-774.0;339.0;252.0;678.0;-958.0;962.0;181.0
461.0;1079.0;-774.0;337.0;253.0;680.0;-957.0;969.0;177.0
439.0;1083.0;-784.0;340.0;219.0;686.0;-964.0;969.0;194.0
542.0;1018.0;-737.0;310.0;373.0;697.0;-892.0;887.0;262.0
