Accelerometer RKN_ accX;InertialMeasurementUnit L-SHOE AngVelNavFrameZ;InertialMeasurementUnit L-SHOE AngVelBodyFrameX;Accelerometer RKN^ accZ;Accelerometer BACK accZ;InertialMeasurementUnit L-SHOE Nav_Az;InertialMeasurementUnit R-SHOE AngVelNavFrameY;InertialMeasurementUnit L-SHOE Body_Ay
-6.0;-26;23;319.0;-671.0;18;-6;659
-52.0;-2;2;147.0;-560.0;17;-12;682
-73.0;2;-26;157.0;-589.0;21;-26;674
-100.0;-23;29;229.0;-650.0;8;-26;669
-109.0;-2;-11;128.0;-560.0;16;14;665
-115.0;8;17;147.0;-526.0;15;-20;676
-141.0;-20;4;139.0;-531.0;17;12;677
-108.0;20;-21;147.0;-521.0;20;36;656
-136.0;-9;3;186.0;-499.0;22;-8;653
-163.0;-1;-29;205.0;-560.0;17;6;658
-125.0;5;27;191.0;-619.0;24;-50;656
-82.0;-28;-36;216.0;-558.0;12;-6;675
-110.0;-16;-11;208.0;-589.0;15;-5;662
-47.0;26;9;166.0;-572.0;15;-2;680
-119.0;5;-7;149.0;-400.0;16;3;658
-127.0;5;11;138.0;-464.0;23;-7;657
-115.0;52;3;125.0;-564.0;15;1;679
25.0;-17;10;-30.0;-561.0;15;-15;659
27.0;-9;-5;-18.0;-527.0;18;21;653
12.0;-5;-4;81.0;-599.0;18;3;663
142.0;16;-8;65.0;-557.0;14;-16;670
29.0;-25;23;252.0;-664.0;18;-24;660
-53.0;-3858;-201;-89.0;-433.0;115;-18;778
-38.0;-339;-200;186.0;-358.0;-952;-15;2219
-475.0;-1466;-1551;37.0;-456.0;1106;-85;106
-431.0;-28;23;339.0;-559.0;15;-7;686
-98.0;27;0;209.0;-446.0;4;-12;702
-66.0;-5;12;128.0;-501.0;17;8;671
-145.0;6;12;144.0;-483.0;15;-23;675
-72.0;-8;-12;387.0;-956.0;11;-7;675
-129.0;5;23;122.0;-443.0;20;12;666
-80.0;-1;-19;219.0;-438.0;19;3;666
371.0;-1621;6379;591.0;-722.0;-37;-3274;786
68.0;-15;188;625.0;-478.0;64;307;611
-91.0;28;3;197.0;-435.0;22;3;664
-82.0;-7;11;199.0;-410.0;21;-13;667
-91.0;11;-11;185.0;-397.0;20;-41;671
-82.0;-13;23;197.0;-441.0;19;-43;670
-90.0;28;34;196.0;-430.0;13;6;679
-79.0;-25;-31;191.0;-415.0;19;37;675
-75.0;1489;-2809;185.0;-498.0;-78;-19;589
-119.0;35;122;204.0;-578.0;53;-18;159
-146.0;2289;836;109.0;-630.0;-34;6;781
-70.0;-398;1343;308.0;-550.0;-46;-66;1047
-87.0;-144;133;191.0;-595.0;-15;-4;703
-92.0;-18;-67;249.0;-648.0;22;3;667
-101.0;5;-10;214.0;-751.0;15;-64;668
-115.0;-13;16;364.0;-740.0;19;-79;662
-119.0;-12;-15;485.0;-849.0;23;2;669
-97.0;17;7;139.0;-505.0;14;7;660
-20.0;7;38;362.0;-544.0;12;10;660
-52.0;-5;23;184.0;-545.0;18;-34;656
-42.0;2;20;247.0;-555.0;17;-12;651
-225.0;16;21;311.0;-845.0;15;-17;656
-54.0;6;-23;181.0;-511.0;15;-50;658
-45.0;14;-8;221.0;-526.0;21;-153;653
-74.0;1420;-1868;99.0;-639.0;2669;-631;2158
-238.0;-13;-8;451.0;-410.0;27;12;646
-17.0;5;-9;792.0;-709.0;27;1168;654
-63.0;3;-32;103.0;-565.0;21;30;660
18.0;-10;6;29.0;-604.0;20;1;656
-143.0;-15;2;125.0;-760.0;14;-3;659
11.0;-2;12;89.0;-696.0;16;718;686
595.0;24;-36;148.0;-480.0;24;20;656
-148.0;41;108;-41.0;-482.0;-19;4266;675
-126.0;-803;-301;240.0;-567.0;26;-23;695
-122.0;-7;-9;89.0;-550.0;23;-54;676
16.0;-3;6;488.0;-783.0;22;-11;657
806.0;46;3;199.0;-509.0;13;914;671
-321.0;-24;18;-50.0;-610.0;22;-425;670
-24.0;205;-178;-71.0;-326.0;2;-24;648
-71.0;16;-54;236.0;-508.0;18;-43;690
-164.0;-9;0;436.0;-389.0;20;9;670
-127.0;5;12;318.0;-499.0;64;7;694
-125.0;92;104;586.0;-677.0;13;-1;684
-19.0;-5;11;168.0;-992.0;16;-66;667
-49.0;-6;23;350.0;-512.0;22;-1136;655
-70.0;-14;10;483.0;-702.0;12;-484;659
-209.0;-88;115;90.0;-622.0;27;-2321;668
-63.0;16;4;78.0;-665.0;58;313;627
13.0;-13;0;20.0;-724.0;19;-21;653
-26.0;-8;-10;238.0;-573.0;10;-113;686
-36.0;-30;21;144.0;-692.0;14;-28;656
-19.0;-2088;1853;-195.0;-590.0;-285;-35;1175
-108.0;59;-6;284.0;-465.0;20;76;658
-79.0;8;35;198.0;-463.0;16;11;647
-68.0;-2;3;207.0;-481.0;14;41;648
-49.0;-4;-83;169.0;-490.0;13;1;642
-59.0;-40;-1986;191.0;-524.0;88;-44;526
-40.0;-6;20;-266.0;-550.0;19;4;654
-5.0;11;6;2.0;-570.0;25;-100;661
27.0;-13;-2;157.0;-503.0;14;5;679
-73.0;-37;-42;-12.0;-442.0;25;529;655
-105.0;9;0;109.0;-534.0;23;31;659
16.0;-465;65;120.0;-490.0;26;-45;713
-27.0;-2;26;-13.0;-550.0;24;-9;654
-441.0;-17;15;129.0;-528.0;20;-141;671
-83.0;-26;14;165.0;-687.0;24;22;657
-111.0;23;-10;105.0;-481.0;16;17;668
-327.0;-15;-22;18.0;-495.0;18;69;657
-334.0;-7;-23;123.0;-531.0;19;53;672
-237.0;9;-20;100.0;-591.0;25;-34;657
-460.0;15;-22;35.0;-582.0;14;451;692
-123.0;15;-22;91.0;-550.0;15;-13;662
-91.0;4723;-1166;-47.0;-332.0;444;59;1064
-127.0;36;-13;111.0;-542.0;15;29;667
-120.0;19;14;121.0;-566.0;23;-34;657
-139.0;14;13;123.0;-597.0;23;-54;657
-149.0;-4;34;117.0;-592.0;34;-13;651
-322.0;-16;2;56.0;-670.0;11;-4;668
-177.0;1;-25;123.0;-616.0;20;103;660
-95.0;-1681;148;309.0;-457.0;29;-22;711
-296.0;-1274;5611;524.0;-759.0;-936;62;1673
-105.0;14;-24;127.0;-521.0;12;5;648
-145.0;-154;-139;131.0;-429.0;-17;-27;718
-292.0;-1;31;142.0;-476.0;15;34;673
-187.0;-15;-7;136.0;-546.0;14;33;666
-138.0;-7;2;102.0;-480.0;17;-3;667
