Accelerometer LH accX;Accelerometer LUA_ accZ;Accelerometer LWR accY;InertialMeasurementUnit LLA accY;Accelerometer LH accZ;InertialMeasurementUnit LLA accZ;Accelerometer LUA_ accX;Accelerometer LUA_ accY
-23.0;751.0;-1248.0;-628.0;60.0;-255.0;-63.0;-736.0
45.0;691.0;-1129.0;-732.0;415.0;-99.0;-85.0;-743.0
?;699.0;-1011.0;-710.0;455.0;3.0;-126.0;-695.0
49.0;753.0;-956.0;-744.0;185.0;-19.0;-80.0;-803.0
-71.0;804.0;-889.0;-641.0;114.0;-146.0;-67.0;-1004.0
-147.0;796.0;-906.0;-710.0;?;-65.0;-266.0;-1025.0
-47.0;926.0;-1156.0;-709.0;442.0;-18.0;-429.0;-804.0
184.0;927.0;-1278.0;-620.0;354.0;-37.0;-533.0;-739.0
?;861.0;-1249.0;-547.0;770.0;-99.0;-528.0;-633.0
610.0;952.0;-587.0;-632.0;-819.0;458.0;764.0;-151.0
747.0;943.0;-413.0;-664.0;-1166.0;492.0;711.0;-300.0
676.0;912.0;-330.0;-773.0;-1225.0;519.0;628.0;-325.0
661.0;932.0;-375.0;-828.0;-1215.0;568.0;468.0;-461.0
622.0;921.0;-413.0;-891.0;-1079.0;739.0;283.0;?
472.0;931.0;-471.0;-999.0;-831.0;879.0;277.0;-438.0
454.0;872.0;-593.0;-1026.0;-619.0;949.0;183.0;-464.0
660.0;850.0;-572.0;-1001.0;-316.0;951.0;116.0;-532.0
783.0;832.0;-601.0;-999.0;-70.0;860.0;80.0;-489.0
600.0;768.0;-646.0;-977.0;-41.0;630.0;23.0;-512.0
385.0;758.0;-668.0;-979.0;-9.0;329.0;-48.0;-514.0
346.0;714.0;-657.0;-1008.0;-91.0;219.0;?;-465.0
270.0;697.0;-652.0;-1036.0;-88.0;214.0;-115.0;-441.0
367.0;652.0;-636.0;-989.0;?;113.0;-148.0;-478.0
451.0;692.0;-588.0;-895.0;151.0;41.0;-191.0;-558.0
426.0;629.0;-591.0;-811.0;287.0;8.0;-188.0;-811.0
164.0;663.0;-664.0;-773.0;371.0;-51.0;-166.0;-1163.0
-233.0;678.0;-832.0;?;524.0;-197.0;-139.0;-1273.0
-598.0;787.0;-1175.0;-677.0;1479.0;-153.0;?;-1227.0
?;877.0;-1419.0;-696.0;1050.0;-161.0;-35.0;-957.0
91.0;927.0;-1492.0;-617.0;395.0;-189.0;61.0;-824.0
311.0;925.0;-1385.0;-387.0;47.0;-417.0;124.0;-679.0
184.0;881.0;-1207.0;-432.0;145.0;-335.0;158.0;-611.0
?;801.0;-1024.0;-753.0;-224.0;-8.0;115.0;-588.0
26.0;662.0;-880.0;-870.0;18.0;48.0;17.0;-673.0
-42.0;647.0;-795.0;-968.0;320.0;97.0;-112.0;?
-13.0;690.0;-818.0;-982.0;391.0;246.0;-228.0;-812.0
-65.0;685.0;-909.0;-859.0;219.0;258.0;-339.0;-861.0
41.0;?;-1013.0;-802.0;398.0;225.0;-422.0;-733.0
81.0;830.0;-1073.0;-663.0;730.0;149.0;-411.0;-689.0
305.0;888.0;-1017.0;-605.0;?;67.0;-295.0;-704.0
144.0;863.0;-989.0;-581.0;770.0;-78.0;-268.0;-787.0
292.0;876.0;-751.0;-723.0;-370.0;385.0;608.0;?
465.0;920.0;-683.0;-699.0;-775.0;371.0;641.0;-278.0
496.0;?;-529.0;-720.0;?;?;637.0;-330.0
560.0;917.0;-431.0;-785.0;-1087.0;515.0;576.0;-379.0
649.0;904.0;-430.0;-813.0;?;572.0;480.0;?
