Accelerometer LH accX;Accelerometer LUA_ accZ;Accelerometer LWR accY;InertialMeasurementUnit LLA accY;Accelerometer LH accZ;InertialMeasurementUnit LLA accZ;Accelerometer LUA_ accX;Accelerometer LUA_ accY
352.0;386.0;859.0;-317.0;48.0;18.0;30.0;950.0
314.0;301.0;901.0;-324.0;55.0;-21.0;32.0;914.0
341.0;369.0;870.0;-353.0;80.0;19.0;48.0;943.0
352.0;398.0;833.0;-395.0;97.0;-35.0;184.0;952.0
311.0;349.0;870.0;-318.0;89.0;-4.0;28.0;933.0
272.0;378.0;859.0;-318.0;162.0;-13.0;-5.0;950.0
344.0;348.0;874.0;-332.0;67.0;-6.0;-2.0;951.0
339.0;409.0;886.0;-336.0;88.0;-2.0;11.0;971.0
339.0;362.0;880.0;-324.0;61.0;1.0;14.0;941.0
388.0;365.0;837.0;-309.0;184.0;-6.0;158.0;960.0
354.0;359.0;858.0;-311.0;71.0;8.0;-4.0;955.0
329.0;360.0;849.0;-319.0;78.0;7.0;20.0;926.0
362.0;346.0;876.0;-328.0;76.0;-2.0;28.0;951.0
338.0;352.0;869.0;-309.0;62.0;16.0;37.0;944.0
297.0;359.0;859.0;-321.0;59.0;13.0;12.0;962.0
371.0;372.0;855.0;-341.0;89.0;2.0;22.0;936.0
340.0;361.0;878.0;-325.0;59.0;27.0;15.0;951.0
343.0;342.0;880.0;-307.0;23.0;26.0;45.0;952.0
357.0;352.0;850.0;-318.0;67.0;9.0;20.0;964.0
348.0;377.0;858.0;-338.0;32.0;5.0;25.0;934.0
362.0;342.0;851.0;-287.0;113.0;8.0;55.0;975.0
359.0;338.0;888.0;-325.0;63.0;20.0;-14.0;946.0
366.0;370.0;851.0;-325.0;60.0;19.0;21.0;952.0
305.0;356.0;662.0;-243.0;62.0;139.0;61.0;683.0
331.0;350.0;873.0;-324.0;75.0;20.0;7.0;948.0
326.0;396.0;868.0;-349.0;47.0;17.0;4.0;925.0
284.0;369.0;862.0;-314.0;101.0;-8.0;30.0;943.0
350.0;354.0;868.0;-382.0;142.0;36.0;2.0;931.0
365.0;369.0;864.0;-357.0;68.0;15.0;10.0;948.0
359.0;377.0;844.0;-324.0;62.0;3.0;28.0;958.0
364.0;369.0;895.0;-324.0;124.0;89.0;-78.0;896.0
333.0;392.0;878.0;-263.0;52.0;-1.0;54.0;823.0
