Accelerometer LH accX;Accelerometer LUA_ accZ;Accelerometer LWR accY;InertialMeasurementUnit LLA accY;Accelerometer LH accZ;InertialMeasurementUnit LLA accZ;Accelerometer LUA_ accX;Accelerometer LUA_ accY
352.0;386.0;859.0;-317.0;48.0;18.0;30.0;950.0
231.0;324.0;899.0;-294.0;87.0;-13.0;8.0;961.0
338.0;368.0;867.0;-348.0;66.0;5.0;39.0;942.0
320.0;358.0;862.0;-355.0;71.0;73.0;91.0;941.0
34.0;-58.0;963.0;72.0;168.0;-57.0;39.0;999.0
237.0;231.0;932.0;-158.0;303.0;-93.0;-34.0;967.0
344.0;348.0;874.0;-332.0;67.0;-6.0;-2.0;951.0
386.0;429.0;1151.0;-363.0;149.0;-4.0;50.0;1231.0
339.0;362.0;880.0;-324.0;61.0;1.0;14.0;941.0
399.0;220.0;1026.0;-373.0;142.0;14.0;207.0;968.0
346.0;350.0;860.0;-307.0;64.0;0.0;-12.0;955.0
-21.0;372.0;665.0;-151.0;90.0;-50.0;-173.0;661.0
558.0;250.0;945.0;-279.0;168.0;-17.0;77.0;1086.0
69.0;147.0;950.0;-90.0;1.0;169.0;251.0;943.0
287.0;388.0;858.0;-322.0;35.0;3.0;7.0;934.0
599.0;548.0;681.0;-538.0;367.0;-118.0;-53.0;861.0
340.0;361.0;878.0;-325.0;59.0;27.0;15.0;951.0
324.0;286.0;803.0;-79.0;100.0;-93.0;76.0;855.0
382.0;263.0;888.0;-258.0;78.0;16.0;-20.0;1176.0
389.0;407.0;849.0;-370.0;-101.0;-25.0;58.0;943.0
388.0;365.0;837.0;-309.0;184.0;-6.0;158.0;960.0
387.0;319.0;913.0;-248.0;73.0;-7.0;-22.0;946.0
381.0;369.0;862.0;-341.0;53.0;10.0;19.0;962.0
355.0;410.0;686.0;-174.0;93.0;197.0;7.0;753.0
319.0;339.0;891.0;-313.0;73.0;13.0;30.0;951.0
207.0;459.0;773.0;-384.0;9.0;54.0;35.0;845.0
122.0;261.0;882.0;-365.0;172.0;-7.0;-29.0;952.0
289.0;255.0;1001.0;-626.0;289.0;79.0;96.0;949.0
351.0;367.0;863.0;-370.0;64.0;26.0;1.0;952.0
290.0;333.0;705.0;-361.0;43.0;73.0;-55.0;1311.0
407.0;385.0;931.0;-325.0;148.0;142.0;-10.0;928.0
33.0;312.0;751.0;-315.0;86.0;-59.0;-107.0;697.0
369.0;470.0;952.0;-436.0;90.0;74.0;110.0;1009.0
456.0;427.0;842.0;-270.0;262.0;-336.0;-235.0;951.0
408.0;429.0;859.0;-538.0;71.0;122.0;63.0;906.0
199.0;291.0;905.0;-341.0;96.0;95.0;89.0;971.0
251.0;393.0;876.0;-363.0;177.0;134.0;53.0;926.0
343.0;370.0;853.0;-342.0;62.0;25.0;21.0;941.0
252.0;372.0;877.0;-292.0;27.0;68.0;64.0;929.0
298.0;384.0;880.0;-369.0;-23.0;128.0;144.0;952.0
359.0;397.0;860.0;-310.0;61.0;10.0;20.0;945.0
242.0;295.0;1147.0;-205.0;-61.0;-58.0;290.0;1048.0
698.0;995.0;-412.0;-999.0;-526.0;120.0;-96.0;-123.0
266.0;334.0;847.0;-369.0;-28.0;3.0;65.0;1050.0
330.0;603.0;611.0;-299.0;736.0;-563.0;-280.0;781.0
317.0;397.0;864.0;-326.0;97.0;-21.0;-18.0;944.0
333.0;385.0;862.0;-346.0;79.0;1.0;11.0;927.0
330.0;362.0;869.0;-335.0;84.0;9.0;14.0;950.0
313.0;342.0;970.0;-456.0;275.0;33.0;-71.0;1011.0
513.0;410.0;849.0;-408.0;126.0;-51.0;-48.0;949.0
329.0;357.0;858.0;-337.0;129.0;-24.0;-9.0;959.0
697.0;483.0;739.0;-500.0;-146.0;115.0;22.0;883.0
352.0;659.0;735.0;-518.0;223.0;6.0;-118.0;693.0
105.0;472.0;547.0;-426.0;-165.0;-80.0;-32.0;728.0
584.0;433.0;890.0;-354.0;142.0;49.0;26.0;1086.0
366.0;388.0;846.0;-358.0;36.0;28.0;19.0;933.0
367.0;340.0;883.0;-337.0;70.0;44.0;30.0;962.0
327.0;370.0;870.0;-303.0;1.0;131.0;141.0;935.0
346.0;380.0;866.0;-325.0;29.0;22.0;31.0;952.0
225.0;319.0;902.0;-241.0;32.0;100.0;120.0;966.0
196.0;424.0;840.0;-363.0;202.0;56.0;64.0;904.0
389.0;421.0;923.0;-263.0;121.0;145.0;25.0;912.0
276.0;339.0;878.0;-379.0;34.0;82.0;0.0;933.0
369.0;392.0;862.0;-345.0;20.0;18.0;22.0;948.0
226.0;399.0;962.0;-383.0;10.0;72.0;119.0;988.0
371.0;335.0;867.0;-389.0;73.0;57.0;65.0;963.0
349.0;379.0;880.0;-345.0;62.0;25.0;26.0;934.0
320.0;391.0;866.0;-345.0;61.0;37.0;-1.0;972.0
310.0;391.0;868.0;-326.0;63.0;58.0;73.0;947.0
211.0;100.0;964.0;-52.0;292.0;-163.0;-38.0;1010.0
339.0;368.0;857.0;-317.0;57.0;20.0;19.0;943.0
228.0;237.0;1087.0;-406.0;180.0;69.0;88.0;1146.0
340.0;383.0;880.0;-328.0;42.0;24.0;22.0;932.0
303.0;429.0;797.0;-276.0;-90.0;-121.0;-27.0;895.0
778.0;773.0;443.0;-762.0;-750.0;50.0;-171.0;716.0
579.0;402.0;1022.0;-144.0;67.0;58.0;128.0;908.0
375.0;486.0;922.0;-439.0;-31.0;25.0;52.0;1050.0
545.0;248.0;1107.0;-291.0;136.0;41.0;34.0;1222.0
-10.0;420.0;1022.0;-204.0;224.0;-41.0;5.0;1129.0
350.0;398.0;923.0;-348.0;-135.0;-283.0;-29.0;981.0
155.0;321.0;868.0;-350.0;-152.0;68.0;271.0;858.0
333.0;388.0;813.0;-343.0;20.0;72.0;-29.0;1086.0
236.0;285.0;943.0;-215.0;93.0;7.0;76.0;1020.0
400.0;385.0;833.0;-253.0;104.0;-12.0;-34.0;991.0
901.0;827.0;252.0;-807.0;145.0;-351.0;-282.0;522.0
363.0;373.0;860.0;-311.0;49.0;9.0;10.0;965.0
247.0;317.0;858.0;-291.0;-105.0;-59.0;108.0;1015.0
421.0;272.0;850.0;-257.0;-22.0;99.0;56.0;822.0
442.0;396.0;864.0;-287.0;47.0;25.0;6.0;956.0
446.0;438.0;941.0;-374.0;37.0;36.0;24.0;1111.0
322.0;311.0;943.0;-197.0;35.0;-33.0;223.0;1086.0
405.0;307.0;942.0;-350.0;51.0;76.0;111.0;992.0
331.0;274.0;1374.0;-361.0;274.0;-17.0;205.0;1328.0
346.0;321.0;998.0;-507.0;156.0;95.0;-35.0;1104.0
203.0;342.0;867.0;-321.0;151.0;-94.0;-162.0;927.0
471.0;421.0;996.0;-307.0;232.0;-8.0;7.0;1063.0
402.0;427.0;920.0;-351.0;-12.0;70.0;80.0;973.0
398.0;448.0;800.0;-363.0;9.0;102.0;82.0;888.0
264.0;312.0;772.0;-301.0;122.0;288.0;38.0;859.0
525.0;419.0;740.0;-195.0;13.0;-22.0;90.0;854.0
