InertialMeasurementUnit RLA accZ;Accelerometer RUA^ accY;InertialMeasurementUnit RLA accX;Accelerometer RUA_ accX;Accelerometer RUA^ accZ;Accelerometer RWR accZ;InertialMeasurementUnit RUA accX;Accelerometer RUA_ accY;InertialMeasurementUnit RUA accY
?;-3.0;945.0;752.0;1159.0;540.0;-569.0;-625.0;1081.0
341.0;93.0;1286.0;755.0;1207.0;538.0;-213.0;-823.0;1082.0
435.0;176.0;1301.0;741.0;1113.0;533.0;-263.0;-1082.0;1068.0
387.0;244.0;1165.0;791.0;?;471.0;-307.0;-929.0;981.0
327.0;250.0;1074.0;772.0;1032.0;427.0;-432.0;-830.0;962.0
358.0;282.0;1002.0;817.0;1005.0;344.0;-432.0;-750.0;935.0
376.0;246.0;935.0;759.0;971.0;335.0;-439.0;-691.0;888.0
343.0;241.0;894.0;734.0;?;351.0;-429.0;-591.0;850.0
274.0;211.0;1069.0;702.0;1174.0;496.0;-405.0;-658.0;954.0
434.0;114.0;970.0;607.0;1036.0;406.0;-291.0;-696.0;1015.0
431.0;164.0;925.0;591.0;1086.0;513.0;-290.0;-689.0;?
539.0;272.0;862.0;596.0;?;536.0;-316.0;-611.0;971.0
672.0;346.0;801.0;663.0;1118.0;590.0;-389.0;-499.0;997.0
846.0;364.0;721.0;777.0;1064.0;497.0;-455.0;-372.0;972.0
1079.0;397.0;616.0;754.0;1076.0;472.0;-486.0;-234.0;853.0
1091.0;348.0;622.0;732.0;1064.0;?;-484.0;-140.0;801.0
974.0;354.0;631.0;789.0;1001.0;492.0;-483.0;-159.0;851.0
863.0;370.0;612.0;747.0;965.0;543.0;-481.0;-234.0;848.0
812.0;360.0;596.0;738.0;1044.0;664.0;-489.0;-241.0;806.0
690.0;391.0;717.0;781.0;1036.0;683.0;-483.0;-298.0;928.0
647.0;427.0;798.0;865.0;1041.0;752.0;-509.0;-441.0;992.0
645.0;405.0;799.0;930.0;1048.0;757.0;-552.0;-479.0;970.0
585.0;450.0;831.0;984.0;980.0;750.0;-551.0;-506.0;981.0
604.0;392.0;814.0;980.0;961.0;709.0;-568.0;-518.0;917.0
651.0;?;806.0;979.0;925.0;606.0;-537.0;-517.0;?
667.0;382.0;?;944.0;858.0;465.0;-495.0;-459.0;823.0
566.0;403.0;725.0;889.0;833.0;358.0;-530.0;-453.0;791.0
371.0;354.0;625.0;845.0;834.0;298.0;-537.0;-421.0;759.0
77.0;261.0;604.0;714.0;919.0;324.0;-517.0;-405.0;779.0
-73.0;215.0;781.0;668.0;1022.0;356.0;-398.0;?;843.0
-122.0;113.0;978.0;684.0;1098.0;384.0;-353.0;-718.0;998.0
137.0;38.0;1097.0;712.0;1192.0;465.0;-419.0;-817.0;1037.0
271.0;131.0;1316.0;723.0;1157.0;463.0;-253.0;-955.0;1068.0
350.0;247.0;1285.0;691.0;1092.0;479.0;-296.0;-1067.0;1046.0
405.0;346.0;1136.0;739.0;1059.0;515.0;-404.0;-954.0;983.0
385.0;360.0;935.0;792.0;957.0;489.0;-525.0;-756.0;929.0
435.0;318.0;756.0;770.0;891.0;383.0;-512.0;-549.0;807.0
567.0;296.0;664.0;?;955.0;322.0;-491.0;-370.0;698.0
579.0;218.0;710.0;678.0;991.0;343.0;-472.0;-361.0;770.0
477.0;146.0;821.0;651.0;1013.0;436.0;-424.0;-412.0;824.0
381.0;164.0;975.0;649.0;1050.0;562.0;-354.0;-587.0;917.0
468.0;125.0;953.0;641.0;1041.0;267.0;-311.0;-641.0;1011.0
510.0;147.0;925.0;608.0;1036.0;353.0;-279.0;-629.0;975.0
483.0;177.0;884.0;573.0;1063.0;426.0;-300.0;-610.0;963.0
524.0;209.0;857.0;590.0;1115.0;501.0;-330.0;-580.0;963.0
628.0;262.0;817.0;627.0;1064.0;519.0;-346.0;-523.0;964.0
800.0;315.0;732.0;698.0;1030.0;486.0;-375.0;-428.0;951.0
978.0;351.0;628.0;?;1084.0;463.0;-394.0;-271.0;843.0
1024.0;350.0;611.0;686.0;1104.0;470.0;-446.0;-163.0;815.0
979.0;347.0;631.0;727.0;?;491.0;-463.0;-151.0;878.0
926.0;342.0;640.0;726.0;1068.0;561.0;-458.0;-201.0;896.0
869.0;353.0;676.0;732.0;1047.0;627.0;-473.0;-242.0;913.0
844.0;373.0;694.0;770.0;987.0;650.0;-462.0;-304.0;910.0
809.0;397.0;702.0;?;996.0;703.0;-468.0;-358.0;897.0
763.0;418.0;700.0;860.0;942.0;710.0;-516.0;-367.0;903.0
706.0;455.0;686.0;870.0;884.0;649.0;-536.0;-388.0;896.0
651.0;394.0;673.0;902.0;895.0;635.0;-561.0;-385.0;831.0
542.0;423.0;671.0;912.0;836.0;577.0;-532.0;-394.0;818.0
416.0;406.0;647.0;871.0;797.0;540.0;-523.0;?;811.0
331.0;391.0;611.0;846.0;827.0;?;-539.0;-427.0;772.0
222.0;304.0;670.0;?;905.0;474.0;-517.0;-448.0;807.0
136.0;199.0;740.0;799.0;1060.0;471.0;-471.0;-531.0;?
96.0;190.0;940.0;763.0;1169.0;557.0;-385.0;-624.0;971.0
127.0;162.0;1108.0;761.0;1257.0;627.0;-383.0;-826.0;1097.0
202.0;164.0;1258.0;839.0;1173.0;626.0;-396.0;-948.0;1166.0
417.0;264.0;1247.0;872.0;1139.0;591.0;-327.0;-979.0;1041.0
501.0;327.0;1123.0;821.0;1040.0;541.0;-389.0;-867.0;952.0
537.0;346.0;967.0;805.0;1000.0;433.0;-467.0;-714.0;900.0
501.0;296.0;822.0;798.0;958.0;348.0;-498.0;-548.0;842.0
489.0;271.0;?;?;982.0;367.0;-450.0;-459.0;791.0
?;236.0;829.0;690.0;991.0;457.0;-433.0;-484.0;817.0
274.0;212.0;906.0;681.0;1020.0;?;-431.0;-594.0;872.0
408.0;404.0;?;681.0;809.0;392.0;-488.0;-542.0;880.0
504.0;453.0;575.0;662.0;660.0;360.0;-517.0;-404.0;763.0
659.0;502.0;373.0;614.0;641.0;344.0;-534.0;-210.0;580.0
