InertialMeasurementUnit RUA Quaternion2;InertialMeasurementUnit LUA Quaternion3;InertialMeasurementUnit BACK Quaternion1;InertialMeasurementUnit BACK Quaternion2;InertialMeasurementUnit LLA Quaternion3;InertialMeasurementUnit BACK Quaternion3;InertialMeasurementUnit RLA Quaternion4
-56.0;-63.0;506.0;198.0;87.0;217.0;-258.0
197.0;156.0;-407.0;-445.0;-9.0;-464.0;347.0
487.0;-588.0;789.0;-255.0;675.0;525.0;-835.0
70.0;-619.0;724.0;-233.0;647.0;643.0;-481.0
50.0;-119.0;557.0;-69.0;177.0;242.0;-428.0
19.0;-118.0;563.0;-74.0;169.0;241.0;-379.0
30.0;-103.0;568.0;-78.0;166.0;220.0;-359.0
32.0;-97.0;569.0;-75.0;166.0;212.0;-345.0
37.0;-91.0;570.0;-72.0;163.0;206.0;-330.0
418.0;-315.0;58.0;-531.0;390.0;-99.0;228.0
558.0;-150.0;86.0;-626.0;189.0;-70.0;-192.0
48.0;-53.0;567.0;-54.0;144.0;188.0;-283.0
449.0;-63.0;-120.0;-617.0;188.0;-209.0;-105.0
334.0;20.0;-271.0;-577.0;119.0;-320.0;118.0
29.0;-33.0;555.0;-18.0;124.0;193.0;-246.0
107.0;263.0;-479.0;-430.0;-190.0;-487.0;436.0
219.0;-326.0;-205.0;9.0;242.0;-191.0;-141.0
-106.0;371.0;-649.0;-233.0;-466.0;-623.0;898.0
-410.0;568.0;-753.0;329.0;-668.0;-521.0;817.0
624.0;-567.0;681.0;-410.0;665.0;486.0;-777.0
310.0;38.0;293.0;538.0;105.0;285.0;183.0
625.0;-450.0;403.0;-598.0;590.0;250.0;-598.0
24.0;-126.0;560.0;-70.0;178.0;257.0;-407.0
18.0;-122.0;562.0;-73.0;169.0;246.0;-389.0
455.0;-217.0;11.0;-559.0;370.0;-93.0;-204.0
25.0;-107.0;567.0;-78.0;168.0;228.0;-367.0
-16.0;-44.0;584.0;4.0;121.0;250.0;-388.0
-22.0;-80.0;568.0;69.0;98.0;281.0;-372.0
-79.0;-201.0;535.0;262.0;69.0;481.0;-557.0
-39.0;-133.0;496.0;253.0;29.0;327.0;-350.0
-96.0;-40.0;507.0;45.0;111.0;251.0;-421.0
-91.0;-158.0;440.0;394.0;75.0;271.0;-291.0
-78.0;-28.0;526.0;-26.0;130.0;248.0;-398.0
-79.0;-103.0;446.0;303.0;54.0;262.0;-493.0
-345.0;-178.0;236.0;538.0;157.0;368.0;-392.0
61.0;205.0;526.0;351.0;-108.0;482.0;502.0
-140.0;-194.0;461.0;416.0;78.0;487.0;-317.0
433.0;-262.0;-955.0;109.0;317.0;-235.0;-886.0
80.0;126.0;534.0;25.0;79.0;164.0;-598.0
7.0;155.0;494.0;131.0;62.0;130.0;-636.0
527.0;-161.0;-3.0;621.0;465.0;78.0;-279.0
457.0;-74.0;106.0;574.0;255.0;196.0;-91.0
-274.0;-151.0;241.0;550.0;-43.0;215.0;-21.0
-185.0;-182.0;349.0;496.0;6.0;263.0;-175.0
1.0;15.0;680.0;30.0;173.0;276.0;-346.0
571.0;-634.0;-692.0;335.0;686.0;-573.0;-855.0
-393.0;401.0;-21.0;-29.0;-463.0;-205.0;260.0
-172.0;-3.0;455.0;164.0;-26.0;282.0;-394.0
-103.0;74.0;470.0;-120.0;-34.0;278.0;-525.0
63.0;-22.0;539.0;-58.0;137.0;176.0;-521.0
-188.0;-172.0;-461.0;-427.0;110.0;-392.0;-294.0
-45.0;-205.0;-686.0;366.0;226.0;-565.0;-882.0
-75.0;75.0;647.0;-56.0;123.0;250.0;-622.0
-25.0;-5.0;554.0;-117.0;145.0;237.0;-456.0
-60.0;61.0;497.0;-77.0;-4.0;233.0;-475.0
-66.0;-20.0;534.0;-53.0;134.0;244.0;-406.0
52.0;-573.0;769.0;17.0;552.0;613.0;-951.0
7.0;9.0;680.0;41.0;177.0;285.0;-345.0
-109.0;-63.0;483.0;157.0;66.0;251.0;-454.0
-103.0;-85.0;467.0;224.0;58.0;254.0;-474.0
18.0;8.0;594.0;-128.0;146.0;201.0;-419.0
