InertialMeasurementUnit R-SHOE AngVelNavFrameX;InertialMeasurementUnit R-SHOE Body_Az;InertialMeasurementUnit L-SHOE EuZ;InertialMeasurementUnit R-SHOE EuZ;InertialMeasurementUnit R-SHOE AngVelBodyFrameY;InertialMeasurementUnit LUA gyroX;InertialMeasurementUnit RUA gyroX;InertialMeasurementUnit LUA gyroZ;InertialMeasurementUnit R-SHOE AngVelBodyFrameZ;InertialMeasurementUnit L-SHOE Nav_Ax;InertialMeasurementUnit R-SHOE Body_Ax
4;807;-177;-159;4;-94.0;-49.0;-34.0;-11;3;306
15;806;-179;-157;15;-49.0;81.0;30.0;-5;0;268
-2;805;-179;-157;-2;-29.0;53.0;22.0;29;-1;269
-16;808;-179;-157;-16;-62.0;77.0;31.0;22;2;270
-4;806;-179;-157;-4;-48.0;77.0;35.0;-14;-1;269
-13;806;-180;-157;-13;-35.0;16.0;-2.0;-41;-1;269
-7;803;-179;-157;-7;-49.0;30.0;9.0;-1;3;270
-7;802;-179;-157;-7;-42.0;70.0;1.0;0;-2;272
-7;792;-177;-162;-7;-3.0;14.0;-8.0;35;-4;285
-40;809;-177;-159;-40;35.0;-64.0;41.0;54;1;308
-11;799;-177;-162;-11;-56.0;32.0;27.0;-1;2;294
-22;798;-177;-162;-22;-34.0;110.0;18.0;9;-7;291
-8;802;-177;-162;-8;-3.0;-50.0;39.0;-10;-6;284
13;794;-178;-162;13;-31.0;-1.0;29.0;11;3;288
-21;794;-177;-162;-21;-53.0;25.0;8.0;49;-1;282
1769;343;-174;-145;1769;-807.0;-731.0;624.0;2365;12;405
-128;664;-176;-149;-128;-226.0;312.0;325.0;-770;12;502
-21;794;-177;-162;-21;-117.0;-33.0;98.0;-18;-6;285
-18;795;-177;-162;-18;-81.0;-13.0;51.0;-20;3;285
3;797;-177;-162;3;-30.0;-62.0;31.0;-19;1;284
42;804;-173;-162;42;-17.0;115.0;-105.0;20;4;251
9;808;-176;-159;9;103.0;9.0;18.0;-34;-2;305
-9;802;-177;-159;-9;65.0;102.0;30.0;-57;3;295
-14;795;-177;-162;-14;-74.0;56.0;-44.0;-3;2;275
5;811;-174;-161;5;-17.0;-168.0;7.0;1;-9;271
-1;805;-178;-156;-1;-132.0;66.0;23.0;17;7;277
