Accelerometer LH accX;Accelerometer LUA_ accZ;Accelerometer LWR accY;InertialMeasurementUnit LLA accY;Accelerometer LH accZ;InertialMeasurementUnit LLA accZ;Accelerometer LUA_ accX;Accelerometer LUA_ accY
346.0;350.0;860.0;-307.0;64.0;0.0;-12.0;955.0
119.0;254.0;926.0;-310.0;32.0;8.0;79.0;989.0
338.0;368.0;867.0;-348.0;66.0;5.0;39.0;942.0
344.0;361.0;856.0;-347.0;83.0;26.0;56.0;951.0
354.0;349.0;850.0;-337.0;90.0;40.0;76.0;952.0
302.0;365.0;868.0;-380.0;27.0;111.0;138.0;937.0
413.0;404.0;785.0;-90.0;93.0;-41.0;103.0;830.0
123.0;346.0;1032.0;-202.0;280.0;-56.0;-6.0;1059.0
303.0;350.0;884.0;-324.0;75.0;-1.0;8.0;945.0
351.0;358.0;874.0;-331.0;90.0;8.0;51.0;947.0
249.0;210.0;892.0;-474.0;111.0;9.0;10.0;849.0
366.0;330.0;885.0;-336.0;47.0;41.0;24.0;949.0
332.0;341.0;877.0;-303.0;63.0;41.0;38.0;963.0
305.0;405.0;981.0;-311.0;101.0;67.0;19.0;1055.0
341.0;366.0;883.0;-306.0;58.0;37.0;10.0;976.0
333.0;397.0;831.0;-342.0;43.0;96.0;67.0;892.0
336.0;390.0;867.0;-307.0;58.0;0.0;53.0;948.0
-21.0;372.0;665.0;-151.0;90.0;-50.0;-173.0;661.0
340.0;345.0;893.0;-326.0;51.0;16.0;46.0;943.0
329.0;354.0;753.0;-186.0;31.0;260.0;66.0;842.0
350.0;343.0;861.0;-319.0;91.0;18.0;31.0;958.0
215.0;126.0;944.0;-98.0;273.0;-144.0;-38.0;1017.0
337.0;352.0;871.0;-319.0;70.0;28.0;24.0;979.0
338.0;337.0;868.0;-291.0;65.0;30.0;11.0;953.0
417.0;417.0;797.0;-174.0;81.0;131.0;116.0;838.0
352.0;345.0;882.0;-311.0;61.0;28.0;24.0;953.0
376.0;388.0;858.0;-358.0;59.0;12.0;-10.0;950.0
304.0;365.0;889.0;-324.0;59.0;16.0;16.0;965.0
345.0;359.0;876.0;-343.0;27.0;34.0;29.0;952.0
390.0;369.0;847.0;-315.0;40.0;21.0;18.0;960.0
353.0;374.0;877.0;-339.0;77.0;35.0;2.0;933.0
341.0;378.0;840.0;-341.0;92.0;59.0;47.0;952.0
321.0;398.0;858.0;-388.0;100.0;158.0;68.0;905.0
242.0;415.0;840.0;-371.0;133.0;67.0;74.0;924.0
253.0;417.0;839.0;-362.0;82.0;78.0;48.0;924.0
359.0;338.0;888.0;-325.0;63.0;20.0;-14.0;946.0
362.0;356.0;856.0;-342.0;48.0;30.0;6.0;958.0
343.0;370.0;853.0;-342.0;62.0;25.0;21.0;941.0
124.0;146.0;932.0;-35.0;3.0;193.0;265.0;949.0
318.0;353.0;904.0;-286.0;110.0;-101.0;-14.0;969.0
380.0;364.0;856.0;-294.0;57.0;11.0;9.0;966.0
330.0;389.0;875.0;-316.0;66.0;68.0;88.0;943.0
270.0;329.0;861.0;-246.0;48.0;-25.0;-25.0;914.0
400.0;385.0;833.0;-253.0;104.0;-12.0;-34.0;991.0
337.0;331.0;911.0;-303.0;93.0;-25.0;-24.0;979.0
340.0;362.0;885.0;-308.0;72.0;1.0;-11.0;961.0
341.0;370.0;886.0;-320.0;80.0;10.0;-21.0;964.0
350.0;366.0;884.0;-323.0;74.0;4.0;-17.0;970.0
