Accelerometer RKN_ accX;InertialMeasurementUnit L-SHOE AngVelNavFrameZ;InertialMeasurementUnit L-SHOE AngVelBodyFrameX;Accelerometer RKN^ accZ;Accelerometer BACK accZ;InertialMeasurementUnit L-SHOE Nav_Az;InertialMeasurementUnit R-SHOE AngVelNavFrameY;InertialMeasurementUnit L-SHOE Body_Ay
-86.0;44;-14;-1.0;-319.0;22;-22;638
-108.0;26;2;13.0;-362.0;?;-8;645
-103.0;0;0;7.0;-381.0;22;6;643
-115.0;-4;19;15.0;-310.0;21;-14;639
-168.0;12;15;1.0;-305.0;21;2;?
?;-1;?;9.0;-370.0;21;-5;644
-142.0;-7;-4;-5.0;-387.0;21;-6;642
-140.0;12;-46;11.0;-429.0;?;28;644
-110.0;1;-23;-4.0;-337.0;18;7;644
-87.0;17;-37;-22.0;-106.0;21;23;646
?;14;-21;-42.0;-130.0;?;40;650
-94.0;47;22;-33.0;-132.0;20;18;645
-95.0;-16;23;-9.0;-159.0;20;4;644
-131.0;?;33;-7.0;-124.0;19;-10;650
-134.0;39;-2;-2.0;-130.0;21;-23;644
-151.0;-21;-33;-16.0;-204.0;13;4;647
-141.0;-17;-17;-50.0;-106.0;15;-6;650
-126.0;5;-10;-37.0;-42.0;26;-15;642
-144.0;-16;-4;17.0;?;25;-22;641
-136.0;?;27;15.0;-64.0;19;?;647
-99.0;-10;10;?;-185.0;14;-34;650
-102.0;15;-23;-50.0;-219.0;12;-26;648
-95.0;23;5;-23.0;-276.0;14;-4;649
-100.0;19;-1;-38.0;?;14;12;?
-130.0;-6;-5;-40.0;-220.0;20;-1;644
-131.0;-43;8;-10.0;-176.0;22;?;645
?;-21;-32;-22.0;-423.0;18;-35;646
-137.0;-15;-22;-30.0;-410.0;25;2;642
-114.0;-31;14;-15.0;-281.0;21;-2;643
-106.0;7;-4;-14.0;-420.0;23;4;638
-87.0;11;-7;-16.0;-391.0;29;-4;638
-120.0;-22;-1;-13.0;-411.0;20;-7;644
-120.0;-11;0;?;-337.0;22;64;641
-127.0;-10;20;-22.0;-346.0;?;62;639
-94.0;-4;9;-10.0;-341.0;17;1;643
-118.0;-3;7;-30.0;-355.0;19;-19;644
-145.0;-10;42;-48.0;-353.0;21;-9;644
?;1;14;-51.0;-366.0;16;6;645
-139.0;9;-21;-31.0;-409.0;15;-3;648
-119.0;29;12;-40.0;-389.0;16;-13;648
-124.0;15;25;-10.0;-369.0;20;-17;642
-137.0;10;11;-1.0;-163.0;15;7;642
-120.0;-23;6;-11.0;-126.0;19;18;641
-133.0;18;0;-2.0;-117.0;21;4;638
-154.0;10;0;26.0;-150.0;18;6;643
?;-18;-11;-13.0;-181.0;23;?;645
