InertialMeasurementUnit LUA magneticZ;InertialMeasurementUnit BACK magneticX;InertialMeasurementUnit BACK magneticY;InertialMeasurementUnit L-SHOE Compass;InertialMeasurementUnit LLA magneticY;InertialMeasurementUnit R-SHOE Compass;InertialMeasurementUnit RLA Quaternion1;InertialMeasurementUnit LUA Quaternion2;InertialMeasurementUnit RLA Quaternion3;InertialMeasurementUnit LLA Quaternion2;InertialMeasurementUnit RUA Quaternion1
138.0;533.0;-431.0;27;529.0;-7;86.0;674.0;-266.0;-583.0;-448.0
99.0;524.0;-438.0;27;550.0;-7;76.0;666.0;-271.0;-583.0;?
66.0;519.0;-439.0;27;575.0;-7;68.0;663.0;-272.0;-578.0;-477.0
50.0;517.0;-437.0;27;585.0;-7;66.0;669.0;-273.0;-582.0;-477.0
53.0;?;-437.0;27;587.0;-7;72.0;678.0;-281.0;-596.0;-470.0
66.0;515.0;-440.0;27;580.0;?;81.0;686.0;-288.0;-611.0;-459.0
87.0;513.0;-441.0;27;567.0;-7;94.0;692.0;-297.0;-620.0;-445.0
113.0;511.0;-441.0;27;552.0;-7;110.0;699.0;-306.0;-627.0;-427.0
154.0;?;-437.0;27;524.0;-7;127.0;704.0;-317.0;-635.0;-402.0
587.0;503.0;-406.0;27;-196.0;-7;700.0;302.0;-596.0;-246.0;251.0
602.0;504.0;-410.0;27;-196.0;-7;702.0;304.0;-592.0;-246.0;251.0
603.0;506.0;-408.0;27;-192.0;-7;705.0;307.0;-585.0;-246.0;251.0
595.0;505.0;-411.0;27;-188.0;-7;710.0;313.0;-570.0;-245.0;247.0
595.0;504.0;-409.0;?;-180.0;-7;715.0;322.0;-547.0;-244.0;238.0
596.0;505.0;-411.0;27;-173.0;-7;717.0;335.0;-524.0;-245.0;222.0
609.0;506.0;-411.0;27;-164.0;-7;711.0;?;-502.0;-252.0;195.0
619.0;506.0;-409.0;27;-150.0;-7;696.0;382.0;-479.0;-268.0;161.0
628.0;508.0;-406.0;27;-127.0;?;674.0;415.0;-455.0;-292.0;117.0
633.0;510.0;-403.0;27;-97.0;-7;641.0;449.0;-432.0;-322.0;67.0
633.0;511.0;-407.0;27;-52.0;-7;600.0;483.0;-410.0;?;14.0
624.0;516.0;-409.0;27;-2.0;-7;554.0;518.0;-388.0;-382.0;-41.0
601.0;515.0;-411.0;27;48.0;-7;?;547.0;-366.0;-408.0;-96.0
564.0;518.0;-415.0;27;106.0;-7;451.0;570.0;-341.0;-430.0;-148.0
512.0;518.0;-419.0;27;173.0;-7;400.0;589.0;-312.0;-449.0;-199.0
453.0;?;-426.0;27;245.0;-7;349.0;607.0;-280.0;-465.0;-246.0
386.0;522.0;-430.0;27;316.0;-7;296.0;619.0;-250.0;-482.0;-288.0
323.0;524.0;-433.0;27;379.0;-7;243.0;630.0;-224.0;-502.0;-329.0
268.0;523.0;-433.0;27;427.0;-7;?;639.0;-210.0;-521.0;-370.0
211.0;521.0;-432.0;27;471.0;-7;153.0;648.0;-213.0;-539.0;-410.0
153.0;523.0;-431.0;27;510.0;-7;124.0;653.0;-222.0;?;-445.0
95.0;518.0;-432.0;27;539.0;-7;105.0;656.0;-223.0;-573.0;-472.0
