Accelerometer RKN_ accX;InertialMeasurementUnit L-SHOE AngVelNavFrameZ;InertialMeasurementUnit L-SHOE AngVelBodyFrameX;Accelerometer RKN^ accZ;Accelerometer BACK accZ;InertialMeasurementUnit L-SHOE Nav_Az;InertialMeasurementUnit R-SHOE AngVelNavFrameY;InertialMeasurementUnit L-SHOE Body_Ay
-8.0;0;-7;345.0;-678.0;17;-16;662
18.0;-10;6;29.0;-604.0;20;1;656
-52.0;-2;2;147.0;-560.0;17;-12;682
-100.0;-23;29;229.0;-650.0;8;-26;669
-109.0;-2;-11;128.0;-560.0;16;14;665
-115.0;8;17;147.0;-526.0;15;-20;676
-141.0;-20;4;139.0;-531.0;17;12;677
-108.0;20;-21;147.0;-521.0;20;36;656
-136.0;-9;3;186.0;-499.0;22;-8;653
-407.0;-23;-51;417.0;-743.0;17;50;692
-124.0;-13;7;249.0;-572.0;18;-198;667
-82.0;-28;-36;216.0;-558.0;12;-6;675
-156.0;-37;34;286.0;-569.0;44;41;647
-20.0;45;12;198.0;-641.0;104;-1;662
-94.0;0;14;167.0;-463.0;20;17;656
-116.0;-146;-10;79.0;-500.0;8;-23;682
56.0;1110;-543;136.0;-635.0;72;14;785
-460.0;15;-22;35.0;-582.0;14;451;692
-90.0;5;1;209.0;-400.0;22;17;664
-118.0;-10;7;207.0;-476.0;18;1;658
-129.0;-1121;148;297.0;-465.0;-123;-25;763
-83.0;18;27;145.0;-487.0;24;-40;655
-106.0;-8;10;147.0;-459.0;13;-1;660
-38.0;-339;-200;186.0;-358.0;-952;-15;2219
-90.0;7;15;152.0;-480.0;14;-40;657
-100.0;-6;1;161.0;-485.0;26;-31;652
-101.0;11;-10;144.0;-488.0;28;-41;651
-66.0;-5;12;128.0;-501.0;17;8;671
-145.0;6;12;144.0;-483.0;15;-23;675
-127.0;6;17;169.0;-467.0;21;-37;652
-138.0;8;15;165.0;-458.0;22;-9;649
-108.0;3;-10;115.0;-490.0;23;21;653
-117.0;20;21;108.0;-530.0;19;18;655
-107.0;-11;30;129.0;-509.0;17;-44;658
-155.0;19;11;184.0;-489.0;16;29;654
-97.0;-2;13;122.0;-474.0;22;-14;652
-128.0;46;37;-11.0;-503.0;10;5;661
-119.0;-24;1;134.0;-502.0;20;45;656
-123.0;10;2;132.0;-474.0;24;17;654
-118.0;33;31;135.0;-495.0;18;10;655
-94.0;-7;11;101.0;-517.0;16;-8;655
-137.0;155;177;260.0;-521.0;51;37;172
-137.0;5;-3;127.0;-494.0;19;-20;654
-155.0;-2508;7858;362.0;-651.0;-941;-2143;1679
-169.0;-314;30;333.0;-675.0;-8;29;617
-144.0;15;2;391.0;-759.0;17;-66;661
-72.0;-8;-12;387.0;-956.0;11;-7;675
-127.0;12;-4;129.0;-505.0;16;-13;656
-108.0;10;19;130.0;-508.0;21;27;657
-97.0;17;7;139.0;-505.0;14;7;660
-133.0;-9;-7;185.0;-459.0;19;49;656
-52.0;-5;23;184.0;-545.0;18;-34;656
18.0;6;16;276.0;-578.0;28;28;654
-117.0;-11;0;247.0;-879.0;18;-39;651
-54.0;6;-23;181.0;-511.0;15;-50;658
-57.0;15;15;519.0;-666.0;30;-723;660
-145.0;-6;8;120.0;-493.0;25;-13;657
-135.0;-1;-11;165.0;-470.0;21;-9;654
-11.0;639;-482;100.0;-430.0;-64;27;615
5.0;5;-33;112.0;-711.0;0;250;674
-101.0;-2;-3;149.0;-457.0;20;-14;659
-114.0;-14;26;115.0;-459.0;17;28;659
-114.0;1;-10;100.0;-510.0;14;13;659
-20.0;9;2;80.0;-750.0;19;-403;679
-148.0;41;108;-41.0;-482.0;-19;4266;675
-120.0;17;0;136.0;-470.0;20;25;657
-19.0;-48;63;-227.0;-737.0;24;-612;659
-101.0;0;47;150.0;-449.0;33;-3;650
-138.0;-2;-13;163.0;-463.0;17;3;658
-137.0;11;9;152.0;-451.0;14;24;660
-119.0;-14;21;119.0;-481.0;16;-12;658
-74.0;1420;-1868;99.0;-639.0;2669;-631;2158
-109.0;4;8;132.0;-484.0;19;4;659
-67.0;-10;34;44.0;-482.0;23;-12;654
-128.0;15;3;139.0;-482.0;18;18;653
-96.0;20;2;145.0;-474.0;18;-4;656
-122.0;-3;18;158.0;-441.0;20;-4;652
-117.0;-3;-8;166.0;-470.0;15;-22;658
-108.0;19;-2;150.0;-472.0;19;0;656
-136.0;28;-8;150.0;-470.0;19;-30;660
-127.0;-10;-10;111.0;-499.0;22;23;653
-35.0;-240;244;54.0;-706.0;65;-4168;649
-141.0;10;24;138.0;-476.0;25;25;654
-121.0;26;15;121.0;-482.0;19;7;656
-69.0;-4;23;286.0;-502.0;18;8;656
-100.0;10;2;126.0;-471.0;20;-19;654
-68.0;-2;3;207.0;-481.0;14;41;648
-49.0;-4;-83;169.0;-490.0;13;1;642
-125.0;6;13;119.0;-504.0;16;23;660
-92.0;-11;13;120.0;-491.0;17;-4;658
8.0;-1;-11;-411.0;-668.0;26;-115;668
43.0;12;14;109.0;-522.0;17;1;681
-127.0;5;11;138.0;-464.0;23;-7;657
-105.0;9;0;109.0;-534.0;23;31;659
-107.0;-14;-9;139.0;-469.0;13;-4;658
-94.0;-13;11;106.0;-503.0;17;13;654
-123.0;16;31;120.0;-509.0;22;9;655
-101.0;2;-10;112.0;-476.0;18;-21;660
-136.0;-8;10;194.0;-431.0;17;33;658
-360.0;-24;6;-80.0;-485.0;22;1;642
-439.0;-27;-35;294.0;-590.0;8;7;679
-441.0;-17;15;129.0;-528.0;20;-141;671
-739.0;3;24;142.0;-620.0;16;27;668
-117.0;23;-26;6.0;-556.0;17;-42;663
20.0;3904;25;-53.0;-580.0;63;4;723
-140.0;64;0;127.0;-550.0;19;5;659
-120.0;19;14;121.0;-566.0;23;-34;657
-234.0;-6;12;96.0;-588.0;17;-36;663
-294.0;-1257;672;55.0;-577.0;1136;1;111
-402.0;-54;-34;47.0;-714.0;6;6;681
-154.0;-7;24;125.0;-585.0;30;23;661
-65.0;-3743;748;358.0;-510.0;37;32;910
-159.0;-1455;3271;23.0;-542.0;-237;-30;991
-105.0;14;-24;127.0;-521.0;12;5;648
-112.0;-10;1;119.0;-499.0;23;-25;657
-13.0;-80;-22;211.0;-520.0;14;-12;671
-229.0;17;3;55.0;-540.0;19;-23;677
-142.0;186;-2134;58.0;-514.0;14;-33;525
-126.0;1;9;117.0;-494.0;18;-12;669
-119.0;8;13;168.0;-500.0;17;26;658
-135.0;-24;4;120.0;-495.0;20;12;671
29.0;26;-33;90.0;-639.0;10;1052;691
-114.0;-1;2;120.0;-499.0;17;-24;658
-128.0;-3;-6;168.0;-480.0;17;-16;655
-182.0;82;105;421.0;-562.0;-8;-18;638
-120.0;22;-8;138.0;-486.0;16;-19;657
-143.0;-15;2;125.0;-760.0;14;-3;659
-187.0;-15;-7;136.0;-546.0;14;33;666
-116.0;-16;31;100.0;-512.0;21;0;668
-139.0;28;11;185.0;-489.0;17;5;652
-107.0;15;18;168.0;-464.0;21;3;655
-130.0;-6;31;97.0;-624.0;26;-27;642
-139.0;24;-9;232.0;-492.0;19;-7;654
-105.0;6;-15;115.0;-480.0;20;16;651
-101.0;-13;7;-21.0;-529.0;18;-18;670
-115.0;-1;-9;140.0;-480.0;19;-2;656
-129.0;-5;17;162.0;-463.0;18;19;655
-118.0;-9;24;96.0;-520.0;23;14;665
-109.0;-3;-23;110.0;-484.0;23;15;651
-127.0;-9;4;111.0;-580.0;16;-43;650
-108.0;21;-4;106.0;-510.0;18;0;669
-109.0;-7;1;98.0;-546.0;18;-250;656
-212.0;-16;11;80.0;-671.0;15;-13;664
-110.0;-6;12;89.0;-504.0;17;-14;667
-118.0;1;-4;179.0;-473.0;21;31;656
-120.0;-7;0;107.0;-514.0;18;-5;668
-127.0;-2;6;167.0;-464.0;19;-34;653
-105.0;-41;-4;121.0;-630.0;18;-13;649
-67.0;-181;-1260;200.0;-481.0;165;-2;207
-51.0;-19;6;506.0;-843.0;19;1;669
-90.0;-6;23;151.0;-470.0;16;5;660
-342.0;-1576;-2425;8.0;-604.0;938;-67;304
-158.0;2;-131;340.0;-559.0;65;22;581
-118.0;3;-1;99.0;-508.0;14;5;669
-114.0;20;16;111.0;-526.0;23;-22;650
-115.0;8;15;100.0;-511.0;17;1;665
-110.0;30;3;158.0;-462.0;22;-13;652
-32.0;-365;1788;12.0;-475.0;-12;-32;600
-104.0;-1806;194;73.0;-396.0;97;22;758
-148.0;-36;-9;135.0;-595.0;25;13;661
-103.0;-9;28;109.0;-509.0;18;-34;664
20.0;-15;-10;295.0;-537.0;18;-113;679
-309.0;-12;2;879.0;-633.0;11;2;762
0.0;-29;171;61.0;-489.0;20;15;677
-122.0;-12;15;140.0;-489.0;20;7;664
-128.0;10;2;119.0;-529.0;22;-14;652
-18.0;14;-6;43.0;-539.0;20;36;660
8.0;7;0;-23.0;-513.0;18;-23;654
-112.0;-11;4;101.0;-499.0;15;-1;667
-101.0;-8;-11;118.0;-531.0;17;-42;657
-109.0;12;-19;86.0;-502.0;19;-20;666
-118.0;-34;2;102.0;-508.0;31;-27;659
-108.0;-23;13;97.0;-512.0;42;6;654
-98.0;-4;-8;90.0;-496.0;20;-23;654
-91.0;2;-11;107.0;-528.0;25;-21;644
-107.0;2119;-2000;-83.0;-478.0;-133;-34;706
-242.0;-186;-167;179.0;-576.0;55;25;196
-105.0;15;2;99.0;-511.0;16;-6;669
-103.0;-1;-24;109.0;-500.0;20;25;666
-88.0;18;2;168.0;-465.0;18;-24;658
-267.0;-13;-4;421.0;-420.0;16;32;652
-118.0;16;-21;173.0;-491.0;17;10;654
-105.0;-46;22;85.0;-531.0;23;-48;645
-118.0;20;-12;143.0;-471.0;16;12;657
-111.0;-7;0;194.0;-474.0;24;17;650
-225.0;664;-3997;-73.0;-386.0;644;-30;530
-93.0;-10;-11;9.0;-488.0;21;23;650
-114.0;3;20;179.0;-406.0;19;12;663
-83.0;-15;16;-8.0;-436.0;27;-3;662
-109.0;-21;23;109.0;-499.0;24;-32;647
-153.0;-14;24;128.0;-415.0;15;-16;701
-98.0;4;-77;-19.0;-488.0;20;16;649
-81.0;-882;-861;339.0;-607.0;-21;-11;797
-86.0;8;11;158.0;-456.0;21;9;651
-99.0;-16;14;86.0;-490.0;17;22;666
-116.0;9;3;111.0;-410.0;21;3;659
22.0;-649;-203;-18.0;-481.0;65;-12;649
11.0;-276;145;108.0;-481.0;15;-41;720
-306.0;2113;-4373;56.0;-375.0;-394;-281;1172
-109.0;-11;30;158.0;-465.0;23;24;652
-122.0;-2;2;146.0;-400.0;21;-7;657
-125.0;25;11;186.0;-426.0;18;-18;657
-108.0;-54;-35;104.0;-695.0;12;-63;647
-361.0;0;9;879.0;-745.0;16;-1;755
-39.0;7;-9;465.0;-410.0;16;13;667
-122.0;-18;-6;184.0;-445.0;16;-12;661
-100.0;14;13;107.0;-553.0;21;-962;656
-52.0;5;44;216.0;-836.0;17;110;665
-102.0;14;34;148.0;-427.0;23;-13;653
-319.0;-440;894;57.0;-775.0;-141;-7381;813
-117.0;-25;12;100.0;-497.0;20;-21;668
-213.0;-14;2;-65.0;-609.0;21;-27;658
-93.0;-18;-11;109.0;-439.0;15;40;658
-117.0;0;19;-141.0;-438.0;19;7;648
-98.0;-20;-3;196.0;-407.0;22;20;671
33.0;22;13;-27.0;-511.0;22;-519;654
-15.0;-520;109;-200.0;-628.0;11;-415;499
-110.0;1;-23;-4.0;-337.0;18;7;644
-93.0;23;0;128.0;-429.0;20;16;654
-84.0;-31;-38;198.0;-423.0;12;5;673
-50.0;-33;188;186.0;-639.0;-12;-1680;686
-56.0;-47;5;-220.0;-655.0;21;221;680
-102.0;-7;26;117.0;-409.0;17;36;657
-121.0;14;22;12.0;-454.0;18;18;669
-111.0;14;-8;89.0;-489.0;22;22;662
-104.0;20;25;139.0;-423.0;25;13;652
-168.0;1;-36;37.0;-467.0;23;30;659
-111.0;-29;3;-49.0;-432.0;20;14;676
-109.0;26;-1;141.0;-458.0;19;1;657
23.0;8;0;-36.0;-454.0;16;5;659
-145.0;-154;-139;131.0;-429.0;-17;-27;718
-356.0;-520;4032;439.0;-666.0;84;-4499;558
21.0;-11;7;-11.0;-569.0;15;28;663
-73.0;-37;-42;-12.0;-442.0;25;529;655
-194.0;-8;10;441.0;-396.0;20;13;666
-3.0;-2;-22;-75.0;-691.0;20;-41;665
-107.0;50;53;30.0;-470.0;24;-39;658
-118.0;39;-16;128.0;-439.0;14;-7;657
-179.0;330;-185;291.0;-539.0;125;5;211
16.0;-168;832;136.0;-610.0;86;-24;743
-235.0;-26;-5;-21.0;-420.0;21;-48;658
-354.0;-15;-19;111.0;-524.0;16;85;668
-72.0;14;20;286.0;-419.0;20;44;660
-113.0;-37;-331;100.0;-580.0;36;-15;675
-110.0;33;-7;103.0;-470.0;15;2;660
-108.0;-28;-19;132.0;-432.0;20;-35;654
595.0;24;-36;148.0;-480.0;24;20;656
-453.0;-81;32;164.0;-769.0;24;-458;670
-114.0;16;-32;98.0;-682.0;17;36;658
-115.0;-15;-15;142.0;-411.0;17;-9;657
-128.0;19;-21;119.0;-430.0;19;14;656
-139.0;26;-3;156.0;-431.0;18;18;657
-99.0;-12;-31;72.0;-476.0;23;6;653
-115.0;14;-6;137.0;-448.0;22;-8;655
-121.0;11;5;129.0;-435.0;17;21;658
-79.0;8;35;198.0;-463.0;16;11;647
-120.0;-22;-1;-13.0;-411.0;20;-7;644
-82.0;-7;11;199.0;-410.0;21;-13;667
-144.0;5;2;133.0;-449.0;18;10;656
-182.0;-23;40;145.0;-450.0;14;44;674
-131.0;-7;-9;117.0;-460.0;17;19;654
-127.0;7;14;142.0;-460.0;19;-23;655
-101.0;36;1;86.0;-865.0;8;-14;686
-143.0;9;2;159.0;-458.0;23;11;648
-96.0;-1;-18;147.0;-457.0;14;-32;660
-29.0;114;-100;-38.0;-280.0;2;326;585
33.0;-2;230;-167.0;-455.0;30;6003;684
-118.0;-24;22;172.0;-452.0;15;11;655
35.0;-17;0;79.0;-699.0;21;-19;647
-153.0;-7;-7;143.0;-438.0;15;1;658
-117.0;12;21;169.0;-462.0;19;-40;655
-10.0;-111;2438;112.0;-670.0;-48;-2322;585
-111.0;-19;23;128.0;-448.0;21;-4;654
-145.0;-17;16;91.0;-482.0;17;-16;653
-21.0;-28;48;101.0;-545.0;24;2407;649
-109.0;4;2;127.0;-460.0;19;-20;655
-108.0;-8;16;121.0;-430.0;18;-19;658
-94.0;17;-6;119.0;-471.0;23;-27;656
-90.0;-2;12;148.0;-460.0;32;26;639
-118.0;12;-17;161.0;-427.0;12;18;659
-305.0;-41;1;32.0;-452.0;22;-19;660
-97.0;-7;1;129.0;-440.0;19;0;654
-143.0;0;22;126.0;-471.0;18;10;659
-173.0;-3;19;246.0;-498.0;15;385;684
-122.0;-2;6;-20.0;-116.0;19;-7;639
-106.0;27;22;109.0;-454.0;20;6;653
-77.0;749;208;299.0;-514.0;-2;-15;714
-110.0;-10;11;99.0;-480.0;18;-27;657
-125.0;-9;-25;48.0;-390.0;18;9;656
-78.0;25;-6;544.0;-845.0;17;-267;662
-80.0;1866;353;129.0;-611.0;10;-12;755
-131.0;-18;20;131.0;-430.0;21;22;653
-158.0;-13;14;169.0;-386.0;18;-15;671
15.0;67;103;71.0;-304.0;20;-29;712
-145.0;-14;2;141.0;-428.0;22;30;656
-101.0;26;16;128.0;-445.0;20;44;653
-100.0;-5;25;96.0;-443.0;16;-5;656
29.0;-20;-1;-93.0;-540.0;23;-224;669
-91.0;11;-11;185.0;-397.0;20;-41;671
-191.0;-21;-32;-74.0;-679.0;23;-25;661
