Accelerometer RKN_ accX;InertialMeasurementUnit L-SHOE AngVelNavFrameZ;InertialMeasurementUnit L-SHOE AngVelBodyFrameX;Accelerometer RKN^ accZ;Accelerometer BACK accZ;InertialMeasurementUnit L-SHOE Nav_Az;InertialMeasurementUnit R-SHOE AngVelNavFrameY;InertialMeasurementUnit L-SHOE Body_Ay
8.0;50;15;459.0;-709.0;18;45;665
18.0;-10;6;29.0;-604.0;20;1;656
-12.0;-27;4;80.0;-750.0;18;-18;670
-81.0;22;3;303.0;-694.0;17;-54;660
-63.0;3;-32;103.0;-565.0;21;30;660
-115.0;8;17;147.0;-526.0;15;-20;676
-148.0;-36;-9;135.0;-595.0;25;13;661
-21.0;-28;48;101.0;-545.0;24;2407;649
-118.0;-10;7;207.0;-476.0;18;1;658
-439.0;-10;-30;361.0;-621.0;23;-32;655
-335.0;-536;3021;265.0;-585.0;-414;-7152;1339
-104.0;-144;-1488;236.0;-461.0;44;17;358
-156.0;-37;34;286.0;-569.0;44;41;647
110.0;15;-20;72.0;-630.0;21;25;667
-127.0;12;-4;129.0;-505.0;16;-13;656
-139.0;24;-9;232.0;-492.0;19;-7;654
-109.0;1316;85;123.0;-596.0;28;-2;726
-58.0;776;869;347.0;-592.0;254;51;586
-46.0;-731;-480;72.0;-536.0;-15;6;703
-82.0;-7;11;199.0;-410.0;21;-13;667
-127.0;-2;6;167.0;-464.0;19;-34;653
-80.0;33;-459;200.0;-602.0;-33;-1;689
-225.0;-13;6;448.0;-411.0;20;15;651
-251.0;-365;40;20.0;-438.0;-335;29;1777
-119.0;8;13;168.0;-500.0;17;26;658
-54.0;-16;10;153.0;-463.0;19;-32;660
-634.0;-29;8;89.0;-579.0;19;25;685
-17.0;-47;4;245.0;-701.0;17;980;657
-166.0;1070;-1468;8.0;-578.0;40;45;820
-460.0;15;-22;35.0;-582.0;14;451;692
-131.0;1;1;98.0;-658.0;15;6;656
-109.0;-4;2;95.0;-512.0;16;-14;666
10.0;0;1;-19.0;-569.0;16;450;655
-84.0;-31;-38;198.0;-423.0;12;5;673
3.0;-76;448;-35.0;-520.0;-80;-4573;785
-148.0;41;108;-41.0;-482.0;-19;4266;675
-143.0;-15;2;125.0;-760.0;14;-3;659
-131.0;-17;9;139.0;-453.0;22;8;653
-127.0;-9;4;111.0;-580.0;16;-43;650
-97.0;-25;-9;44.0;-606.0;13;-837;659
-123.0;1904;-2216;206.0;-493.0;445;-11;1039
-38.0;7;-7;223.0;-530.0;10;-35;674
-97.0;17;7;139.0;-505.0;14;7;660
-92.0;-2;43;146.0;-477.0;34;47;638
-122.0;189;280;377.0;-597.0;0;64;629
-72.0;-8;-12;387.0;-956.0;11;-7;675
-100.0;-10;-10;125.0;-440.0;22;4;656
-323.0;-11;-6;873.0;-649.0;18;-3;750
-110.0;-10;11;99.0;-480.0;18;-27;657
-311.0;-23;-19;88.0;-518.0;21;37;668
-90.0;5;1;209.0;-400.0;22;17;664
33.0;3577;42;-55.0;-532.0;72;-44;708
-51.0;-18;1;405.0;-532.0;20;-18;650
-3.0;-2;-22;-75.0;-691.0;20;-41;665
-176.0;-8;-18;-56.0;-619.0;23;421;668
-136.0;28;-8;150.0;-470.0;19;-30;660
-131.0;-23;-22;456.0;-401.0;20;6;662
-146.0;94;48;10.0;-512.0;13;-2;661
-136.0;-2944;883;156.0;-531.0;-270;-15;1017
-53.0;-1456;306;235.0;-437.0;19;8;713
20.0;-12;-2;-30.0;-566.0;16;-2;659
-100.0;10;2;126.0;-471.0;20;-19;654
-126.0;-5;13;74.0;-465.0;18;34;655
93.0;-2255;7024;358.0;-640.0;-320;-1792;1172
-111.0;23;-10;105.0;-481.0;16;17;668
-109.0;-7;1;98.0;-546.0;18;-250;656
-192.0;-29;-17;158.0;-418.0;18;304;653
-100.0;-11;19;121.0;-432.0;18;8;660
595.0;24;-36;148.0;-480.0;24;20;656
-109.0;2;-5;175.0;-449.0;14;25;658
-264.0;-1859;-642;60.0;-612.0;85;-18;623
-108.0;-28;-19;132.0;-432.0;20;-35;654
-42.0;-287;264;2.0;-505.0;-4;-91;662
-371.0;-505;-3097;-159.0;-482.0;831;-243;293
-121.0;11;5;129.0;-435.0;17;21;658
-91.0;-23;-2;489.0;-834.0;17;-21;658
-123.0;16;31;120.0;-509.0;22;9;655
-125.0;-13;2;126.0;-393.0;17;-17;658
-106.0;19;2;134.0;-421.0;21;-4;654
27.0;-13;-2;157.0;-503.0;14;5;679
-137.0;10;11;-1.0;-163.0;15;7;642
-135.0;-13;25;98.0;-439.0;18;-11;656
-144.0;10;-3;144.0;-424.0;22;-6;655
-37.0;-7;14;495.0;-660.0;15;-617;667
-114.0;-32;-7;-87.0;-629.0;21;-57;658
10.0;-23;16;-18.0;-705.0;12;-402;672
17.0;-8;0;-30.0;-459.0;18;15;651
33.0;-2;230;-167.0;-455.0;30;6003;684
-99.0;-12;-31;72.0;-476.0;23;6;653
130.0;-413;3464;50.0;-723.0;-86;-1251;699
26.0;-19;7;-36.0;-490.0;19;-42;647
-322.0;-16;2;56.0;-670.0;11;-4;668
-50.0;-33;188;186.0;-639.0;-12;-1680;686
-102.0;9;3;109.0;-422.0;20;-20;658
-54.0;5;-8;-9.0;-457.0;16;-23;655
-126.0;69;108;172.0;-559.0;73;30;119
-139.0;9;-21;-31.0;-409.0;15;-3;648
0.0;2;2120;75.0;-767.0;-9;-340;620
-306.0;2113;-4373;56.0;-375.0;-394;-281;1172
-90.0;-12;21;37.0;-453.0;16;-17;654
