InertialMeasurementUnit R-SHOE AngVelNavFrameX;InertialMeasurementUnit R-SHOE Body_Az;InertialMeasurementUnit L-SHOE EuZ;InertialMeasurementUnit R-SHOE EuZ;InertialMeasurementUnit R-SHOE AngVelBodyFrameY;InertialMeasurementUnit LUA gyroX;InertialMeasurementUnit RUA gyroX;InertialMeasurementUnit LUA gyroZ;InertialMeasurementUnit R-SHOE AngVelBodyFrameZ;InertialMeasurementUnit L-SHOE Nav_Ax;InertialMeasurementUnit R-SHOE Body_Ax
-6;794;-176;-157;-6;122.0;90.0;-15.0;-14;-3;274
15;800;-179;-162;15;-25.0;-9.0;11.0;-12;3;273
-2;805;-179;-157;-2;-29.0;53.0;22.0;29;-1;269
-16;805;-177;-159;-16;-36.0;32.0;30.0;25;0;306
16;801;-177;-159;16;-65.0;-38.0;47.0;-20;2;307
-320;948;-169;-177;-320;-23.0;149.0;-201.0;-1075;-53;99
-7;803;-179;-157;-7;-49.0;30.0;9.0;-1;3;270
-11;805;-177;-159;-11;-219.0;-148.0;2.0;6;-1;309
-26;775;-176;-160;-26;28.0;51.0;0.0;28;0;300
30;802;-177;-159;30;-69.0;-3.0;68.0;-14;-4;314
-11;799;-177;-162;-11;-56.0;32.0;27.0;-1;2;294
281;472;-176;-150;281;-113.0;-14.0;66.0;487;-6;441
5;788;-176;-156;5;110.0;-145.0;103.0;3;3;284
13;794;-178;-162;13;-31.0;-1.0;29.0;11;3;288
-509;1012;-167;-161;-509;-421.0;-432.0;119.0;1659;143;108
676;749;-177;-161;676;-622.0;-994.0;98.0;978;2;166
-17;808;-174;-163;-17;74.0;-314.0;-109.0;-20;5;259
78;593;-174;-152;78;-192.0;-118.0;-70.0;-22;6;478
-18;795;-177;-162;-18;-81.0;-13.0;51.0;-20;3;285
3;797;-177;-162;3;-30.0;-62.0;31.0;-19;1;284
28;793;-176;-156;28;39.0;85.0;7.0;-35;-4;301
10;805;-177;-159;10;2.0;33.0;-13.0;-20;-3;306
6;798;-176;-159;6;-73.0;5.0;8.0;21;0;308
-519;743;190;-150;-519;-485.0;99.0;609.0;-954;108;3803
2;803;-176;-159;2;-74.0;4.0;9.0;11;4;307
-8;794;-179;-162;-8;-204.0;-18.0;24.0;-9;-2;274
357;629;-158;-168;357;296.0;309.0;-768.0;-1366;572;252
-87;807;-177;-160;-87;-83.0;-87.0;26.0;51;-3;295
-741;680;177;-154;-741;299.0;1012.0;-369.0;-1624;39;50
16;789;145;-158;16;26.0;33.0;95.0;-32;-281;309
123;1664;165;-56;123;-232.0;36.0;641.0;1216;-22;193
0;802;-177;-159;0;-83.0;-49.0;37.0;9;1;305
2;801;-177;-159;2;-35.0;-50.0;105.0;-30;-4;301
14;804;-176;-159;14;-83.0;-79.0;169.0;9;-2;307
15;797;-177;-162;15;-47.0;55.0;4.0;-16;-8;286
-5;803;-177;-159;-5;-90.0;19.0;41.0;-23;-8;302
0;802;-177;-159;0;23.0;0.0;17.0;-12;2;304
17;795;-176;-159;17;50.0;76.0;-72.0;2;-2;306
679;586;174;-175;679;367.0;165.0;271.0;-1918;124;287
7;811;-172;-156;7;-23.0;-795.0;1043.0;-26;38;238
5;803;-177;-159;5;-43.0;-38.0;7.0;-5;-6;310
526;734;-178;-165;526;-152.0;123.0;-50.0;900;7;226
-36;801;-177;-159;-36;-139.0;26.0;22.0;27;4;302
-21;794;-177;-162;-21;-117.0;-33.0;98.0;-18;-6;285
19;801;177;-167;19;-68.0;-123.0;82.0;9;-3;260
6;809;176;-174;6;-18.0;115.0;339.0;-31;-7;245
9;795;-174;-158;9;-59.0;-2.0;37.0;-6;-2;297
8;797;-174;-158;8;-65.0;-21.0;33.0;-32;-7;293
-11;797;-174;-158;-11;-59.0;-17.0;32.0;4;0;292
1087;2244;77;-80;1087;55.0;-122.0;504.0;1266;-65;411
1039;604;-178;-146;1039;-361.0;-352.0;-37.0;2630;-8;562
45;797;179;-158;45;-60.0;-62.0;-41.0;29;-8;305
8;805;-174;-158;8;-46.0;-28.0;4.0;11;1;285
-21;808;-174;-158;-21;-10.0;-2.0;-24.0;-10;5;292
3;803;-176;-159;3;45.0;27.0;34.0;11;-2;311
13;810;178;-153;13;-63.0;66.0;23.0;1;11;253
-30;799;150;-177;-30;-106.0;196.0;87.0;-52;287;209
-13;796;-177;-162;-13;-125.0;2.0;63.0;-6;-3;278
-20;809;164;-174;-20;-45.0;52.0;39.0;-6;2;258
-220;803;177;-174;-220;-248.0;83.0;59.0;48;35;295
-10;801;-174;-158;-10;-67.0;5.0;-9.0;0;6;283
1;799;-174;-158;1;-51.0;13.0;-1.0;17;1;285
-1;796;-174;-158;-1;-48.0;-2.0;-11.0;5;-1;287
-13;807;178;-153;-13;-12.0;37.0;12.0;-34;0;254
-22;807;174;-156;-22;-43.0;-3.0;33.0;17;-5;250
-8;804;177;-167;-8;-61.0;-11.0;-41.0;-24;5;256
-103;799;-175;-160;-103;-26.0;-12.0;34.0;59;3;303
-24;798;-174;-158;-24;-29.0;-36.0;-1.0;-4;-4;288
-4;811;171;180;-4;-48.0;-27.0;-12.0;1;-9;254
28;817;-177;-155;28;-116.0;-173.0;-116.0;-37;6;249
8;798;-174;-158;8;-9.0;-32.0;-11.0;0;2;286
-10;807;164;-174;-10;1.0;-13.0;48.0;-3;5;257
-11;792;-174;-158;-11;-17.0;0.0;-15.0;19;1;291
16;793;179;-158;16;-29.0;7.0;26.0;-2;-6;310
-4;808;-179;-157;-4;-36.0;20.0;22.0;-4;0;273
-6;806;-179;-157;-6;-21.0;50.0;5.0;16;-1;272
