InertialMeasurementUnit BACK accZ;InertialMeasurementUnit LUA accZ;Accelerometer BACK accX;Accelerometer LUA^ accZ;Accelerometer LUA^ accX;Accelerometer HIP accZ
88.0;-223.0;48.0;835.0;335.0;319.0
-25.0;-291.0;51.0;848.0;268.0;339.0
204.0;-461.0;92.0;931.0;261.0;347.0
37.0;-499.0;65.0;1017.0;361.0;286.0
93.0;-380.0;118.0;1144.0;350.0;316.0
84.0;-197.0;126.0;1219.0;342.0;288.0
46.0;-97.0;116.0;1210.0;?;291.0
63.0;-159.0;?;1068.0;193.0;294.0
93.0;-151.0;-14.0;1072.0;290.0;303.0
-18.0;-93.0;237.0;1033.0;431.0;402.0
-31.0;-70.0;235.0;893.0;299.0;416.0
-12.0;63.0;234.0;1007.0;486.0;390.0
-31.0;219.0;?;967.0;399.0;386.0
-50.0;397.0;223.0;1005.0;322.0;384.0
-39.0;516.0;133.0;972.0;379.0;428.0
-52.0;506.0;141.0;941.0;471.0;419.0
-60.0;344.0;77.0;892.0;619.0;430.0
-50.0;228.0;192.0;850.0;708.0;411.0
-64.0;27.0;160.0;746.0;792.0;364.0
?;-39.0;128.0;805.0;860.0;396.0
-100.0;-15.0;136.0;817.0;732.0;425.0
-110.0;-25.0;121.0;863.0;643.0;399.0
-54.0;-41.0;82.0;918.0;518.0;402.0
15.0;-98.0;31.0;909.0;415.0;372.0
44.0;-167.0;111.0;841.0;419.0;344.0
67.0;-230.0;89.0;874.0;413.0;351.0
108.0;-228.0;105.0;911.0;380.0;374.0
47.0;-178.0;-110.0;867.0;417.0;346.0
71.0;-171.0;-21.0;824.0;333.0;299.0
131.0;-197.0;?;782.0;?;329.0
105.0;-224.0;38.0;776.0;359.0;340.0
145.0;-371.0;16.0;750.0;312.0;307.0
72.0;-524.0;48.0;772.0;287.0;314.0
108.0;-463.0;77.0;902.0;309.0;334.0
76.0;-298.0;71.0;1059.0;312.0;371.0
44.0;-103.0;-44.0;1297.0;273.0;375.0
11.0;120.0;-68.0;1374.0;276.0;302.0
59.0;205.0;6.0;1247.0;?;321.0
73.0;145.0;28.0;1068.0;409.0;338.0
58.0;-101.0;28.0;989.0;471.0;316.0
?;-324.0;?;871.0;554.0;336.0
3.0;-30.0;230.0;1051.0;62.0;418.0
4.0;-85.0;244.0;718.0;329.0;406.0
9.0;-40.0;227.0;995.0;346.0;413.0
4.0;58.0;187.0;896.0;431.0;425.0
-1.0;148.0;222.0;1007.0;371.0;425.0
-12.0;283.0;?;989.0;352.0;?
-20.0;367.0;144.0;970.0;413.0;409.0
-14.0;409.0;215.0;944.0;?;448.0
-37.0;374.0;261.0;944.0;586.0;428.0
-59.0;300.0;77.0;871.0;655.0;426.0
-72.0;216.0;172.0;782.0;779.0;405.0
-73.0;148.0;114.0;780.0;772.0;416.0
-137.0;72.0;147.0;875.0;751.0;413.0
-84.0;-14.0;102.0;855.0;679.0;388.0
-62.0;-80.0;101.0;890.0;626.0;396.0
-17.0;-131.0;63.0;861.0;586.0;356.0
23.0;-191.0;9.0;?;504.0;377.0
89.0;-217.0;47.0;857.0;452.0;379.0
115.0;-238.0;-67.0;813.0;402.0;381.0
117.0;-265.0;11.0;812.0;404.0;378.0
127.0;-266.0;37.0;800.0;350.0;334.0
206.0;-167.0;113.0;795.0;334.0;385.0
153.0;-222.0;28.0;751.0;352.0;338.0
125.0;-357.0;51.0;817.0;316.0;339.0
74.0;-344.0;45.0;872.0;293.0;355.0
105.0;-286.0;62.0;1044.0;377.0;368.0
89.0;?;38.0;1197.0;?;354.0
77.0;77.0;48.0;1300.0;370.0;347.0
62.0;62.0;53.0;1200.0;?;348.0
87.0;-89.0;59.0;1084.0;386.0;327.0
120.0;-284.0;92.0;981.0;489.0;349.0
50.0;161.0;144.0;1037.0;237.0;395.0
48.0;278.0;208.0;726.0;364.0;428.0
47.0;356.0;238.0;972.0;507.0;431.0
10.0;335.0;138.0;874.0;471.0;415.0
16.0;292.0;144.0;795.0;527.0;410.0
-39.0;191.0;139.0;678.0;567.0;411.0
15.0;69.0;167.0;595.0;553.0;420.0
25.0;-156.0;?;488.0;552.0;404.0
41.0;-283.0;73.0;494.0;532.0;417.0
27.0;-295.0;89.0;541.0;470.0;391.0
32.0;-126.0;142.0;630.0;395.0;418.0
29.0;52.0;78.0;940.0;293.0;407.0
7.0;14.0;77.0;998.0;194.0;395.0
59.0;87.0;106.0;863.0;357.0;426.0
105.0;367.0;81.0;734.0;361.0;389.0
97.0;582.0;93.0;694.0;488.0;365.0
