InertialMeasurementUnit RLA accZ;Accelerometer RUA^ accY;InertialMeasurementUnit RLA accX;Accelerometer RUA_ accX;Accelerometer RUA^ accZ;Accelerometer RWR accZ;InertialMeasurementUnit RUA accX;Accelerometer RUA_ accY;InertialMeasurementUnit RUA accY
428.0;1090.0;-783.0;322.0;237.0;702.0;-954.0;970.0;168.0
464.0;1071.0;-824.0;322.0;266.0;603.0;-965.0;976.0;262.0
377.0;1051.0;-1047.0;239.0;300.0;594.0;-1122.0;961.0;156.0
445.0;1067.0;-832.0;274.0;278.0;573.0;-960.0;973.0;223.0
502.0;1210.0;-735.0;157.0;128.0;571.0;-879.0;1240.0;266.0
492.0;1089.0;-852.0;246.0;230.0;557.0;-988.0;996.0;162.0
310.0;1039.0;-717.0;527.0;357.0;410.0;-970.0;877.0;153.0
477.0;1079.0;-841.0;296.0;271.0;621.0;-982.0;992.0;226.0
518.0;1017.0;-768.0;297.0;328.0;588.0;-919.0;925.0;280.0
403.0;1065.0;-959.0;134.0;52.0;480.0;-1024.0;925.0;25.0
500.0;1059.0;-811.0;290.0;336.0;596.0;-949.0;963.0;229.0
448.0;1072.0;-815.0;291.0;276.0;591.0;-953.0;953.0;231.0
462.0;1060.0;-821.0;281.0;259.0;611.0;-958.0;960.0;219.0
479.0;1080.0;-826.0;321.0;298.0;601.0;-969.0;978.0;258.0
454.0;1080.0;-826.0;299.0;296.0;600.0;-966.0;961.0;213.0
438.0;861.0;-574.0;252.0;305.0;539.0;-694.0;709.0;204.0
538.0;1032.0;-814.0;227.0;309.0;562.0;-952.0;978.0;194.0
453.0;964.0;-957.0;81.0;148.0;430.0;-1001.0;1010.0;-33.0
374.0;1026.0;-797.0;80.0;184.0;471.0;-911.0;936.0;164.0
566.0;1072.0;-832.0;348.0;330.0;659.0;-981.0;989.0;237.0
453.0;1077.0;-836.0;286.0;260.0;578.0;-971.0;975.0;233.0
589.0;949.0;-922.0;327.0;387.0;651.0;-1030.0;830.0;74.0
272.0;1126.0;-1041.0;298.0;77.0;625.0;-1085.0;960.0;-52.0
469.0;1035.0;-765.0;310.0;270.0;617.0;-916.0;895.0;192.0
468.0;1093.0;-820.0;267.0;279.0;603.0;-953.0;969.0;195.0
495.0;1070.0;-709.0;178.0;89.0;573.0;-838.0;934.0;164.0
253.0;1130.0;-937.0;137.0;-64.0;544.0;-1036.0;1067.0;-111.0
646.0;1116.0;-880.0;305.0;105.0;501.0;-1039.0;1035.0;347.0
333.0;942.0;-741.0;304.0;317.0;507.0;-830.0;836.0;231.0
496.0;963.0;-800.0;155.0;289.0;540.0;-921.0;914.0;149.0
543.0;1255.0;-946.0;203.0;136.0;743.0;-1104.0;1211.0;327.0
260.0;1386.0;-817.0;109.0;234.0;507.0;-931.0;1168.0;193.0
453.0;1065.0;-803.0;294.0;264.0;560.0;-955.0;956.0;225.0
495.0;876.0;-1181.0;68.0;154.0;404.0;-1264.0;1070.0;69.0
457.0;1080.0;-843.0;279.0;267.0;606.0;-976.0;990.0;227.0
370.0;1010.0;-890.0;243.0;247.0;591.0;-957.0;953.0;241.0
856.0;961.0;-428.0;686.0;533.0;923.0;-866.0;738.0;435.0
508.0;1068.0;-815.0;375.0;278.0;538.0;-976.0;987.0;352.0
460.0;1040.0;-804.0;315.0;312.0;628.0;-953.0;953.0;269.0
387.0;1144.0;-819.0;347.0;216.0;644.0;-937.0;991.0;95.0
472.0;1060.0;-793.0;318.0;314.0;612.0;-932.0;953.0;240.0
283.0;1095.0;-853.0;209.0;58.0;561.0;-1014.0;1065.0;106.0
526.0;1071.0;-830.0;271.0;221.0;569.0;-945.0;985.0;113.0
646.0;992.0;-716.0;240.0;152.0;480.0;-856.0;1003.0;264.0
448.0;1075.0;-852.0;261.0;245.0;579.0;-976.0;999.0;199.0
472.0;1070.0;-566.0;474.0;66.0;631.0;-864.0;864.0;161.0
366.0;1015.0;-708.0;126.0;264.0;536.0;-797.0;812.0;106.0
449.0;1078.0;-813.0;290.0;239.0;676.0;-993.0;1013.0;147.0
497.0;1094.0;-866.0;168.0;88.0;530.0;-945.0;1027.0;-11.0
458.0;1086.0;-817.0;297.0;281.0;781.0;-968.0;980.0;8.0
283.0;1071.0;-787.0;255.0;231.0;779.0;-970.0;1038.0;184.0
499.0;1181.0;-629.0;445.0;-128.0;746.0;-974.0;994.0;-63.0
458.0;1038.0;-869.0;209.0;232.0;640.0;-919.0;904.0;-69.0
454.0;1061.0;-389.0;669.0;-82.0;915.0;-944.0;669.0;-311.0
323.0;1068.0;-795.0;198.0;205.0;596.0;-990.0;963.0;290.0
255.0;1247.0;-726.0;99.0;70.0;519.0;-801.0;919.0;133.0
431.0;1092.0;-794.0;311.0;221.0;669.0;-969.0;960.0;157.0
439.0;1073.0;-789.0;328.0;213.0;675.0;-961.0;968.0;178.0
354.0;1053.0;-686.0;242.0;-79.0;509.0;-858.0;1176.0;225.0
454.0;1062.0;-826.0;291.0;282.0;618.0;-963.0;976.0;243.0
500.0;1097.0;-687.0;503.0;172.0;805.0;-981.0;894.0;55.0
629.0;1074.0;-447.0;707.0;269.0;870.0;-964.0;752.0;212.0
414.0;1054.0;-670.0;387.0;97.0;735.0;-931.0;1171.0;232.0
440.0;1079.0;-834.0;286.0;291.0;630.0;-973.0;974.0;247.0
486.0;1060.0;-832.0;262.0;207.0;551.0;-953.0;972.0;160.0
544.0;1219.0;-1084.0;252.0;279.0;765.0;-1157.0;927.0;141.0
383.0;1078.0;-767.0;388.0;313.0;703.0;-966.0;933.0;215.0
377.0;1187.0;-754.0;241.0;278.0;680.0;-915.0;1005.0;227.0
458.0;1080.0;-787.0;326.0;266.0;692.0;-963.0;964.0;181.0
513.0;1413.0;-768.0;304.0;335.0;802.0;-894.0;1165.0;276.0
413.0;1436.0;-699.0;308.0;310.0;821.0;-823.0;1025.0;201.0
281.0;1179.0;-773.0;168.0;260.0;519.0;-879.0;874.0;196.0
314.0;1068.0;-776.0;385.0;283.0;691.0;-968.0;949.0;221.0
533.0;1020.0;-713.0;321.0;333.0;618.0;-850.0;865.0;289.0
154.0;1120.0;-801.0;371.0;84.0;715.0;-997.0;930.0;-108.0
368.0;895.0;-748.0;224.0;192.0;439.0;-793.0;792.0;125.0
488.0;819.0;-966.0;170.0;314.0;432.0;-1033.0;805.0;-24.0
470.0;1083.0;-752.0;290.0;223.0;653.0;-895.0;896.0;117.0
539.0;1095.0;-747.0;285.0;222.0;622.0;-921.0;964.0;193.0
448.0;1073.0;-818.0;300.0;281.0;592.0;-952.0;962.0;235.0
499.0;1318.0;-802.0;281.0;231.0;769.0;-916.0;998.0;255.0
39.0;1073.0;-764.0;487.0;189.0;721.0;-969.0;868.0;164.0
440.0;1047.0;-965.0;140.0;187.0;619.0;-1070.0;1081.0;219.0
338.0;1091.0;-707.0;517.0;204.0;744.0;-999.0;931.0;103.0
328.0;1071.0;-657.0;475.0;332.0;706.0;-956.0;894.0;407.0
644.0;720.0;514.0;868.0;770.0;805.0;-596.0;-83.0;644.0
547.0;1036.0;-977.0;260.0;310.0;585.0;-1054.0;1007.0;243.0
415.0;1173.0;-619.0;229.0;361.0;730.0;-736.0;849.0;301.0
473.0;1071.0;-835.0;299.0;281.0;560.0;-976.0;974.0;253.0
274.0;1090.0;-683.0;223.0;275.0;580.0;-786.0;839.0;182.0
340.0;1041.0;-555.0;669.0;411.0;858.0;-935.0;801.0;232.0
457.0;1078.0;-811.0;320.0;308.0;621.0;-959.0;943.0;268.0
467.0;1081.0;-823.0;311.0;305.0;630.0;-974.0;972.0;281.0
471.0;1087.0;-836.0;303.0;284.0;612.0;-981.0;977.0;249.0
431.0;1056.0;-755.0;370.0;388.0;716.0;-932.0;943.0;256.0
456.0;1432.0;-852.0;238.0;240.0;631.0;-1025.0;1061.0;311.0
578.0;1040.0;-177.0;826.0;318.0;1015.0;-970.0;576.0;196.0
796.0;852.0;85.0;865.0;658.0;953.0;-748.0;306.0;477.0
589.0;1146.0;-1089.0;198.0;132.0;626.0;-1200.0;1330.0;189.0
530.0;1098.0;-1044.0;145.0;91.0;481.0;-1194.0;1185.0;239.0
