InertialMeasurementUnit BACK accZ;InertialMeasurementUnit LUA accZ;Accelerometer BACK accX;Accelerometer LUA^ accZ;Accelerometer LUA^ accX;Accelerometer HIP accZ
224.0;215.0;240.0;211.0;365.0;298.0
264.0;243.0;184.0;163.0;392.0;311.0
263.0;284.0;214.0;188.0;410.0;366.0
277.0;274.0;162.0;186.0;416.0;339.0
272.0;273.0;182.0;179.0;399.0;341.0
268.0;267.0;183.0;161.0;387.0;337.0
195.0;286.0;260.0;188.0;431.0;337.0
177.0;269.0;246.0;249.0;410.0;355.0
210.0;244.0;221.0;193.0;436.0;383.0
182.0;273.0;221.0;205.0;331.0;363.0
258.0;240.0;220.0;251.0;380.0;372.0
194.0;254.0;226.0;245.0;415.0;328.0
242.0;241.0;189.0;181.0;335.0;311.0
242.0;230.0;196.0;181.0;338.0;317.0
234.0;218.0;207.0;219.0;339.0;350.0
206.0;152.0;245.0;243.0;299.0;313.0
213.0;175.0;138.0;223.0;285.0;379.0
178.0;278.0;170.0;229.0;380.0;366.0
157.0;253.0;195.0;217.0;404.0;359.0
147.0;187.0;176.0;255.0;370.0;386.0
238.0;232.0;212.0;156.0;357.0;342.0
218.0;179.0;124.0;269.0;436.0;233.0
197.0;214.0;131.0;193.0;361.0;375.0
193.0;287.0;215.0;247.0;390.0;395.0
238.0;294.0;231.0;218.0;407.0;303.0
218.0;196.0;233.0;226.0;378.0;330.0
220.0;277.0;274.0;207.0;415.0;358.0
187.0;255.0;272.0;226.0;401.0;365.0
188.0;267.0;258.0;244.0;416.0;372.0
194.0;216.0;219.0;193.0;336.0;364.0
185.0;220.0;211.0;205.0;350.0;362.0
196.0;221.0;203.0;195.0;361.0;387.0
208.0;231.0;211.0;207.0;334.0;392.0
210.0;291.0;206.0;184.0;417.0;319.0
211.0;298.0;211.0;192.0;426.0;284.0
208.0;290.0;225.0;212.0;424.0;301.0
231.0;299.0;220.0;155.0;394.0;294.0
301.0;254.0;221.0;228.0;309.0;325.0
104.0;239.0;190.0;204.0;342.0;359.0
161.0;257.0;215.0;199.0;382.0;372.0
163.0;253.0;231.0;199.0;372.0;378.0
177.0;232.0;230.0;214.0;371.0;373.0
179.0;254.0;212.0;206.0;382.0;382.0
179.0;256.0;211.0;199.0;376.0;404.0
187.0;249.0;211.0;183.0;373.0;387.0
183.0;262.0;201.0;197.0;398.0;386.0
198.0;245.0;189.0;169.0;374.0;365.0
202.0;232.0;190.0;189.0;371.0;401.0
189.0;250.0;186.0;201.0;407.0;384.0
194.0;236.0;200.0;170.0;420.0;284.0
175.0;220.0;129.0;123.0;445.0;285.0
198.0;200.0;172.0;207.0;389.0;392.0
155.0;198.0;94.0;185.0;439.0;347.0
228.0;253.0;166.0;212.0;374.0;350.0
237.0;275.0;154.0;214.0;400.0;363.0
199.0;308.0;219.0;237.0;432.0;305.0
272.0;236.0;174.0;197.0;417.0;300.0
258.0;223.0;178.0;260.0;419.0;361.0
263.0;278.0;206.0;255.0;380.0;354.0
173.0;186.0;204.0;195.0;478.0;341.0
237.0;314.0;225.0;197.0;426.0;364.0
201.0;258.0;241.0;236.0;426.0;338.0
204.0;321.0;235.0;234.0;372.0;332.0
193.0;280.0;221.0;165.0;417.0;336.0
205.0;307.0;205.0;214.0;370.0;304.0
203.0;298.0;210.0;210.0;365.0;302.0
262.0;256.0;193.0;159.0;401.0;380.0
231.0;276.0;175.0;130.0;344.0;334.0
143.0;141.0;326.0;226.0;423.0;368.0
164.0;89.0;336.0;127.0;262.0;349.0
404.0;298.0;-14.0;337.0;288.0;280.0
473.0;259.0;-106.0;428.0;396.0;381.0
141.0;223.0;298.0;219.0;344.0;294.0
159.0;189.0;251.0;160.0;347.0;376.0
248.0;228.0;154.0;145.0;397.0;302.0
311.0;264.0;46.0;184.0;334.0;418.0
285.0;261.0;166.0;187.0;347.0;363.0
124.0;296.0;292.0;184.0;415.0;273.0
405.0;385.0;64.0;109.0;253.0;263.0
206.0;182.0;217.0;333.0;353.0;231.0
347.0;328.0;32.0;157.0;346.0;426.0
276.0;289.0;153.0;200.0;375.0;389.0
241.0;208.0;203.0;244.0;345.0;268.0
347.0;274.0;53.0;-24.0;487.0;318.0
185.0;290.0;211.0;282.0;429.0;334.0
391.0;263.0;263.0;133.0;374.0;268.0
298.0;292.0;132.0;98.0;349.0;404.0
194.0;294.0;259.0;250.0;417.0;367.0
126.0;156.0;135.0;307.0;279.0;254.0
104.0;286.0;218.0;343.0;323.0;343.0
190.0;301.0;243.0;265.0;371.0;351.0
295.0;300.0;285.0;190.0;379.0;312.0
404.0;204.0;240.0;92.0;348.0;274.0
201.0;311.0;299.0;261.0;412.0;369.0
185.0;265.0;265.0;213.0;425.0;371.0
58.0;238.0;323.0;86.0;458.0;468.0
283.0;349.0;224.0;68.0;452.0;376.0
278.0;242.0;163.0;119.0;417.0;348.0
291.0;247.0;150.0;122.0;390.0;362.0
231.0;242.0;395.0;62.0;497.0;422.0
215.0;270.0;279.0;183.0;412.0;375.0
367.0;252.0;188.0;210.0;406.0;343.0
254.0;329.0;303.0;172.0;449.0;374.0
86.0;274.0;130.0;349.0;510.0;250.0
227.0;279.0;192.0;279.0;388.0;514.0
253.0;318.0;170.0;229.0;410.0;388.0
327.0;282.0;175.0;133.0;289.0;457.0
316.0;377.0;16.0;415.0;570.0;431.0
455.0;413.0;58.0;105.0;429.0;340.0
287.0;312.0;178.0;162.0;428.0;342.0
286.0;297.0;73.0;295.0;477.0;281.0
214.0;320.0;248.0;161.0;463.0;322.0
70.0;269.0;204.0;229.0;346.0;395.0
250.0;328.0;254.0;206.0;431.0;330.0
233.0;294.0;325.0;202.0;411.0;344.0
268.0;278.0;178.0;273.0;399.0;379.0
216.0;286.0;279.0;185.0;435.0;384.0
426.0;288.0;89.0;416.0;481.0;348.0
285.0;261.0;211.0;140.0;418.0;311.0
287.0;301.0;186.0;155.0;394.0;354.0
289.0;306.0;189.0;114.0;418.0;342.0
255.0;267.0;108.0;125.0;451.0;345.0
209.0;278.0;289.0;191.0;413.0;369.0
97.0;304.0;157.0;317.0;430.0;252.0
219.0;275.0;296.0;193.0;399.0;366.0
218.0;287.0;277.0;204.0;409.0;380.0
224.0;281.0;281.0;193.0;428.0;353.0
219.0;288.0;272.0;212.0;410.0;386.0
220.0;287.0;279.0;202.0;405.0;391.0
134.0;193.0;244.0;294.0;276.0;287.0
301.0;191.0;163.0;188.0;319.0;317.0
83.0;231.0;292.0;294.0;412.0;402.0
265.0;276.0;128.0;163.0;390.0;321.0
223.0;280.0;283.0;207.0;401.0;374.0
198.0;240.0;214.0;199.0;410.0;215.0
222.0;278.0;267.0;230.0;464.0;291.0
323.0;328.0;70.0;110.0;310.0;283.0
307.0;318.0;2.0;75.0;415.0;413.0
324.0;286.0;-7.0;128.0;470.0;227.0
148.0;310.0;215.0;274.0;484.0;465.0
106.0;340.0;300.0;314.0;397.0;249.0
119.0;213.0;277.0;-2.0;615.0;175.0
224.0;276.0;289.0;215.0;408.0;384.0
223.0;273.0;287.0;213.0;394.0;385.0
221.0;278.0;288.0;211.0;410.0;385.0
158.0;344.0;212.0;175.0;516.0;255.0
222.0;279.0;288.0;198.0;419.0;375.0
219.0;277.0;288.0;222.0;414.0;399.0
212.0;303.0;194.0;186.0;467.0;312.0
