InertialMeasurementUnit R-SHOE AngVelNavFrameX;InertialMeasurementUnit R-SHOE Body_Az;InertialMeasurementUnit L-SHOE EuZ;InertialMeasurementUnit R-SHOE EuZ;InertialMeasurementUnit R-SHOE AngVelBodyFrameY;InertialMeasurementUnit LUA gyroX;InertialMeasurementUnit RUA gyroX;InertialMeasurementUnit LUA gyroZ;InertialMeasurementUnit R-SHOE AngVelBodyFrameZ;InertialMeasurementUnit L-SHOE Nav_Ax;InertialMeasurementUnit R-SHOE Body_Ax
-9;806;175;-175;-9;-240.0;-128.0;142.0;-1;11;279
22;805;-177;-160;22;-43.0;56.0;61.0;-20;-1;298
80;780;-175;-156;80;704.0;-279.0;-121.0;-20;-1;334
-24;798;-174;-158;-24;-29.0;-36.0;-1.0;-4;-4;288
54;800;-175;-140;54;-420.0;-854.0;68.0;-49;-1;251
-22;807;-179;-157;-22;-42.0;23.0;0.0;-20;2;263
-9;801;-178;-156;-9;4.0;-62.0;-56.0;-16;8;282
-9;795;-177;-163;-9;-279.0;-388.0;144.0;8;4;263
21;798;-176;-159;21;35.0;-29.0;-21.0;11;-2;310
18;805;-177;-159;18;-138.0;-216.0;-92.0;-6;11;311
14;794;-176;-156;14;-33.0;-16.0;27.0;-12;3;298
526;734;-178;-165;526;-152.0;123.0;-50.0;900;7;226
-7;794;-178;-157;-7;-42.0;58.0;-197.0;8;2;287
14;801;-179;-162;14;-34.0;3.0;44.0;-12;-1;275
-6;867;-156;-169;-6;-79.0;391.0;-600.0;-110;1752;264
7;803;-176;-159;7;-10.0;19.0;24.0;29;-4;305
17;801;-177;-159;17;-128.0;-113.0;48.0;-11;1;307
-9;802;-174;-160;-9;-17.0;-132.0;79.0;-4;-2;277
15;800;-179;-162;15;-25.0;-9.0;11.0;-12;3;273
21;806;-175;-163;21;-5.0;22.0;-5.0;-33;7;265
7;800;-176;-159;7;-14.0;-11.0;25.0;19;1;308
-1;801;-176;-159;-1;-80.0;-56.0;191.0;-5;-2;311
4;803;-176;-159;4;-78.0;7.0;23.0;11;-2;310
3;678;-178;-169;3;-77.0;-113.0;-6.0;-42;2;158
-1;804;-179;-157;-1;-23.0;0.0;-4.0;4;3;270
16;805;-177;-157;16;389.0;171.0;-83.0;-24;-2;277
1;805;174;-156;1;-21.0;42.0;24.0;-23;-4;251
-575;807;-179;-156;-575;-45.0;-23.0;50.0;1110;-2;232
2;805;164;-174;2;3.0;-123.0;55.0;11;5;259
-9;802;-178;-159;-9;189.0;-413.0;-231.0;1;16;310
-23;799;180;-164;-23;62.0;-471.0;-152.0;19;-10;250
4;793;-176;-156;4;-53.0;12.0;-19.0;0;0;298
-70;695;-179;-152;-70;100.0;99.0;-32.0;226;5;323
310;2207;177;-162;310;-66.0;-162.0;213.0;-508;1;-398
2;798;-153;-156;2;283.0;316.0;-546.0;14;-1579;250
5;800;-174;-158;5;-43.0;-50.0;10.0;2;-1;282
33;801;180;-164;33;-4.0;-121.0;-145.0;0;-6;254
38;800;-174;-158;38;-50.0;0.0;-15.0;14;1;288
888;785;158;-148;888;-586.0;-481.0;517.0;1242;114;503
39;793;-191;-159;39;-340.0;-66.0;-1035.0;-6;-20;273
3;800;-177;-162;3;-21.0;-280.0;77.0;-18;-9;276
-11;809;-174;-162;-11;32.0;-75.0;14.0;17;-5;265
-8;798;-174;-158;-8;-117.0;-41.0;78.0;9;2;298
-231;1056;-175;-158;-231;-991.0;-284.0;242.0;-1384;-176;245
19;811;174;-156;19;-56.0;11.0;89.0;-14;-2;247
-45;803;-170;-165;-45;1192.0;626.0;-185.0;-13;57;241
-52;612;-172;-163;-52;173.0;491.0;-538.0;-1396;-17;105
14;801;-179;-162;14;-21.0;4.0;-5.0;-21;3;277
-46;793;-174;-161;-46;-398.0;47.0;-13.0;-18;3;299
14;804;-177;-159;14;-5.0;34.0;15.0;-16;11;299
10;797;-174;-158;10;-30.0;-566.0;69.0;5;3;297
0;803;173;-170;0;151.0;324.0;97.0;27;-1;268
-28;789;-195;-175;-28;390.0;-50.0;-83.0;32;921;263
-15;807;-173;-162;-15;124.0;1421.0;-75.0;-26;-3;252
-7;808;-177;-160;-7;310.0;499.0;-75.0;8;-5;249
-71;808;178;-154;-71;-205.0;115.0;-447.0;20;-20;264
-8;799;-178;-146;-8;-808.0;-391.0;441.0;-21;40;269
16;798;-161;-160;16;-344.0;-4.0;203.0;-6;17;317
-13;798;-176;-156;-13;-7.0;1.0;43.0;-14;0;293
253;825;149;-142;253;-811.0;-1057.0;380.0;-105;783;238
-21;808;178;-153;-21;-170.0;71.0;26.0;-24;2;255
-46;801;-174;-158;-46;-35.0;-8.0;2.0;34;-3;285
268;793;157;-166;268;-1377.0;-1276.0;869.0;-58;-226;340
-17;807;175;-175;-17;580.0;389.0;-650.0;-3;90;285
-2973;1394;-131;-156;-2973;-4.0;-124.0;497.0;379;15;-371
-793;754;-179;-162;-793;-46.0;-25.0;68.0;-1449;-2;525
1;804;-178;-157;1;-158.0;102.0;12.0;20;7;278
-25;798;180;-164;-25;-41.0;271.0;-20.0;17;-2;256
-11;775;148;-159;-11;2265.0;833.0;-1095.0;-52;42;309
-384;1411;88;-155;-384;-457.0;83.0;391.0;342;-45;2726
-666;803;-152;-148;-666;-82.0;101.0;164.0;-369;-120;308
41;810;-176;-161;41;-493.0;556.0;82.0;-30;7;241
11;811;178;-154;11;318.0;150.0;-136.0;-43;14;252
6;52;-176;-133;6;-27.0;27.0;21.0;0;4;220
-18;805;-178;-156;-18;6.0;40.0;2.0;1;-2;281
-11;795;-178;-163;-11;-46.0;317.0;38.0;-23;3;273
-2;805;-179;-157;-2;-30.0;459.0;8.0;7;3;275
241;761;177;-164;241;-250.0;571.0;-177.0;217;-12;302
-6;792;162;-159;-6;1088.0;-162.0;-720.0;-49;84;327
15;796;-177;-159;15;87.0;260.0;-72.0;2;-8;300
-18;803;-178;-156;-18;23.0;6.0;-17.0;9;2;280
-6;794;-176;-157;-6;122.0;90.0;-15.0;-14;-3;274
3;799;-177;-157;3;-123.0;-14.0;-94.0;19;1;291
-29;788;-180;-153;-29;-9.0;759.0;99.0;-1;-2;253
10;811;178;-175;10;101.0;99.0;-33.0;-8;-3;276
-33;816;178;-153;-33;-19.0;0.0;5.0;-10;12;251
39;801;-177;-162;39;-25.0;70.0;-19.0;-24;-4;282
2;805;171;-164;2;-290.0;-1747.0;36.0;8;11;274
-832;772;181;-118;-832;-585.0;-579.0;591.0;784;54;-297
1047;937;-172;-136;1047;-312.0;-26.0;49.0;-1085;-174;113
2240;631;176;-163;2240;-677.0;-680.0;727.0;550;46;603
-86;853;-179;-68;-86;141.0;556.0;962.0;225;47;117
3;794;47;-157;3;590.0;1077.0;-1286.0;17;-469;241
258;563;-165;-170;258;-575.0;78.0;661.0;116;-57;239
3;802;-178;-156;3;111.0;258.0;261.0;-26;-4;283
-22;798;-177;-162;-22;-34.0;110.0;18.0;9;-7;291
4;801;-179;-159;4;-469.0;-190.0;-186.0;-60;-137;306
-29;800;-174;-161;-29;-140.0;64.0;156.0;31;-3;276
-1572;930;-172;-170;-1572;65.0;84.0;228.0;-856;-237;-138
-22;732;-174;-156;-22;271.0;-943.0;576.0;35;20;264
