Accelerometer RKN_ accX;InertialMeasurementUnit L-SHOE AngVelNavFrameZ;InertialMeasurementUnit L-SHOE AngVelBodyFrameX;Accelerometer RKN^ accZ;Accelerometer BACK accZ;InertialMeasurementUnit L-SHOE Nav_Az;InertialMeasurementUnit R-SHOE AngVelNavFrameY;InertialMeasurementUnit L-SHOE Body_Ay
-56.0;209;194;279.0;-620.0;27;-58;591
-52.0;-2;2;147.0;-560.0;17;-12;682
-73.0;2;-26;157.0;-589.0;21;-26;674
-89.0;-20;1;222.0;-623.0;12;-37;657
-109.0;-2;-11;128.0;-560.0;16;14;665
-115.0;8;17;147.0;-526.0;15;-20;676
-141.0;-20;4;139.0;-531.0;17;12;677
-108.0;20;-21;147.0;-521.0;20;36;656
-136.0;-9;3;186.0;-499.0;22;-8;653
-163.0;-1;-29;205.0;-560.0;17;6;658
-125.0;5;27;191.0;-619.0;24;-50;656
-82.0;-28;-36;216.0;-558.0;12;-6;675
-110.0;-16;-11;208.0;-589.0;15;-5;662
-47.0;26;9;166.0;-572.0;15;-2;680
-118.0;12;-17;161.0;-427.0;12;18;659
-127.0;5;11;138.0;-464.0;23;-7;657
-115.0;52;3;125.0;-564.0;15;1;679
-36.0;-22;2;67.0;-577.0;16;-15;675
-27.0;-24;-1;84.0;-555.0;19;1;675
-25.0;-15;-13;100.0;-564.0;19;-3;677
1.0;-15;-11;104.0;-557.0;22;-2;673
-17.0;-29;-9;127.0;-586.0;11;-20;693
11.0;-276;145;108.0;-481.0;15;-41;720
-75.0;-32;-18;144.0;-571.0;6;-20;700
-88.0;-53;-61;108.0;-589.0;16;-53;666
-200.0;-45;44;218.0;-509.0;10;7;670
-98.0;27;0;209.0;-446.0;4;-12;702
-66.0;-5;12;128.0;-501.0;17;8;671
-145.0;6;12;144.0;-483.0;15;-23;675
-10.0;45;-39;199.0;-814.0;19;219;670
-129.0;5;23;122.0;-443.0;20;12;666
-80.0;-1;-19;219.0;-438.0;19;3;666
-114.0;-205;170;391.0;-619.0;128;31;551
-36.0;-23;124;381.0;-607.0;18;-19;661
-91.0;28;3;197.0;-435.0;22;3;664
-83.0;0;1;199.0;-429.0;22;1;663
-83.0;12;-2;205.0;-425.0;22;-31;663
-82.0;-13;23;197.0;-441.0;19;-43;670
-90.0;28;34;196.0;-430.0;13;6;679
-84.0;-19;14;198.0;-444.0;15;39;677
-82.0;18;-69;201.0;-442.0;14;25;663
-108.0;-57;-36;172.0;-578.0;31;19;222
-210.0;1217;717;419.0;-479.0;175;-86;510
-87.0;-144;133;191.0;-595.0;-15;-4;703
-100.0;-23;29;229.0;-650.0;8;-26;669
-92.0;-18;-67;249.0;-648.0;22;3;667
-83.0;5;-19;245.0;-679.0;28;-33;652
-112.0;-30;79;297.0;-627.0;19;-41;655
-71.0;16;0;427.0;-746.0;16;-45;661
-97.0;17;7;139.0;-505.0;14;7;660
-42.0;-10;34;291.0;-539.0;16;-16;658
-52.0;-5;23;184.0;-545.0;18;-34;656
-42.0;2;20;247.0;-555.0;17;-12;651
-112.0;6;4;207.0;-689.0;15;27;671
-54.0;6;-23;181.0;-511.0;15;-50;658
-98.0;3;-41;216.0;-530.0;14;-93;660
21.0;1110;273;1.0;-642.0;1746;-702;1327
-146.0;14;-13;339.0;-522.0;16;21;656
-159.0;30;4;291.0;-526.0;17;74;655
-63.0;3;-32;103.0;-565.0;21;30;660
-27.0;12;-30;69.0;-591.0;23;9;658
-112.0;6;-11;158.0;-716.0;15;15;667
-73.0;-46;13;103.0;-661.0;13;235;670
28.0;-16;-149;360.0;-578.0;-6;-4;681
-122.0;-24;-11;267.0;-538.0;18;86;679
-160.0;-47;-11;78.0;-535.0;18;-53;682
-122.0;-7;-9;89.0;-550.0;23;-54;676
-37.0;4;8;312.0;-671.0;13;16;659
-39.0;-29;12;228.0;-519.0;20;218;655
-152.0;6;-15;86.0;-619.0;28;-82;651
-77.0;49;-29;29.0;-491.0;12;5;727
-71.0;16;-54;236.0;-508.0;18;-43;690
10.0;-16;28;364.0;-469.0;468;-2;686
8.0;-18;-4;341.0;-503.0;189;-37;687
-29.0;186;53;406.0;-663.0;-17;-6;657
-88.0;3;-8;203.0;-741.0;15;-67;667
-26.0;-8;-10;238.0;-573.0;10;-113;686
-28.0;-49;-8;370.0;-510.0;17;-160;657
-109.0;-7;1;98.0;-546.0;18;-250;656
-122.0;-32;0;142.0;-629.0;19;80;657
-63.0;0;3;126.0;-691.0;18;2;658
-72.0;-3;-24;218.0;-572.0;20;-84;655
