InertialMeasurementUnit R-SHOE AngVelNavFrameX;InertialMeasurementUnit R-SHOE Body_Az;InertialMeasurementUnit L-SHOE EuZ;InertialMeasurementUnit R-SHOE EuZ;InertialMeasurementUnit R-SHOE AngVelBodyFrameY;InertialMeasurementUnit LUA gyroX;InertialMeasurementUnit RUA gyroX;InertialMeasurementUnit LUA gyroZ;InertialMeasurementUnit R-SHOE AngVelBodyFrameZ;InertialMeasurementUnit L-SHOE Nav_Ax;InertialMeasurementUnit R-SHOE Body_Ax
4;807;-177;-159;4;-94.0;-49.0;-34.0;-11;3;306
15;806;-179;-157;15;-49.0;81.0;30.0;-5;0;268
-2;805;-179;-157;-2;-29.0;53.0;22.0;29;-1;269
-16;808;-179;-157;-16;-62.0;77.0;31.0;22;2;270
-4;806;-179;-157;-4;-48.0;77.0;35.0;-14;-1;269
-13;806;-180;-157;-13;-35.0;16.0;-2.0;-41;-1;269
-7;803;-179;-157;-7;-49.0;30.0;9.0;-1;3;270
-7;802;-179;-157;-7;-42.0;70.0;1.0;0;-2;272
-7;792;-177;-162;-7;-3.0;14.0;-8.0;35;-4;285
-23;796;-177;-162;-23;11.0;-88.0;34.0;32;-6;288
-11;799;-177;-162;-11;-56.0;32.0;27.0;-1;2;294
-12;800;-177;-162;-12;-43.0;89.0;31.0;13;-4;293
-8;802;-177;-162;-8;-3.0;-50.0;39.0;-10;-6;284
13;794;-178;-162;13;-31.0;-1.0;29.0;11;3;288
-21;794;-177;-162;-21;-53.0;25.0;8.0;49;-1;282
52;793;-178;-162;52;-76.0;-93.0;-7.0;31;-3;289
-3;796;-177;-162;-3;-60.0;66.0;61.0;-66;-1;280
-21;794;-177;-162;-21;-117.0;-33.0;98.0;-18;-6;285
-18;795;-177;-162;-18;-81.0;-13.0;51.0;-20;3;285
3;797;-177;-162;3;-30.0;-62.0;31.0;-19;1;284
39;801;-177;-162;39;-25.0;70.0;-19.0;-24;-4;282
5;795;-178;-162;5;67.0;-14.0;18.0;-27;-3;281
-15;795;-177;-162;-15;28.0;63.0;29.0;-35;-5;281
-14;795;-177;-162;-14;-74.0;56.0;-44.0;-3;2;275
11;792;-177;-162;11;-21.0;-123.0;39.0;13;3;285
2;799;-177;-162;2;-85.0;69.0;18.0;11;-4;274
