InertialMeasurementUnit RUA Quaternion2;InertialMeasurementUnit LUA Quaternion3;InertialMeasurementUnit BACK Quaternion1;InertialMeasurementUnit BACK Quaternion2;InertialMeasurementUnit LLA Quaternion3;InertialMeasurementUnit BACK Quaternion3;InertialMeasurementUnit RLA Quaternion4
-140.0;-190.0;462.0;419.0;72.0;486.0;-300.0
-78.0;-28.0;526.0;-26.0;130.0;248.0;-398.0
390.0;-106.0;129.0;622.0;370.0;199.0;-21.0
52.0;-573.0;769.0;17.0;552.0;613.0;-951.0
18.0;-281.0;592.0;287.0;185.0;568.0;-495.0
-50.0;-199.0;546.0;376.0;40.0;516.0;-340.0
289.0;106.0;300.0;516.0;-4.0;321.0;204.0
359.0;48.0;290.0;519.0;129.0;308.0;115.0
347.0;89.0;289.0;508.0;88.0;330.0;194.0
-79.0;-176.0;526.0;392.0;16.0;501.0;-317.0
-133.0;-148.0;487.0;423.0;-7.0;476.0;-282.0
433.0;-78.0;99.0;616.0;269.0;182.0;-54.0
-325.0;40.0;242.0;610.0;-122.0;269.0;-604.0
-350.0;-185.0;237.0;540.0;167.0;367.0;-359.0
-175.0;-182.0;415.0;485.0;46.0;444.0;-343.0
-466.0;-186.0;417.0;510.0;69.0;386.0;-480.0
-444.0;-236.0;470.0;444.0;92.0;494.0;-519.0
-307.0;-148.0;289.0;548.0;161.0;384.0;-745.0
-233.0;-115.0;385.0;494.0;-42.0;419.0;-239.0
283.0;54.0;340.0;512.0;72.0;353.0;219.0
96.0;211.0;492.0;423.0;-70.0;449.0;474.0
353.0;49.0;219.0;548.0;130.0;278.0;184.0
-140.0;-194.0;461.0;416.0;78.0;487.0;-317.0
-118.0;-221.0;479.0;401.0;108.0;502.0;-368.0
376.0;-62.0;175.0;547.0;244.0;257.0;35.0
290.0;67.0;304.0;503.0;179.0;348.0;-11.0
294.0;70.0;309.0;492.0;169.0;350.0;-10.0
306.0;70.0;338.0;455.0;141.0;367.0;-15.0
253.0;215.0;499.0;404.0;92.0;477.0;23.0
23.0;257.0;719.0;222.0;-164.0;524.0;292.0
-78.0;388.0;681.0;243.0;-283.0;580.0;646.0
199.0;351.0;571.0;369.0;-265.0;517.0;142.0
537.0;-160.0;53.0;637.0;458.0;167.0;-221.0
500.0;-121.0;66.0;592.0;256.0;136.0;-183.0
-235.0;-176.0;286.0;533.0;-13.0;229.0;-107.0
-206.0;-180.0;322.0;513.0;-2.0;250.0;-154.0
-185.0;-182.0;349.0;496.0;6.0;263.0;-175.0
-171.0;-181.0;362.0;486.0;12.0;270.0;-188.0
-153.0;-181.0;373.0;477.0;20.0;275.0;-206.0
-118.0;-177.0;401.0;454.0;50.0;281.0;-247.0
-111.0;-176.0;411.0;442.0;64.0;281.0;-265.0
-104.0;-171.0;419.0;430.0;71.0;280.0;-278.0
-91.0;-158.0;440.0;394.0;75.0;271.0;-291.0
-80.0;-138.0;460.0;353.0;85.0;258.0;-290.0
-64.0;-110.0;480.0;303.0;88.0;244.0;-279.0
-62.0;-95.0;490.0;271.0;88.0;236.0;-278.0
-56.0;-63.0;506.0;198.0;87.0;217.0;-258.0
-48.0;-47.0;514.0;159.0;91.0;207.0;-242.0
-19.0;-30.0;531.0;81.0;111.0;201.0;-224.0
-6.0;-34.0;542.0;39.0;123.0;196.0;-224.0
-437.0;-5.0;-58.0;-566.0;-184.0;-86.0;197.0
29.0;-33.0;555.0;-18.0;124.0;193.0;-246.0
37.0;-39.0;558.0;-32.0;124.0;194.0;-254.0
45.0;-42.0;559.0;-41.0;129.0;193.0;-259.0
51.0;-46.0;562.0;-47.0;137.0;190.0;-269.0
48.0;-53.0;567.0;-54.0;144.0;188.0;-283.0
-418.0;78.0;116.0;627.0;-265.0;202.0;30.0
-178.0;-111.0;327.0;475.0;-29.0;413.0;-246.0
-158.0;-162.0;354.0;482.0;1.0;434.0;-269.0
-181.0;-192.0;404.0;477.0;24.0;466.0;-266.0
403.0;-57.0;162.0;577.0;172.0;220.0;-22.0
312.0;96.0;336.0;450.0;106.0;374.0;-37.0
-202.0;507.0;744.0;85.0;-490.0;622.0;767.0
411.0;9.0;153.0;580.0;160.0;235.0;69.0
-286.0;-74.0;323.0;526.0;-63.0;384.0;-143.0
-192.0;-116.0;386.0;438.0;-34.0;329.0;-184.0
-145.0;-135.0;416.0;397.0;-19.0;331.0;-242.0
-116.0;-142.0;432.0;374.0;-7.0;331.0;-278.0
-89.0;-145.0;447.0;348.0;4.0;331.0;-308.0
-65.0;-144.0;464.0;320.0;15.0;330.0;-332.0
-46.0;-139.0;480.0;287.0;22.0;329.0;-344.0
-39.0;-133.0;496.0;253.0;29.0;327.0;-350.0
49.0;-60.0;570.0;-60.0;152.0;191.0;-296.0
43.0;-81.0;570.0;-68.0;161.0;201.0;-316.0
37.0;-91.0;570.0;-72.0;163.0;206.0;-330.0
-34.0;-123.0;513.0;215.0;36.0;323.0;-353.0
-22.0;-80.0;568.0;69.0;98.0;281.0;-372.0
-16.0;-44.0;584.0;4.0;121.0;250.0;-388.0
-11.0;-26.0;592.0;-48.0;133.0;226.0;-393.0
-7.0;-17.0;594.0;-70.0;138.0;218.0;-396.0
13.0;4.0;594.0;-118.0;144.0;203.0;-415.0
18.0;8.0;594.0;-128.0;146.0;201.0;-419.0
24.0;17.0;593.0;-152.0;147.0;199.0;-433.0
32.0;-97.0;569.0;-75.0;166.0;212.0;-345.0
30.0;-103.0;568.0;-78.0;166.0;220.0;-359.0
25.0;-107.0;567.0;-78.0;168.0;228.0;-367.0
28.0;20.0;593.0;-161.0;146.0;198.0;-447.0
27.0;22.0;593.0;-163.0;145.0;197.0;-452.0
23.0;23.0;592.0;-164.0;145.0;196.0;-455.0
363.0;20.0;185.0;559.0;133.0;274.0;2.0
348.0;-9.0;221.0;571.0;182.0;260.0;13.0
23.0;23.0;591.0;-166.0;145.0;196.0;-468.0
23.0;20.0;586.0;-169.0;147.0;201.0;-467.0
23.0;16.0;584.0;-169.0;149.0;204.0;-458.0
21.0;15.0;583.0;-169.0;148.0;207.0;-456.0
539.0;-219.0;724.0;-296.0;479.0;577.0;-742.0
19.0;-118.0;563.0;-74.0;169.0;241.0;-379.0
18.0;-122.0;562.0;-73.0;169.0;246.0;-389.0
18.0;-124.0;561.0;-72.0;171.0;250.0;-395.0
24.0;-126.0;560.0;-70.0;178.0;257.0;-407.0
31.0;-127.0;560.0;-70.0;181.0;256.0;-414.0
619.0;-531.0;545.0;-553.0;668.0;319.0;-686.0
50.0;-119.0;557.0;-69.0;177.0;242.0;-428.0
59.0;-92.0;551.0;-75.0;153.0;223.0;-430.0
61.0;-68.0;546.0;-78.0;140.0;208.0;-436.0
60.0;-36.0;542.0;-72.0;141.0;188.0;-482.0
60.0;-33.0;540.0;-66.0;144.0;181.0;-501.0
10.0;8.0;575.0;-162.0;146.0;219.0;-462.0
357.0;-9.0;190.0;587.0;192.0;231.0;100.0
-168.0;-121.0;476.0;396.0;-60.0;433.0;-790.0
-88.0;-196.0;511.0;302.0;19.0;485.0;-594.0
-73.0;-202.0;543.0;252.0;85.0;478.0;-544.0
-71.0;-202.0;556.0;237.0;99.0;474.0;-510.0
-74.0;-192.0;564.0;228.0;104.0;470.0;-479.0
-63.0;-187.0;567.0;228.0;111.0;467.0;-459.0
-61.0;-183.0;568.0;230.0;125.0;463.0;-443.0
-69.0;-176.0;569.0;241.0;148.0;453.0;-411.0
-99.0;-161.0;566.0;252.0;136.0;445.0;-356.0
-115.0;-154.0;562.0;257.0;128.0;444.0;-328.0
-145.0;-144.0;552.0;264.0;116.0;441.0;-280.0
-155.0;-128.0;545.0;270.0;98.0;435.0;-249.0
-148.0;-124.0;542.0;271.0;92.0;432.0;-252.0
-131.0;-123.0;529.0;279.0;84.0;431.0;-234.0
-147.0;-108.0;502.0;301.0;53.0;411.0;-215.0
-147.0;-97.0;493.0;313.0;35.0;403.0;-216.0
-148.0;-81.0;474.0;341.0;9.0;385.0;-236.0
2.0;6.0;572.0;-156.0;146.0;222.0;-464.0
-104.0;-188.0;422.0;477.0;34.0;440.0;-459.0
365.0;11.0;251.0;505.0;108.0;298.0;51.0
-547.0;203.0;-53.0;635.0;-350.0;98.0;279.0
-375.0;6.0;203.0;593.0;-126.0;271.0;127.0
-233.0;-21.0;274.0;454.0;-95.0;264.0;-85.0
-333.0;580.0;-738.0;262.0;-640.0;-602.0;758.0
-381.0;314.0;-58.0;-68.0;-395.0;-227.0;216.0
-316.0;55.0;302.0;558.0;-158.0;288.0;-49.0
-224.0;-29.0;290.0;446.0;-118.0;262.0;-133.0
-222.0;-30.0;296.0;446.0;-117.0;263.0;-150.0
-222.0;-32.0;304.0;445.0;-116.0;263.0;-168.0
-224.0;-37.0;312.0;443.0;-107.0;264.0;-188.0
-507.0;150.0;3.0;558.0;-333.0;199.0;141.0
-225.0;-52.0;327.0;435.0;-83.0;270.0;-235.0
-504.0;-82.0;296.0;536.0;-29.0;351.0;-513.0
-379.0;-152.0;370.0;522.0;16.0;398.0;-580.0
-211.0;-30.0;360.0;379.0;-75.0;269.0;-330.0
-209.0;-12.0;388.0;326.0;-66.0;266.0;-359.0
-206.0;-6.0;407.0;289.0;-58.0;267.0;-370.0
-198.0;-4.0;427.0;250.0;-48.0;270.0;-379.0
-172.0;-3.0;455.0;164.0;-26.0;282.0;-394.0
-162.0;2.0;466.0;124.0;-16.0;285.0;-399.0
-144.0;10.0;486.0;55.0;-6.0;288.0;-404.0
-128.0;23.0;502.0;-3.0;-2.0;288.0;-418.0
-119.0;27.0;507.0;-26.0;-3.0;288.0;-429.0
-114.0;31.0;511.0;-47.0;-1.0;290.0;-436.0
-111.0;34.0;513.0;-66.0;0.0;291.0;-441.0
-103.0;40.0;513.0;-95.0;-4.0;293.0;-456.0
-97.0;48.0;508.0;-116.0;-12.0;296.0;-467.0
-102.0;52.0;503.0;-125.0;-16.0;297.0;-462.0
-101.0;57.0;499.0;-132.0;-21.0;297.0;-467.0
-652.0;404.0;371.0;-576.0;-589.0;197.0;592.0
-535.0;176.0;23.0;-592.0;-324.0;-80.0;306.0
-162.0;-162.0;-473.0;-403.0;72.0;-409.0;-312.0
339.0;38.0;303.0;495.0;134.0;345.0;47.0
-3.0;3.0;569.0;-149.0;147.0;226.0;-467.0
-18.0;-4.0;560.0;-128.0;148.0;232.0;-463.0
-25.0;-5.0;554.0;-117.0;145.0;237.0;-456.0
-37.0;-8.0;549.0;-98.0;141.0;239.0;-445.0
-66.0;-20.0;534.0;-53.0;134.0;244.0;-406.0
348.0;72.0;247.0;521.0;-5.0;296.0;109.0
-122.0;79.0;461.0;-124.0;-42.0;285.0;-558.0
-119.0;82.0;463.0;-138.0;-48.0;284.0;-513.0
-103.0;74.0;470.0;-120.0;-34.0;278.0;-525.0
-99.0;73.0;474.0;-119.0;-34.0;272.0;-519.0
-93.0;73.0;476.0;-119.0;-33.0;268.0;-513.0
-89.0;73.0;479.0;-117.0;-30.0;265.0;-511.0
-68.0;66.0;488.0;-108.0;-16.0;254.0;-503.0
-63.0;65.0;490.0;-103.0;-14.0;249.0;-503.0
-60.0;65.0;492.0;-97.0;-11.0;245.0;-501.0
-58.0;62.0;496.0;-84.0;-6.0;236.0;-490.0
-60.0;61.0;497.0;-77.0;-4.0;233.0;-475.0
-64.0;59.0;497.0;-69.0;-2.0;229.0;-455.0
-68.0;56.0;497.0;-60.0;1.0;227.0;-435.0
-199.0;-39.0;371.0;442.0;-92.0;295.0;-130.0
-510.0;568.0;784.0;-181.0;-651.0;588.0;845.0
63.0;-22.0;539.0;-58.0;137.0;176.0;-521.0
74.0;-2.0;538.0;-37.0;132.0;165.0;-557.0
81.0;55.0;538.0;-10.0;132.0;161.0;-578.0
80.0;126.0;534.0;25.0;79.0;164.0;-598.0
40.0;147.0;508.0;120.0;40.0;141.0;-647.0
-65.0;-274.0;514.0;388.0;163.0;524.0;-447.0
-96.0;-40.0;507.0;45.0;111.0;251.0;-421.0
-105.0;-46.0;500.0;83.0;88.0;250.0;-434.0
-109.0;-63.0;483.0;157.0;66.0;251.0;-454.0
-59.0;-301.0;547.0;341.0;389.0;543.0;-840.0
-153.0;130.0;500.0;90.0;69.0;171.0;-618.0
