InertialMeasurementUnit LUA magneticZ;InertialMeasurementUnit BACK magneticX;InertialMeasurementUnit BACK magneticY;InertialMeasurementUnit L-SHOE Compass;InertialMeasurementUnit LLA magneticY;InertialMeasurementUnit R-SHOE Compass;InertialMeasurementUnit RLA Quaternion1;InertialMeasurementUnit LUA Quaternion2;InertialMeasurementUnit RLA Quaternion3;InertialMeasurementUnit LLA Quaternion2;InertialMeasurementUnit RUA Quaternion1
565.0;601.0;-559.0;67;277.0;2;-519.0;-137.0;279.0;27.0;-14.0
58.0;516.0;-424.0;27;554.0;-7;100.0;660.0;-265.0;-609.0;-439.0
87.0;436.0;-163.0;-106;-200.0;-51;131.0;31.0;-108.0;67.0;-258.0
46.0;652.0;-183.0;-10;173.0;-34;66.0;94.0;22.0;-25.0;-351.0
-334.0;673.0;67.0;29;-118.0;-7;87.0;-79.0;-29.0;2.0;-230.0
-321.0;491.0;306.0;135;45.0;18;140.0;-247.0;-332.0;367.0;-547.0
219.0;597.0;-228.0;39;288.0;-4;192.0;0.0;-300.0;121.0;-248.0
216.0;600.0;-230.0;39;282.0;-4;181.0;0.0;-282.0;121.0;-239.0
216.0;598.0;-228.0;39;282.0;-4;175.0;3.0;-268.0;111.0;-240.0
264.0;571.0;-292.0;39;265.0;-14;170.0;48.0;-137.0;48.0;-207.0
282.0;595.0;-396.0;43;207.0;-9;381.0;105.0;75.0;50.0;-54.0
525.0;585.0;-410.0;17;603.0;9;264.0;109.0;52.0;-74.0;-126.0
428.0;515.0;-473.0;23;135.0;-8;33.0;131.0;-105.0;-15.0;-322.0
472.0;535.0;-329.0;89;276.0;-1;-65.0;42.0;-335.0;-70.0;-494.0
619.0;542.0;-519.0;67;462.0;-4;-588.0;-8.0;-12.0;-104.0;-155.0
425.0;560.0;-339.0;70;422.0;-5;-135.0;37.0;117.0;-207.0;247.0
475.0;557.0;-253.0;82;522.0;-2;-233.0;33.0;318.0;-111.0;292.0
228.0;501.0;-383.0;-27;2.0;-10;416.0;251.0;175.0;-158.0;31.0
-221.0;477.0;-223.0;-2;-254.0;-4;-686.0;-469.0;-316.0;427.0;-361.0
-160.0;912.0;163.0;-163;401.0;-91;-662.0;142.0;353.0;-282.0;197.0
216.0;495.0;138.0;168;726.0;-10;-351.0;278.0;192.0;-409.0;276.0
470.0;417.0;-298.0;57;475.0;-4;-848.0;24.0;398.0;-157.0;-10.0
228.0;598.0;-244.0;18;-9.0;7;121.0;-30.0;61.0;-50.0;-159.0
696.0;525.0;-496.0;16;-242.0;-7;183.0;500.0;-37.0;-299.0;-223.0
508.0;594.0;-567.0;20;116.0;-5;613.0;233.0;-95.0;-126.0;182.0
446.0;467.0;-338.0;113;366.0;-7;333.0;29.0;-391.0;28.0;-311.0
452.0;482.0;-356.0;107;394.0;-3;307.0;16.0;-286.0;59.0;-132.0
426.0;486.0;-335.0;113;347.0;-8;403.0;42.0;-244.0;23.0;-210.0
95.0;628.0;72.0;152;654.0;7;-151.0;-161.0;-432.0;358.0;-462.0
301.0;612.0;-149.0;105;375.0;0;320.0;-213.0;-357.0;137.0;-398.0
453.0;536.0;38.0;135;-242.0;16;61.0;52.0;-217.0;158.0;-641.0
15.0;1036.0;22.0;52;673.0;24;23.0;19.0;-41.0;-34.0;-264.0
-206.0;1054.0;88.0;158;112.0;-43;166.0;16.0;-19.0;87.0;-203.0
-6.0;796.0;-134.0;-11;16.0;-23;236.0;48.0;102.0;32.0;-195.0
