InertialMeasurementUnit R-SHOE AngVelNavFrameX;InertialMeasurementUnit R-SHOE Body_Az;InertialMeasurementUnit L-SHOE EuZ;InertialMeasurementUnit R-SHOE EuZ;InertialMeasurementUnit R-SHOE AngVelBodyFrameY;InertialMeasurementUnit LUA gyroX;InertialMeasurementUnit RUA gyroX;InertialMeasurementUnit LUA gyroZ;InertialMeasurementUnit R-SHOE AngVelBodyFrameZ;InertialMeasurementUnit L-SHOE Nav_Ax;InertialMeasurementUnit R-SHOE Body_Ax
-44;799;-178;-159;-44;431.0;-943.0;687.0;-9;3;310
5;797;-178;-159;5;764.0;-1134.0;532.0;-20;1;306
15;801;-179;-160;15;592.0;-565.0;352.0;-22;-6;307
-21;797;-178;-159;-21;-22.0;-83.0;216.0;-25;-6;309
-17;791;-178;-159;-17;-363.0;198.0;99.0;2;4;317
2;797;-178;-159;2;-330.0;178.0;54.0;4;1;311
-12;800;-178;-159;-12;-359.0;90.0;-4.0;-16;-2;308
0;796;-178;?;0;-369.0;160.0;-30.0;-9;4;312
25;797;-179;-160;25;-344.0;?;110.0;-11;?;305
-7;797;-178;-159;-7;-369.0;-162.0;0.0;11;3;308
-19;795;-178;-159;-19;-138.0;-213.0;21.0;-1;9;316
-29;793;-178;-159;-29;10.0;-243.0;-90.0;6;1;316
-22;792;-178;-159;-22;145.0;-251.0;-256.0;5;-4;311
4;793;?;-159;4;259.0;-377.0;-351.0;-14;-3;313
25;797;-179;-160;25;383.0;-319.0;-404.0;1;-6;310
-10;798;-178;-159;-10;-10.0;199.0;-349.0;29;-4;308
-10;792;-178;-159;-10;-375.0;?;-343.0;11;4;313
22;796;-178;-159;22;-625.0;758.0;-294.0;-5;4;314
-2;797;-178;-159;-2;-678.0;928.0;-261.0;20;-2;311
-41;795;-178;-159;-41;-774.0;1092.0;-176.0;-1;-1;310
-45;797;-179;-160;?;-670.0;973.0;-212.0;-21;-6;313
-22;793;-178;-159;-22;-428.0;872.0;-248.0;16;-8;315
8;795;-178;-159;8;-63.0;?;-270.0;11;3;310
19;794;?;-159;19;24.0;644.0;-124.0;27;-3;308
26;793;-178;-159;?;-13.0;644.0;111.0;32;-6;308
-5;797;-178;-159;-5;57.0;684.0;396.0;-19;3;304
-25;793;?;-160;?;-166.0;?;?;-32;-3;307
21;795;-178;-159;21;-374.0;1020.0;1123.0;-33;-1;309
-4;797;-178;-159;-4;-593.0;992.0;1363.0;-10;1;307
-33;795;-178;?;-33;-512.0;453.0;1557.0;-11;-2;?
-5;794;-178;-159;-5;-415.0;-239.0;1560.0;-52;9;310
6;795;-178;-159;6;468.0;-827.0;1122.0;-10;12;310
4;797;-179;?;4;952.0;-632.0;749.0;20;2;311
-15;799;-178;-159;-15;727.0;-107.0;407.0;-12;-2;313
8;804;-178;-159;8;148.0;159.0;182.0;16;-4;309
27;797;-178;-159;27;-326.0;161.0;75.0;-4;-1;?
-4;789;-178;-159;-4;-304.0;-167.0;-74.0;-31;0;316
23;796;-178;?;23;-182.0;-257.0;-184.0;-24;-3;314
57;801;-178;-160;57;-186.0;-138.0;-208.0;-33;1;309
1;798;-178;-159;1;-246.0;-47.0;-193.0;33;-1;307
-28;794;-178;-159;-28;-339.0;21.0;-65.0;3;2;304
