InertialMeasurementUnit RUA Quaternion2;InertialMeasurementUnit LUA Quaternion3;InertialMeasurementUnit BACK Quaternion1;InertialMeasurementUnit BACK Quaternion2;InertialMeasurementUnit LLA Quaternion3;InertialMeasurementUnit BACK Quaternion3;InertialMeasurementUnit RLA Quaternion4
-58.0;-207.0;-683.0;367.0;230.0;-558.0;-863.0
-52.0;-195.0;-672.0;376.0;222.0;-562.0;-871.0
-51.0;-184.0;-675.0;378.0;211.0;-561.0;-875.0
-53.0;-177.0;-672.0;380.0;199.0;-563.0;-875.0
-53.0;-176.0;-670.0;382.0;192.0;-565.0;-870.0
-52.0;-182.0;-668.0;383.0;193.0;-566.0;-864.0
-50.0;-191.0;-665.0;384.0;194.0;-569.0;-856.0
-47.0;-201.0;-665.0;385.0;?;-570.0;-847.0
-44.0;-218.0;-668.0;383.0;196.0;-570.0;-836.0
458.0;-658.0;-658.0;390.0;582.0;-594.0;-329.0
455.0;-658.0;-657.0;390.0;581.0;?;-331.0
448.0;-654.0;-657.0;391.0;580.0;-593.0;-338.0
434.0;-645.0;-657.0;391.0;573.0;-592.0;-350.0
412.0;-631.0;-657.0;392.0;561.0;-592.0;?
389.0;-610.0;-656.0;393.0;545.0;-591.0;-394.0
362.0;-588.0;-656.0;394.0;525.0;-593.0;-425.0
331.0;-567.0;-657.0;392.0;503.0;-593.0;-463.0
297.0;-544.0;-657.0;393.0;475.0;-593.0;-506.0
264.0;-520.0;-656.0;396.0;445.0;-591.0;-555.0
227.0;-496.0;-657.0;397.0;421.0;-588.0;-604.0
187.0;-465.0;-658.0;398.0;404.0;-586.0;-653.0
150.0;-431.0;-656.0;401.0;381.0;-583.0;-698.0
112.0;-394.0;-656.0;402.0;349.0;-581.0;-740.0
77.0;-357.0;-657.0;403.0;314.0;-575.0;-776.0
44.0;-322.0;-658.0;403.0;283.0;-571.0;-806.0
14.0;-291.0;-661.0;402.0;254.0;-567.0;-830.0
-12.0;-266.0;-662.0;400.0;234.0;-565.0;-847.0
-33.0;-246.0;?;396.0;222.0;-565.0;-858.0
-50.0;-229.0;-666.0;393.0;208.0;-563.0;-862.0
-62.0;-214.0;-672.0;385.0;?;-562.0;-865.0
-68.0;-198.0;-674.0;377.0;173.0;-568.0;-870.0
-65.0;-186.0;-675.0;371.0;178.0;-572.0;-878.0
-62.0;-180.0;-674.0;372.0;187.0;-572.0;-882.0
-62.0;-179.0;-672.0;?;188.0;-572.0;-880.0
?;-180.0;-671.0;375.0;189.0;-572.0;-875.0
-54.0;-187.0;-670.0;376.0;187.0;-573.0;-868.0
-48.0;?;-669.0;377.0;183.0;-573.0;-864.0
-40.0;-201.0;-671.0;375.0;183.0;-573.0;-862.0
-35.0;-205.0;-675.0;371.0;?;-571.0;-861.0
-33.0;-211.0;-679.0;367.0;182.0;-571.0;-858.0
-30.0;-222.0;-682.0;365.0;179.0;-570.0;-852.0
425.0;-659.0;-665.0;369.0;616.0;-601.0;-376.0
423.0;-660.0;-664.0;369.0;614.0;-601.0;-376.0
420.0;-659.0;-664.0;370.0;613.0;-600.0;-377.0
416.0;?;-664.0;371.0;607.0;-599.0;-380.0
407.0;-648.0;-664.0;371.0;599.0;-599.0;-389.0
?;-635.0;-664.0;?;?;-599.0;-404.0
374.0;-618.0;-663.0;373.0;570.0;-600.0;-422.0
354.0;-599.0;-661.0;373.0;558.0;-602.0;-445.0
327.0;-578.0;-659.0;373.0;541.0;-605.0;-475.0
295.0;-553.0;-658.0;374.0;521.0;-607.0;-511.0
260.0;-524.0;-658.0;375.0;?;-609.0;-553.0
225.0;-489.0;-658.0;375.0;466.0;-609.0;-599.0
188.0;-451.0;-660.0;376.0;439.0;-606.0;-645.0
151.0;-412.0;-662.0;378.0;412.0;-602.0;-690.0
113.0;-374.0;-663.0;381.0;381.0;-595.0;?
