InertialMeasurementUnit RUA Quaternion2;InertialMeasurementUnit LUA Quaternion3;InertialMeasurementUnit BACK Quaternion1;InertialMeasurementUnit BACK Quaternion2;InertialMeasurementUnit LLA Quaternion3;InertialMeasurementUnit BACK Quaternion3;InertialMeasurementUnit RLA Quaternion4
393.0;-42.0;204.0;567.0;215.0;228.0;-53.0
327.0;-417.0;-11.0;10.0;437.0;-166.0;-313.0
326.0;-416.0;-9.0;12.0;433.0;-164.0;-313.0
322.0;-416.0;-7.0;14.0;429.0;-163.0;-318.0
321.0;-415.0;-6.0;14.0;424.0;-164.0;-321.0
377.0;37.0;227.0;519.0;50.0;287.0;41.0
365.0;11.0;251.0;505.0;108.0;298.0;51.0
351.0;9.0;264.0;502.0;140.0;307.0;71.0
340.0;23.0;277.0;499.0;150.0;316.0;92.0
336.0;37.0;287.0;499.0;146.0;324.0;111.0
334.0;50.0;291.0;502.0;133.0;329.0;129.0
-240.0;-111.0;366.0;470.0;-3.0;427.0;-234.0
-220.0;-119.0;378.0;462.0;2.0;437.0;-268.0
-202.0;-138.0;391.0;452.0;24.0;449.0;-299.0
-189.0;-162.0;406.0;441.0;54.0;461.0;-324.0
-181.0;-181.0;420.0;430.0;80.0;471.0;-349.0
-162.0;-201.0;445.0;410.0;106.0;487.0;-406.0
-151.0;-210.0;456.0;403.0;114.0;492.0;-438.0
-142.0;-217.0;466.0;397.0;121.0;498.0;-468.0
-134.0;-223.0;473.0;393.0;126.0;503.0;-495.0
344.0;42.0;263.0;497.0;52.0;308.0;92.0
333.0;32.0;275.0;493.0;66.0;313.0;101.0
303.0;53.0;298.0;486.0;59.0;328.0;143.0
329.0;-409.0;-3.0;15.0;408.0;-165.0;-338.0
336.0;-398.0;-4.0;13.0;391.0;-170.0;-345.0
367.0;-390.0;-11.0;3.0;380.0;-168.0;-371.0
366.0;-389.0;-14.0;-6.0;374.0;-160.0;-353.0
-250.0;-165.0;266.0;542.0;-26.0;215.0;-69.0
-51.0;-258.0;540.0;381.0;152.0;535.0;-500.0
-45.0;-309.0;554.0;362.0;243.0;544.0;-472.0
-35.0;-325.0;564.0;349.0;292.0;551.0;-474.0
-241.0;-173.0;279.0;537.0;-16.0;224.0;-93.0
-235.0;-176.0;286.0;533.0;-13.0;229.0;-107.0
-229.0;-177.0;294.0;529.0;-10.0;234.0;-119.0
-222.0;-178.0;303.0;524.0;-6.0;239.0;-131.0
-206.0;-180.0;322.0;513.0;-2.0;250.0;-154.0
-185.0;-182.0;349.0;496.0;6.0;263.0;-175.0
-171.0;-181.0;362.0;486.0;12.0;270.0;-188.0
-153.0;-181.0;373.0;477.0;20.0;275.0;-206.0
-118.0;-177.0;401.0;454.0;50.0;281.0;-247.0
-111.0;-176.0;411.0;442.0;64.0;281.0;-265.0
-104.0;-171.0;419.0;430.0;71.0;280.0;-278.0
-91.0;-158.0;440.0;394.0;75.0;271.0;-291.0
-80.0;-138.0;460.0;353.0;85.0;258.0;-290.0
-64.0;-110.0;480.0;303.0;88.0;244.0;-279.0
-62.0;-95.0;490.0;271.0;88.0;236.0;-278.0
-56.0;-63.0;506.0;198.0;87.0;217.0;-258.0
-48.0;-47.0;514.0;159.0;91.0;207.0;-242.0
-19.0;-30.0;531.0;81.0;111.0;201.0;-224.0
-6.0;-34.0;542.0;39.0;123.0;196.0;-224.0
12.0;-35.0;551.0;5.0;125.0;193.0;-233.0
29.0;-33.0;555.0;-18.0;124.0;193.0;-246.0
37.0;-39.0;558.0;-32.0;124.0;194.0;-254.0
45.0;-42.0;559.0;-41.0;129.0;193.0;-259.0
51.0;-46.0;562.0;-47.0;137.0;190.0;-269.0
48.0;-53.0;567.0;-54.0;144.0;188.0;-283.0
-178.0;-111.0;327.0;475.0;-29.0;413.0;-246.0
-172.0;-120.0;336.0;476.0;-25.0;416.0;-253.0
-158.0;-162.0;354.0;482.0;1.0;434.0;-269.0
-159.0;-173.0;359.0;484.0;9.0;440.0;-268.0
-176.0;-193.0;369.0;486.0;22.0;454.0;-257.0
-187.0;-199.0;376.0;486.0;26.0;461.0;-249.0
-192.0;-199.0;385.0;483.0;27.0;465.0;-245.0
-189.0;-196.0;396.0;479.0;26.0;466.0;-251.0
-181.0;-192.0;404.0;477.0;24.0;466.0;-266.0
-175.0;-186.0;409.0;476.0;23.0;465.0;-288.0
-172.0;-182.0;413.0;477.0;24.0;462.0;-308.0
-170.0;-181.0;415.0;479.0;27.0;459.0;-322.0
-169.0;-182.0;417.0;480.0;31.0;456.0;-330.0
-171.0;-182.0;417.0;483.0;39.0;449.0;-340.0
-175.0;-182.0;415.0;485.0;46.0;444.0;-343.0
-179.0;-182.0;412.0;488.0;55.0;441.0;-341.0
49.0;-60.0;570.0;-60.0;152.0;191.0;-296.0
43.0;-81.0;570.0;-68.0;161.0;201.0;-316.0
37.0;-91.0;570.0;-72.0;163.0;206.0;-330.0
-244.0;-62.0;343.0;484.0;-67.0;389.0;-215.0
-237.0;-62.0;351.0;479.0;-67.0;397.0;-250.0
-232.0;-77.0;356.0;479.0;-52.0;408.0;-286.0
-224.0;-104.0;362.0;477.0;-19.0;419.0;-322.0
-201.0;-155.0;384.0;466.0;69.0;437.0;-408.0
-459.0;-186.0;414.0;472.0;51.0;465.0;-497.0
-446.0;-211.0;441.0;453.0;77.0;485.0;-512.0
-410.0;-152.0;374.0;527.0;7.0;386.0;-567.0
32.0;-97.0;569.0;-75.0;166.0;212.0;-345.0
30.0;-103.0;568.0;-78.0;166.0;220.0;-359.0
25.0;-107.0;567.0;-78.0;168.0;228.0;-367.0
-116.0;-184.0;418.0;471.0;32.0;440.0;-478.0
-104.0;-188.0;422.0;477.0;34.0;440.0;-459.0
-94.0;-188.0;430.0;479.0;37.0;443.0;-442.0
-85.0;-187.0;441.0;476.0;36.0;447.0;-430.0
-69.0;-179.0;449.0;474.0;30.0;446.0;-430.0
-77.0;-177.0;455.0;470.0;26.0;446.0;-441.0
-94.0;-182.0;458.0;466.0;32.0;448.0;-440.0
