NMHC(GT);CO(GT);NO2(GT);NOx(GT);PT08.S3(NOx);C6H6(GT);T;RH;AH;PT08.S4(NO2);PT08.S1(CO);PT08.S2(NMHC);PT08.S5(O3)
-200.0;1.1;49.0;32.0;845.0;5.7;26.0;33.1;1.0955;1355.0;902.0;797.0;841.0
-200.0;2.4;166.0;334.0;581.0;8.8;17.0;47.5;0.9146;1329.0;1209.0;933.0;1058.0
166.0;2.7;143.0;216.0;969.0;11.6;14.3;38.4;0.6243;1598.0;1263.0;1037.0;1167.0
114.0;2.1;113.0;143.0;1035.0;10.2;15.0;36.5;0.6195;1537.0;1206.0;986.0;959.0
-200.0;1.5;123.0;214.0;651.0;6.2;15.4;54.0;0.9385;1262.0;1144.0;821.0;988.0
-200.0;0.7;79.0;96.0;947.0;2.2;13.0;61.2;0.9105;1054.0;958.0;601.0;659.0
-200.0;1.5;140.0;233.0;721.0;5.2;12.2;65.0;0.9193;1175.0;1095.0;772.0;1023.0
-200.0;1.6;149.0;248.0;631.0;7.5;12.7;62.8;0.9198;1280.0;1166.0;880.0;1238.0
-200.0;2.2;133.0;149.0;891.0;12.2;24.2;28.7;0.8515;1648.0;1385.0;1056.0;1268.0
-200.0;2.3;126.0;137.0;901.0;13.1;25.2;24.9;0.7829;1660.0;1379.0;1087.0;1144.0
-200.0;2.2;128.0;149.0;934.0;14.4;27.0;17.8;0.6275;1639.0;1322.0;1129.0;1109.0
-200.0;1.9;114.0;229.0;592.0;10.2;18.0;33.1;0.6779;1271.0;1238.0;985.0;1252.0
-200.0;2.7;149.0;166.0;873.0;14.5;25.8;23.9;0.7832;1689.0;1409.0;1131.0;1206.0
-200.0;2.8;117.0;181.0;868.0;4.5;9.9;43.5;0.53;972.0;971.0;739.0;664.0
-200.0;2.3;179.0;356.0;735.0;8.1;7.3;52.8;0.5404;1098.0;1059.0;905.0;1130.0
-200.0;4.0;195.0;454.0;609.0;13.6;7.8;50.8;0.5384;1309.0;1197.0;1102.0;1253.0
-200.0;3.4;189.0;399.0;625.0;12.6;8.6;48.2;0.5385;1229.0;1162.0;1070.0;1237.0
-200.0;1.6;96.0;103.0;1021.0;6.6;11.9;71.1;0.9915;1501.0;1134.0;840.0;917.0
-200.0;0.9;100.0;117.0;956.0;2.9;4.0;80.8;0.6666;1023.0;949.0;647.0;762.0
-200.0;1.1;120.0;142.0;977.0;2.6;5.1;74.5;0.6626;983.0;937.0;625.0;798.0
-200.0;2.5;232.0;375.0;629.0;10.1;5.7;72.5;0.6686;1244.0;1151.0;983.0;1121.0
-200.0;2.5;199.0;477.0;625.0;9.8;8.4;44.6;0.4922;1174.0;1187.0;970.0;1203.0
-200.0;2.4;200.0;357.0;712.0;8.3;5.8;40.3;0.374;1016.0;1089.0;913.0;1208.0
-200.0;1.5;99.0;115.0;1054.0;6.7;12.4;64.9;0.9332;1539.0;1182.0;845.0;704.0
-200.0;2.2;153.0;313.0;641.0;9.5;7.4;44.5;0.4582;1110.0;1143.0;960.0;1136.0
-200.0;1.7;92.0;104.0;1064.0;5.8;13.8;57.9;0.9085;1447.0;1127.0;802.0;837.0
-200.0;1.6;83.0;86.0;1105.0;5.2;13.9;55.9;0.8842;1429.0;1090.0;773.0;761.0
-200.0;1.6;148.0;252.0;720.0;7.0;8.2;41.8;0.4563;1010.0;1083.0;856.0;975.0
-200.0;1.1;91.0;115.0;1161.0;4.3;13.5;58.4;0.896;1461.0;1064.0;728.0;842.0
-200.0;2.1;113.0;170.0;902.0;8.9;13.8;58.0;0.9083;1623.0;1300.0;935.0;1145.0
-200.0;2.4;102.0;147.0;834.0;10.5;14.6;53.1;0.8765;1689.0;1348.0;998.0;1218.0
-200.0;1.5;155.0;259.0;783.0;5.6;8.9;37.9;0.4318;967.0;1025.0;795.0;881.0
-200.0;2.6;137.0;221.0;805.0;5.4;6.7;47.6;0.4688;969.0;1055.0;783.0;1167.0
-200.0;1.4;185.0;302.0;729.0;9.2;5.3;44.4;0.397;1073.0;1024.0;945.0;1026.0
-200.0;1.0;177.0;294.0;752.0;8.5;5.1;43.0;0.3821;1033.0;1004.0;918.0;990.0
-200.0;0.4;109.0;165.0;822.0;4.4;9.9;79.8;0.9725;1208.0;1106.0;733.0;902.0
81.0;1.3;96.0;81.0;1141.0;5.3;12.0;54.9;0.7664;1375.0;1000.0;776.0;896.0
-200.0;1.0;127.0;273.0;723.0;6.7;9.9;81.0;0.9885;1286.0;1174.0;842.0;975.0
52.0;0.8;73.0;72.0;1210.0;3.0;7.7;72.4;0.7655;1312.0;952.0;654.0;832.0
64.0;0.9;78.0;103.0;1130.0;4.0;8.0;71.8;0.7711;1363.0;1005.0;713.0;924.0
-200.0;2.0;122.0;285.0;778.0;6.2;4.8;79.4;0.6872;1087.0;1051.0;820.0;1009.0
-200.0;2.4;128.0;356.0;737.0;7.5;4.9;80.1;0.7011;1140.0;1097.0;878.0;1053.0
-200.0;2.3;129.0;293.0;735.0;7.5;6.4;74.9;0.7238;1142.0;1111.0;877.0;1104.0
-200.0;1.6;113.0;198.0;780.0;6.7;6.7;74.4;0.7344;1127.0;1094.0;845.0;1064.0
-200.0;1.7;126.0;235.0;782.0;6.2;8.3;69.7;0.7632;1101.0;1024.0;819.0;1083.0
151.0;2.1;99.0;112.0;874.0;9.7;17.3;34.7;0.6788;1527.0;1249.0;968.0;926.0
272.0;2.2;101.0;117.0;853.0;9.6;15.8;40.4;0.7228;1532.0;1236.0;962.0;928.0
-200.0;2.5;120.0;433.0;629.0;10.2;8.5;76.9;0.8557;1312.0;1181.0;985.0;1240.0
237.0;2.4;102.0;132.0;884.0;8.7;15.9;43.5;0.779;1534.0;1264.0;928.0;1035.0
95.0;1.3;84.0;73.0;1072.0;4.7;15.0;46.1;0.7833;1360.0;1073.0;746.0;789.0
68.0;1.2;81.0;68.0;1147.0;3.8;15.1;44.6;0.7574;1323.0;1053.0;701.0;692.0
101.0;1.5;91.0;80.0;1094.0;4.7;14.9;43.5;0.7302;1360.0;1098.0;747.0;764.0
-200.0;1.2;88.0;169.0;926.0;3.4;7.9;69.3;0.7413;1032.0;972.0;674.0;882.0
-200.0;1.4;95.0;187.0;863.0;4.6;7.0;73.6;0.7417;1069.0;991.0;744.0;949.0
-200.0;2.4;114.0;357.0;762.0;6.7;6.4;76.3;0.7369;1125.0;1063.0;843.0;1089.0
-200.0;2.6;149.0;446.0;605.0;10.6;11.3;58.1;0.7743;1298.0;1211.0;998.0;1302.0
-200.0;2.2;128.0;310.0;632.0;11.0;10.2;61.5;0.7638;1306.0;1183.0;1013.0;1186.0
-200.0;2.4;123.0;432.0;659.0;9.3;7.7;73.8;0.7769;1253.0;1132.0;950.0;1106.0
-200.0;3.0;125.0;419.0;552.0;15.3;6.3;77.4;0.7452;1464.0;1226.0;1157.0;1201.0
