NMHC(GT);CO(GT);NO2(GT);NOx(GT);PT08.S3(NOx);C6H6(GT);T;RH;AH;PT08.S4(NO2);PT08.S1(CO);PT08.S2(NMHC);PT08.S5(O3)
-200.0;1.5;86.0;85.0;829.0;7.7;32.3;27.2;1.2933;1478.0;975.0;887.0;737.0
-200.0;-200.0;131.0;120.0;777.0;10.8;39.2;16.4;1.1439;1534.0;1102.0;1007.0;880.0
-200.0;-200.0;129.0;115.0;777.0;10.9;41.4;13.8;1.0786;1523.0;1078.0;1012.0;868.0
308.0;2.4;112.0;164.0;818.0;12.7;19.3;34.2;0.7566;1678.0;1223.0;1075.0;1198.0
-200.0;0.8;73.0;68.0;874.0;7.4;31.6;22.9;1.0469;1464.0;1017.0;873.0;721.0
-200.0;1.0;41.0;59.0;841.0;5.6;22.2;53.9;1.4201;1493.0;929.0;791.0;789.0
-200.0;0.9;76.0;56.0;919.0;4.6;21.3;45.9;1.1471;1415.0;863.0;746.0;961.0
-200.0;1.2;77.0;71.0;816.0;8.3;22.2;43.0;1.1363;1552.0;949.0;910.0;1015.0
-200.0;1.1;53.0;44.0;852.0;5.8;24.1;37.9;1.1204;1400.0;904.0;801.0;862.0
-200.0;-200.0;-200.0;-200.0;666.0;10.0;19.5;69.7;1.5596;1520.0;1103.0;979.0;1156.0
-200.0;0.9;70.0;65.0;905.0;6.3;22.2;38.4;1.0126;1469.0;863.0;824.0;925.0
-200.0;1.1;69.0;72.0;925.0;6.7;23.0;33.8;0.9406;1448.0;868.0;846.0;836.0
-200.0;1.2;-200.0;-200.0;889.0;4.8;25.0;37.3;1.1614;1310.0;932.0;752.0;687.0
-200.0;1.4;89.0;108.0;840.0;8.8;23.6;33.8;0.9685;1522.0;927.0;930.0;1026.0
-200.0;1.6;102.0;172.0;891.0;7.4;25.7;33.0;1.0763;1525.0;957.0;875.0;871.0
-200.0;1.5;107.0;177.0;907.0;6.8;23.4;39.4;1.1172;1496.0;942.0;849.0;894.0
-200.0;0.7;66.0;65.0;931.0;4.6;21.8;52.3;1.3539;1540.0;913.0;743.0;884.0
114.0;2.1;113.0;143.0;1035.0;10.2;15.0;36.5;0.6195;1537.0;1206.0;986.0;959.0
-200.0;1.9;107.0;339.0;816.0;10.2;23.3;46.2;1.301;1524.0;1021.0;985.0;977.0
-200.0;0.9;75.0;55.0;931.0;4.9;25.8;41.0;1.3461;1497.0;917.0;761.0;893.0
-200.0;1.1;71.0;65.0;816.0;7.2;22.6;51.0;1.3805;1639.0;1007.0;864.0;987.0
-200.0;1.1;71.0;68.0;847.0;6.4;24.5;44.4;1.3476;1585.0;983.0;831.0;887.0
-200.0;-200.0;106.0;97.0;767.0;10.2;42.7;14.4;1.2092;1532.0;1105.0;984.0;868.0
-200.0;0.4;29.0;18.0;1069.0;2.2;24.3;48.3;1.4449;1346.0;820.0;597.0;603.0
-200.0;2.5;144.0;429.0;867.0;15.7;32.8;18.9;0.9234;1523.0;1135.0;1170.0;1189.0
-200.0;1.7;89.0;214.0;787.0;8.0;31.6;25.5;1.1638;1412.0;991.0;898.0;806.0
-200.0;2.0;94.0;214.0;845.0;9.4;21.2;55.2;1.3699;1528.0;997.0;955.0;926.0
-200.0;2.1;68.0;227.0;631.0;11.8;19.5;70.7;1.5851;1621.0;1165.0;1042.0;1133.0
-200.0;1.9;121.0;228.0;766.0;8.8;24.7;46.4;1.4206;1506.0;1096.0;931.0;1019.0
-200.0;1.7;99.0;169.0;778.0;8.5;23.6;50.0;1.4383;1509.0;1077.0;920.0;935.0
-200.0;2.9;109.0;293.0;736.0;10.5;15.6;75.7;1.3345;1552.0;1103.0;997.0;914.0
-200.0;2.0;107.0;240.0;895.0;5.8;15.4;76.6;1.3334;1390.0;985.0;805.0;785.0
-200.0;2.1;64.0;145.0;703.0;10.2;27.3;38.3;1.3669;1546.0;1081.0;983.0;1079.0
-200.0;2.7;95.0;234.0;823.0;10.3;23.1;27.0;0.7538;1327.0;992.0;987.0;781.0
-200.0;-200.0;-200.0;-200.0;490.0;23.6;21.2;61.7;1.5309;1976.0;1428.0;1393.0;1608.0
-200.0;1.0;124.0;182.0;966.0;3.9;6.2;51.3;0.488;926.0;914.0;705.0;687.0
-200.0;1.4;52.0;107.0;732.0;8.1;23.8;60.2;1.7515;1560.0;1096.0;903.0;857.0
-200.0;2.4;98.0;355.0;663.0;9.9;12.8;73.8;1.0853;1359.0;1214.0;972.0;1280.0
-200.0;1.2;59.0;163.0;753.0;6.3;21.3;69.1;1.7275;1526.0;1082.0;825.0;930.0
-200.0;1.3;56.0;187.0;705.0;7.7;21.3;68.2;1.7127;1574.0;1095.0;886.0;1001.0
-200.0;1.1;51.0;150.0;765.0;6.3;22.2;65.2;1.7256;1521.0;1049.0;826.0;917.0
-200.0;1.0;51.0;103.0;807.0;5.6;24.1;59.0;1.7449;1494.0;1055.0;795.0;834.0
-200.0;1.2;58.0;143.0;814.0;5.1;24.3;61.6;1.8468;1489.0;1074.0;767.0;796.0
-200.0;-200.0;102.0;84.0;780.0;9.6;28.6;27.2;1.048;1532.0;960.0;964.0;913.0
-200.0;1.0;57.0;116.0;788.0;5.9;20.3;70.6;1.6659;1423.0;975.0;807.0;904.0
-200.0;1.0;69.0;92.0;923.0;7.0;19.8;50.4;1.1525;1608.0;912.0;858.0;894.0
-200.0;-200.0;-200.0;-200.0;803.0;7.8;35.3;23.1;1.2989;1499.0;1022.0;890.0;862.0
-200.0;-200.0;-200.0;-200.0;962.0;2.5;9.8;69.4;0.8397;1064.0;916.0;623.0;725.0
-200.0;1.5;69.0;65.0;767.0;7.4;25.7;54.1;1.7546;1617.0;963.0;872.0;803.0
-200.0;0.9;49.0;198.0;802.0;5.8;18.7;74.4;1.5861;1435.0;960.0;804.0;886.0
-200.0;1.0;55.0;185.0;770.0;6.5;19.8;69.2;1.5808;1435.0;982.0;834.0;911.0
-200.0;-200.0;96.0;80.0;805.0;8.5;26.3;29.0;0.9807;1472.0;939.0;918.0;923.0
-200.0;3.3;166.0;476.0;522.0;17.2;15.8;48.9;0.8707;1545.0;1284.0;1216.0;1415.0
-200.0;1.4;79.0;175.0;758.0;7.9;19.8;63.7;1.4524;1468.0;1055.0;895.0;1043.0
-200.0;1.6;78.0;169.0;734.0;7.5;17.7;78.8;1.5855;1495.0;1075.0;878.0;948.0
-200.0;1.4;76.0;89.0;-200.0;-200.0;-200.0;-200.0;-200.0;-200.0;-200.0;-200.0;-200.0
-200.0;1.9;96.0;127.0;886.0;11.0;26.8;25.2;0.8721;1584.0;1048.0;1013.0;940.0
157.0;2.0;84.0;124.0;869.0;8.8;15.0;53.1;0.8993;1588.0;1112.0;931.0;1011.0
-200.0;1.5;73.0;79.0;926.0;6.5;17.7;62.0;1.2458;1615.0;1049.0;836.0;901.0
-200.0;1.8;114.0;306.0;849.0;8.1;18.1;21.3;0.4396;1011.0;920.0;903.0;853.0
-200.0;1.2;67.0;75.0;916.0;6.5;16.9;66.5;1.2688;1632.0;1012.0;833.0;862.0
-200.0;3.2;84.0;189.0;704.0;14.3;14.8;37.5;0.6259;1346.0;1024.0;1127.0;943.0
-200.0;-200.0;-200.0;-200.0;1036.0;3.8;21.0;68.6;1.6873;1452.0;900.0;699.0;799.0
-200.0;2.7;188.0;473.0;629.0;11.2;6.2;62.4;0.5958;1233.0;1207.0;1023.0;1373.0
-200.0;2.9;143.0;181.0;771.0;13.4;22.2;34.4;0.9072;1680.0;1251.0;1097.0;1280.0
-200.0;3.5;106.0;121.0;637.0;14.4;28.9;39.1;1.537;1839.0;1239.0;1129.0;1308.0
-200.0;1.0;127.0;273.0;723.0;6.7;9.9;81.0;0.9885;1286.0;1174.0;842.0;975.0
-200.0;-200.0;92.0;79.0;805.0;5.4;20.7;81.8;1.9717;1623.0;1002.0;783.0;875.0
-200.0;-200.0;79.0;209.0;757.0;6.6;8.7;77.6;0.8753;1202.0;1090.0;841.0;989.0
-200.0;1.8;102.0;118.0;954.0;8.2;23.4;44.4;1.2646;1681.0;989.0;906.0;826.0
-200.0;1.5;84.0;83.0;917.0;8.7;25.4;40.1;1.2822;1654.0;984.0;929.0;817.0
-200.0;1.5;140.0;233.0;721.0;5.2;12.2;65.0;0.9193;1175.0;1095.0;772.0;1023.0
-200.0;2.8;126.0;205.0;815.0;16.5;35.9;18.9;1.0999;1848.0;1054.0;1195.0;1078.0
-200.0;1.2;61.0;52.0;927.0;6.0;33.4;27.8;1.4119;1596.0;988.0;813.0;596.0
-200.0;1.9;68.0;65.0;672.0;9.1;27.3;57.1;2.0426;1775.0;1142.0;945.0;799.0
-200.0;2.1;125.0;416.0;702.0;11.0;9.4;67.7;0.8018;1287.0;1136.0;1015.0;1063.0
-200.0;0.6;43.0;31.0;971.0;3.8;20.3;59.6;1.3994;1528.0;886.0;702.0;767.0
-200.0;1.0;66.0;48.0;967.0;5.9;22.0;52.8;1.3752;1598.0;919.0;807.0;775.0
-200.0;2.9;147.0;263.0;595.0;17.0;29.3;40.0;1.6082;2052.0;1320.0;1210.0;1477.0
-200.0;1.0;67.0;57.0;1134.0;4.1;22.0;44.9;1.1699;1471.0;851.0;718.0;561.0
-200.0;1.2;78.0;101.0;887.0;8.7;20.0;56.6;1.3095;1711.0;949.0;929.0;973.0
-200.0;-200.0;107.0;98.0;778.0;10.3;42.0;14.2;1.1517;1537.0;1109.0;989.0;819.0
-200.0;0.6;60.0;71.0;1364.0;0.9;0.7;41.2;0.2693;640.0;762.0;487.0;307.0
-200.0;2.9;168.0;409.0;635.0;11.4;12.2;47.0;0.6686;1243.0;1188.0;1029.0;1433.0
-200.0;-200.0;97.0;108.0;659.0;10.3;28.8;48.8;1.9039;1821.0;1121.0;989.0;955.0
-200.0;1.6;83.0;86.0;1105.0;5.2;13.9;55.9;0.8842;1429.0;1090.0;773.0;761.0
-200.0;1.0;47.0;46.0;901.0;4.5;25.1;56.6;1.7798;1585.0;921.0;738.0;779.0
-200.0;2.1;101.0;132.0;796.0;11.8;35.4;19.9;1.1222;1711.0;1023.0;1042.0;910.0
-200.0;1.7;126.0;235.0;782.0;6.2;8.3;69.7;0.7632;1101.0;1024.0;819.0;1083.0
-200.0;1.2;64.0;62.0;839.0;5.2;27.3;51.3;1.835;1621.0;963.0;774.0;758.0
682.0;4.4;196.0;260.0;680.0;25.3;30.0;19.4;0.81;1953.0;1460.0;1438.0;1489.0
68.0;1.2;81.0;68.0;1147.0;3.8;15.1;44.6;0.7574;1323.0;1053.0;701.0;692.0
-200.0;-200.0;123.0;96.0;799.0;10.1;40.5;14.9;1.111;1523.0;1076.0;982.0;748.0
-200.0;0.7;41.0;39.0;893.0;4.5;26.5;60.6;2.063;1623.0;921.0;738.0;818.0
-200.0;2.6;124.0;285.0;1028.0;10.3;14.5;45.4;0.7458;1247.0;1006.0;987.0;964.0
-200.0;4.5;169.0;732.0;477.0;22.3;12.3;72.5;1.0331;1719.0;1464.0;1358.0;1711.0
