MotorData.Motor_Pos4reached;MotorData.ActPosition;PLC_PRG.MaterialIsMetal;NVL_Recv_Ind.GL_NonMetall;NVL_Recv_Ind.GL_Metall
0;228984;0;1;0
0;233537;0;1;0
0;233653;0;1;0
0;235944;0;1;0
0;232812;0;1;0
0;226577;0;1;0
0;236582;0;1;0
0;230347;0;1;0
0;230347;0;1;0
0;226026;0;1;0
0;232493;0;1;0
0;235480;0;1;0
0;230115;0;1;0
0;230115;0;1;0
0;230115;0;1;0
0;233073;0;1;0
0;235944;0;1;0
0;230028;0;1;0
0;226345;0;1;0
0;236495;0;1;0
0;236495;0;1;0
0;233392;0;1;0
0;227476;0;1;0
0;224257;0;1;0
0;233798;0;1;0
0;236292;0;1;0
0;236292;0;1;0
0;225910;0;1;0
0;227215;0;1;0
0;233305;0;1;0
0;226780;0;1;0
0;229912;0;1;0
0;235973;0;1;0
0;235973;0;1;0
0;237220;0;1;0
0;237220;0;1;0
0;227157;0;1;0
0;232899;0;1;0
0;232899;0;1;0
0;232551;0;1;0
0;226635;0;1;0
0;230347;0;1;0
0;224982;0;1;0
0;228984;0;1;0
0;235074;0;1;0
0;235074;0;1;0
0;235074;0;1;0
0;224982;0;1;0
0;224982;0;1;0
0;232174;0;1;0
0;235132;0;1;0
0;235625;0;1;0
0;235625;0;1;0
0;232029;0;1;0
0;225620;0;1;0
0;234668;0;1;0
0;228752;0;1;0
0;226171;0;1;0
0;226171;0;1;0
0;229390;0;1;0
0;229390;0;1;0
0;235306;0;1;0
0;230463;0;1;0
0;230463;0;1;0
0;224315;0;1;0
0;224576;0;1;0
0;230492;0;1;0
0;234175;0;1;0
0;235451;0;1;0
0;232348;0;1;0
0;226664;0;1;0
0;225678;0;1;0
0;228868;0;1;0
0;234697;0;1;0
0;226258;0;1;0
0;230115;0;1;0
0;236031;0;1;0
0;236031;0;1;0
0;234175;0;1;0
0;234175;0;1;0
0;228259;0;1;0
0;233218;0;1;0
0;233218;0;1;0
0;230260;0;1;0
0;224170;0;1;0
0;225156;0;1;0
0;231536;0;1;0
0;226171;0;1;0
0;226171;0;1;0
0;232493;0;1;0
0;236437;0;1;0
0;233102;0;1;0
0;233102;0;1;0
0;227186;0;1;0
0;227534;0;1;0
0;236756;0;1;0
0;237220;0;1;0
0;234175;0;1;0
0;234175;0;1;0
0;227853;0;1;0
0;224982;0;1;0
0;230985;0;1;0
0;237394;0;1;0
0;237394;0;1;0
0;236350;0;1;0
0;229709;0;1;0
0;223387;0;1;0
0;228433;0;1;0
0;233624;0;1;0
0;233624;0;1;0
0;224518;0;1;0
0;235335;0;1;0
0;228868;0;1;0
0;225678;0;1;0
0;229158;0;1;0
0;229158;0;1;0
0;235944;0;1;0
0;235944;0;1;0
0;234262;0;1;0
0;227708;0;1;0
0;224431;0;1;0
0;233537;0;1;0
0;235799;0;1;0
0;224054;0;1;0
0;227186;0;1;0
0;233653;0;1;0
0;233653;0;1;0
0;236872;0;1;0
0;236872;0;1;0
0;233595;0;1;0
0;227505;0;1;0
0;224547;0;1;0
0;227534;0;1;0
0;227534;0;1;0
0;230666;0;1;0
0;236669;0;1;0
0;229941;0;1;0
0;237800;0;1;0
0;228433;0;1;0
0;236350;0;1;0
0;233392;0;1;0
0;226751;0;1;0
0;226751;0;1;0
0;234581;0;1;0
0;234581;0;1;0
0;233537;0;1;0
0;233537;0;1;0
0;233711;0;1;0
0;224663;0;1;0
0;224663;0;1;0
0;224663;0;1;0
0;237220;0;1;0
0;231391;0;1;0
0;231391;0;1;0
0;231391;0;1;0
0;224431;0;1;0
0;224431;0;1;0
0;230666;0;1;0
0;234581;0;1;0
0;234146;0;1;0
0;234146;0;1;0
0;227824;0;1;0
0;227824;0;1;0
0;225475;0;1;0
0;228839;0;1;0
0;224547;0;1;0
0;234378;0;1;0
0;234378;0;1;0
0;236814;0;1;0
0;237133;0;1;0
0;233218;0;1;0
0;226751;0;1;0
0;233392;0;1;0
0;226577;0;1;0
0;226577;0;1;0
0;226577;0;1;0
0;223387;0;1;0
0;237452;0;1;0
0;230347;0;1;0
0;227302;0;1;0
