Accelerometer RKN_ accZ;InertialMeasurementUnit BACK accX;InertialMeasurementUnit RUA gyroX;Accelerometer HIP accX;InertialMeasurementUnit RLA accZ;InertialMeasurementUnit L-SHOE Nav_Ax;Accelerometer BACK accX;InertialMeasurementUnit BACK accY;InertialMeasurementUnit L-SHOE Body_Az;Accelerometer LH accZ;Accelerometer RWR accZ;Accelerometer BACK accY
-695.0;-1013.0;503.0;-149.0;474.0;-93;22.0;-186.0;475;144.0;433.0;648.0
-19.0;-945.0;38.0;15.0;546.0;2;302.0;-277.0;727;49.0;998.0;826.0
-18.0;-953.0;8.0;28.0;550.0;7;308.0;-286.0;733;39.0;988.0;823.0
-33.0;-949.0;-7.0;10.0;543.0;8;313.0;-279.0;735;27.0;977.0;834.0
-22.0;-951.0;37.0;7.0;567.0;3;315.0;-272.0;730;21.0;958.0;825.0
-28.0;-956.0;39.0;2.0;574.0;8;305.0;-269.0;733;20.0;1001.0;816.0
-13.0;-953.0;-106.0;87.0;680.0;22;374.0;-181.0;725;102.0;903.0;802.0
-21.0;-950.0;0.0;22.0;542.0;-1;290.0;-276.0;727;-16.0;971.0;837.0
-76.0;-981.0;141.0;-52.0;548.0;1;105.0;-49.0;713;56.0;933.0;840.0
80.0;-977.0;-84.0;-8.0;691.0;-2;135.0;-152.0;714;230.0;913.0;894.0
-13.0;-984.0;-193.0;27.0;872.0;2;225.0;-194.0;738;252.0;845.0;898.0
25.0;-975.0;195.0;15.0;835.0;3;207.0;-183.0;733;142.0;801.0;867.0
-19.0;-952.0;42.0;18.0;537.0;1;287.0;-277.0;726;2.0;966.0;823.0
6.0;-954.0;12.0;18.0;549.0;0;307.0;-273.0;734;20.0;994.0;819.0
-21.0;-955.0;-26.0;12.0;547.0;-1;311.0;-273.0;729;31.0;970.0;815.0
-369.0;-927.0;-105.0;-6.0;912.0;6;31.0;-41.0;645;-362.0;784.0;744.0
-21.0;-952.0;-17.0;12.0;550.0;-3;298.0;-276.0;732;11.0;1002.0;819.0
309.0;-1009.0;-71.0;-4.0;698.0;-6;252.0;-319.0;739;-25.0;616.0;773.0
89.0;-924.0;-251.0;-82.0;488.0;626;418.0;-147.0;-928;154.0;766.0;1035.0
-27.0;-950.0;-63.0;8.0;566.0;4;271.0;-280.0;733;21.0;998.0;853.0
87.0;-961.0;-48.0;118.0;698.0;5;198.0;-205.0;720;85.0;809.0;942.0
-50.0;-958.0;-64.0;50.0;749.0;0;165.0;-246.0;720;-8.0;714.0;877.0
-353.0;-945.0;-747.0;-32.0;826.0;4;46.0;-15.0;646;-426.0;808.0;764.0
-188.0;-956.0;-35.0;-29.0;497.0;3;204.0;-255.0;716;-10.0;909.0;831.0
97.0;-954.0;39.0;6.0;472.0;10;221.0;-244.0;720;-38.0;926.0;838.0
-28.0;-978.0;119.0;13.0;546.0;2;223.0;-199.0;737;139.0;717.0;864.0
8.0;-772.0;-442.0;65.0;444.0;0;257.0;-178.0;662;375.0;361.0;660.0
-69.0;-856.0;-88.0;-83.0;675.0;45;252.0;-161.0;725;147.0;495.0;818.0
126.0;-899.0;-175.0;-164.0;314.0;825;28.0;-331.0;411;325.0;662.0;859.0
46.0;-860.0;-223.0;-10.0;438.0;25;220.0;-184.0;731;109.0;398.0;774.0
-23.0;-958.0;19.0;-148.0;548.0;43;-26.0;-30.0;693;88.0;518.0;870.0
-393.0;-934.0;-968.0;80.0;410.0;5;189.0;-231.0;634;310.0;750.0;877.0
-363.0;-968.0;96.0;-29.0;739.0;2;29.0;-27.0;643;-365.0;122.0;773.0
11.0;-938.0;479.0;4.0;705.0;2;259.0;-285.0;729;41.0;917.0;819.0
-19.0;-955.0;-88.0;1.0;406.0;-6;317.0;-255.0;738;91.0;867.0;819.0
-12.0;-954.0;127.0;-11.0;794.0;8;305.0;-261.0;722;79.0;951.0;823.0
10.0;-953.0;49.0;12.0;629.0;4;270.0;-245.0;727;71.0;956.0;829.0
-27.0;-955.0;-50.0;-10.0;429.0;-6;274.0;-241.0;735;68.0;926.0;814.0
-2.0;-944.0;232.0;10.0;658.0;1;300.0;-216.0;725;94.0;922.0;792.0
-22.0;-981.0;209.0;36.0;1053.0;-1;221.0;-164.0;734;-173.0;814.0;923.0
-18.0;-948.0;-33.0;-23.0;528.0;-6;283.0;-248.0;729;66.0;918.0;812.0
-59.0;-947.0;83.0;-25.0;675.0;-5;279.0;-251.0;732;64.0;846.0;802.0
-10.0;-943.0;70.0;-4.0;589.0;-4;296.0;-252.0;732;39.0;854.0;809.0
0.0;-943.0;-206.0;-17.0;722.0;1;351.0;-294.0;731;77.0;867.0;798.0
-20.0;-974.0;-658.0;30.0;812.0;-4;250.0;-208.0;728;205.0;870.0;867.0
-31.0;-933.0;-291.0;-40.0;787.0;-4;304.0;-242.0;726;17.0;869.0;771.0
14.0;-936.0;69.0;-59.0;676.0;-4;312.0;-271.0;730;45.0;817.0;769.0
-21.0;-934.0;-42.0;-38.0;699.0;2;316.0;-260.0;730;-18.0;827.0;781.0
-20.0;-931.0;73.0;-40.0;701.0;-1;305.0;-261.0;729;2.0;931.0;760.0
-410.0;-870.0;-207.0;-175.0;531.0;-799;155.0;-130.0;1391;139.0;730.0;848.0
95.0;-969.0;95.0;-129.0;479.0;8;100.0;-36.0;1248;81.0;547.0;870.0
-99.0;-969.0;522.0;11.0;938.0;3;206.0;-316.0;729;51.0;740.0;953.0
-4.0;-944.0;-32.0;-15.0;794.0;0;281.0;-247.0;731;56.0;943.0;816.0
-17.0;-919.0;-97.0;10.0;607.0;-1;315.0;-277.0;728;52.0;908.0;774.0
-12.0;-921.0;-66.0;-12.0;653.0;-8;312.0;-276.0;732;72.0;893.0;782.0
-10.0;-930.0;16.0;-38.0;744.0;-2;316.0;-262.0;729;37.0;860.0;773.0
-11.0;-941.0;-40.0;-44.0;722.0;-4;297.0;-262.0;730;-5.0;861.0;754.0
-12.0;-964.0;543.0;77.0;915.0;-1;226.0;-328.0;736;101.0;833.0;920.0
-10.0;-944.0;-395.0;-8.0;686.0;-3;297.0;-243.0;735;84.0;908.0;837.0
76.0;-941.0;74.0;-28.0;988.0;5;321.0;-386.0;733;-207.0;848.0;842.0
34.0;-932.0;-146.0;-15.0;627.0;-4;291.0;-258.0;728;20.0;962.0;787.0
28.0;-930.0;-87.0;-26.0;599.0;-2;310.0;-264.0;722;20.0;861.0;759.0
-47.0;-937.0;218.0;25.0;399.0;39;449.0;-284.0;706;-130.0;953.0;724.0
77.0;-820.0;445.0;-35.0;485.0;-47;458.0;-294.0;705;43.0;919.0;694.0
