Accelerometer LUA_ accX;InertialMeasurementUnit R-SHOE Nav_Ax;InertialMeasurementUnit L-SHOE AngVelNavFrameX;InertialMeasurementUnit L-SHOE AngVelBodyFrameX;InertialMeasurementUnit BACK accZ;InertialMeasurementUnit BACK magneticY;Accelerometer RKN_ accX;InertialMeasurementUnit L-SHOE Nav_Ay;InertialMeasurementUnit L-SHOE AngVelNavFrameY;InertialMeasurementUnit BACK magneticX;InertialMeasurementUnit L-SHOE AngVelBodyFrameY;InertialMeasurementUnit L-SHOE EuY
198.0;241;-16;12;493.0;-63.0;48.0;-6;-12;526.0;-16;-43
-443.0;-2;-21;11;392.0;288.0;-137.0;-3;-11;316.0;-21;-44
41.0;4;-556;-891;148.0;216.0;-51.0;77;891;451.0;-556;-44
-184.0;135;-59;-242;686.0;-156.0;-1.0;-8;242;609.0;-59;-30
198.0;40;-40;-6;470.0;-35.0;-17.0;-8;6;531.0;-40;-43
161.0;0;14;14;302.0;74.0;-130.0;3;-14;503.0;14;-40
257.0;-215;4171;2350;141.0;204.0;112.0;934;-2350;559.0;4171;-41
323.0;-43;31;7;300.0;310.0;-28.0;3;-7;367.0;31;-32
10.0;-3;11;9;197.0;645.0;-110.0;-10;-9;400.0;11;-40
-92.0;-175;1658;3752;314.0;-122.0;-173.0;-312;-3752;540.0;1658;-37
151.0;-222;-25;-16;163.0;96.0;-134.0;-5;16;533.0;-25;-43
-66.0;-1361;67;197;176.0;-101.0;2.0;1;-197;518.0;67;-42
-321.0;-2;32;15;217.0;-24.0;12.0;-5;-15;417.0;32;-45
-12.0;27;-461;292;55.0;-181.0;30.0;-79;-292;387.0;-461;-41
61.0;-4;-2;1;59.0;-146.0;20.0;-5;-1;402.0;-2;-40
-6.0;0;-4;11;281.0;30.0;-1.0;-2;-11;441.0;-4;-45
-320.0;0;-8;17;372.0;162.0;-139.0;2;-17;420.0;-8;-40
-14.0;0;5;5;285.0;36.0;8.0;3;-5;440.0;5;-45
-101.0;-2;260;-80;430.0;-155.0;20.0;49;80;489.0;260;-45
46.0;-135;-29;47;263.0;119.0;28.0;-5;-47;274.0;-29;-41
8.0;-7;-8;-7;284.0;37.0;18.0;-3;7;443.0;-8;-45
-10.0;-1;-6;1;287.0;38.0;6.0;1;-1;441.0;-6;-45
-10.0;-9;-14;1;285.0;35.0;7.0;-1;-1;440.0;-14;-45
-17.0;-1;6;-28;302.0;45.0;22.0;-1;28;448.0;6;-45
-21.0;-3;-29;-25;280.0;27.0;8.0;-2;25;441.0;-29;-45
13.0;0;-20;19;292.0;35.0;23.0;3;-19;444.0;-20;-45
-6.0;6;-18;6;294.0;37.0;17.0;-5;-6;443.0;-18;-45
35.0;-3;-63;141;277.0;92.0;-20.0;-4;-141;429.0;-63;-49
-9.0;0;18;18;306.0;40.0;55.0;-1;-18;447.0;18;-45
92.0;120;15;-7;294.0;124.0;517.0;-12;7;474.0;15;-39
-19.0;-3;-26;2;303.0;36.0;62.0;-2;-2;447.0;-26;-45
-31.0;-14;-1103;-223;483.0;-313.0;-110.0;28;223;514.0;-1103;-41
-24.0;240;87;-129;377.0;450.0;1.0;0;129;403.0;87;-45
1.0;-4;-15;2;305.0;42.0;18.0;-4;-2;449.0;-15;-45
-49.0;-34;1362;-1223;200.0;-529.0;-65.0;-199;1223;538.0;1362;-38
11.0;-5;0;26;294.0;31.0;27.0;-4;-26;447.0;0;-45
-44.0;-30;-7;58;284.0;-95.0;15.0;3;-58;455.0;-7;-44
116.0;-21;62;153;212.0;-21.0;11.0;-25;-153;415.0;62;-42
77.0;-7;2;14;255.0;-384.0;32.0;-6;-14;448.0;2;-42
-351.0;-115;-29;24;411.0;-265.0;-74.0;36;-24;579.0;-29;-28
-312.0;0;-8;-2;86.0;-315.0;21.0;0;2;366.0;-8;-45
8.0;4;2;3;91.0;-435.0;-110.0;2;-3;511.0;2;-41
50.0;2351;-243;774;159.0;514.0;1.0;-47;-774;999.0;-243;-45
40.0;-7;24;2;187.0;160.0;-36.0;-9;-2;932.0;24;-43
68.0;12;-1452;2108;520.0;-37.0;9.0;-26;-2108;526.0;-1452;-38
-23.0;0;-3;-2;92.0;422.0;-140.0;3;2;837.0;-3;-46
37.0;-30;25;6;407.0;443.0;-335.0;-4;-6;236.0;25;-38
-68.0;1;-24;5;140.0;504.0;0.0;2;-5;524.0;-24;-39
45.0;4;-4;-3;-14.0;-339.0;-98.0;1;3;483.0;-4;-43
69.0;1;1;-13;170.0;77.0;-269.0;8;13;500.0;1;-52
118.0;108;-34;-3;322.0;144.0;-205.0;-2;3;464.0;-34;-39
232.0;0;-4;-33;127.0;124.0;-273.0;4;33;485.0;-4;-52
31.0;-369;4;24;273.0;240.0;-150.0;3;-24;443.0;4;-42
202.0;5;-2;13;289.0;335.0;-302.0;-8;-13;514.0;-2;-52
87.0;1;-22;-9;261.0;321.0;-299.0;-3;9;506.0;-22;-52
-52.0;2;-15;-22;149.0;78.0;-330.0;5;22;490.0;-15;-52
-13.0;3;-36;-34;143.0;84.0;-325.0;-3;34;488.0;-36;-52
-136.0;4;-29;-32;148.0;105.0;-354.0;0;32;486.0;-29;-52
-211.0;5;-26;-19;155.0;110.0;-311.0;0;19;481.0;-26;-51
-242.0;1;-19;40;196.0;101.0;-301.0;2;-40;505.0;-19;-52
-129.0;1;-19;-25;160.0;115.0;-309.0;-1;25;492.0;-19;-52
-93.0;3;-6;4;166.0;120.0;-325.0;0;-4;490.0;-6;-52
-199.0;1;12;-10;200.0;184.0;-285.0;6;10;502.0;12;-52
-160.0;0;-21;1;182.0;132.0;-326.0;-3;-1;496.0;-21;-52
-102.0;-4;-2;2;192.0;138.0;-302.0;-4;-2;498.0;-2;-52
-117.0;-2;-5;-14;189.0;140.0;-332.0;-3;14;497.0;-5;-52
-198.0;72;31;5;338.0;239.0;-510.0;17;-5;450.0;31;-40
-119.0;1;8;12;174.0;135.0;-317.0;-2;-12;495.0;8;-52
-143.0;3;2;-4;167.0;123.0;-319.0;-4;4;492.0;2;-52
-203.0;-320;336;592;63.0;443.0;-462.0;15;-592;411.0;336;-40
-26.0;3;16;-45;156.0;75.0;-319.0;0;45;492.0;16;-52
-60.0;134;174;-639;204.0;-178.0;-116.0;54;639;482.0;174;-46
-130.0;1;-22;-8;202.0;67.0;-316.0;2;8;497.0;-22;-52
-146.0;-1;14;30;186.0;54.0;-327.0;-5;-30;501.0;14;-52
3.0;-5;44;2;186.0;55.0;-317.0;-6;-2;508.0;44;-52
-153.0;2;-24;26;219.0;52.0;-337.0;-11;-26;512.0;-24;-52
-156.0;-7;-28;5;239.0;47.0;-333.0;1;-5;507.0;-28;-52
22.0;-2;0;-7;24.0;-172.0;-218.0;-2;7;363.0;0;-41
53.0;9;18;11;103.0;-127.0;-293.0;0;-11;417.0;18;-40
-96.0;8;8;-20;196.0;56.0;-338.0;2;20;504.0;8;-52
-132.0;1;13;-19;166.0;53.0;-316.0;0;19;499.0;13;-52
-481.0;3;2;-1;153.0;-79.0;-310.0;2;1;499.0;2;-52
-79.0;3;23;14;166.0;48.0;-295.0;10;-14;496.0;23;-52
-97.0;3;18;13;181.0;49.0;-297.0;10;-13;496.0;18;-52
-135.0;-3;-3;33;180.0;53.0;-335.0;-6;-33;500.0;-3;-52
-110.0;15;-43;-1;189.0;61.0;-338.0;1;1;500.0;-43;-52
-76.0;10;-37;12;201.0;59.0;-323.0;1;-12;501.0;-37;-52
-330.0;327;-46;13;138.0;-9.0;-156.0;237;-13;336.0;-46;-31
-48.0;14;9;-1;195.0;54.0;-330.0;7;1;497.0;9;-52
-181.0;-2;-1;2;166.0;59.0;-309.0;-3;-2;496.0;-1;-52
-26.0;-2;-53;2;184.0;70.0;-348.0;-3;-2;496.0;-53;-52
-200.0;7;-22;24;190.0;54.0;-328.0;-4;-24;500.0;-22;-52
-111.0;4;-8;19;181.0;61.0;-323.0;4;-19;492.0;-8;-52
-136.0;-4;10;-41;187.0;67.0;-327.0;-1;41;494.0;10;-52
-113.0;-3;-22;2;179.0;88.0;-337.0;-8;-2;487.0;-22;-51
-4.0;7;-25;-32;35.0;-173.0;-371.0;13;32;376.0;-25;-41
-225.0;3;31;1;151.0;57.0;-310.0;9;-1;495.0;31;-52
-153.0;-2;3;32;187.0;92.0;-325.0;-2;-32;498.0;3;-51
-149.0;-1;11;16;173.0;95.0;-325.0;-6;-16;497.0;11;-51
-164.0;-2;11;33;179.0;99.0;-295.0;-5;-33;499.0;11;-51
-163.0;2;-22;-7;181.0;97.0;-286.0;2;7;499.0;-22;-51
-165.0;-6;-1;24;166.0;112.0;-309.0;-4;-24;490.0;-1;-52
-139.0;6;2;28;189.0;96.0;-303.0;-3;-28;499.0;2;-51
-134.0;0;21;2;187.0;95.0;-344.0;4;-2;504.0;21;-51
-140.0;16;-31;16;198.0;95.0;-337.0;-3;-16;506.0;-31;-51
-184.0;1;21;4;204.0;95.0;-330.0;3;-4;509.0;21;-51
-278.0;1;18;-20;186.0;153.0;-303.0;2;20;502.0;18;-52
-94.0;-8;-30;-5;193.0;103.0;-327.0;2;5;494.0;-30;-51
-102.0;-11;-12;-11;154.0;91.0;-332.0;5;11;493.0;-12;-51
-156.0;-3;7;-38;200.0;98.0;-344.0;-2;38;496.0;7;-51
43.0;-10;20;-8;232.0;182.0;-309.0;6;8;514.0;20;-52
-170.0;-7;7;-29;174.0;101.0;-309.0;-4;29;491.0;7;-51
-111.0;2;9;17;216.0;132.0;-318.0;-9;-17;525.0;9;-50
-88.0;3;-14;2;224.0;129.0;-321.0;-8;-2;525.0;-14;-50
-173.0;0;-35;-38;276.0;41.0;-345.0;-8;38;543.0;-35;-50
-145.0;-2;5;5;294.0;27.0;-335.0;-3;-5;546.0;5;-50
-221.0;1;6;3;274.0;-49.0;-369.0;-3;-3;560.0;6;-50
-89.0;9;16;-7;476.0;-354.0;-159.0;10;7;478.0;16;-17
161.0;19;18;-15;280.0;-317.0;-200.0;1;15;487.0;18;-42
-131.0;177;33;55;272.0;-84.0;-387.0;-26;-55;454.0;33;-44
-132.0;-1;5;-2;294.0;-33.0;-365.0;4;2;563.0;5;-50
