InertialMeasurementUnit RLA gyroY;InertialMeasurementUnit RUA gyroZ;Accelerometer HIP accY;InertialMeasurementUnit R-SHOE Nav_Ay;Accelerometer LUA^ accX;InertialMeasurementUnit L-SHOE Nav_Az;InertialMeasurementUnit L-SHOE AngVelNavFrameZ;InertialMeasurementUnit L-SHOE Body_Ay;InertialMeasurementUnit L-SHOE AngVelBodyFrameZ;InertialMeasurementUnit L-SHOE Body_Ax
1338.0;-1554.0;989.0;3;335.0;22;44;638;44;18
1228.0;-1267.0;?;-2;268.0;21;26;645;26;11
638.0;-634.0;960.0;-3;261.0;22;0;643;0;5
187.0;-228.0;1017.0;1;361.0;21;-4;639;-4;7
?;60.0;992.0;-1;350.0;21;12;645;12;15
-187.0;263.0;969.0;-2;342.0;21;?;644;-1;12
-239.0;432.0;971.0;1;271.0;?;-7;642;-7;10
-305.0;545.0;1002.0;-1;193.0;19;12;644;12;16
-346.0;764.0;1005.0;?;290.0;18;1;644;1;13
162.0;35.0;932.0;?;431.0;21;17;646;17;16
?;13.0;?;-6;299.0;19;14;650;?;22
177.0;85.0;961.0;-2;486.0;20;47;645;?;18
413.0;202.0;?;-1;399.0;20;-16;644;-16;13
?;?;957.0;-3;322.0;19;-15;650;-15;11
481.0;82.0;941.0;-1;379.0;21;39;644;39;11
222.0;-87.0;937.0;-1;471.0;13;-21;647;-21;14
?;-128.0;920.0;-7;619.0;15;-17;650;-17;18
-30.0;-367.0;933.0;-5;708.0;26;5;642;5;18
?;-648.0;?;0;792.0;25;-16;641;-16;?
-191.0;-725.0;976.0;?;860.0;19;?;647;-9;11
-132.0;?;955.0;4;732.0;14;-10;650;-10;7
-133.0;-857.0;972.0;3;643.0;12;15;648;15;5
-14.0;-842.0;974.0;?;518.0;14;23;649;23;16
-41.0;-838.0;922.0;2;415.0;14;19;649;19;10
-133.0;-815.0;963.0;3;419.0;20;-6;644;-6;6
-463.0;-827.0;972.0;0;413.0;22;-43;?;-43;16
-701.0;?;964.0;1;380.0;18;-21;646;?;9
-790.0;-1172.0;?;-2;?;?;-15;642;-15;10
-425.0;-1378.0;?;?;333.0;21;-31;643;-31;12
93.0;-1431.0;1019.0;?;327.0;23;7;638;7;10
699.0;-1174.0;958.0;?;359.0;29;11;638;11;19
964.0;-1059.0;964.0;2;312.0;20;-22;644;-22;23
667.0;-675.0;987.0;-1;287.0;?;-11;641;?;13
240.0;-248.0;983.0;0;309.0;25;-10;639;-10;7
-165.0;92.0;1004.0;0;312.0;17;-4;?;-4;6
-228.0;297.0;976.0;?;273.0;19;-3;644;-3;8
58.0;374.0;945.0;-3;276.0;?;-10;644;-10;?
128.0;340.0;?;1;355.0;16;1;645;1;9
98.0;277.0;936.0;?;409.0;15;?;648;9;?
122.0;212.0;996.0;?;471.0;16;29;648;29;9
-27.0;250.0;994.0;5;554.0;20;15;642;15;13
133.0;-114.0;922.0;-2;62.0;15;?;642;10;?
?;-19.0;928.0;-1;329.0;19;-23;641;-23;?
95.0;?;926.0;-7;346.0;21;18;638;18;8
223.0;42.0;946.0;-3;?;18;10;643;10;5
305.0;112.0;956.0;?;371.0;23;-18;645;-18;13
479.0;173.0;955.0;?;352.0;23;-21;639;-21;15
357.0;28.0;934.0;-2;413.0;18;-24;640;-24;7
170.0;-99.0;928.0;-3;491.0;?;-32;645;-32;11
102.0;-188.0;937.0;-1;586.0;?;-1;644;-1;12
140.0;-272.0;936.0;3;655.0;14;40;650;?;11
109.0;-416.0;936.0;-4;779.0;15;?;650;18;15
53.0;-564.0;?;-6;772.0;18;-1;640;-1;?
-49.0;-669.0;953.0;2;751.0;19;-2;639;-2;8
-111.0;-777.0;947.0;1;?;19;-12;643;-12;15
-118.0;-951.0;?;?;626.0;21;15;640;15;12
-282.0;-1121.0;940.0;5;586.0;25;12;638;12;9
-369.0;?;960.0;-3;504.0;24;-40;641;-40;?
-382.0;-1242.0;969.0;-3;452.0;22;-4;638;-4;?
-256.0;-1329.0;938.0;?;402.0;19;19;644;19;11
-137.0;-1506.0;990.0;-2;404.0;20;-22;643;-22;11
71.0;-1618.0;1014.0;2;350.0;18;-18;639;-18;11
250.0;-1633.0;955.0;?;334.0;16;-10;646;-10;11
423.0;-1417.0;970.0;4;352.0;24;-17;642;-17;15
593.0;-1044.0;980.0;3;316.0;20;-26;647;-26;13
?;-519.0;950.0;2;293.0;18;-4;648;-4;10
