Accelerometer LUA^ accZ;InertialMeasurementUnit RUA magneticX;InertialMeasurementUnit LLA magneticX;InertialMeasurementUnit R-SHOE Body_Az;InertialMeasurementUnit LUA magneticX;Accelerometer LH accY;InertialMeasurementUnit R-SHOE EuY;InertialMeasurementUnit L-SHOE EuZ;InertialMeasurementUnit R-SHOE Body_Ax;InertialMeasurementUnit RUA magneticZ;InertialMeasurementUnit BACK gyroZ
-222.0;460.0;526.0;804;768.0;884.0;-10;179;263;-282.0;45.0
274.0;298.0;340.0;802;521.0;990.0;-24;-176;308;-393.0;-7.0
295.0;704.0;405.0;1142;311.0;825.0;-13;173;304;387.0;62.0
300.0;974.0;1003.0;788;891.0;1547.0;-26;-186;298;-113.0;-108.0
146.0;477.0;479.0;792;565.0;1234.0;-33;101;259;-111.0;-65.0
-7.0;559.0;440.0;1997;559.0;1292.0;-63;-168;269;-345.0;-313.0
346.0;887.0;844.0;819;753.0;437.0;-28;-171;254;-98.0;-118.0
-49.0;380.0;338.0;770;496.0;1375.0;-41;162;292;-79.0;78.0
135.0;396.0;-459.0;774;264.0;591.0;-28;173;250;-378.0;147.0
157.0;1088.0;926.0;797;1028.0;1154.0;-23;-144;254;-307.0;-308.0
336.0;696.0;743.0;906;751.0;1214.0;-29;-135;309;-672.0;294.0
241.0;528.0;506.0;764;587.0;1000.0;-37;-166;315;-367.0;-25.0
608.0;-77.0;-450.0;39;-359.0;-242.0;-72;-177;219;-30.0;12.0
111.0;371.0;662.0;765;185.0;960.0;-27;173;265;-338.0;-49.0
178.0;431.0;345.0;790;545.0;898.0;-45;-208;236;-144.0;126.0
89.0;445.0;340.0;765;553.0;1075.0;-45;-172;298;-158.0;107.0
47.0;148.0;279.0;788;382.0;988.0;-23;168;304;-169.0;-358.0
193.0;186.0;306.0;807;433.0;987.0;-23;169;259;-255.0;-142.0
190.0;187.0;311.0;808;437.0;1000.0;-23;170;264;-267.0;-94.0
185.0;188.0;319.0;804;447.0;1010.0;-23;171;264;-292.0;-74.0
202.0;178.0;326.0;809;462.0;1007.0;-23;173;257;-329.0;18.0
12.0;450.0;325.0;773;554.0;1027.0;-45;-180;229;-162.0;60.0
149.0;514.0;493.0;814;545.0;564.0;-23;163;259;-192.0;481.0
214.0;34.0;300.0;806;496.0;1009.0;-32;173;259;-332.0;-48.0
184.0;166.0;322.0;813;464.0;1024.0;-23;171;257;-348.0;-1.0
214.0;1.0;256.0;795;471.0;965.0;-26;157;275;-619.0;172.0
123.0;-27.0;354.0;816;547.0;1024.0;-31;176;243;-425.0;-202.0
229.0;148.0;306.0;812;464.0;967.0;-23;-186;255;-380.0;-35.0
211.0;127.0;315.0;807;467.0;999.0;-23;-177;270;-392.0;-34.0
205.0;95.0;359.0;803;494.0;1065.0;-23;-176;265;-450.0;-43.0
239.0;377.0;318.0;521;600.0;1044.0;1;-187;320;-439.0;385.0
192.0;274.0;393.0;787;592.0;936.0;-24;-192;322;-476.0;112.0
52.0;297.0;350.0;596;589.0;997.0;-36;-177;374;-516.0;113.0
168.0;260.0;271.0;791;556.0;945.0;-24;-177;342;-496.0;16.0
150.0;261.0;259.0;783;552.0;942.0;-24;-182;342;-500.0;-19.0
282.0;923.0;833.0;-2633;574.0;1237.0;-3;-170;353;-92.0;257.0
267.0;288.0;421.0;790;563.0;1050.0;-24;-179;323;-500.0;-102.0
399.0;409.0;682.0;810;591.0;1447.0;-12;-162;233;-384.0;-162.0
334.0;286.0;586.0;803;602.0;951.0;19;-146;271;-591.0;-110.0
78.0;341.0;631.0;871;588.0;838.0;-75;-169;-40;-519.0;-319.0
-18.0;457.0;304.0;811;556.0;989.0;-45;-181;210;-165.0;58.0
-25.0;819.0;478.0;942;550.0;778.0;-76;-175;436;-33.0;-292.0
97.0;236.0;473.0;802;588.0;833.0;-24;-192;278;-615.0;656.0
94.0;481.0;389.0;629;499.0;975.0;-26;-218;342;-87.0;33.0
326.0;605.0;449.0;717;444.0;1095.0;-42;-126;282;-375.0;-265.0
292.0;232.0;293.0;793;517.0;978.0;-24;-178;296;-517.0;15.0
59.0;700.0;434.0;780;440.0;1111.0;-36;160;261;-221.0;251.0
140.0;403.0;499.0;804;425.0;984.0;-12;102;249;-378.0;123.0
276.0;268.0;311.0;803;514.0;951.0;-24;-178;307;-483.0;-42.0
273.0;275.0;340.0;807;517.0;990.0;-24;-178;303;-476.0;-78.0
308.0;281.0;436.0;790;551.0;981.0;-24;-177;331;-461.0;-79.0
312.0;286.0;457.0;793;559.0;996.0;-24;-177;318;-455.0;-89.0
322.0;290.0;461.0;799;563.0;958.0;-24;-177;319;-455.0;-79.0
305.0;188.0;463.0;824;495.0;1386.0;-33;-205;188;-552.0;331.0
227.0;319.0;400.0;792;554.0;1007.0;-24;-178;307;-506.0;45.0
235.0;319.0;389.0;801;548.0;1007.0;-24;-178;322;-510.0;1.0
233.0;309.0;389.0;804;550.0;988.0;-24;-168;308;-511.0;-24.0
107.0;556.0;713.0;797;942.0;179.0;-6;-177;251;-493.0;-23.0
132.0;92.0;315.0;810;482.0;1005.0;-23;-176;264;-440.0;28.0
141.0;376.0;542.0;784;435.0;980.0;-34;167;336;-448.0;349.0
156.0;119.0;310.0;815;468.0;1004.0;-23;-176;263;-391.0;-9.0
226.0;115.0;307.0;811;469.0;986.0;-23;-176;264;-394.0;-5.0
-153.0;183.0;223.0;790;543.0;1021.0;-35;155;259;-449.0;17.0
232.0;181.0;-130.0;612;397.0;554.0;-41;166;320;-484.0;-29.0
258.0;290.0;150.0;811;500.0;815.0;-15;174;258;-125.0;921.0
256.0;317.0;398.0;798;551.0;954.0;-24;-197;320;-539.0;29.0
275.0;321.0;416.0;798;557.0;915.0;-24;-161;317;-540.0;10.0
302.0;325.0;441.0;794;565.0;958.0;-24;-171;315;-541.0;35.0
315.0;299.0;576.0;804;583.0;1080.0;-25;-177;537;-692.0;126.0
9.0;427.0;319.0;806;495.0;920.0;-23;157;303;-130.0;133.0
142.0;876.0;872.0;668;592.0;1023.0;-29;-176;425;-359.0;82.0
