Accelerometer LUA_ accX;InertialMeasurementUnit R-SHOE Nav_Ax;InertialMeasurementUnit L-SHOE AngVelNavFrameX;InertialMeasurementUnit L-SHOE AngVelBodyFrameX;InertialMeasurementUnit BACK accZ;InertialMeasurementUnit BACK magneticY;Accelerometer RKN_ accX;InertialMeasurementUnit L-SHOE Nav_Ay;InertialMeasurementUnit L-SHOE AngVelNavFrameY;InertialMeasurementUnit BACK magneticX;InertialMeasurementUnit L-SHOE AngVelBodyFrameY;InertialMeasurementUnit L-SHOE EuY
6.0;186;-42;-6;322.0;5.0;33.0;-229;6;364.0;-42;-25
-247.0;2;-5;1;343.0;110.0;-131.0;-2;-1;441.0;-5;-40
-428.0;122;-152;-396;353.0;499.0;16.0;-171;396;523.0;-152;-47
-125.0;-2;-38;-43;297.0;70.0;-117.0;10;43;495.0;-38;-40
161.0;0;14;14;302.0;74.0;-130.0;3;-14;503.0;14;-40
127.0;1;8;22;287.0;72.0;-118.0;8;-22;502.0;8;-41
188.0;-6;76;14;269.0;72.0;-135.0;-3;-14;501.0;76;-40
191.0;-1;23;-42;267.0;72.0;-129.0;3;42;502.0;23;-41
109.0;-39;-4;-11;243.0;229.0;-122.0;-2;11;477.0;-4;-45
123.0;31;203;336;115.0;480.0;45.0;89;-336;254.0;203;-30
184.0;1;39;20;262.0;80.0;-127.0;0;-20;505.0;39;-40
31.0;-369;4;24;273.0;240.0;-150.0;3;-24;443.0;4;-42
-321.0;-2;32;15;217.0;-24.0;12.0;-5;-15;417.0;32;-45
-53.0;2;-38;37;282.0;24.0;1.0;-8;-37;440.0;-38;-45
-21.0;-3;-29;-25;280.0;27.0;8.0;-2;25;441.0;-29;-45
-6.0;0;-4;11;281.0;30.0;-1.0;-2;-11;441.0;-4;-45
-16.0;6;-1;15;283.0;35.0;8.0;-4;-15;439.0;-1;-45
-14.0;0;5;5;285.0;36.0;8.0;3;-5;440.0;5;-45
-5.0;2;28;-1;281.0;38.0;9.0;3;1;440.0;28;-45
9.0;-5;-15;13;282.0;37.0;0.0;-1;-13;440.0;-15;-45
8.0;-7;-8;-7;284.0;37.0;18.0;-3;7;443.0;-8;-45
-10.0;-1;-6;1;287.0;38.0;6.0;1;-1;441.0;-6;-45
-10.0;-9;-14;1;285.0;35.0;7.0;-1;-1;440.0;-14;-45
6.0;-1;-10;-19;289.0;37.0;16.0;-4;19;443.0;-10;-45
-16.0;-8;-25;-13;289.0;39.0;7.0;-1;13;443.0;-25;-45
13.0;0;-20;19;292.0;35.0;23.0;3;-19;444.0;-20;-45
-6.0;6;-18;6;294.0;37.0;17.0;-5;-6;443.0;-18;-45
-7.0;-6;-36;23;299.0;37.0;22.0;-3;-23;444.0;-36;-45
-2.0;-5;8;27;300.0;38.0;25.0;-7;-27;446.0;8;-45
-19.0;-3;-26;2;303.0;36.0;62.0;-2;-2;447.0;-26;-45
5.0;-3;-10;17;303.0;38.0;41.0;2;-17;447.0;-10;-45
-15.0;-2;-46;-18;305.0;39.0;36.0;0;18;449.0;-46;-45
64.0;0;44;-36;272.0;99.0;136.0;17;36;423.0;44;-48
1.0;-4;-15;2;305.0;42.0;18.0;-4;-2;449.0;-15;-45
-17.0;-1;6;-28;302.0;45.0;22.0;-1;28;448.0;6;-45
-1.0;-5;-5;26;297.0;36.0;27.0;0;-26;449.0;-5;-45
11.0;-5;0;26;294.0;31.0;27.0;-4;-26;447.0;0;-45
2.0;-16;17;48;286.0;-13.0;11.0;2;-48;453.0;17;-45
-44.0;-30;-7;58;284.0;-95.0;15.0;3;-58;455.0;-7;-44
-136.0;-17;-31;-10;212.0;-17.0;-315.0;-4;10;539.0;-31;-41
-154.0;-61;3;3;217.0;-114.0;-148.0;-10;-3;555.0;3;-41
-137.0;1;5;3;212.0;-129.0;-184.0;-10;-3;557.0;5;-41
78.0;480;-30;78;253.0;609.0;12.0;-112;-78;471.0;-30;-47
77.0;5;10;-11;192.0;146.0;-36.0;2;11;525.0;10;-43
63.0;-2;-55;46;196.0;127.0;-20.0;3;-46;532.0;-55;-43
77.0;-21;-39;-22;238.0;197.0;-154.0;3;22;497.0;-39;-43
10.0;-24;16;-30;265.0;234.0;-282.0;3;30;464.0;16;-43
59.0;-49;16;8;177.0;155.0;-35.0;9;-8;481.0;16;-42
98.0;18;10;-21;155.0;33.0;-172.0;5;21;511.0;10;-52
48.0;-6;-19;5;182.0;67.0;-272.0;7;-5;508.0;-19;-52
47.0;-1;-4;10;180.0;75.0;-298.0;2;-10;504.0;-4;-52
69.0;1;1;-13;170.0;77.0;-269.0;8;13;500.0;1;-52
43.0;-10;20;-8;232.0;182.0;-309.0;6;8;514.0;20;-52
67.0;-6;15;-11;234.0;188.0;-313.0;6;11;512.0;15;-52
44.0;2;-23;-20;238.0;199.0;-294.0;3;20;513.0;-23;-52
-52.0;2;-15;-22;149.0;78.0;-330.0;5;22;490.0;-15;-52
-13.0;3;-36;-34;143.0;84.0;-325.0;-3;34;488.0;-36;-52
-94.0;3;-31;-30;139.0;89.0;-334.0;0;30;488.0;-31;-52
