Accelerometer LUA^ accZ;InertialMeasurementUnit RUA magneticX;InertialMeasurementUnit LLA magneticX;InertialMeasurementUnit R-SHOE Body_Az;InertialMeasurementUnit LUA magneticX;Accelerometer LH accY;InertialMeasurementUnit R-SHOE EuY;InertialMeasurementUnit L-SHOE EuZ;InertialMeasurementUnit R-SHOE Body_Ax;InertialMeasurementUnit RUA magneticZ;InertialMeasurementUnit BACK gyroZ
254.0;300.0;357.0;803;532.0;986.0;-24;-177;310;-431.0;25.0
256.0;307.0;335.0;805;515.0;974.0;-24;-176;306;-386.0;13.0
252.0;247.0;-147.0;822;355.0;532.0;-47;155;272;-193.0;201.0
92.0;383.0;504.0;785;564.0;1047.0;-41;-166;262;-30.0;88.0
-5.0;503.0;729.0;847;285.0;842.0;-33;-174;265;-75.0;93.0
320.0;396.0;311.0;858;393.0;1250.0;-30;-153;338;-36.0;-231.0
189.0;387.0;510.0;810;567.0;807.0;-41;-168;231;-37.0;-25.0
519.0;432.0;600.0;764;393.0;256.0;-15;-186;243;-121.0;46.0
131.0;115.0;155.0;804;380.0;533.0;-27;-187;258;-292.0;230.0
163.0;382.0;-430.0;765;287.0;569.0;-28;173;246;-401.0;-1.0
143.0;923.0;888.0;748;564.0;996.0;-27;177;300;9.0;212.0
180.0;878.0;959.0;713;682.0;1039.0;-39;-177;352;-358.0;-16.0
293.0;414.0;524.0;763;580.0;917.0;1;-153;247;-135.0;-58.0
-543.0;706.0;852.0;805;134.0;917.0;-38;171;269;160.0;-87.0
163.0;388.0;263.0;805;415.0;964.0;-23;-131;301;-159.0;184.0
89.0;445.0;340.0;765;553.0;1075.0;-45;-172;298;-158.0;107.0
142.0;520.0;532.0;809;540.0;667.0;-23;169;278;-155.0;593.0
83.0;558.0;353.0;863;243.0;807.0;-49;-177;-30;452.0;93.0
288.0;556.0;632.0;789;374.0;922.0;-26;180;303;-56.0;-74.0
235.0;881.0;546.0;798;396.0;1052.0;-26;146;240;222.0;175.0
216.0;785.0;557.0;832;308.0;1141.0;-13;49;-1167;151.0;268.0
-18.0;457.0;304.0;811;556.0;989.0;-45;-181;210;-165.0;58.0
270.0;475.0;264.0;814;439.0;1126.0;-43;-167;251;-25.0;-85.0
239.0;-67.0;107.0;800;265.0;984.0;-26;-180;255;317.0;37.0
202.0;330.0;132.0;747;402.0;799.0;-48;-169;769;-458.0;-115.0
