InertialMeasurementUnit LUA Quaternion1;Accelerometer LWR accX;InertialMeasurementUnit RLA magneticY;InertialMeasurementUnit RUA accZ;InertialMeasurementUnit RUA Quaternion4;InertialMeasurementUnit RUA Quaternion2;Accelerometer LH accX
21.0;-241.0;-288.0;3.0;-275.0;311.0;342.0
243.0;-398.0;-349.0;211.0;-128.0;193.0;329.0
-475.0;-680.0;-245.0;141.0;-582.0;542.0;576.0
-410.0;-547.0;-219.0;158.0;-600.0;369.0;494.0
-416.0;-280.0;123.0;141.0;-499.0;500.0;621.0
-321.0;-683.0;106.0;167.0;-404.0;466.0;829.0
-222.0;-487.0;-75.0;60.0;-393.0;449.0;517.0
-204.0;-403.0;-107.0;60.0;-381.0;452.0;457.0
-168.0;-464.0;-203.0;116.0;-339.0;453.0;441.0
-170.0;-380.0;-193.0;164.0;-339.0;455.0;479.0
-358.0;-356.0;-219.0;174.0;-575.0;475.0;441.0
-344.0;-361.0;-138.0;233.0;-488.0;535.0;486.0
-339.0;-382.0;-103.0;321.0;-500.0;528.0;474.0
-262.0;-568.0;217.0;266.0;-497.0;341.0;272.0
-229.0;-553.0;-24.0;203.0;-404.0;241.0;504.0
-181.0;-651.0;-191.0;162.0;-299.0;104.0;761.0
-553.0;-19.0;74.0;140.0;-721.0;576.0;418.0
-175.0;-433.0;-200.0;400.0;-369.0;345.0;255.0
-173.0;-411.0;-244.0;311.0;-352.0;337.0;250.0
-159.0;-337.0;-303.0;291.0;-306.0;317.0;100.0
-233.0;-456.0;-599.0;361.0;-222.0;252.0;526.0
125.0;-771.0;-848.0;325.0;42.0;-306.0;915.0
32.0;-494.0;-639.0;69.0;76.0;64.0;844.0
-159.0;-409.0;-343.0;216.0;-270.0;297.0;340.0
-38.0;-367.0;-468.0;124.0;-202.0;260.0;406.0
-131.0;-373.0;-301.0;303.0;-240.0;245.0;321.0
12.0;-295.0;-329.0;403.0;-200.0;298.0;272.0
46.0;-233.0;-432.0;137.0;-68.0;122.0;151.0
-677.0;-828.0;333.0;352.0;-751.0;401.0;986.0
-320.0;-838.0;9.0;144.0;-470.0;276.0;359.0
-274.0;-670.0;-39.0;51.0;-415.0;228.0;471.0
-244.0;-630.0;-78.0;11.0;-379.0;206.0;248.0
-55.0;-300.0;-196.0;150.0;-215.0;131.0;249.0
144.0;-345.0;-289.0;147.0;256.0;-282.0;237.0
-368.0;-327.0;-97.0;270.0;-519.0;495.0;546.0
-95.0;-293.0;-93.0;174.0;-68.0;144.0;126.0
-45.0;-242.0;-451.0;460.0;-253.0;-413.0;358.0
-54.0;-341.0;-157.0;262.0;-269.0;131.0;207.0
-57.0;-327.0;-164.0;110.0;-261.0;128.0;230.0
-58.0;-371.0;-170.0;55.0;-253.0;125.0;265.0
-60.0;-174.0;-97.0;34.0;-309.0;281.0;522.0
-68.0;-351.0;-101.0;71.0;-309.0;283.0;473.0
-59.0;-384.0;-169.0;122.0;-252.0;124.0;262.0
-58.0;-376.0;-162.0;171.0;-249.0;130.0;262.0
-55.0;-362.0;-160.0;163.0;-239.0;126.0;255.0
-55.0;-368.0;-163.0;157.0;-239.0;125.0;259.0
-56.0;-348.0;-165.0;191.0;-241.0;126.0;257.0
-56.0;-311.0;-168.0;91.0;-271.0;113.0;224.0
-55.0;-350.0;-157.0;69.0;-300.0;118.0;214.0
-62.0;-394.0;-80.0;145.0;-383.0;172.0;263.0
-65.0;-365.0;-44.0;193.0;-389.0;186.0;258.0
-68.0;-370.0;-21.0;258.0;-389.0;197.0;234.0
-73.0;-335.0;-17.0;118.0;-366.0;191.0;215.0
-78.0;-341.0;-12.0;132.0;-374.0;198.0;179.0
-80.0;-307.0;4.0;142.0;-376.0;201.0;188.0
-84.0;-311.0;21.0;101.0;-374.0;203.0;156.0
-90.0;-334.0;36.0;55.0;-380.0;205.0;206.0
-96.0;-313.0;39.0;69.0;-382.0;203.0;203.0
-99.0;-280.0;30.0;96.0;-378.0;204.0;164.0
-100.0;-292.0;29.0;57.0;-378.0;207.0;194.0
-392.0;-304.0;68.0;311.0;-494.0;463.0;332.0
-832.0;-226.0;-44.0;222.0;-749.0;532.0;186.0
-101.0;-333.0;28.0;69.0;-371.0;211.0;196.0
-171.0;-340.0;-5.0;133.0;-459.0;464.0;532.0
-187.0;-273.0;-78.0;90.0;-434.0;474.0;544.0
-191.0;-425.0;-121.0;8.0;-425.0;476.0;475.0
-104.0;-339.0;18.0;72.0;-364.0;214.0;179.0
-267.0;-526.0;-119.0;86.0;-415.0;466.0;310.0
-407.0;-539.0;-29.0;238.0;-496.0;459.0;569.0
-361.0;-418.0;-39.0;62.0;-459.0;481.0;271.0
-105.0;-325.0;19.0;151.0;-363.0;217.0;235.0
-130.0;-246.0;80.0;253.0;-303.0;216.0;185.0
-105.0;-366.0;24.0;162.0;-362.0;222.0;264.0
-168.0;-272.0;82.0;246.0;-292.0;171.0;472.0
-127.0;-378.0;100.0;258.0;-263.0;151.0;418.0
-99.0;-422.0;114.0;257.0;-246.0;143.0;378.0
-70.0;-311.0;124.0;216.0;-226.0;133.0;298.0
-106.0;-282.0;-5.0;82.0;-338.0;223.0;153.0
-602.0;-773.0;284.0;253.0;-655.0;518.0;408.0
-383.0;-258.0;221.0;232.0;-547.0;455.0;244.0
-107.0;-293.0;-29.0;127.0;-314.0;220.0;165.0
-107.0;-272.0;-35.0;208.0;-308.0;219.0;165.0
-105.0;-283.0;-42.0;164.0;-295.0;203.0;169.0
-355.0;-704.0;-72.0;193.0;-499.0;477.0;844.0
-103.0;-292.0;-37.0;158.0;-295.0;195.0;196.0
-95.0;-333.0;-34.0;132.0;-308.0;195.0;247.0
-91.0;-353.0;-43.0;194.0;-315.0;196.0;260.0
-164.0;-327.0;-214.0;163.0;-340.0;353.0;581.0
-199.0;-346.0;-210.0;183.0;-348.0;362.0;459.0
-325.0;-389.0;-68.0;-20.0;-432.0;450.0;319.0
-302.0;-322.0;-64.0;-10.0;-426.0;451.0;256.0
-225.0;-411.0;-220.0;239.0;-349.0;361.0;380.0
-251.0;-386.0;-230.0;273.0;-347.0;355.0;408.0
-684.0;-428.0;-651.0;29.0;-538.0;266.0;417.0
-210.0;-523.0;-135.0;-34.0;-340.0;362.0;321.0
-488.0;-444.0;-691.0;244.0;-378.0;248.0;487.0
-391.0;-664.0;-675.0;351.0;-203.0;333.0;954.0
-215.0;-76.0;-417.0;145.0;-243.0;332.0;267.0
-180.0;-430.0;-157.0;390.0;-302.0;271.0;177.0
-179.0;-479.0;-157.0;143.0;-288.0;263.0;244.0
118.0;-1009.0;-398.0;238.0;-127.0;134.0;410.0
-86.0;-347.0;-49.0;191.0;-318.0;196.0;252.0
-73.0;-318.0;-69.0;174.0;-312.0;188.0;264.0
-178.0;-500.0;-47.0;118.0;-413.0;379.0;440.0
-204.0;-380.0;-46.0;116.0;-391.0;405.0;243.0
-219.0;-429.0;-55.0;153.0;-397.0;403.0;386.0
-260.0;-503.0;-59.0;198.0;-406.0;404.0;433.0
-364.0;-393.0;-110.0;210.0;-436.0;435.0;464.0
-432.0;-267.0;-113.0;329.0;-465.0;466.0;117.0
-244.0;-276.0;97.0;345.0;-474.0;409.0;566.0
-66.0;-292.0;-113.0;121.0;-289.0;163.0;144.0
-66.0;-318.0;-128.0;75.0;-280.0;153.0;196.0
-382.0;-271.0;193.0;130.0;-461.0;486.0;178.0
-354.0;-339.0;-17.0;38.0;-394.0;441.0;346.0
-674.0;-852.0;-291.0;-345.0;-458.0;726.0;906.0
-66.0;-331.0;-136.0;117.0;-273.0;146.0;215.0
-275.0;-409.0;-270.0;96.0;-258.0;459.0;332.0
-67.0;-331.0;-145.0;125.0;-270.0;142.0;204.0
-343.0;-564.0;-29.0;-124.0;-508.0;520.0;723.0
-348.0;-599.0;259.0;95.0;-441.0;470.0;418.0
-68.0;-353.0;-155.0;123.0;-270.0;141.0;245.0
-265.0;-457.0;-23.0;261.0;-384.0;396.0;404.0
-240.0;-474.0;-50.0;289.0;-374.0;400.0;402.0
-209.0;-466.0;-89.0;304.0;-366.0;410.0;352.0
-155.0;-331.0;-185.0;124.0;-342.0;417.0;241.0
-69.0;-394.0;-161.0;168.0;-269.0;141.0;272.0
-70.0;-358.0;-171.0;189.0;-270.0;139.0;237.0
-95.0;-319.0;-240.0;129.0;-398.0;218.0;236.0
-196.0;-397.0;-211.0;-11.0;-251.0;390.0;385.0
-165.0;-664.0;-194.0;-37.0;-309.0;515.0;472.0
-227.0;-432.0;-131.0;22.0;-279.0;394.0;376.0
-275.0;-267.0;65.0;665.0;-544.0;567.0;379.0
-321.0;-350.0;14.0;295.0;-460.0;445.0;537.0
-356.0;-280.0;-57.0;92.0;-390.0;443.0;613.0
-306.0;-399.0;-11.0;200.0;-448.0;424.0;481.0
-271.0;-419.0;13.0;161.0;-415.0;442.0;708.0
-405.0;-588.0;-175.0;79.0;-381.0;440.0;499.0
-477.0;-665.0;-525.0;-112.0;-407.0;554.0;553.0
-104.0;-257.0;-283.0;76.0;-253.0;349.0;522.0
-457.0;-749.0;-408.0;280.0;-285.0;368.0;179.0
-266.0;-183.0;78.0;225.0;-434.0;379.0;195.0
-125.0;-330.0;-266.0;259.0;-422.0;273.0;201.0
-168.0;-164.0;-198.0;122.0;-269.0;367.0;324.0
-134.0;-341.0;-255.0;166.0;-430.0;269.0;243.0
-135.0;-249.0;-320.0;173.0;-221.0;364.0;483.0
-141.0;-347.0;-235.0;257.0;-437.0;248.0;209.0
-309.0;-389.0;-112.0;162.0;-436.0;463.0;205.0
-501.0;-302.0;1.0;184.0;-545.0;527.0;500.0
-150.0;-340.0;-180.0;190.0;-459.0;201.0;185.0
-215.0;-284.0;-232.0;35.0;-240.0;415.0;307.0
-28.0;-352.0;-437.0;225.0;-205.0;263.0;344.0
-20.0;-555.0;-242.0;161.0;-85.0;136.0;144.0
-182.0;-470.0;-163.0;189.0;-267.0;221.0;150.0
-185.0;-442.0;-158.0;224.0;-265.0;220.0;129.0
-161.0;-354.0;-166.0;112.0;-461.0;149.0;236.0
-162.0;-383.0;-153.0;154.0;-463.0;150.0;246.0
-164.0;-382.0;-143.0;99.0;-461.0;149.0;239.0
-186.0;-457.0;-147.0;33.0;-292.0;204.0;151.0
-193.0;-496.0;-95.0;115.0;-415.0;226.0;206.0
-197.0;-506.0;-82.0;43.0;-439.0;238.0;225.0
-208.0;-475.0;-40.0;255.0;-452.0;276.0;218.0
-212.0;-484.0;-14.0;184.0;-439.0;285.0;217.0
-218.0;-450.0;-7.0;22.0;-443.0;289.0;174.0
-222.0;-444.0;5.0;198.0;-446.0;295.0;135.0
-227.0;-410.0;24.0;166.0;-448.0;297.0;151.0
-235.0;-426.0;37.0;142.0;-445.0;304.0;213.0
-244.0;-445.0;19.0;150.0;-436.0;291.0;323.0
-246.0;-522.0;-10.0;169.0;-437.0;281.0;331.0
-247.0;-537.0;-54.0;257.0;-446.0;272.0;331.0
-247.0;-560.0;-106.0;249.0;-456.0;268.0;350.0
-354.0;-828.0;-331.0;212.0;-525.0;275.0;437.0
-173.0;-389.0;-92.0;93.0;-455.0;157.0;255.0
-59.0;-397.0;-244.0;156.0;-306.0;336.0;240.0
-13.0;-325.0;-182.0;172.0;-298.0;339.0;358.0
-73.0;-310.0;-108.0;155.0;-334.0;379.0;202.0
-176.0;-387.0;-96.0;211.0;-451.0;160.0;235.0
-173.0;-341.0;-132.0;152.0;-376.0;410.0;513.0
-191.0;-498.0;-188.0;-43.0;-410.0;468.0;734.0
-215.0;-460.0;-146.0;138.0;-371.0;398.0;566.0
-218.0;-289.0;-162.0;190.0;-367.0;387.0;282.0
-104.0;-383.0;-85.0;207.0;-314.0;367.0;396.0
-178.0;-353.0;-170.0;360.0;-460.0;139.0;235.0
