InertialMeasurementUnit R-SHOE EuZ;InertialMeasurementUnit BACK gyroY;InertialMeasurementUnit R-SHOE AngVelNavFrameX;InertialMeasurementUnit R-SHOE AngVelBodyFrameZ;InertialMeasurementUnit LLA gyroX;InertialMeasurementUnit BACK gyroX;InertialMeasurementUnit LUA gyroX;InertialMeasurementUnit R-SHOE Nav_Az;InertialMeasurementUnit R-SHOE AngVelNavFrameY;InertialMeasurementUnit R-SHOE AngVelBodyFrameX;InertialMeasurementUnit R-SHOE AngVelBodyFrameY;InertialMeasurementUnit R-SHOE AngVelNavFrameZ
-159;7.0;15;21;-102.0;-65.0;-74.0;72;-3;3;15;21
-158;6.0;-14;-9;-98.0;-32.0;-65.0;70;9;-9;-14;-9
-157;3.0;3;-22;-74.0;-16.0;-44.0;68;-27;27;3;-22
-168;-52.0;20;212;-140.0;54.0;-69.0;114;162;-162;20;212
-162;11.0;-19;10;-58.0;-23.0;-42.0;67;-5;5;-19;10
-162;3.0;-13;-2;-59.0;-28.0;-21.0;67;-6;6;-13;-2
-162;-5.0;-26;23;-6.0;14.0;-4.0;71;-10;10;-26;23
-162;-17.0;-10;13;-62.0;-14.0;-26.0;70;-26;26;-10;13
-156;-41.0;4;-30;-20.0;-57.0;-28.0;65;12;-12;4;-30
-166;156.0;114;-68;212.0;20.0;203.0;73;5;-5;114;-68
-160;45.0;-31;3;-57.0;-53.0;-70.0;72;4;-4;-31;3
-174;10.0;13;-4;-58.0;-7.0;-5.0;69;-3;3;13;-4
-162;19.0;19;11;-71.0;-10.0;-10.0;74;-17;17;19;11
-162;4.0;3;10;-75.0;-26.0;-21.0;70;-20;20;3;10
-159;36.0;37;-1;75.0;29.0;-20.0;66;-2;2;37;-1
-162;-13.0;14;-21;-69.0;-6.0;-21.0;67;-14;14;14;-21
-162;-20.0;25;17;-47.0;-20.0;-40.0;65;7;-7;25;17
-162;-2.0;7;1;-49.0;-12.0;-19.0;71;-12;12;7;1
-162;-3.0;5;-5;-39.0;-12.0;-25.0;71;-30;30;5;-5
-162;-27.0;21;-11;-84.0;-26.0;-21.0;69;-25;25;21;-11
-162;16.0;19;11;-50.0;-15.0;-44.0;72;9;-9;19;11
-162;-19.0;1;7;-19.0;6.0;-25.0;68;-9;9;1;7
-157;-13.0;27;15;-16.0;-17.0;-3.0;70;-23;23;27;15
-153;7.0;12;-2;-93.0;-9.0;-46.0;69;-35;35;12;-2
-131;-2.0;23;10;-71.0;-28.0;4.0;130;-7;7;23;10
-157;-24.0;-11;9;-85.0;-21.0;-16.0;66;-11;11;-11;9
-133;-24.0;-2;4;-30.0;10.0;-27.0;133;7;-7;-2;4
-133;-11.0;12;6;-46.0;1.0;-7.0;130;-32;32;12;6
-133;65.0;8;-1;-116.0;-7.0;-47.0;136;-38;38;8;-1
-156;6.0;0;18;-71.0;-3.0;-44.0;68;16;-16;0;18
-158;84.0;-464;485;177.0;-100.0;48.0;-1074;-1911;1911;-464;485
-134;11.0;5;23;-80.0;-17.0;-17.0;128;-17;17;5;23
-134;-6.0;-5;-5;-30.0;-13.0;-17.0;137;-5;5;-5;-5
-134;6.0;15;-7;-57.0;-11.0;-34.0;127;-44;44;15;-7
-134;-21.0;14;13;-73.0;2.0;-39.0;131;-20;20;14;13
-134;-17.0;5;1;-69.0;-3.0;-32.0;128;-9;9;5;1
-134;-67.0;29;35;-48.0;-15.0;-20.0;126;-20;20;29;35
-134;-17.0;0;2;-62.0;-45.0;-18.0;134;-8;8;0;2
-134;56.0;33;-6;-61.0;100.0;-41.0;135;-9;9;33;-6
-134;12.0;3;-20;-63.0;-15.0;-35.0;135;0;0;3;-20
-134;-11.0;1;0;-68.0;-9.0;-22.0;127;-9;9;1;0
-134;6.0;-4;9;-78.0;8.0;-43.0;130;-13;13;-4;9
-135;-26.0;15;3;-57.0;4.0;-11.0;135;-24;24;15;3
-135;-5.0;-5;-13;-47.0;-9.0;-23.0;129;3;-3;-5;-13
-135;-3.0;-10;20;-74.0;-34.0;-28.0;140;-20;20;-10;20
-153;-47.0;-10;-11;71.0;-95.0;79.0;69;-18;18;-10;-11
-134;-21.0;15;-15;-117.0;-27.0;148.0;138;-6;6;15;-15
-135;-9.0;10;-2;-57.0;4.0;-20.0;132;-35;35;10;-2
-135;-23.0;-2;-26;-37.0;-14.0;-20.0;128;-9;9;-2;-26
-134;0.0;-21;-6;-104.0;7.0;-1.0;130;-18;18;-21;-6
-135;-18.0;24;3;-54.0;15.0;-39.0;126;-12;12;24;3
-134;-27.0;4;-7;-40.0;-9.0;-60.0;135;-2;2;4;-7
-159;-7.0;-15;11;-19.0;54.0;39.0;66;26;-26;-15;11
-134;7.0;-4;7;-42.0;-29.0;26.0;130;-12;12;-4;7
-133;14.0;-7;-15;-37.0;-1.0;-22.0;130;1;-1;-7;-15
-134;26.0;12;16;-42.0;0.0;-36.0;137;-9;9;12;16
-134;5.0;12;-3;-58.0;-7.0;-22.0;130;-8;8;12;-3
-133;-28.0;-26;-1;-106.0;-18.0;-25.0;136;20;-20;-26;-1
-159;-5.0;14;-16;-77.0;33.0;-5.0;66;-16;16;14;-16
-160;-1.0;0;20;-67.0;-5.0;-38.0;75;11;-11;0;20
-160;-10.0;21;-16;-65.0;-27.0;-47.0;68;-20;20;21;-16
-160;-16.0;35;10;-72.0;-27.0;-47.0;70;-14;14;35;10
-158;-13.0;16;-2;-56.0;-12.0;-29.0;67;-14;14;16;-2
-159;-22.0;11;20;-54.0;-1.0;-42.0;69;12;-12;11;20
-162;26.0;11;18;-63.0;-135.0;-61.0;75;-17;17;11;18
-134;-23.0;-34;-10;-35.0;3.0;10.0;130;27;-27;-34;-10
-156;211.0;20;27;765.0;-613.0;-544.0;74;-48;48;20;27
-159;-18.0;-15;0;59.0;46.0;91.0;69;0;0;-15;0
-144;-73.0;-32;-119;-353.0;-303.0;-163.0;77;-542;542;-32;-119
-134;-4.0;-47;-13;-216.0;63.0;15.0;131;-10;10;-47;-13
-134;-1.0;-4;-15;-80.0;-45.0;-53.0;134;-27;27;-4;-15
-170;160.0;16;30;114.0;142.0;45.0;76;25;-25;16;30
-160;10.0;-3;5;-177.0;-140.0;-156.0;68;-3;3;-3;5
-171;-1372.0;20;-71;-297.0;-188.0;253.0;113;-110;110;20;-71
-141;-7.0;103;-1556;162.0;-24.0;-120.0;33;625;-625;103;-1556
-162;-29.0;-24;10;-37.0;-7.0;-17.0;68;5;-5;-24;10
-133;-52.0;15;3;-56.0;-17.0;-48.0;134;26;-26;15;3
-162;9.0;-29;-51;-27.0;-7.0;-15.0;70;3;-3;-29;-51
-159;8.0;-16;25;-44.0;-62.0;-36.0;63;29;-29;-16;25
-175;-669.0;3;-28;-249.0;-272.0;-42.0;73;-3;3;3;-28
-159;0.0;-18;-36;-57.0;-24.0;-56.0;67;29;-29;-18;-36
-151;55.0;-13;-23;171.0;504.0;410.0;77;13;-13;-13;-23
-85;-207.0;986;374;-662.0;-345.0;-823.0;782;3864;-3864;986;374
-157;-64.0;-1135;704;-65.0;477.0;221.0;32;-329;329;-1135;704
-159;-79.0;-16;-9;-439.0;-273.0;-413.0;65;13;-13;-16;-9
-157;-16.0;-18;-12;-63.0;-29.0;-21.0;69;13;-13;-18;-12
-156;-39.0;-10;-11;-64.0;-95.0;-47.0;67;0;0;-10;-11
-162;-8.0;-8;-10;-63.0;18.0;-3.0;67;-15;15;-8;-10
-157;19.0;-7;9;11.0;64.0;-85.0;73;-23;23;-7;9
-163;36.0;891;1815;-738.0;-337.0;-719.0;323;22;-22;891;1815
-154;1726.0;-46;9;-363.0;545.0;-74.0;80;37;-37;-46;9
-135;-43.0;7;-11;-115.0;-59.0;-60.0;136;-10;10;7;-11
-155;77.0;1590;321;-1566.0;-792.0;-1585.0;-689;6225;-6225;1590;321
-145;75.0;-46;26;55.0;-74.0;17.0;102;-100;100;-46;26
-155;166.0;-1158;-1372;454.0;627.0;549.0;119;388;-388;-1158;-1372
-134;-29.0;-42;10;-128.0;-33.0;-163.0;128;-7;7;-42;10
-133;16.0;-8;-9;-45.0;21.0;-47.0;132;-6;6;-8;-9
-157;8.0;-22;-20;-55.0;-4.0;-42.0;71;20;-20;-22;-20
-151;-79.0;-32;16;96.0;-117.0;-284.0;93;13;-13;-32;16
-152;69.0;-128;-44;349.0;-574.0;160.0;-40;-436;436;-128;-44
-174;23.0;21;3;-56.0;-5.0;-15.0;72;15;-15;21;3
-159;1340.0;43;-31;665.0;304.0;-190.0;76;17;-17;43;-31
-149;29.0;251;407;-48.0;28.0;58.0;73;-445;445;251;407
-159;66.0;26;5;-13.0;11.0;-23.0;72;23;-23;26;5
-160;-248.0;138;369;304.0;-176.0;-60.0;119;198;-198;138;369
-159;35.0;-7;-40;-123.0;-2.0;-106.0;70;-10;10;-7;-40
-174;14.0;-20;-6;-54.0;8.0;-45.0;68;-5;5;-20;-6
-133;27.0;18;-35;-47.0;-66.0;-25.0;139;-51;51;18;-35
-174;-20.0;17;9;-44.0;8.0;-26.0;68;18;-18;17;9
-156;72.0;-56;0;176.0;43.0;20.0;72;-10;10;-56;0
-156;23.0;77;-135;64.0;47.0;109.0;5;-121;121;77;-135
-134;-1.0;-21;4;-37.0;-43.0;-4.0;130;3;-3;-21;4
-131;31.0;-19;23;-72.0;-13.0;-23.0;123;-21;21;-19;23
-164;-14.0;-497;-595;-43.0;-60.0;-44.0;156;490;-490;-497;-595
-159;200.0;829;1389;52.0;206.0;-53.0;45;-557;557;829;1389
-120;25.0;140;-66;14.0;395.0;-51.0;313;-82;82;140;-66
-151;69.0;24;-37;-184.0;57.0;-84.0;70;-5;5;24;-37
-134;-17.0;-5;-38;-68.0;-24.0;-47.0;131;-12;12;-5;-38
-175;13.0;4;4;-8.0;-33.0;-160.0;73;9;-9;4;4
-156;6.0;-13;-14;-85.0;-12.0;-7.0;67;21;-21;-13;-14
-134;-11.0;-32;8;-51.0;-26.0;-25.0;134;3;-3;-32;8
-134;-56.0;9;-4;10.0;-8.0;25.0;138;1;-1;9;-4
-165;-14.0;-60;-69;7.0;51.0;148.0;82;-335;335;-60;-69
-134;24.0;20;-19;-731.0;29.0;-54.0;134;-10;10;20;-19
