Accelerometer LUA^ accZ;InertialMeasurementUnit RUA magneticX;InertialMeasurementUnit LLA magneticX;InertialMeasurementUnit R-SHOE Body_Az;InertialMeasurementUnit LUA magneticX;Accelerometer LH accY;InertialMeasurementUnit R-SHOE EuY;InertialMeasurementUnit L-SHOE EuZ;InertialMeasurementUnit R-SHOE Body_Ax;InertialMeasurementUnit RUA magneticZ;InertialMeasurementUnit BACK gyroZ
418.0;584.0;573.0;1453;879.0;1110.0;-19;-175;-334;-596.0;79.0
320.0;396.0;311.0;858;393.0;1250.0;-30;-153;338;-36.0;-231.0
247.0;237.0;-65.0;803;258.0;808.0;-26;-174;294;12.0;-10.0
260.0;234.0;-66.0;798;259.0;806.0;-26;-174;286;14.0;-13.0
259.0;237.0;-65.0;802;258.0;823.0;-26;-174;290;14.0;-25.0
263.0;384.0;326.0;775;404.0;1094.0;-28;-179;282;-61.0;-117.0
521.0;283.0;283.0;769;415.0;950.0;-3;-152;-134;-468.0;-541.0
288.0;283.0;-272.0;785;413.0;917.0;-36;147;309;-413.0;265.0
226.0;115.0;110.0;747;495.0;956.0;-15;-145;181;-391.0;717.0
304.0;73.0;-255.0;734;455.0;561.0;-41;-174;222;-658.0;772.0
216.0;495.0;529.0;751;585.0;1045.0;-36;-177;290;-383.0;71.0
241.0;528.0;506.0;764;587.0;1000.0;-37;-166;315;-367.0;-25.0
87.0;572.0;364.0;787;518.0;940.0;-69;-168;356;-315.0;-419.0
111.0;371.0;662.0;765;185.0;960.0;-27;173;265;-338.0;-49.0
213.0;-248.0;56.0;806;343.0;961.0;-25;-179;276;-125.0;7.0
-196.0;-86.0;199.0;692;451.0;1083.0;-34;187;215;-173.0;-365.0
203.0;177.0;286.0;805;408.0;979.0;-23;162;265;-222.0;-267.0
193.0;186.0;306.0;807;433.0;987.0;-23;169;259;-255.0;-142.0
190.0;187.0;311.0;808;437.0;1000.0;-23;170;264;-267.0;-94.0
185.0;188.0;319.0;804;447.0;1010.0;-23;171;264;-292.0;-74.0
202.0;178.0;326.0;809;462.0;1007.0;-23;173;257;-329.0;18.0
-123.0;485.0;425.0;837;557.0;705.0;-22;85;314;-260.0;339.0
-100.0;461.0;505.0;771;415.0;869.0;-32;105;169;-180.0;563.0
