InertialMeasurementUnit RUA accX;Accelerometer RUA_ accY;InertialMeasurementUnit RLA gyroZ;InertialMeasurementUnit RLA accX;Accelerometer RUA_ accX;Accelerometer RKN^ accX;Accelerometer RKN^ accZ;InertialMeasurementUnit LLA magneticZ;InertialMeasurementUnit LUA accX;InertialMeasurementUnit RUA accY;Accelerometer RWR accX;Accelerometer RUA^ accX
-908.0;1017.0;218.0;-835.0;241.0;247.0;38.0;-392.0;-1010.0;156.0;-485.0;-67.0
-1002.0;705.0;-90.0;-421.0;698.0;231.0;-10.0;588.0;-937.0;104.0;-369.0;109.0
-1038.0;815.0;125.0;-943.0;293.0;259.0;-540.0;136.0;-941.0;193.0;-273.0;-88.0
-978.0;981.0;286.0;-847.0;231.0;318.0;493.0;-334.0;-597.0;-111.0;-191.0;-69.0
-753.0;-76.0;25.0;515.0;908.0;462.0;889.0;-557.0;-644.0;604.0;-252.0;57.0
-794.0;961.0;748.0;-712.0;224.0;426.0;242.0;152.0;-871.0;47.0;-500.0;-97.0
-972.0;895.0;8.0;-701.0;455.0;271.0;69.0;234.0;-911.0;50.0;-220.0;30.0
-1003.0;964.0;-488.0;-798.0;383.0;264.0;405.0;-196.0;-741.0;-45.0;25.0;75.0
-1060.0;858.0;104.0;-911.0;496.0;232.0;100.0;204.0;-928.0;-214.0;-275.0;-63.0
-978.0;918.0;56.0;-724.0;471.0;245.0;75.0;228.0;-914.0;20.0;-186.0;38.0
-945.0;1082.0;310.0;-861.0;190.0;-392.0;561.0;19.0;-891.0;112.0;-291.0;71.0
-987.0;968.0;634.0;-894.0;243.0;193.0;30.0;-134.0;-891.0;145.0;-126.0;185.0
-777.0;989.0;-37.0;-950.0;-38.0;354.0;361.0;967.0;-1005.0;-604.0;-16.0;-9.0
-1014.0;952.0;-109.0;-656.0;392.0;231.0;119.0;312.0;-847.0;163.0;-61.0;22.0
-988.0;1071.0;154.0;-689.0;150.0;351.0;477.0;207.0;-801.0;-13.0;-490.0;-274.0
-868.0;883.0;1198.0;-824.0;141.0;-173.0;-283.0;-338.0;-754.0;69.0;-180.0;148.0
-943.0;716.0;-22.0;-461.0;620.0;347.0;221.0;305.0;-955.0;-373.0;15.0;40.0
-971.0;889.0;-345.0;-657.0;490.0;256.0;-51.0;250.0;-927.0;99.0;-163.0;36.0
-1069.0;1035.0;-48.0;-858.0;374.0;236.0;341.0;-590.0;-407.0;-43.0;-29.0;220.0
-1001.0;1003.0;-38.0;-907.0;182.0;342.0;445.0;-183.0;-608.0;-74.0;-120.0;76.0
-974.0;895.0;48.0;-690.0;502.0;241.0;59.0;227.0;-905.0;52.0;-200.0;66.0
-868.0;926.0;-26.0;-717.0;308.0;131.0;92.0;93.0;-1028.0;286.0;-234.0;311.0
-979.0;886.0;35.0;-695.0;485.0;232.0;39.0;225.0;-899.0;49.0;-187.0;57.0
-981.0;885.0;38.0;-695.0;476.0;239.0;55.0;228.0;-903.0;49.0;-143.0;60.0
-1153.0;763.0;577.0;-882.0;870.0;254.0;-348.0;206.0;-938.0;-232.0;-228.0;217.0
-978.0;894.0;9.0;-694.0;483.0;251.0;40.0;225.0;-901.0;47.0;-183.0;50.0
-982.0;819.0;469.0;-670.0;647.0;255.0;47.0;269.0;-910.0;67.0;11.0;136.0
-979.0;895.0;69.0;-687.0;494.0;241.0;49.0;236.0;-901.0;53.0;-175.0;62.0
-1067.0;953.0;97.0;-800.0;512.0;323.0;-7.0;504.0;-852.0;148.0;-185.0;254.0
-993.0;885.0;24.0;-693.0;495.0;251.0;40.0;244.0;-890.0;53.0;-131.0;50.0
-1062.0;703.0;43.0;-728.0;650.0;220.0;95.0;199.0;-855.0;20.0;152.0;46.0
-694.0;-11.0;1646.0;208.0;912.0;113.0;444.0;-321.0;-845.0;606.0;-233.0;26.0
-932.0;936.0;26.0;-756.0;371.0;240.0;244.0;-154.0;-955.0;277.0;-162.0;-30.0
-910.0;870.0;309.0;-704.0;423.0;194.0;268.0;-181.0;-1006.0;417.0;-235.0;3.0
-974.0;943.0;15.0;-779.0;396.0;392.0;521.0;-170.0;-950.0;219.0;-64.0;115.0
-1028.0;751.0;-22.0;-715.0;468.0;101.0;123.0;-408.0;-892.0;414.0;-569.0;-88.0
-972.0;1045.0;59.0;-568.0;467.0;-103.0;-217.0;368.0;-745.0;267.0;-639.0;17.0
-1003.0;543.0;-139.0;-257.0;765.0;262.0;415.0;37.0;-928.0;90.0;-99.0;136.0
-811.0;918.0;691.0;-620.0;329.0;205.0;-89.0;75.0;-996.0;7.0;-378.0;-170.0
-932.0;943.0;-152.0;-755.0;370.0;235.0;42.0;-193.0;-971.0;256.0;-232.0;-24.0
-647.0;284.0;50.0;102.0;856.0;257.0;-27.0;325.0;-939.0;589.0;-674.0;-124.0
-982.0;1024.0;470.0;-881.0;208.0;198.0;153.0;565.0;-952.0;130.0;-360.0;-46.0
-1052.0;1030.0;-221.0;-900.0;95.0;130.0;-33.0;-438.0;-1003.0;195.0;-373.0;-48.0
