InertialMeasurementUnit LUA Quaternion1;Accelerometer LWR accX;InertialMeasurementUnit RLA magneticY;InertialMeasurementUnit RUA accZ;InertialMeasurementUnit RUA Quaternion4;InertialMeasurementUnit RUA Quaternion2;Accelerometer LH accX
-161.0;-354.0;-166.0;112.0;-461.0;149.0;236.0
-106.0;-295.0;-159.0;110.0;-257.0;316.0;253.0
-143.0;-374.0;-142.0;71.0;-279.0;333.0;274.0
-165.0;-279.0;-142.0;57.0;-296.0;344.0;378.0
-31.0;-307.0;-71.0;113.0;-242.0;291.0;363.0
-225.0;-254.0;-291.0;201.0;-288.0;330.0;439.0
-350.0;-523.0;-184.0;-11.0;-349.0;434.0;545.0
-204.0;-403.0;-107.0;60.0;-381.0;452.0;457.0
-168.0;-464.0;-203.0;116.0;-339.0;453.0;441.0
-170.0;-380.0;-193.0;164.0;-339.0;455.0;479.0
-88.0;-365.0;-295.0;183.0;-265.0;353.0;328.0
-93.0;-343.0;-180.0;50.0;-311.0;365.0;344.0
-232.0;-342.0;-371.0;164.0;-282.0;331.0;464.0
-430.0;-651.0;360.0;343.0;-637.0;460.0;357.0
-332.0;-508.0;225.0;294.0;-618.0;41.0;867.0
-173.0;-516.0;-234.0;169.0;-268.0;69.0;666.0
-43.0;-461.0;-42.0;140.0;-189.0;303.0;518.0
-43.0;-487.0;-33.0;199.0;-207.0;307.0;459.0
-53.0;-344.0;-159.0;134.0;-274.0;339.0;374.0
-96.0;-359.0;-132.0;93.0;-286.0;345.0;303.0
-205.0;-190.0;-264.0;235.0;-313.0;353.0;77.0
-222.0;-487.0;-75.0;60.0;-393.0;449.0;517.0
-189.0;-468.0;-16.0;184.0;-377.0;418.0;460.0
-138.0;-615.0;-1143.0;-87.0;-122.0;-81.0;262.0
-150.0;-281.0;-837.0;40.0;-112.0;-96.0;358.0
-131.0;-373.0;-301.0;303.0;-240.0;245.0;321.0
-192.0;-332.0;-2.0;214.0;-384.0;411.0;511.0
-225.0;-316.0;-264.0;257.0;-260.0;306.0;312.0
-120.0;-190.0;88.0;215.0;-142.0;190.0;299.0
-376.0;-246.0;-52.0;240.0;-470.0;486.0;242.0
-228.0;-710.0;-108.0;-23.0;-362.0;197.0;403.0
-371.0;-352.0;-33.0;161.0;-445.0;440.0;521.0
56.0;-259.0;-177.0;168.0;-9.0;83.0;142.0
-272.0;-328.0;-58.0;39.0;-398.0;432.0;301.0
-211.0;-349.0;-194.0;91.0;-373.0;418.0;406.0
-288.0;-119.0;160.0;34.0;-406.0;353.0;-17.0
-761.0;-359.0;-449.0;346.0;-658.0;205.0;320.0
-304.0;-308.0;-25.0;25.0;-427.0;457.0;354.0
-57.0;-327.0;-164.0;110.0;-261.0;128.0;230.0
-58.0;-371.0;-170.0;55.0;-253.0;125.0;265.0
706.0;-449.0;-259.0;151.0;659.0;-534.0;478.0
-68.0;-351.0;-101.0;71.0;-309.0;283.0;473.0
-59.0;-384.0;-169.0;122.0;-252.0;124.0;262.0
