InertialMeasurementUnit R-SHOE EuZ;InertialMeasurementUnit BACK gyroY;InertialMeasurementUnit R-SHOE AngVelNavFrameX;InertialMeasurementUnit R-SHOE AngVelBodyFrameZ;InertialMeasurementUnit LLA gyroX;InertialMeasurementUnit BACK gyroX;InertialMeasurementUnit LUA gyroX;InertialMeasurementUnit R-SHOE Nav_Az;InertialMeasurementUnit R-SHOE AngVelNavFrameY;InertialMeasurementUnit R-SHOE AngVelBodyFrameX;InertialMeasurementUnit R-SHOE AngVelBodyFrameY;InertialMeasurementUnit R-SHOE AngVelNavFrameZ
-159;8.0;6;13;-80.0;-10.0;-37.0;64;-18;18;6;13
-157;0.0;-7;0;-76.0;-8.0;-42.0;73;1;-1;-7;0
-157;3.0;3;-22;-74.0;-16.0;-44.0;68;-27;27;3;-22
-157;-3.0;12;35;-59.0;-18.0;-34.0;72;11;-11;12;35
-162;11.0;-19;10;-58.0;-23.0;-42.0;67;-5;5;-19;10
-162;3.0;-13;-2;-59.0;-28.0;-21.0;67;-6;6;-13;-2
-162;-30.0;-7;16;-30.0;-6.0;-15.0;68;-9;9;-7;16
-162;-17.0;-10;13;-62.0;-14.0;-26.0;70;-26;26;-10;13
-162;-24.0;3;-18;-50.0;-36.0;-21.0;71;6;-6;3;-18
-157;-13.0;27;15;-16.0;-17.0;-3.0;70;-23;23;27;15
-158;21.0;-3;-4;-56.0;-42.0;-61.0;71;-7;7;-3;-4
-174;10.0;13;-4;-58.0;-7.0;-5.0;69;-3;3;13;-4
-162;19.0;19;11;-71.0;-10.0;-10.0;74;-17;17;19;11
-162;4.0;3;10;-75.0;-26.0;-21.0;70;-20;20;3;10
-159;24.0;32;-26;-8.0;19.0;-45.0;65;-15;15;32;-26
-162;-13.0;14;-21;-69.0;-6.0;-21.0;67;-14;14;14;-21
-162;-20.0;25;17;-47.0;-20.0;-40.0;65;7;-7;25;17
-162;-2.0;7;1;-49.0;-12.0;-19.0;71;-12;12;7;1
-162;-3.0;5;-5;-39.0;-12.0;-25.0;71;-30;30;5;-5
-162;-27.0;21;-11;-84.0;-26.0;-21.0;69;-25;25;21;-11
-162;16.0;19;11;-50.0;-15.0;-44.0;72;9;-9;19;11
-162;-11.0;15;-5;-12.0;-3.0;-24.0;72;-3;3;15;-5
-162;-27.0;23;11;-24.0;8.0;-16.0;66;-20;20;23;11
-153;7.0;12;-2;-93.0;-9.0;-46.0;69;-35;35;12;-2
-131;-2.0;23;10;-71.0;-28.0;4.0;130;-7;7;23;10
-157;-24.0;-11;9;-85.0;-21.0;-16.0;66;-11;11;-11;9
-133;-24.0;-2;4;-30.0;10.0;-27.0;133;7;-7;-2;4
-133;-11.0;12;6;-46.0;1.0;-7.0;130;-32;32;12;6
-133;30.0;1;1;-79.0;-29.0;-39.0;126;-27;27;1;1
-156;6.0;0;18;-71.0;-3.0;-44.0;68;16;-16;0;18
-157;-11.0;2;19;-49.0;-1.0;-28.0;66;-42;42;2;19
-134;11.0;5;23;-80.0;-17.0;-17.0;128;-17;17;5;23
-134;-6.0;-5;-5;-30.0;-13.0;-17.0;137;-5;5;-5;-5
-134;6.0;15;-7;-57.0;-11.0;-34.0;127;-44;44;15;-7
-134;-21.0;14;13;-73.0;2.0;-39.0;131;-20;20;14;13
-134;-17.0;5;1;-69.0;-3.0;-32.0;128;-9;9;5;1
-134;-32.0;11;28;-58.0;-38.0;-5.0;127;-26;26;11;28
-134;-17.0;0;2;-62.0;-45.0;-18.0;134;-8;8;0;2
-134;7.0;15;12;-60.0;24.0;-39.0;131;-27;27;15;12
-134;12.0;3;-20;-63.0;-15.0;-35.0;135;0;0;3;-20
-134;-11.0;1;0;-68.0;-9.0;-22.0;127;-9;9;1;0
-134;6.0;-4;9;-78.0;8.0;-43.0;130;-13;13;-4;9
-135;-26.0;15;3;-57.0;4.0;-11.0;135;-24;24;15;3
-135;-5.0;-5;-13;-47.0;-9.0;-23.0;129;3;-3;-5;-13
-135;-3.0;-10;20;-74.0;-34.0;-28.0;140;-20;20;-10;20
-135;-17.0;-2;-9;-38.0;-54.0;-24.0;131;-27;27;-2;-9
-135;-6.0;8;5;-86.0;-18.0;16.0;131;-23;23;8;5
-135;-9.0;10;-2;-57.0;4.0;-20.0;132;-35;35;10;-2
-135;-23.0;-2;-26;-37.0;-14.0;-20.0;128;-9;9;-2;-26
-135;-9.0;2;4;-96.0;-15.0;-26.0;132;-19;19;2;4
-135;-18.0;24;3;-54.0;15.0;-39.0;126;-12;12;24;3
-134;-27.0;4;-7;-40.0;-9.0;-60.0;135;-2;2;4;-7
-156;-13.0;-9;5;-37.0;2.0;13.0;67;5;-5;-9;5
-133;8.0;6;13;-45.0;-16.0;-6.0;131;-7;7;6;13
-133;14.0;-7;-15;-37.0;-1.0;-22.0;130;1;-1;-7;-15
-134;26.0;12;16;-42.0;0.0;-36.0;137;-9;9;12;16
-134;5.0;12;-3;-58.0;-7.0;-22.0;130;-8;8;12;-3
-134;-10.0;-15;7;-84.0;-12.0;-40.0;136;3;-3;-15;7
-160;-6.0;10;-16;-67.0;19.0;-15.0;73;-16;16;10;-16
-160;-1.0;0;20;-67.0;-5.0;-38.0;75;11;-11;0;20
-160;-10.0;21;-16;-65.0;-27.0;-47.0;68;-20;20;21;-16
-160;-16.0;35;10;-72.0;-27.0;-47.0;70;-14;14;35;10
-158;-13.0;16;-2;-56.0;-12.0;-29.0;67;-14;14;16;-2
-159;-22.0;11;20;-54.0;-1.0;-42.0;69;12;-12;11;20
-157;6.0;-6;16;-68.0;-60.0;-21.0;69;8;-8;-6;16
-156;-80.0;-23;-5;-75.0;-35.0;47.0;72;-33;33;-23;-5
-167;-33.0;-29;29;-38.0;-44.0;-28.0;69;9;-9;-29;29
-175;-11.0;-22;11;6.0;-1.0;41.0;69;-40;40;-22;11
-162;-25.0;10;1;-87.0;-33.0;-21.0;75;-43;43;10;1
-162;-30.0;0;15;-53.0;-58.0;42.0;69;9;-9;0;15
-155;37.0;-19;-17;9.0;6.0;69.0;69;-14;14;-19;-17
-167;72.0;-31;32;-28.0;-19.0;-45.0;75;-21;21;-31;32
-169;-10.0;-39;-12;-58.0;-182.0;-131.0;105;-104;104;-39;-12
-153;39.0;-38;11;-22.0;8.0;-6.0;70;-16;16;-38;11
-154;19.0;2;-42;-58.0;-11.0;-33.0;70;5;-5;2;-42
-162;-29.0;-24;10;-37.0;-7.0;-17.0;68;5;-5;-24;10
