InertialMeasurementUnit LUA Quaternion1;Accelerometer LWR accX;InertialMeasurementUnit RLA magneticY;InertialMeasurementUnit RUA accZ;InertialMeasurementUnit RUA Quaternion4;InertialMeasurementUnit RUA Quaternion2;Accelerometer LH accX
-708.0;-219.0;272.0;70.0;-636.0;-58.0;?
-718.0;-271.0;?;-149.0;-637.0;-52.0;45.0
-722.0;-314.0;?;-92.0;-637.0;?;38.0
-718.0;-272.0;206.0;10.0;-636.0;-53.0;49.0
-709.0;-211.0;206.0;70.0;-634.0;-53.0;-71.0
-701.0;-197.0;212.0;?;-635.0;-52.0;-147.0
-693.0;?;226.0;175.0;-639.0;-50.0;-47.0
?;?;242.0;?;-642.0;-47.0;184.0
-674.0;-605.0;268.0;54.0;-645.0;-44.0;218.0
-397.0;165.0;452.0;-33.0;-646.0;458.0;610.0
-397.0;277.0;?;?;-650.0;455.0;747.0
-400.0;306.0;446.0;157.0;-656.0;448.0;676.0
-406.0;406.0;460.0;372.0;-667.0;?;661.0
-417.0;398.0;?;?;-684.0;412.0;622.0
-436.0;338.0;504.0;396.0;-703.0;389.0;472.0
-459.0;174.0;526.0;382.0;-720.0;362.0;?
-484.0;-112.0;556.0;322.0;-734.0;331.0;660.0
-510.0;-232.0;?;205.0;-746.0;297.0;783.0
-535.0;-292.0;614.0;69.0;-753.0;264.0;600.0
-559.0;-268.0;?;50.0;-757.0;227.0;385.0
-583.0;-195.0;635.0;4.0;-759.0;187.0;346.0
-606.0;-214.0;630.0;-23.0;-757.0;150.0;270.0
-631.0;-229.0;610.0;-19.0;-754.0;112.0;367.0
-655.0;-331.0;583.0;-44.0;-748.0;77.0;451.0
-677.0;-345.0;547.0;-51.0;-739.0;44.0;?
-696.0;-378.0;497.0;-92.0;-727.0;14.0;?
-710.0;?;447.0;-33.0;-710.0;-12.0;?
-719.0;-387.0;400.0;28.0;-689.0;-33.0;-598.0
-724.0;-299.0;345.0;144.0;-667.0;-50.0;?
-726.0;-269.0;303.0;85.0;-650.0;-62.0;91.0
-727.0;?;266.0;66.0;-641.0;?;311.0
-733.0;-269.0;236.0;-134.0;-638.0;?;184.0
-741.0;-133.0;222.0;-143.0;-637.0;-62.0;196.0
-743.0;?;215.0;-89.0;-636.0;-62.0;26.0
-740.0;-138.0;214.0;40.0;-635.0;-59.0;-42.0
-732.0;-132.0;218.0;243.0;-637.0;-54.0;?
-727.0;-159.0;226.0;373.0;-643.0;-48.0;-65.0
-725.0;-253.0;237.0;257.0;-649.0;-40.0;41.0
-722.0;-448.0;249.0;326.0;-654.0;-35.0;81.0
-715.0;-555.0;259.0;224.0;-657.0;-33.0;305.0
-703.0;-715.0;271.0;64.0;-658.0;-30.0;144.0
-397.0;139.0;481.0;89.0;-684.0;425.0;292.0
-399.0;173.0;?;79.0;-686.0;423.0;465.0
-402.0;?;474.0;117.0;-688.0;420.0;496.0
-405.0;?;?;?;-692.0;416.0;560.0
-411.0;255.0;488.0;269.0;?;407.0;649.0
?;?;503.0;415.0;?;392.0;676.0
-436.0;201.0;517.0;420.0;-724.0;374.0;547.0
-455.0;164.0;535.0;421.0;-736.0;354.0;500.0
-477.0;63.0;562.0;433.0;-748.0;327.0;697.0
-502.0;-62.0;594.0;367.0;-759.0;295.0;742.0
-529.0;-202.0;616.0;267.0;?;260.0;926.0
-559.0;-328.0;639.0;164.0;-776.0;225.0;?
-589.0;-364.0;651.0;106.0;-779.0;188.0;685.0
-619.0;-428.0;653.0;50.0;-778.0;151.0;696.0
-647.0;-529.0;?;-7.0;?;113.0;507.0
-674.0;-491.0;614.0;?;-762.0;79.0;?
-694.0;-484.0;567.0;-96.0;-748.0;45.0;287.0
-712.0;-444.0;517.0;-84.0;-731.0;15.0;86.0
-723.0;-481.0;465.0;-85.0;-713.0;-9.0;-419.0
-728.0;-401.0;403.0;?;-693.0;-28.0;-45.0
?;-437.0;344.0;-44.0;-674.0;-40.0;408.0
-729.0;-439.0;282.0;?;?;-45.0;223.0
-735.0;-285.0;239.0;-43.0;-648.0;-44.0;104.0
-743.0;?;212.0;15.0;-645.0;-39.0;37.0
-747.0;-122.0;192.0;19.0;-646.0;-35.0;82.0
-745.0;-106.0;182.0;56.0;-646.0;-33.0;-22.0
-740.0;-128.0;185.0;?;-646.0;-32.0;?
-736.0;-207.0;195.0;289.0;-649.0;-30.0;-136.0
-733.0;-303.0;204.0;261.0;-652.0;-29.0;68.0
-726.0;-512.0;?;192.0;-656.0;-28.0;173.0
-712.0;-744.0;237.0;77.0;-660.0;-25.0;333.0
-419.0;176.0;416.0;192.0;-667.0;488.0;71.0
-436.0;146.0;419.0;243.0;-680.0;480.0;17.0
-462.0;104.0;425.0;221.0;-696.0;474.0;?
-497.0;68.0;429.0;202.0;-712.0;471.0;11.0
-538.0;2.0;423.0;206.0;-725.0;469.0;159.0
-582.0;-429.0;408.0;187.0;-735.0;466.0;1122.0
-627.0;-830.0;377.0;94.0;-742.0;464.0;1630.0
-669.0;?;327.0;-15.0;-749.0;463.0;2102.0
-705.0;-1353.0;255.0;-3.0;-754.0;466.0;1668.0
-735.0;-1254.0;174.0;-22.0;-757.0;468.0;1696.0
-759.0;-1299.0;99.0;11.0;-761.0;?;1738.0
-776.0;-1236.0;48.0;-99.0;-760.0;483.0;1668.0
-784.0;-1295.0;22.0;5.0;-754.0;499.0;1580.0
-788.0;-1065.0;-12.0;111.0;-748.0;511.0;1395.0
-792.0;-746.0;?;88.0;-740.0;525.0;1061.0
-799.0;-646.0;?;145.0;-726.0;537.0;770.0
-805.0;-579.0;-113.0;212.0;-713.0;545.0;718.0
-811.0;?;-148.0;?;-704.0;550.0;710.0
-814.0;-491.0;-173.0;213.0;-696.0;554.0;?
?;-530.0;-180.0;241.0;-692.0;555.0;602.0
-812.0;-483.0;-181.0;241.0;-692.0;?;523.0
-807.0;-474.0;-166.0;230.0;-693.0;555.0;459.0
-802.0;-379.0;-144.0;267.0;-696.0;556.0;?
-798.0;-341.0;-126.0;332.0;-700.0;556.0;346.0
-795.0;-301.0;-114.0;326.0;-704.0;556.0;282.0
-792.0;-276.0;-111.0;314.0;-708.0;555.0;225.0
-789.0;-299.0;-115.0;?;-712.0;552.0;200.0
-785.0;-315.0;-122.0;?;-715.0;?;195.0
-782.0;-302.0;-135.0;246.0;-719.0;543.0;185.0
-777.0;-304.0;-143.0;241.0;-722.0;539.0;128.0
-772.0;?;-146.0;242.0;-724.0;?;100.0
-767.0;-262.0;?;268.0;-727.0;535.0;96.0
-763.0;-272.0;-135.0;269.0;-731.0;535.0;145.0
-759.0;-272.0;?;267.0;-734.0;536.0;187.0
-756.0;-283.0;-103.0;255.0;-736.0;537.0;231.0
-754.0;-292.0;-88.0;243.0;?;538.0;268.0
-753.0;-294.0;-74.0;230.0;-737.0;540.0;306.0
-753.0;-334.0;?;222.0;-737.0;542.0;358.0
?;-362.0;-52.0;226.0;?;545.0;420.0
-757.0;-360.0;-39.0;249.0;-736.0;547.0;469.0
-758.0;-358.0;-30.0;263.0;-734.0;548.0;503.0
-760.0;-404.0;-27.0;?;-732.0;549.0;553.0
-762.0;-449.0;-19.0;239.0;-730.0;549.0;560.0
-765.0;-409.0;-20.0;244.0;-728.0;549.0;520.0
-768.0;-396.0;-19.0;248.0;-727.0;549.0;508.0
-772.0;-408.0;-12.0;259.0;-726.0;549.0;489.0
-777.0;-408.0;?;250.0;-725.0;549.0;454.0
-780.0;-418.0;-18.0;225.0;?;549.0;?
-783.0;?;?;228.0;-724.0;548.0;514.0
-784.0;-428.0;-22.0;?;-723.0;548.0;?
?;-412.0;-26.0;210.0;-724.0;549.0;385.0
-785.0;-345.0;-20.0;211.0;-725.0;550.0;264.0
-784.0;-366.0;-13.0;220.0;-726.0;552.0;356.0
-785.0;-270.0;-4.0;?;-728.0;555.0;236.0
-784.0;-399.0;16.0;184.0;-730.0;559.0;395.0
-781.0;-637.0;27.0;184.0;-732.0;562.0;434.0
-779.0;-470.0;40.0;258.0;-734.0;561.0;532.0
-768.0;-297.0;?;54.0;?;563.0;669.0
-759.0;-255.0;56.0;68.0;-737.0;569.0;496.0
-751.0;?;75.0;196.0;-737.0;569.0;269.0
-744.0;-243.0;76.0;177.0;-738.0;565.0;92.0
-740.0;-112.0;67.0;104.0;-738.0;559.0;183.0
-740.0;-214.0;55.0;124.0;-738.0;?;?
-738.0;-290.0;33.0;122.0;-737.0;548.0;349.0
-734.0;-283.0;19.0;145.0;-735.0;546.0;?
-731.0;?;9.0;222.0;-733.0;547.0;?
-730.0;-266.0;6.0;248.0;-732.0;548.0;317.0
-730.0;?;7.0;170.0;-730.0;550.0;336.0
-731.0;-367.0;14.0;126.0;-728.0;552.0;350.0
-733.0;-382.0;17.0;150.0;-724.0;554.0;?
-735.0;-389.0;13.0;172.0;-721.0;555.0;333.0
-739.0;-397.0;6.0;175.0;-718.0;557.0;?
-743.0;-435.0;1.0;181.0;-716.0;557.0;426.0
-746.0;-449.0;-7.0;170.0;-714.0;557.0;445.0
-750.0;-445.0;-7.0;157.0;-712.0;556.0;455.0
-753.0;?;-7.0;151.0;-711.0;554.0;463.0
-755.0;-471.0;?;142.0;?;554.0;487.0
-758.0;?;-16.0;141.0;-710.0;553.0;487.0
-760.0;-437.0;-20.0;126.0;-709.0;552.0;443.0
-762.0;-421.0;-25.0;143.0;-708.0;552.0;422.0
-765.0;-371.0;?;155.0;-707.0;552.0;433.0
-766.0;-360.0;-33.0;148.0;-707.0;552.0;412.0
-768.0;?;-38.0;129.0;-707.0;552.0;388.0
-769.0;-348.0;-41.0;135.0;-707.0;553.0;358.0
-769.0;-338.0;-43.0;145.0;-708.0;554.0;303.0
-769.0;-329.0;-40.0;170.0;?;?;?
-769.0;?;?;195.0;-711.0;?;292.0
-768.0;?;?;210.0;-713.0;561.0;294.0
-767.0;-327.0;-8.0;212.0;?;564.0;326.0
-766.0;-349.0;5.0;212.0;-717.0;566.0;325.0
-764.0;-344.0;?;210.0;?;566.0;309.0
-762.0;?;?;?;?;566.0;?
-760.0;-324.0;18.0;?;-720.0;565.0;297.0
-759.0;-305.0;21.0;179.0;-721.0;565.0;274.0
-759.0;-308.0;?;?;-723.0;565.0;305.0
-759.0;-330.0;33.0;195.0;-724.0;564.0;333.0
-760.0;-340.0;?;213.0;-725.0;563.0;360.0
-760.0;?;?;212.0;-726.0;563.0;392.0
-760.0;-330.0;37.0;208.0;-726.0;563.0;387.0
?;-360.0;39.0;215.0;-726.0;?;398.0
-761.0;-373.0;36.0;214.0;-725.0;562.0;407.0
-761.0;-365.0;33.0;199.0;-724.0;562.0;418.0
-762.0;-363.0;30.0;188.0;-724.0;562.0;417.0
-763.0;-366.0;29.0;203.0;-724.0;563.0;416.0
-764.0;-312.0;30.0;194.0;-723.0;565.0;304.0
-765.0;-398.0;34.0;176.0;-723.0;567.0;248.0
-766.0;?;39.0;171.0;-723.0;569.0;391.0
-767.0;-502.0;42.0;185.0;-723.0;?;505.0
-766.0;-376.0;47.0;148.0;-724.0;568.0;611.0
-763.0;-248.0;50.0;-19.0;-725.0;573.0;470.0
-761.0;-252.0;63.0;150.0;-723.0;574.0;255.0
-760.0;-253.0;63.0;188.0;-724.0;573.0;201.0
-761.0;-243.0;64.0;53.0;-727.0;571.0;365.0
-762.0;-212.0;70.0;-13.0;-728.0;570.0;281.0
?;-181.0;77.0;-34.0;-730.0;570.0;148.0
-761.0;-182.0;?;74.0;?;571.0;156.0
-760.0;-234.0;83.0;228.0;-730.0;573.0;?
-760.0;-259.0;84.0;264.0;-731.0;576.0;282.0
-759.0;-277.0;89.0;191.0;-731.0;578.0;?
-759.0;-281.0;94.0;138.0;-730.0;580.0;?
-759.0;-263.0;95.0;?;-729.0;582.0;353.0
-759.0;?;86.0;133.0;-726.0;584.0;378.0
-761.0;-340.0;75.0;132.0;-723.0;?;383.0
-762.0;-353.0;66.0;148.0;-721.0;588.0;387.0
?;-361.0;65.0;151.0;-720.0;?;396.0
-765.0;?;63.0;159.0;-719.0;591.0;388.0
-767.0;?;?;174.0;-718.0;592.0;382.0
-769.0;-408.0;65.0;176.0;-717.0;593.0;395.0
-771.0;-409.0;67.0;168.0;-717.0;594.0;418.0
-773.0;-408.0;71.0;160.0;-717.0;?;438.0
-775.0;-398.0;74.0;154.0;-717.0;593.0;430.0
-776.0;-400.0;77.0;173.0;-718.0;?;427.0
-778.0;-398.0;77.0;185.0;-719.0;588.0;438.0
-780.0;-402.0;72.0;175.0;-720.0;585.0;439.0
-781.0;-411.0;?;?;-721.0;582.0;477.0
-782.0;-401.0;69.0;170.0;-722.0;579.0;426.0
-781.0;-384.0;65.0;?;-724.0;575.0;362.0
-780.0;-399.0;62.0;198.0;?;?;351.0
-778.0;-381.0;64.0;209.0;-726.0;568.0;341.0
-776.0;-350.0;63.0;224.0;-728.0;?;316.0
-774.0;?;60.0;227.0;-729.0;562.0;324.0
-771.0;-327.0;58.0;219.0;?;559.0;313.0
?;-315.0;57.0;217.0;-732.0;556.0;308.0
-768.0;-283.0;56.0;213.0;-732.0;554.0;285.0
-767.0;-272.0;58.0;226.0;-733.0;552.0;284.0
-766.0;-273.0;57.0;?;?;551.0;258.0
-765.0;-281.0;54.0;240.0;-731.0;550.0;?
-764.0;-272.0;53.0;249.0;-730.0;550.0;255.0
-764.0;-302.0;?;247.0;-729.0;550.0;?
?;-305.0;48.0;237.0;-728.0;550.0;302.0
-765.0;-313.0;46.0;232.0;-726.0;551.0;343.0
-766.0;-333.0;43.0;237.0;-725.0;551.0;361.0
?;-339.0;40.0;218.0;-723.0;551.0;401.0
-769.0;-346.0;34.0;250.0;-720.0;552.0;375.0
-770.0;-316.0;23.0;232.0;-717.0;?;374.0
?;-322.0;15.0;225.0;-715.0;?;?
-773.0;-297.0;9.0;215.0;-714.0;551.0;?
-775.0;-444.0;9.0;198.0;-713.0;554.0;310.0
-776.0;-464.0;14.0;178.0;-713.0;559.0;408.0
-778.0;?;25.0;207.0;-713.0;562.0;531.0
-776.0;-348.0;?;21.0;-714.0;569.0;543.0
-775.0;-308.0;54.0;70.0;?;576.0;376.0
-774.0;?;67.0;141.0;-713.0;577.0;?
-773.0;-236.0;67.0;82.0;-715.0;575.0;373.0
-775.0;-250.0;61.0;49.0;-715.0;571.0;342.0
-774.0;-190.0;47.0;41.0;?;566.0;230.0
-774.0;-162.0;29.0;22.0;-716.0;562.0;169.0
?;-175.0;19.0;106.0;?;561.0;154.0
-772.0;-223.0;9.0;214.0;-716.0;560.0;225.0
-773.0;-257.0;8.0;233.0;-718.0;562.0;250.0
-773.0;-266.0;15.0;183.0;-719.0;564.0;?
-772.0;?;26.0;139.0;-720.0;?;256.0
-771.0;-268.0;34.0;138.0;-719.0;566.0;277.0
-770.0;-279.0;33.0;141.0;-718.0;566.0;307.0
-770.0;-318.0;27.0;143.0;-716.0;566.0;336.0
?;-321.0;20.0;149.0;-714.0;567.0;334.0
?;-341.0;21.0;155.0;-713.0;568.0;335.0
-772.0;-338.0;26.0;163.0;?;569.0;363.0
-772.0;?;?;175.0;-711.0;570.0;397.0
-773.0;-374.0;?;171.0;-709.0;571.0;381.0
-775.0;-380.0;33.0;172.0;-708.0;570.0;?
-777.0;-392.0;36.0;175.0;?;?;399.0
?;-384.0;40.0;167.0;-708.0;?;412.0
-781.0;-401.0;44.0;169.0;-709.0;570.0;452.0
-782.0;-399.0;47.0;173.0;-710.0;569.0;450.0
-784.0;-386.0;50.0;196.0;-711.0;568.0;423.0
-784.0;-390.0;51.0;182.0;-713.0;567.0;437.0
-785.0;-395.0;50.0;171.0;-714.0;564.0;465.0
-785.0;-401.0;44.0;182.0;-715.0;563.0;458.0
-785.0;-381.0;43.0;193.0;-716.0;561.0;?
-784.0;-378.0;40.0;193.0;?;559.0;398.0
-782.0;-379.0;37.0;186.0;?;556.0;376.0
-781.0;-360.0;34.0;196.0;-720.0;553.0;353.0
-779.0;?;31.0;208.0;-722.0;?;350.0
-776.0;-318.0;33.0;217.0;-724.0;?;318.0
-774.0;-307.0;35.0;230.0;-725.0;?;273.0
-772.0;-287.0;40.0;235.0;-727.0;?;272.0
