InertialMeasurementUnit LUA Quaternion2;InertialMeasurementUnit BACK Quaternion2;InertialMeasurementUnit BACK Quaternion4;InertialMeasurementUnit LLA magneticY;InertialMeasurementUnit RLA Quaternion1;InertialMeasurementUnit LLA Quaternion2;InertialMeasurementUnit RUA Quaternion1
-35.0;-317.0;245.0;456.0;100.0;52.0;-208.0
72.0;-358.0;328.0;239.0;147.0;28.0;-198.0
52.0;-347.0;308.0;266.0;123.0;44.0;-219.0
27.0;-335.0;291.0;309.0;95.0;69.0;-241.0
-109.0;-387.0;401.0;333.0;-393.0;19.0;37.0
-37.0;-302.0;262.0;398.0;25.0;125.0;-294.0
-11.0;-253.0;182.0;449.0;-17.0;203.0;-364.0
-13.0;-258.0;187.0;457.0;6.0;207.0;-352.0
44.0;-335.0;344.0;312.0;107.0;17.0;-299.0
-246.0;-198.0;166.0;644.0;87.0;333.0;-510.0
-200.0;-181.0;133.0;541.0;158.0;207.0;-386.0
16.0;-220.0;91.0;343.0;485.0;-5.0;-300.0
16.0;-215.0;92.0;304.0;474.0;-27.0;-303.0
13.0;-191.0;111.0;204.0;419.0;-33.0;-313.0
-6.0;-181.0;119.0;208.0;409.0;-16.0;-309.0
-16.0;-175.0;121.0;213.0;404.0;-8.0;-308.0
-34.0;-163.0;126.0;229.0;396.0;10.0;-301.0
-40.0;-157.0;128.0;241.0;400.0;18.0;-294.0
-64.0;-129.0;131.0;305.0;412.0;52.0;-257.0
-67.0;-88.0;124.0;386.0;385.0;78.0;-263.0
-55.0;-53.0;123.0;450.0;354.0;93.0;-307.0
-50.0;-42.0;123.0;467.0;334.0;96.0;-329.0
-44.0;-21.0;124.0;493.0;287.0;105.0;-382.0
-22.0;1.0;121.0;502.0;216.0;102.0;-457.0
-215.0;-103.0;154.0;337.0;324.0;140.0;-394.0
-213.0;-103.0;154.0;375.0;320.0;137.0;-398.0
-212.0;-103.0;155.0;326.0;320.0;134.0;-397.0
-212.0;-102.0;155.0;381.0;321.0;134.0;-397.0
-211.0;-102.0;155.0;316.0;322.0;131.0;-399.0
-210.0;-102.0;153.0;380.0;324.0;130.0;-400.0
-209.0;-103.0;153.0;381.0;324.0;130.0;-403.0
-178.0;-30.0;-71.0;89.0;218.0;294.0;-538.0
-178.0;-31.0;-70.0;89.0;207.0;294.0;-540.0
-273.0;-12.0;-124.0;88.0;148.0;290.0;-611.0
-175.0;-38.0;-65.0;85.0;198.0;293.0;-545.0
-208.0;-102.0;152.0;371.0;323.0;131.0;-403.0
-207.0;-102.0;152.0;364.0;322.0;130.0;-404.0
-207.0;-102.0;152.0;328.0;321.0;129.0;-403.0
-205.0;-102.0;152.0;319.0;321.0;127.0;-403.0
-205.0;-102.0;151.0;373.0;320.0;128.0;-404.0
-6.0;-69.0;-41.0;-178.0;218.0;174.0;-551.0
-202.0;-102.0;152.0;315.0;317.0;127.0;-406.0
-201.0;-102.0;153.0;382.0;314.0;129.0;-408.0
-200.0;-102.0;155.0;327.0;313.0;121.0;-408.0
-206.0;-101.0;155.0;377.0;315.0;120.0;-405.0
-210.0;-100.0;155.0;365.0;314.0;123.0;-406.0
-209.0;-100.0;154.0;363.0;311.0;120.0;-408.0
-224.0;-88.0;141.0;388.0;295.0;142.0;-411.0
-213.0;-81.0;135.0;323.0;308.0;151.0;-403.0
-205.0;-65.0;127.0;366.0;319.0;155.0;-398.0
-205.0;-53.0;124.0;284.0;321.0;157.0;-399.0
-204.0;-27.0;116.0;416.0;325.0;172.0;-396.0
-196.0;0.0;111.0;335.0;334.0;177.0;-390.0
-64.0;405.0;-328.0;241.0;-431.0;-15.0;46.0
-188.0;17.0;110.0;468.0;337.0;188.0;-392.0
-180.0;23.0;110.0;409.0;341.0;203.0;-393.0
-172.0;27.0;111.0;75.0;344.0;212.0;-393.0
-145.0;36.0;139.0;353.0;350.0;195.0;-381.0
-134.0;36.0;146.0;348.0;347.0;183.0;-376.0
-123.0;35.0;154.0;351.0;340.0;169.0;-372.0
-73.0;5.0;199.0;372.0;311.0;119.0;-336.0
-55.0;-26.0;221.0;373.0;307.0;97.0;-319.0
-46.0;-46.0;230.0;367.0;307.0;84.0;-304.0
-35.0;-68.0;238.0;370.0;312.0;73.0;-288.0
131.0;337.0;-339.0;135.0;33.0;-15.0;-322.0
80.0;335.0;-290.0;293.0;112.0;61.0;-272.0
74.0;306.0;-311.0;377.0;105.0;31.0;-277.0
65.0;302.0;-315.0;392.0;106.0;33.0;-278.0
11.0;-168.0;254.0;366.0;335.0;19.0;-233.0
18.0;-198.0;255.0;380.0;339.0;15.0;-225.0
13.0;-221.0;256.0;400.0;333.0;20.0;-222.0
-27.0;-245.0;254.0;452.0;342.0;64.0;-210.0
-80.0;-253.0;249.0;478.0;376.0;116.0;-200.0
-86.0;-252.0;249.0;480.0;388.0;118.0;-198.0
-97.0;-255.0;253.0;472.0;410.0;111.0;-205.0
-80.0;-261.0;255.0;469.0;425.0;105.0;-206.0
-9.0;-268.0;294.0;449.0;525.0;84.0;-246.0
35.0;-256.0;298.0;262.0;313.0;-61.0;-387.0
24.0;-306.0;352.0;51.0;424.0;-208.0;-341.0
57.0;-276.0;294.0;236.0;308.0;-30.0;-342.0
63.0;-283.0;295.0;248.0;309.0;-30.0;-329.0
71.0;-294.0;299.0;263.0;315.0;-31.0;-313.0
73.0;-313.0;309.0;300.0;325.0;-28.0;-296.0
61.0;-367.0;383.0;295.0;428.0;76.0;-376.0
65.0;-332.0;321.0;360.0;327.0;-15.0;-287.0
182.0;-430.0;449.0;112.0;470.0;-179.0;-178.0
115.0;-358.0;345.0;259.0;256.0;-118.0;-178.0
119.0;-355.0;340.0;238.0;262.0;-104.0;-163.0
98.0;-384.0;383.0;168.0;344.0;-166.0;-258.0
135.0;-367.0;352.0;321.0;266.0;-147.0;-193.0
69.0;-341.0;275.0;384.0;282.0;-101.0;-120.0
64.0;-337.0;272.0;366.0;279.0;-96.0;-110.0
60.0;-332.0;269.0;360.0;278.0;-95.0;-101.0
337.0;2.0;82.0;576.0;214.0;-463.0;663.0
27.0;-254.0;216.0;440.0;333.0;-53.0;-142.0
51.0;-260.0;222.0;328.0;322.0;-57.0;-147.0
57.0;-262.0;216.0;254.0;311.0;-16.0;-161.0
33.0;-256.0;204.0;243.0;299.0;34.0;-171.0
17.0;-253.0;200.0;246.0;289.0;59.0;-185.0
-15.0;-239.0;182.0;262.0;260.0;110.0;-211.0
-30.0;-233.0;174.0;278.0;241.0;134.0;-226.0
-47.0;-228.0;166.0;297.0;214.0;157.0;-243.0
-84.0;-213.0;145.0;385.0;146.0;216.0;-293.0
-95.0;-211.0;138.0;417.0;130.0;213.0;-298.0
42.0;-402.0;321.0;300.0;234.0;-12.0;-216.0
40.0;-403.0;306.0;296.0;255.0;9.0;-195.0
41.0;-406.0;289.0;295.0;260.0;31.0;-185.0
42.0;-408.0;286.0;295.0;259.0;35.0;-183.0
42.0;-409.0;283.0;295.0;259.0;38.0;-182.0
39.0;-410.0;274.0;315.0;256.0;48.0;-178.0
-96.0;-212.0;135.0;454.0;113.0;203.0;-301.0
-145.0;-162.0;95.0;596.0;-2.0;245.0;-398.0
-42.0;-225.0;172.0;646.0;72.0;116.0;-271.0
22.0;-298.0;247.0;537.0;156.0;78.0;-206.0
50.0;-283.0;262.0;411.0;183.0;13.0;-234.0
50.0;315.0;-313.0;383.0;124.0;63.0;-282.0
41.0;306.0;-311.0;383.0;125.0;67.0;-285.0
37.0;301.0;-311.0;390.0;125.0;68.0;-287.0
29.0;293.0;-309.0;410.0;124.0;69.0;-289.0
23.0;288.0;-307.0;421.0;124.0;70.0;-289.0
18.0;283.0;-305.0;437.0;124.0;72.0;-292.0
12.0;277.0;-302.0;457.0;123.0;75.0;-294.0
77.0;-300.0;280.0;353.0;194.0;-4.0;-227.0
110.0;-316.0;298.0;294.0;206.0;-26.0;-218.0
62.0;-378.0;366.0;232.0;215.0;91.0;-166.0
21.0;-344.0;356.0;223.0;205.0;29.0;-217.0
3.0;-331.0;341.0;239.0;193.0;44.0;-228.0
-15.0;-316.0;325.0;261.0;182.0;64.0;-241.0
-52.0;-284.0;289.0;310.0;156.0;113.0;-277.0
-116.0;-214.0;214.0;421.0;78.0;222.0;-370.0
-313.0;-76.0;-107.0;309.0;159.0;407.0;-529.0
-258.0;-89.0;31.0;327.0;216.0;298.0;-470.0
-226.0;-120.0;66.0;358.0;282.0;263.0;-316.0
-219.0;-127.0;75.0;369.0;288.0;256.0;-281.0
-212.0;-133.0;83.0;371.0;292.0;249.0;-248.0
-196.0;-150.0;108.0;388.0;289.0;226.0;-195.0
35.0;-410.0;271.0;328.0;254.0;55.0;-180.0
25.0;-406.0;263.0;352.0;250.0;70.0;-185.0
21.0;-402.0;258.0;365.0;247.0;76.0;-188.0
15.0;-397.0;252.0;376.0;247.0;82.0;-191.0
9.0;-390.0;246.0;386.0;247.0;88.0;-195.0
-185.0;-162.0;121.0;399.0;283.0;216.0;-183.0
-177.0;-175.0;132.0;420.0;270.0;211.0;-164.0
-175.0;-179.0;124.0;470.0;281.0;222.0;-136.0
-146.0;-176.0;112.0;488.0;325.0;185.0;-129.0
-137.0;-175.0;109.0;491.0;341.0;175.0;-122.0
29.0;299.0;-268.0;468.0;105.0;99.0;-289.0
27.0;297.0;-270.0;464.0;105.0;99.0;-289.0
12.0;280.0;-274.0;477.0;107.0;100.0;-296.0
-127.0;-175.0;105.0;495.0;357.0;163.0;-116.0
-119.0;-176.0;105.0;499.0;370.0;152.0;-116.0
-107.0;-171.0;104.0;506.0;392.0;134.0;-121.0
-97.0;-170.0;87.0;525.0;416.0;125.0;-129.0
-102.0;-170.0;77.0;540.0;417.0;137.0;-152.0
-130.0;-164.0;54.0;565.0;388.0;181.0;-222.0
-179.0;-221.0;79.0;503.0;525.0;254.0;-169.0
-134.0;-278.0;43.0;589.0;410.0;244.0;-141.0
-19.0;-367.0;223.0;434.0;257.0;125.0;-215.0
-32.0;-357.0;214.0;445.0;264.0;141.0;-222.0
-58.0;-325.0;188.0;422.0;276.0;158.0;-248.0
-63.0;-303.0;173.0;446.0;291.0;160.0;-274.0
-67.0;-294.0;167.0;490.0;298.0;178.0;-287.0
-209.0;-70.0;-4.0;644.0;483.0;342.0;-244.0
-96.0;-242.0;253.0;538.0;183.0;208.0;-198.0
-88.0;-256.0;269.0;508.0;193.0;183.0;-189.0
-85.0;-260.0;275.0;497.0;193.0;175.0;-188.0
-78.0;-271.0;294.0;467.0;179.0;157.0;-202.0
-76.0;-273.0;298.0;457.0;172.0;152.0;-206.0
-74.0;-275.0;302.0;452.0;168.0;148.0;-210.0
-58.0;-290.0;314.0;413.0;156.0;132.0;-208.0
-288.0;-114.0;65.0;376.0;361.0;258.0;-381.0
-47.0;-295.0;315.0;399.0;175.0;130.0;-188.0
13.0;-322.0;301.0;380.0;270.0;99.0;-159.0
21.0;-321.0;292.0;387.0;303.0;98.0;-155.0
26.0;-319.0;286.0;386.0;322.0;96.0;-154.0
40.0;-310.0;266.0;397.0;380.0;87.0;-157.0
24.0;-286.0;232.0;443.0;476.0;103.0;-137.0
12.0;-362.0;236.0;456.0;702.0;140.0;-101.0
3.0;-284.0;184.0;425.0;828.0;8.0;-15.0
-165.0;-200.0;100.0;669.0;169.0;314.0;-288.0
-94.0;-226.0;85.0;598.0;115.0;232.0;-307.0
-110.0;-220.0;80.0;577.0;126.0;209.0;-327.0
-110.0;-220.0;94.0;566.0;170.0;204.0;-329.0
-111.0;-225.0;106.0;565.0;197.0;202.0;-349.0
