InertialMeasurementUnit LUA gyroY;InertialMeasurementUnit LUA gyroZ;InertialMeasurementUnit LLA accZ;InertialMeasurementUnit LUA accZ;InertialMeasurementUnit LLA gyroY;InertialMeasurementUnit LLA gyroZ;InertialMeasurementUnit RLA magneticZ;InertialMeasurementUnit RLA gyroX;Accelerometer HIP accZ;Accelerometer LWR accZ
-77.0;-31.0;-20.0;168.0;-115.0;60.0;-445.0;-162.0;417.0;391.0
17.0;14.0;90.0;156.0;4.0;26.0;-421.0;38.0;659.0;782.0
16.0;47.0;91.0;161.0;31.0;26.0;-420.0;20.0;658.0;789.0
8.0;26.0;92.0;161.0;-8.0;23.0;-417.0;7.0;631.0;802.0
56.0;5.0;96.0;163.0;22.0;45.0;-419.0;-15.0;666.0;770.0
-10.0;6.0;87.0;165.0;6.0;24.0;-422.0;2.0;650.0;796.0
-14.0;20.0;95.0;170.0;8.0;69.0;-419.0;-10.0;647.0;773.0
-19.0;2.0;81.0;163.0;29.0;15.0;-419.0;-4.0;651.0;808.0
8.0;-2.0;91.0;163.0;16.0;26.0;-422.0;10.0;646.0;792.0
25.0;18.0;81.0;163.0;22.0;40.0;-421.0;-23.0;665.0;794.0
9.0;34.0;90.0;167.0;57.0;0.0;-422.0;-79.0;648.0;769.0
-17.0;12.0;92.0;170.0;-8.0;66.0;-413.0;62.0;631.0;804.0
-21.0;-9.0;98.0;164.0;6.0;19.0;-409.0;17.0;649.0;781.0
9.0;22.0;93.0;169.0;16.0;38.0;-412.0;5.0;632.0;811.0
29.0;18.0;95.0;176.0;27.0;25.0;-409.0;36.0;658.0;763.0
-2.0;-3.0;93.0;175.0;32.0;9.0;-408.0;-3.0;626.0;794.0
33.0;-61.0;70.0;114.0;-27.0;53.0;-273.0;-77.0;639.0;784.0
6.0;30.0;58.0;149.0;-10.0;62.0;-243.0;-7.0;600.0;737.0
12.0;12.0;47.0;152.0;52.0;45.0;-242.0;77.0;564.0;767.0
25.0;22.0;73.0;145.0;40.0;78.0;-239.0;12.0;597.0;773.0
12.0;22.0;73.0;149.0;42.0;65.0;-240.0;6.0;587.0;771.0
-6.0;-3.0;49.0;149.0;32.0;83.0;-241.0;-24.0;596.0;751.0
