InertialMeasurementUnit LUA Quaternion3;InertialMeasurementUnit LUA magneticZ;InertialMeasurementUnit R-SHOE EuX;InertialMeasurementUnit LLA Quaternion3;InertialMeasurementUnit R-SHOE Compass;Accelerometer RKN^ accY;Accelerometer BACK accZ
-207.0;138.0;74;230.0;?;1021.0;-319.0
-195.0;99.0;74;222.0;-7;1033.0;-362.0
-184.0;?;74;211.0;-7;1053.0;-381.0
?;50.0;?;199.0;-7;1025.0;-310.0
-176.0;53.0;74;192.0;-7;1040.0;-305.0
-182.0;66.0;74;?;?;?;-370.0
-191.0;87.0;74;?;-7;1006.0;-387.0
-201.0;113.0;74;192.0;-7;1037.0;-429.0
-218.0;154.0;74;196.0;-7;1033.0;-337.0
?;587.0;74;582.0;-7;?;-106.0
-658.0;602.0;74;581.0;-7;?;-130.0
?;603.0;74;580.0;-7;1072.0;-132.0
-645.0;595.0;74;573.0;-7;991.0;-159.0
-631.0;595.0;74;561.0;-7;1032.0;-124.0
-610.0;?;74;545.0;-7;1057.0;-130.0
-588.0;609.0;74;525.0;?;1022.0;-204.0
-567.0;619.0;74;503.0;?;958.0;?
-544.0;628.0;74;475.0;-7;1076.0;-42.0
-520.0;633.0;74;445.0;-7;1016.0;-3.0
-496.0;633.0;74;421.0;-7;1020.0;-64.0
-465.0;624.0;74;404.0;-7;1024.0;-185.0
-431.0;601.0;?;?;-7;1050.0;-219.0
-394.0;564.0;74;349.0;-7;1032.0;-276.0
-357.0;512.0;74;?;-7;?;?
-322.0;453.0;74;283.0;-7;1011.0;-220.0
-291.0;386.0;74;?;-7;1020.0;-176.0
-266.0;323.0;74;234.0;-7;1015.0;-423.0
-246.0;268.0;74;222.0;-7;1049.0;-410.0
?;211.0;74;208.0;-7;998.0;-281.0
?;153.0;74;?;-7;1017.0;-420.0
-198.0;95.0;?;173.0;-7;1054.0;-391.0
-186.0;48.0;?;178.0;-7;?;-411.0
-180.0;13.0;74;187.0;-7;1049.0;-337.0
-179.0;-4.0;74;188.0;-7;1041.0;-346.0
-180.0;-2.0;74;189.0;-7;1007.0;-341.0
-187.0;18.0;74;187.0;-7;?;-355.0
-195.0;40.0;74;183.0;-7;?;-353.0
-201.0;55.0;74;183.0;-7;1025.0;-366.0
-205.0;70.0;?;?;-7;1019.0;-409.0
-211.0;89.0;74;182.0;-7;?;-389.0
-222.0;119.0;74;179.0;-7;1031.0;-369.0
-659.0;578.0;74;616.0;-7;1026.0;-163.0
-660.0;597.0;74;614.0;?;1041.0;-126.0
-659.0;600.0;74;613.0;?;1011.0;-117.0
?;589.0;74;607.0;-7;1004.0;-150.0
?;589.0;74;599.0;-7;1051.0;-181.0
-635.0;593.0;74;585.0;-7;1016.0;-124.0
-618.0;606.0;74;?;-7;1042.0;-70.0
-599.0;615.0;?;558.0;-7;1035.0;-26.0
-578.0;617.0;74;541.0;-7;1020.0;?
-553.0;627.0;74;521.0;?;1031.0;58.0
-524.0;?;74;493.0;-7;1020.0;-91.0
-489.0;632.0;74;466.0;-7;1022.0;-125.0
-451.0;613.0;74;439.0;-7;1018.0;-116.0
-412.0;582.0;74;412.0;-7;1029.0;-183.0
-374.0;536.0;74;381.0;-7;1033.0;-270.0
-338.0;482.0;74;351.0;-7;1027.0;-289.0
?;417.0;74;?;-7;1034.0;-284.0
-278.0;355.0;74;302.0;-7;1022.0;?
-255.0;295.0;74;286.0;-7;?;-499.0
-235.0;235.0;74;271.0;-7;1018.0;-334.0
-220.0;181.0;74;247.0;-7;1019.0;-439.0
-205.0;?;74;?;?;1036.0;-425.0
-190.0;?;74;227.0;-7;?;-411.0
-182.0;38.0;74;234.0;-7;1021.0;-408.0
-175.0;16.0;74;229.0;-7;1021.0;?
-172.0;7.0;74;222.0;-7;?;-362.0
-174.0;13.0;74;213.0;-7;1012.0;-383.0
-177.0;?;74;210.0;-7;1041.0;-414.0
-182.0;38.0;74;208.0;-7;1029.0;?
-187.0;58.0;74;203.0;-7;1032.0;-403.0
-199.0;86.0;74;200.0;-7;1044.0;-373.0
?;597.0;74;587.0;-7;1036.0;-290.0
-663.0;599.0;74;584.0;-7;?;-190.0
-648.0;597.0;74;580.0;-7;1013.0;-102.0
-630.0;588.0;74;580.0;-7;1028.0;-244.0
-612.0;584.0;74;587.0;-7;1032.0;-216.0
-596.0;581.0;74;603.0;-7;?;-251.0
?;567.0;74;629.0;-7;1041.0;-219.0
-572.0;547.0;74;661.0;-7;1004.0;?
-563.0;514.0;74;692.0;-7;1041.0;-209.0
-560.0;488.0;74;711.0;-7;1062.0;-199.0
-562.0;477.0;74;717.0;-7;993.0;-322.0
-567.0;470.0;74;719.0;-7;1033.0;-339.0
-573.0;471.0;74;712.0;-7;?;-353.0
-583.0;475.0;74;689.0;-8;1038.0;-405.0
-588.0;478.0;74;664.0;-8;1036.0;-476.0
-585.0;472.0;74;645.0;-8;?;-497.0
-579.0;?;74;636.0;-8;1042.0;-580.0
-570.0;439.0;?;635.0;-8;1022.0;-559.0
-563.0;418.0;74;640.0;-8;1038.0;-570.0
-559.0;402.0;74;?;-8;1032.0;?
-560.0;391.0;74;?;-8;?;-595.0
-566.0;?;74;668.0;-8;1041.0;-566.0
-573.0;398.0;?;677.0;-8;1020.0;-544.0
-581.0;412.0;74;686.0;-8;1024.0;-517.0
-589.0;428.0;74;693.0;?;1039.0;?
-597.0;444.0;74;701.0;?;1018.0;-525.0
?;458.0;74;708.0;?;1038.0;-534.0
-610.0;?;74;716.0;-8;1034.0;-512.0
-615.0;?;74;724.0;-8;1035.0;?
-619.0;494.0;74;732.0;-8;1038.0;-483.0
-625.0;504.0;74;740.0;?;1050.0;-497.0
-630.0;514.0;74;745.0;-8;1037.0;-481.0
-634.0;521.0;73;?;-8;1036.0;-502.0
-637.0;526.0;73;753.0;-8;979.0;-549.0
-640.0;532.0;73;754.0;-8;?;-513.0
-643.0;537.0;73;755.0;-8;?;-507.0
-644.0;?;?;754.0;-8;1130.0;-548.0
-645.0;?;73;?;-8;786.0;-562.0
-644.0;540.0;73;751.0;-8;1337.0;-554.0
-644.0;539.0;?;747.0;-8;1054.0;?
-643.0;538.0;73;742.0;-8;1102.0;-559.0
-643.0;535.0;73;733.0;-8;?;-566.0
-641.0;535.0;73;724.0;-8;961.0;-559.0
-639.0;531.0;?;715.0;-8;945.0;-545.0
-635.0;524.0;74;707.0;-8;?;-568.0
-630.0;520.0;74;700.0;-8;940.0;-554.0
-626.0;514.0;74;694.0;?;926.0;-540.0
-621.0;506.0;74;?;-7;920.0;?
-617.0;499.0;74;687.0;?;1076.0;-537.0
-614.0;492.0;74;685.0;-7;940.0;-526.0
-612.0;?;74;685.0;-7;1027.0;-505.0
-610.0;485.0;74;686.0;-7;1065.0;-563.0
-609.0;485.0;74;687.0;-7;1006.0;-375.0
-608.0;482.0;74;690.0;-7;982.0;-571.0
-610.0;482.0;74;?;?;?;-849.0
-613.0;489.0;74;694.0;-7;995.0;-426.0
-615.0;492.0;75;698.0;-7;963.0;?
-626.0;?;75;704.0;-7;?;?
-636.0;522.0;75;706.0;-7;?;-381.0
-646.0;?;75;712.0;-7;948.0;-436.0
-655.0;553.0;75;725.0;-7;970.0;-607.0
-660.0;?;75;739.0;-7;?;-546.0
-662.0;575.0;75;749.0;-7;993.0;-462.0
-665.0;578.0;75;752.0;-7;998.0;-430.0
-668.0;583.0;75;753.0;-7;970.0;-431.0
?;584.0;75;754.0;-7;1003.0;-454.0
-673.0;589.0;75;753.0;?;882.0;?
?;591.0;75;748.0;-7;898.0;-448.0
-671.0;589.0;75;?;-7;832.0;?
-669.0;588.0;?;734.0;-7;911.0;-455.0
