InertialMeasurementUnit LUA Quaternion2;InertialMeasurementUnit BACK Quaternion2;InertialMeasurementUnit BACK Quaternion4;InertialMeasurementUnit LLA magneticY;InertialMeasurementUnit RLA Quaternion1;InertialMeasurementUnit LLA Quaternion2;InertialMeasurementUnit RUA Quaternion1
-218.0;-104.0;152.0;329.0;322.0;143.0;-392.0
51.0;-340.0;241.0;343.0;315.0;13.0;-204.0
-39.0;-296.0;212.0;353.0;146.0;92.0;-209.0
-25.0;-302.0;223.0;317.0;175.0;74.0;-194.0
16.0;-315.0;245.0;269.0;226.0;19.0;-168.0
64.0;-321.0;263.0;235.0;258.0;-25.0;-145.0
91.0;-329.0;283.0;203.0;261.0;-53.0;-125.0
114.0;-387.0;359.0;131.0;269.0;-76.0;-116.0
177.0;-436.0;397.0;139.0;323.0;-56.0;-42.0
125.0;-352.0;301.0;20.0;284.0;-79.0;-112.0
18.0;-310.0;233.0;108.0;180.0;27.0;-197.0
-9.0;-296.0;214.0;142.0;140.0;55.0;-222.0
16.0;-215.0;92.0;304.0;474.0;-27.0;-303.0
13.0;-191.0;111.0;204.0;419.0;-33.0;-313.0
-6.0;-181.0;119.0;208.0;409.0;-16.0;-309.0
-16.0;-175.0;121.0;213.0;404.0;-8.0;-308.0
-34.0;-163.0;126.0;229.0;396.0;10.0;-301.0
-40.0;-157.0;128.0;241.0;400.0;18.0;-294.0
-64.0;-129.0;131.0;305.0;412.0;52.0;-257.0
-67.0;-88.0;124.0;386.0;385.0;78.0;-263.0
-120.0;-129.0;33.0;526.0;465.0;136.0;-312.0
-50.0;-42.0;123.0;467.0;334.0;96.0;-329.0
-6.0;20.0;102.0;505.0;122.0;95.0;-544.0
86.0;-222.0;174.0;778.0;48.0;-110.0;-278.0
49.0;-248.0;196.0;563.0;-86.0;-207.0;254.0
160.0;-111.0;49.0;639.0;72.0;-278.0;465.0
-212.0;-103.0;155.0;326.0;320.0;134.0;-397.0
194.0;-131.0;-1.0;378.0;-19.0;-267.0;406.0
-211.0;-102.0;155.0;316.0;322.0;131.0;-399.0
