Accelerometer RKN_ accZ;InertialMeasurementUnit BACK accX;InertialMeasurementUnit RUA gyroX;Accelerometer HIP accX;InertialMeasurementUnit RLA accZ;InertialMeasurementUnit L-SHOE Nav_Ax;Accelerometer BACK accX;InertialMeasurementUnit BACK accY;InertialMeasurementUnit L-SHOE Body_Az;Accelerometer LH accZ;Accelerometer RWR accZ;Accelerometer BACK accY
?;-1092.0;-943.0;-35.0;75.0;3;48.0;?;740;60.0;540.0;855.0
27.0;-901.0;-1134.0;-43.0;?;1;51.0;-191.0;736;415.0;538.0;932.0
19.0;-758.0;-565.0;-10.0;435.0;-6;92.0;-349.0;738;455.0;533.0;985.0
-18.0;-896.0;-83.0;3.0;387.0;-6;65.0;-153.0;742;185.0;?;?
?;-946.0;198.0;-9.0;327.0;4;118.0;-176.0;736;114.0;427.0;991.0
28.0;-1018.0;?;?;358.0;1;126.0;-203.0;737;335.0;344.0;?
?;-976.0;90.0;?;376.0;?;?;?;739;442.0;335.0;921.0
-5.0;-973.0;160.0;-42.0;343.0;4;60.0;-201.0;740;354.0;351.0;874.0
19.0;-1017.0;257.0;-105.0;274.0;2;-14.0;-261.0;742;770.0;?;869.0
30.0;-983.0;-162.0;58.0;434.0;3;237.0;-197.0;737;-819.0;406.0;953.0
29.0;-980.0;-213.0;63.0;431.0;9;235.0;-198.0;734;-1166.0;513.0;997.0
34.0;-961.0;-243.0;76.0;539.0;1;234.0;-223.0;?;-1225.0;536.0;969.0
8.0;-957.0;-251.0;66.0;?;?;227.0;?;738;-1215.0;590.0;973.0
?;-995.0;?;29.0;846.0;-3;223.0;-217.0;735;-1079.0;497.0;989.0
-31.0;-994.0;?;44.0;1079.0;-6;133.0;-198.0;738;-831.0;472.0;?
-46.0;-958.0;199.0;?;1091.0;-4;141.0;-192.0;745;-619.0;511.0;1059.0
-6.0;-995.0;526.0;77.0;974.0;4;77.0;?;739;-316.0;492.0;1012.0
10.0;-964.0;758.0;61.0;863.0;4;192.0;?;732;-70.0;543.0;1069.0
10.0;-996.0;928.0;68.0;?;-2;160.0;-197.0;735;-41.0;664.0;1025.0
20.0;-1028.0;1092.0;58.0;690.0;-1;128.0;-173.0;738;-9.0;?;1018.0
30.0;-1059.0;973.0;28.0;647.0;?;136.0;-267.0;742;?;752.0;986.0
32.0;-1011.0;872.0;19.0;645.0;-8;121.0;-236.0;746;-88.0;757.0;970.0
50.0;-999.0;734.0;25.0;585.0;3;82.0;-210.0;742;-186.0;750.0;?
20.0;-967.0;644.0;53.0;604.0;-3;31.0;-258.0;742;151.0;709.0;1026.0
-4.0;-966.0;644.0;22.0;651.0;-6;111.0;-196.0;739;287.0;606.0;1000.0
-9.0;-985.0;684.0;-19.0;667.0;3;89.0;-211.0;736;371.0;465.0;969.0
8.0;-1016.0;915.0;-39.0;?;-3;105.0;-163.0;?;?;358.0;882.0
6.0;-1006.0;1020.0;-47.0;371.0;-1;-110.0;-135.0;734;1479.0;298.0;893.0
?;?;?;-40.0;77.0;1;-21.0;-185.0;738;1050.0;324.0;823.0
