InertialMeasurementUnit RLA gyroY;InertialMeasurementUnit RUA gyroZ;Accelerometer HIP accY;InertialMeasurementUnit R-SHOE Nav_Ay;Accelerometer LUA^ accX;InertialMeasurementUnit L-SHOE Nav_Az;InertialMeasurementUnit L-SHOE AngVelNavFrameZ;InertialMeasurementUnit L-SHOE Body_Ay;InertialMeasurementUnit L-SHOE AngVelBodyFrameZ;InertialMeasurementUnit L-SHOE Body_Ax
64.0;-76.0;933.0;-1;315.0;20;-9;650;-9;21
20.0;4.0;804.0;-7;541.0;11;29;742;29;18
15.0;115.0;788.0;-1;416.0;20;7;745;7;19
-35.0;221.0;852.0;-4;379.0;10;-14;746;-14;24
213.0;-22.0;775.0;33;231.0;-317;1193;1055;1193;-35
-71.0;-13.0;840.0;0;532.0;17;12;742;12;25
30.0;53.0;772.0;-28;473.0;20;-16;738;-16;16
-22.0;43.0;926.0;0;323.0;18;-14;656;-14;14
-54.0;-69.0;865.0;-6;486.0;20;11;737;11;18
496.0;-1315.0;928.0;19;466.0;11;36;657;36;24
263.0;-113.0;946.0;-9;386.0;60;2036;645;2036;-15
72.0;-15.0;917.0;0;380.0;13;-24;756;-24;11
49.0;-20.0;1058.0;111;323.0;-231;-344;1797;-344;-425
26.0;9.0;920.0;-2;382.0;16;15;656;15;15
-77.0;-365.0;941.0;-3;407.0;17;0;678;0;18
-73.0;324.0;982.0;562;401.0;54;29;666;29;69
19.0;17.0;849.0;-1;538.0;8;-39;751;-39;21
-183.0;-47.0;917.0;2;418.0;18;-10;751;-10;2
4.0;101.0;869.0;6;340.0;16;-3;750;-3;22
-11.0;-13.0;954.0;1;405.0;24;-16;648;-16;13
-1029.0;42.0;829.0;198;241.0;-534;-611;1735;-611;274
26.0;4.0;933.0;0;374.0;17;4;658;4;16
-253.0;-17.0;895.0;39;51.0;47;-3378;708;-3378;138
-919.0;-1106.0;1015.0;-6;422.0;19;20;652;20;78
29.0;-78.0;942.0;31;437.0;26;42;672;42;44
72.0;-36.0;967.0;-13;431.0;19;-36;652;-36;27
35.0;-17.0;952.0;1;429.0;22;-27;660;-27;33
93.0;-21.0;902.0;0;379.0;18;-9;656;-9;3
42.0;51.0;994.0;-64;484.0;18;73;685;73;38
49.0;29.0;949.0;0;426.0;16;19;661;19;30
-291.0;448.0;989.0;-5;464.0;-174;-1432;789;-1432;96
23.0;-6.0;927.0;3;441.0;20;-10;661;-10;37
33.0;19.0;956.0;-2;428.0;21;9;659;9;34
-21.0;21.0;945.0;4;431.0;21;-1;659;-1;32
-58.0;-44.0;1005.0;-32;462.0;16;-80;649;-80;49
17.0;-4.0;954.0;-1;456.0;24;11;655;11;27
6.0;23.0;938.0;-3;455.0;18;-6;659;-6;30
-5.0;19.0;926.0;11;437.0;20;-8;649;-8;11
-11.0;-19.0;950.0;3;459.0;11;-11;667;-11;28
17.0;32.0;947.0;6;477.0;15;7;663;7;28
15.0;27.0;957.0;7;459.0;20;7;660;7;29
15.0;14.0;950.0;2;462.0;17;-26;664;-26;31
12.0;2.0;944.0;1;452.0;16;-22;665;-22;27
113.0;-49.0;934.0;-1;467.0;17;-13;662;-13;15
26.0;12.0;956.0;1;454.0;21;-17;660;-17;35
12.0;-7.0;934.0;-3;459.0;16;-23;661;-23;26
31.0;23.0;931.0;-3;450.0;18;-27;664;-27;34
10.0;31.0;951.0;0;439.0;23;12;665;12;35
22.0;-1.0;958.0;5;474.0;15;-19;663;-19;27
523.0;530.0;854.0;177;368.0;-86;1755;700;1755;201
1.0;-2.0;922.0;-2;381.0;20;-30;656;-30;19
31.0;10.0;949.0;6;442.0;17;17;660;17;31
32.0;72.0;901.0;-1;365.0;19;24;657;24;19
-568.0;791.0;943.0;44;396.0;6;17;677;17;24
49.0;88.0;966.0;1;409.0;15;6;658;6;23
-58.0;-8.0;853.0;-156;255.0;2669;1420;2158;1420;-1334
113.0;-98.0;919.0;8;314.0;61;-236;190;-236;-17
-1105.0;-131.0;901.0;2;320.0;13;5;757;5;13
114.0;-49.0;847.0;-1;460.0;16;2;743;2;14
5.0;2.0;922.0;1;404.0;25;-4;657;-4;24
41.0;-27.0;931.0;4;383.0;21;-11;656;-11;27
-12.0;-40.0;828.0;3;353.0;18;10;746;10;23
257.0;-155.0;1021.0;877;551.0;18;-29;653;-29;-2
0.0;-37.0;951.0;11;410.0;15;31;660;31;30
73.0;-75.0;960.0;-2;436.0;23;-28;654;-28;11
-71.0;343.0;939.0;-9;409.0;17;-2;659;-2;30
22.0;0.0;909.0;1;393.0;20;11;655;11;22
53.0;216.0;1081.0;-221;346.0;-427;-283;1201;-283;104
-14.0;-17.0;913.0;-2;308.0;18;-14;753;-14;28
611.0;-515.0;997.0;39;343.0;593;1009;517;1009;329
-3.0;11.0;966.0;6;418.0;20;-8;659;-8;33
9.0;2.0;957.0;5;410.0;20;12;657;12;30
-9.0;11.0;952.0;1;407.0;17;-12;654;-12;23
21.0;25.0;948.0;6;421.0;20;-21;654;-21;28
-175.0;32.0;950.0;15;448.0;12;-12;660;-12;31
25.0;17.0;959.0;3;406.0;19;3;660;3;28
1243.0;644.0;964.0;29;417.0;20;15;669;15;0
60.0;167.0;959.0;4;390.0;19;-23;660;-23;38
-35.0;67.0;984.0;-14;495.0;20;3;663;3;15
3.0;10.0;860.0;1;536.0;16;-3;744;-3;21
-15.0;19.0;917.0;4;380.0;20;3;657;3;21
-196.0;-7.0;838.0;65;347.0;692;990;2088;990;-859
-133.0;-815.0;963.0;3;419.0;20;-6;644;-6;6
5.0;109.0;1086.0;19;296.0;-198;-542;875;-542;-681
4.0;23.0;935.0;4;396.0;18;14;660;14;17
-21.0;3.0;924.0;0;378.0;14;-5;658;-5;16
-219.0;-173.0;910.0;30;271.0;16;5;674;5;32
-29.0;11.0;916.0;0;370.0;23;-11;657;-11;24
-311.0;-54.0;946.0;-2;335.0;22;-20;654;-20;6
-19.0;-4.0;934.0;2;391.0;25;-6;656;-6;21
554.0;632.0;940.0;7;447.0;15;-19;659;-19;9
70.0;88.0;947.0;3;459.0;19;-13;661;-13;12
7.0;18.0;917.0;1;399.0;15;12;659;12;20
-335.0;-43.0;869.0;15;338.0;127;-931;494;-931;35
31.0;20.0;955.0;0;417.0;20;-7;662;-7;40
-338.0;258.0;869.0;5;387.0;28;1316;726;1316;192
36.0;-1.0;840.0;-1;535.0;14;-14;747;-14;21
25.0;-5.0;867.0;-1;470.0;10;10;750;10;22
31.0;-3.0;908.0;-1;398.0;14;-28;657;-28;20
32.0;1.0;917.0;0;322.0;22;-31;652;-31;13
307.0;263.0;830.0;-46;326.0;97;574;623;574;-11
50.0;6.0;851.0;1;522.0;20;-2;740;-2;18
-367.0;479.0;958.0;11;334.0;18;-16;652;-16;2
-698.0;533.0;891.0;-714;402.0;21;-64;681;-64;10
214.0;-39.0;975.0;8;560.0;15;15;670;15;16
32.0;26.0;967.0;-3;411.0;13;-13;668;-13;40
3.0;22.0;956.0;-1;399.0;10;-6;664;-6;34
81.0;1094.0;884.0;22;468.0;2;3;676;3;55
27.0;64.0;890.0;-7;352.0;7;743;725;743;-377
15.0;-20.0;947.0;-5;449.0;20;-18;651;-18;16
-116.0;-40.0;962.0;-3;405.0;18;-5;655;-5;8
-47.0;102.0;956.0;-8;382.0;17;2;672;2;27
-17.0;39.0;901.0;2;409.0;19;-4;654;-4;15
23.0;-13.0;994.0;-2;515.0;18;-25;660;-25;13
-50.0;-19.0;844.0;197;482.0;54;-24;645;-24;11
2.0;39.0;936.0;-3;371.0;15;-4;669;-4;11
15.0;59.0;909.0;4;359.0;23;-32;656;-32;4
23.0;39.0;921.0;-1;379.0;17;-5;671;-5;9
45.0;10.0;939.0;-1;565.0;16;8;656;8;12
25.0;25.0;925.0;3;474.0;14;0;654;0;12
-18.0;172.0;973.0;10;302.0;-23;-318;727;-318;22
-2.0;32.0;900.0;-1;366.0;18;-28;668;-28;17
1.0;31.0;916.0;4;373.0;13;-15;671;-15;10
