Accelerometer LUA_ accX;InertialMeasurementUnit R-SHOE Nav_Ax;InertialMeasurementUnit L-SHOE AngVelNavFrameX;InertialMeasurementUnit L-SHOE AngVelBodyFrameX;InertialMeasurementUnit BACK accZ;InertialMeasurementUnit BACK magneticY;Accelerometer RKN_ accX;InertialMeasurementUnit L-SHOE Nav_Ay;InertialMeasurementUnit L-SHOE AngVelNavFrameY;InertialMeasurementUnit BACK magneticX;InertialMeasurementUnit L-SHOE AngVelBodyFrameY;InertialMeasurementUnit L-SHOE EuY
61.0;-4;-2;1;59.0;-146.0;20.0;-5;-1;402.0;-2;-40
-367.0;-163;-455;2748;76.0;-36.0;-219.0;36;-2748;479.0;-455;-65
121.0;1;-16;23;361.0;376.0;-34.0;5;-23;293.0;-16;-43
-397.0;5;5;2;416.0;153.0;-145.0;4;-2;395.0;5;-41
-39.0;1;-24;6;895.0;338.0;-96.0;-1;-6;-357.0;-24;-39
69.0;-300;-49;-2;203.0;190.0;-58.0;2;2;468.0;-49;-42
-83.0;87;-1200;-4531;227.0;125.0;-417.0;2;4531;699.0;-1200;-47
-133.0;743;10;36;357.0;406.0;-198.0;26;-36;393.0;10;-45
57.0;-367;-31;67;281.0;538.0;-18.0;-51;-67;877.0;-31;-44
-49.0;3;7;-1;289.0;36.0;-354.0;0;1;573.0;7;-50
-38.0;-1;-11;-6;287.0;49.0;-358.0;0;6;561.0;-11;-50
-12.0;4;1;-20;267.0;38.0;-355.0;1;20;556.0;1;-50
-11.0;2;16;-1;274.0;40.0;-355.0;-4;1;561.0;16;-50
-4.0;7;-12;-3;291.0;46.0;-346.0;-13;3;580.0;-12;-50
82.0;-4;-30;-17;231.0;33.0;-364.0;2;17;553.0;-30;-50
69.0;-2;-7;-10;151.0;-273.0;-75.0;0;10;498.0;-7;-39
-19.0;-2;10;1;325.0;43.0;-339.0;-13;-1;579.0;10;-50
41.0;38;-23;-20;120.0;15.0;-118.0;-31;20;948.0;-23;-42
-24.0;2;-8;-11;277.0;77.0;-351.0;2;11;565.0;-8;-50
8.0;4;2;3;91.0;-435.0;-110.0;2;-3;511.0;2;-41
-68.0;2;-19;-8;610.0;479.0;-153.0;8;8;119.0;-19;-41
-35.0;1;-2;-3;221.0;37.0;-372.0;3;3;539.0;-2;-50
125.0;4;-13;6;323.0;-312.0;3.0;3;-6;484.0;-13;-42
-139.0;-9;0;-20;258.0;53.0;-352.0;-2;20;555.0;0;-50
13.0;-1984;26;187;264.0;497.0;24.0;-2;-187;145.0;26;-37
-5.0;2;28;-1;281.0;38.0;9.0;3;1;440.0;28;-45
-48.0;14;9;-1;195.0;54.0;-330.0;7;1;497.0;9;-52
-113.0;-3;-22;2;179.0;88.0;-337.0;-8;-2;487.0;-22;-51
32.0;-1;6;-8;373.0;81.0;-352.0;3;8;605.0;6;-50
-149.0;-1;11;16;173.0;95.0;-325.0;-6;-16;497.0;11;-51
119.0;19;-1;-17;353.0;-33.0;51.0;6;17;1115.0;-1;-38
3.0;-3;-9;23;318.0;99.0;-364.0;-7;-23;586.0;-9;-50
22.0;-2;0;-7;24.0;-172.0;-218.0;-2;7;363.0;0;-41
97.0;-18;7;-11;229.0;226.0;-53.0;-11;11;480.0;7;-45
-10.0;0;-29;-20;317.0;37.0;-377.0;0;20;591.0;-29;-50
40.0;-12;111;584;377.0;129.0;-350.0;-3;-584;591.0;111;-52
-51.0;-4;-14;-22;307.0;20.0;-354.0;3;22;580.0;-14;-50
-36.0;-3;25;16;297.0;32.0;-362.0;5;-16;576.0;25;-50
-48.0;-1;-17;-7;281.0;51.0;-365.0;-1;7;565.0;-17;-50
-18.0;-3;23;-7;277.0;53.0;-359.0;-3;7;563.0;23;-50
-27.0;4;-7;1;299.0;38.0;-369.0;5;-1;577.0;-7;-50
-22.0;3;-7;19;277.0;40.0;-366.0;-2;-19;565.0;-7;-50
69.0;1;1;-13;170.0;77.0;-269.0;8;13;500.0;1;-52
-249.0;2;-2;2;321.0;-92.0;-357.0;7;-2;589.0;-2;-50
299.0;-1;-13;21;380.0;-32.0;-97.0;-25;-21;470.0;-13;-43
54.0;76;-28;6;188.0;40.0;-650.0;-7;-6;525.0;-28;-52
-40.0;6;7;30;221.0;41.0;-376.0;-6;-30;540.0;7;-50
-286.0;57;-26;24;138.0;487.0;3.0;-1;-24;557.0;-26;-39
-202.0;2;-21;13;397.0;100.0;-353.0;5;-13;615.0;-21;-50
-113.0;3;0;11;306.0;69.0;-366.0;2;-11;578.0;0;-50
0.0;0;31;-3;219.0;40.0;-347.0;-3;3;540.0;31;-50
241.0;22;13;-10;160.0;160.0;-263.0;5;10;484.0;13;-52
-68.0;1;-24;5;140.0;504.0;0.0;2;-5;524.0;-24;-39
-15.0;4;23;-2;276.0;49.0;-371.0;-1;2;560.0;23;-50
237.0;90;-46;-8;237.0;38.0;-794.0;-5;8;536.0;-46;-52
-20.0;5;21;-12;273.0;50.0;-364.0;-4;12;561.0;21;-50
-2.0;39;1084;0;150.0;136.0;-115.0;-57;0;455.0;1084;-45
-10.0;-5;7;24;333.0;38.0;-360.0;4;-24;590.0;7;-50
2.0;0;-19;-5;358.0;-11.0;-377.0;-1;5;610.0;-19;-50
-106.0;-1;-12;-13;350.0;68.0;-355.0;3;13;580.0;-12;-50
48.0;10;37;11;187.0;-44.0;-419.0;-10;-11;1086.0;37;-38
1.0;0;22;13;359.0;24.0;-352.0;2;-13;601.0;22;-50
235.0;84;-31;18;460.0;-232.0;-226.0;7;-18;598.0;-31;-43
-137.0;-1;-168;240;139.0;-182.0;-65.0;-63;-240;438.0;-168;-42
59.0;-3;-3;-2;221.0;-401.0;29.0;-3;2;429.0;-3;-42
5.0;-3;-10;17;303.0;38.0;41.0;2;-17;447.0;-10;-45
-146.0;-253;1376;-3257;184.0;328.0;18.0;-584;3257;465.0;1376;-76
-324.0;-4;-19;6;894.0;-201.0;-43.0;1;-6;581.0;-19;-44
-99.0;22;2607;-152;204.0;-101.0;-3.0;-278;152;350.0;2607;-36
-135.0;-3;15;-4;358.0;-29.0;-360.0;4;4;607.0;15;-50
136.0;35;664;5924;31.0;155.0;-74.0;-864;-5924;425.0;664;-25
8.0;-14;375;1017;179.0;-237.0;-209.0;128;-1017;470.0;375;-46
-223.0;0;-2;12;188.0;104.0;-308.0;0;-12;506.0;-2;-52
132.0;1;-2;13;281.0;339.0;-319.0;-8;-13;513.0;-2;-52
-13.0;-41;3827;2447;62.0;587.0;7.0;421;-2447;503.0;3827;-36
-99.0;0;13;24;277.0;46.0;-354.0;3;-24;561.0;13;-50
-112.0;0;23;1;277.0;47.0;-350.0;-2;-1;563.0;23;-50
